Class,Field,Declared_Keyed_By,N_rows,Owner,TAPPs,Diagnosis,Evidence_from_Column_B,Proposed_action
5 — prose duplicates Column I,Monitored Isotopes,analyte,2,TAPP-owned,LA-MC-ICPMS_v7:85; LA-MC-ICPMS_UPb_v7:86,"In the two MC TAPPs the field is analyte-keyed (the cup array defines the channel, per 7.4b) and the trailing sentence restates that key verbatim.",'...including any interference-monitor masses. Analyte-specific field.',Delete the trailing sentence. Column I is correct.
6 — prose contradicts Column I,Detection Limit,reported property / sampling unit x reported property,12,TAPP-owned,EPMA_v13:90; LA-MC-ICPMS_v7:141; LA-MC-ICPMS_UPb_v7:151; LA-Q-ICP-MS_v11:129; LA-Q-ICP-MS_UPb_v12:139; LA-SF-ICP-MS_v11:125; LA-SF-ICP-MS_UPb_v12:135; SEM_Composition_v10:88; SEM_v10:120; Solution_MC-ICP-MS_v11:123; Solution_Q-ICP-MS_v13:107; Solution_SF-ICP-MS_v13:103,"The description names a different key from Column I in all 12 TAPPs that carry the field, in both register variants: where I = reported property the prose says 'for each analyte'; where I = sampling unit x reported property the prose says 'for each measured isotope... per isotope or element group' (channel). Rule 7.3 uses this very field as its worked example of the defines/keyed-by distinction, so the mismatch is conspicuous.",'Elemental detection limits for each analyte.' / 'Session detection limit for each measured isotope... Report the value(s) and units per isotope or element group.',"Decide whether the analyte and reported-property domains are isomorphic for concentration-reporting procedures (one concentration variable per element). If so, record it as a precedent — it recurs across the library. Then align the prose to Column I."
6 — prose contradicts Column I,Interfering Species,channel,3,TAPP-owned,Solution_MC-ICP-MS_v11:103; Solution_Q-ICP-MS_v13:92; Solution_SF-ICP-MS_v13:88,"Column I says channel, which is right: an interference is on a mass, not on an element. The trailing 'Analyte-specific.' names the wrong key.",'List of isobaric or polyatomic species mathematically corrected in data reduction. Analyte-specific.',Delete the trailing sentence. Column I is correct.
6 — prose contradicts Column I,Detection Limit Method,reported property,3,TAPP-owned,Solution_MC-ICP-MS_v11:124; Solution_Q-ICP-MS_v13:108; Solution_SF-ICP-MS_v13:104,"Same mismatch, inherited from the field it documents.",'Method used to calculate detection limits for each analyte.',Align with the Detection Limit decision.
6 — prose contradicts Column I,Interference Correction Method,channel,1,TAPP-owned,Solution_MC-ICP-MS_v11:104,As above — the correction is per interfered-upon mass.,'...the tailing factor is measured using a pure standard. Analyte-specific.',Delete the trailing sentence. Column I is correct.
6 — prose contradicts Column I,Isobaric Interference Corrections Applied,channel,1,TAPP-owned,Solution_MC-ICP-MS_v11:102,The Solution MC row ends 'Analyte-specific.' while the 6 LA rows say 'Analyte-specific detail is captured in Interfering Species and Interference Correction Method' — a legitimate cross-reference. Only the bare assertion is at fault.,'...abundance sensitivity tailing of 238U onto 236U and 235U. Analyte-specific.',Delete the trailing sentence on the Solution MC row only; keep the LA cross-reference.
6 — prose contradicts Column I,Isotope Ratio Reported,reported property,1,TAPP-owned,Solution_MC-ICP-MS_v11:95,A reported ratio is itself the reported property; 'Analyte-specific.' names a coarser key.,'Report all ratio pairs routinely calculated and reported. Analyte-specific.',Delete the trailing sentence. Column I is correct.
6 — prose contradicts Column I,delta or epsilon Value Reference Standard,reported property,1,TAPP-owned,Solution_MC-ICP-MS_v11:96,"Genuinely unresolved, unlike the rest of Class 6. The zero-delta anchor is chosen per element system (IRMM-014 for Fe), which argues analyte or standard, not reported property.",'...the certified or consensus isotope ratio used for normalization. Analyte-specific.',Adjudicate the key. Do not delete the sentence until the key is settled.
"7 — declared (none), prose implies a key",Calibration Factor and Determination Method,(none),14,"MODULE:ArAr,ReportingCore,UPb",EPMA_v13:79; LA-MC-ICPMS_v7:127; LA-MC-ICPMS_UPb_v7:128; LA-Q-ICP-MS_v11:120; LA-Q-ICP-MS_UPb_v12:121; LA-SF-ICP-MS_v11:116; LA-SF-ICP-MS_UPb_v12:117; Lab-XCT_v13:85; SEM_Composition_v10:78; SEM_v10:109; Solution_MC-ICP-MS_v11:110; Solution_Q-ICP-MS_v13:99; Solution_SF-ICP-MS_v13:95; TEM_v13:88,"Declared scalar in 14 TAPPs, but the description distinguishes itself from a field that is explicitly per-analyte and says it holds 'the resulting factor itself' — one factor per analyte. Highest-leverage row in the survey: MODULE-OWNED in Module_ReportingCore, which has 16 consumers.","'Distinct from... Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.'","Adjudicate: analyte, reported property, or genuinely scalar. MODULE-OWNED — fix in Module_ReportingCore and recompose, never in the TAPPs (Rule 6.6)."
8 — definer by count,Number of Digestion Steps,defines: preparation step,3,MODULE:SolutionIntroduction,Solution_MC-ICP-MS_v11:30; Solution_Q-ICP-MS_v13:29; Solution_SF-ICP-MS_v13:29,"Satisfies 7.4a by stating how many steps exist rather than listing them — the domain is ordinal 1..N. Legitimate, but it is the only definer in the library of this shape and the rule text does not acknowledge that a count can enumerate a domain.",Data Type = Integer; 'Total number of distinct acid digestion steps required...',No change to the file. Note in Rule 7.4a that an ordinal count enumerates its domain. MODULE-OWNED (Module_SolutionIntroduction).
,,,,,,,,
9 — adjudicated false positive,,,,,,"'per X' in a field name or description denoting a rate, unit, count or schedule rather than a cardinality key. Recorded so a future sweep does not re-raise them.",,No change.
9 — adjudicated false positive,Ablation Duration per Spot,(none),6,MODULE:LaserAblation,,"'per spot' is the unit of the duration, not a key",,No change.
9 — adjudicated false positive,Signal Integration Time,(none),9,TAPP-owned,,'per analysis' expresses a rate,,No change.
9 — adjudicated false positive,EDS Live Time per Point or Pixel,(none),4,TAPP-owned,,'per point' is the unit of the live time,,No change.
9 — adjudicated false positive,Dwell Time per Pixel,(none) / analyte,5,TAPP-owned,,'per pixel' is the unit; the analyte key it does carry is already declared,,No change.
9 — adjudicated false positive,Total Integration Time per Output Data Point,(none),4,TAPP-owned,,'per data point' is the unit,,No change.
9 — adjudicated false positive,Number of Blocks per Measurement,(none),3,MODULE:MCICPMS,,"a count, and 'per measurement' is its unit",,No change.
9 — adjudicated false positive,Mass Cycles per Replicate,(none),1,TAPP-owned,,a count; 'per replicate' is its unit,,No change.
9 — adjudicated false positive,Number of Scans per Replicate,(none),1,TAPP-owned,,a count; 'per replicate' is its unit,,No change.
9 — adjudicated false positive,Number of Replicates,(none),6,TAPP-owned,,a scalar count,,No change.
9 — adjudicated false positive,Number of Projections,(none),1,TAPP-owned,,a scalar count,,No change.
9 — adjudicated false positive,Background Count Time,(none),6,TAPP-owned,,"'before each ablation' / 'once per raster line' is a schedule, not a cardinality",,No change.
9 — adjudicated false positive,Mass Resolution Setting,(none),9,TAPP-owned,,correctly delegates the per-analyte case to Mass Resolution per Analyte,,No change.
9 — adjudicated false positive,Additional Notes,(none),16,TAPP-owned,,'session-specific' is not a key,,No change.
9 — adjudicated false positive,Technique per Analyte,analyte,2,TAPP-owned,,"declared analyte, correct; 'line overlap' is prose, not a second key",,No change.
9 — adjudicated false positive,Stage Scan vs. Beam Scan,(none),3,TAPP-owned,,"'across' is spatial, not distributive",,No change.
9 — adjudicated false positive,Total Scan Duration,(none),1,TAPP-owned,,'across the scan' is spatial,,No change.
9 — adjudicated false positive,Signal Integration Interval Method,(none),9,TAPP-owned,,'for each ablation' is a schedule,,No change.
9 — adjudicated false positive,Pre-Ablation Surface Treatment,(none),6,MODULE:LaserAblation,,'each spot' is a schedule,,No change.
9 — adjudicated false positive,EBSD Phase List,(none),2,TAPP-owned,,holds a list; no field is keyed by it (7.4c),,No change.
