Field,Variant_TAPPs,Before_Description,After_Description_MERGED,Relocated_or_dropped
Detection Limit Method,"LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb",Reference or description of the method used to calculate session detection limits. Mandatory at analysis level. Must be consistent with the method applied to generate the Detection Limit values reported above.,"Formula or approach used to calculate the detection limits, with a citation for the method where one exists. Must be consistent with the values reported in Detection Limit.",'for each reported concentration variable' restates Keyed By; LA's 'Mandatory at analysis level' restates D; EPMA's 'the analyst should complete this field' CONTRADICTED D=Read-Only and is dropped
Normalization / Standards-Based Correction,"LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb","Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.","Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",LA's per-pixel stoichiometric mapping normalization and its boundary against `Internal Standard Approach` (a field only the 6 LA TAPPs still carry) -> Column F; Solution MC's spike-decay and secular-disequilibrium examples -> Column F
Normalization / Standards-Based Correction,Solution_SF-ICP-MS,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a BHVO-2 working value).","Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",LA's per-pixel stoichiometric mapping normalization and its boundary against `Internal Standard Approach` (a field only the 6 LA TAPPs still carry) -> Column F; Solution MC's spike-decay and secular-disequilibrium examples -> Column F
Normalization / Standards-Based Correction,Solution_Q-ICP-MS,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a monitor element's certified value in the calibration standard).","Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",LA's per-pixel stoichiometric mapping normalization and its boundary against `Internal Standard Approach` (a field only the 6 LA TAPPs still carry) -> Column F; Solution MC's spike-decay and secular-disequilibrium examples -> Column F
Normalization / Standards-Based Correction,Solution_MC-ICP-MS,Post-acquisition normalization applied to output isotope ratio data beyond the primary mass bias correction. Examples: correction of δ values for decay of enriched spike isotopes between calibration and use date (double-spike procedures); age correction of δ238U for secular disequilibrium. Record 'None' if no additional normalization is applied.,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",LA's per-pixel stoichiometric mapping normalization and its boundary against `Internal Standard Approach` (a field only the 6 LA TAPPs still carry) -> Column F; Solution MC's spike-decay and secular-disequilibrium examples -> Column F
Normalization / Standards-Based Correction,"EPMA,SEM_Composition,SEM",Post-acquisition normalization applied using secondary reference materials to correct for session-to-session calibration drift.,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",LA's per-pixel stoichiometric mapping normalization and its boundary against `Internal Standard Approach` (a field only the 6 LA TAPPs still carry) -> Column F; Solution MC's spike-decay and secular-disequilibrium examples -> Column F
Secondary Reference Materials,"SEM_Composition,SEM","Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values where available.","Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.","'assessed elements, number of analyses (n), measured vs accepted values' duplicates Analytical Accuracy / Analytical Precision, both keyed `standard x reported property`; LA's 'Editable because ...' restates D; Solution MC's isotopic-composition sourcing -> Column F"
Secondary Reference Materials,EPMA,"Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values.","Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.","'assessed elements, number of analyses (n), measured vs accepted values' duplicates Analytical Accuracy / Analytical Precision, both keyed `standard x reported property`; LA's 'Editable because ...' restates D; Solution MC's isotopic-composition sourcing -> Column F"
Secondary Reference Materials,"LA-MC-ICPMS,LA-MC-ICPMS_UPb,LA-Q-ICP-MS,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-SF-ICP-MS_UPb","Quality-control reference materials analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include material name, source, and citation for accepted values used for comparison. Editable because selection of secondary RMs may vary across sessions.","Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.","'assessed elements, number of analyses (n), measured vs accepted values' duplicates Analytical Accuracy / Analytical Precision, both keyed `standard x reported property`; LA's 'Editable because ...' restates D; Solution MC's isotopic-composition sourcing -> Column F"
Secondary Reference Materials,"Solution_Q-ICP-MS,Solution_SF-ICP-MS",Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,"Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.","'assessed elements, number of analyses (n), measured vs accepted values' duplicates Analytical Accuracy / Analytical Precision, both keyed `standard x reported property`; LA's 'Editable because ...' restates D; Solution MC's isotopic-composition sourcing -> Column F"
Secondary Reference Materials,Solution_MC-ICP-MS,"Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and the isotopic composition reference source (certified value, consensus value, or literature compilation). For isotope ratio procedures, secondary RMs are geological materials with published isotopic compositions (e.g., BHVO-2 for Fe isotopes) or pure isotopic standards of certified composition.","Quality-control reference material(s) measured as unknowns alongside samples to assess accuracy independently and to monitor drift. Give the material name, its source, and a citation for the accepted or reference values used for comparison.","'assessed elements, number of analyses (n), measured vs accepted values' duplicates Analytical Accuracy / Analytical Precision, both keyed `standard x reported property`; LA's 'Editable because ...' restates D; Solution MC's isotopic-composition sourcing -> Column F"
