Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Applicable Sample Dimension Range,XCT,5,D,M4,REWRITE-STRADDLE,states the lower bound (definition) and why the guideline exists (rationale),The lower bound is a practical guideline: samples spanning fewer than ~10 voxels in their smallest dimension are difficult to characterize reliably.
Background Correction Method,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Method used to estimate and subtract background X-ray intensity beneath the peak.
Background Correction Method,"EPMA,SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(Column F),names background models already in the controlled list; the WDS scoping is extra content that survives,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.
Background Correction Method,"EPMA,SEM,SEMcomp",3,D,M5,REWRITE-REDUNDANT(Column F),as S2 for EDS,For EDS: spectral background fitting or top-hat filter applied during spectral processing.
Background Counting Time,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Total time spent counting at off-peak background position(s) in seconds, summed across all background positions."
Background Position(s),"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Location(s) of off-peak background measurement(s) relative to the peak, in mm or sin-theta, and whether on the high- or low-energy side."
Beam Current,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Probe current in nanoamperes (nA).
Beam Current,EPMA,2,D,M3,,M3 — instruction: record the procedure-standard value; NOTE 'varies by phase type or analyte' names axes other than Keyed By (sample > sampling unit),Often varies by phase type or analyte; record the procedure-standard value(s).
Beam Current,"FIB,SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Electron beam probe current.
Beam Current,"FIB,SEM,SEMcomp,SEMimg",2,P,M2,,M2 — what higher current buys and what it costs,"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution."
Beam Current,"FIB,SEM,SEMcomp,SEMimg",3,D,M5,REWRITE-REDUNDANT(Column E: Numeric (nA)),'Express in nA' restates the Data Type; the sub-nA notation guidance is extra content that survives,"Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA)."
Beam Damage Minimization,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Measures taken to minimize beam damage, particularly volatilization or migration of Na, K, F, and Cl in hydrous minerals, glasses, feldspars, phosphates, and carbonates."
Beam Damage Minimization,EPMA,2,D,M3,,M3 — instruction: what to document,"Document approach, beam conditions used, and phases for which it was applied."
Beam Damage Minimization,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Describes any measures taken to reduce electron beam damage to the sample during analysis.
Beam Damage Minimization,"SEM,SEMcomp",2,D,M3,,M3 — enumerates the measures the field may record,"Examples: reduced accelerating voltage, lowered beam current, defocused or rastered beam, cooled stage, short acquisition sequences, or rotating between multiple points."
Beam Damage Minimization,"SEM,SEMcomp",3,P,M2,,M2 — why the field matters and for which materials,"Particularly important for volatile-bearing phases, hydrous minerals, glasses, organic materials, and biological samples."
Beam Diameter,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Diameter of the electron beam in micrometers.
Beam Diameter,EPMA,2,D,M3,,M3 — defines the sentinel value 0,0 indicates a fully focused beam.
Beam Diameter,EPMA,3,D,M3,,M3 — instruction: when to document a defocused diameter,Document defocused diameter when used to minimize beam damage or improve spatial averaging for beam-sensitive phases.
Beam Diameter,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Nominal electron beam diameter (spot size) at the sample surface, in nanometres or micrometres, as set by the condenser aperture and working distance."
Beam Diameter,"SEM,SEMcomp",2,P,M2,,M2 — what the diameter controls,Controls the spatial resolution and X-ray excitation volume.
Beam Diameter,"SEM,SEMcomp",3,D,M3,,M3 — scope boundary against Step Size / Pixel Size in mapping modes,"For mapping modes, the effective spatial sampling interval is further defined by Step Size / Pixel Size."
Beam Hardening Artifact Assessment,XCT,1,D,M1,,"M1 — defining sentence, never moves",Assessment of whether residual beam hardening (cupping artifact) is present in the reconstructed volume after any corrections applied during reconstruction.
Beam Hardening Artifact Assessment,XCT,2,P,M2,,M2 — what the artifact looks like and why it matters,"Beam hardening in polychromatic lab XCT produces a characteristic darker interior and brighter edges in the reconstructed CT number profile, even in compositionally uniform material."
Beam Hardening Artifact Assessment,XCT,3,D,M3,,M3 — instruction: what to record,"Record whether this artifact is detectable in the final dataset, what correction or mitigation was applied (e.g., linearisation, pre-filtering, iterative correction), and whether any residual effect influences the analysis region."
Beam Hardening Correction Method,XCT,1,D,M1,,"M1 — defining sentence, never moves",Strategy used to reduce beam hardening artifacts caused by preferential attenuation of low-energy photons in polychromatic cone-beam XCT.
Beam Hardening Correction Method,XCT,2,P,M2,,M2 — consequences of beam hardening,Beam hardening causes cupping artifacts (CT numbers elevated at sample edges relative to the interior) and can bias segmentation thresholds.
Beam Hardening Correction Method,XCT,3,P,M2,,M2 — how hardware and software approaches relate,Hardware pre-filtering (Group 4: X-ray Pre-filter) and software correction are complementary approaches.
Beam Hardening Correction Method,XCT,4,D,M5,REWRITE-REDUNDANT(C=Basic + D=Read-Only),'procedure-level design choice; value recorded separately at analysis level' is the C/D split in words,The method is a procedure-level design choice; the specific correction parameter value is session-specific and recorded separately at analysis level.
Beam Hardening Correction Parameter,XCT,1,D,M1,,"M1 — defining sentence, never moves",Numerical value or setting applied in the software beam hardening correction algorithm for this specific analysis.
Beam Hardening Correction Parameter,XCT,2,P,M2,,M2 — why the value varies between materials and sessions,May be tuned empirically per material type or per scan session.
Beam Hardening Correction Parameter,XCT,3,D,M5,REWRITE-REDUNDANT(C=Advanced + D=Editable),"'Analysis-level companion' restates the tier, but also does real work naming the pair, so Step 2 may keep it (cf. item 199)",Analysis-level companion to Beam Hardening Correction Method.
Beam Mode,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Whether the electron beam was stationary-focused, defocused to a fixed diameter, or rastered over a small area during a single-point analysis."
Beam Mode,EPMA,2,D,M3,,M3 — scope boundary against Step Size and Stage Scan vs. Beam Scan,"For X-ray mapping, beam scanning is controlled by Step Size and Stage Scan vs. Beam Scan fields instead."
Beam Mode,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Whether the electron beam was operated as a stationary focused spot, defocused to a specified diameter, or rastered over a small area during analysis."
Beam Mode,"SEM,SEMcomp",2,P,M2,,M2 — what beam mode controls and why it matters for sensitive phases,"Controls the effective sampling volume and irradiation footprint; critical for beam-sensitive phases such as hydrous minerals, glasses, and carbonates."
Beam Mode,"SEM,SEMcomp",3,D,M3,,M3 — consistency instruction against two named fields,Must be consistent with the Beam Diameter and Beam Raster Dimensions fields.
Beam Raster Dimensions,EPMA,1,D,M1,,"M1 — defining sentence, never moves",X x Y dimensions of a small beam raster used at a single analysis point to average a coarse-grained or beam-sensitive phase.
Beam Raster Dimensions,EPMA,2,D,M3,,M3 — scope boundary: not applicable when mapping,Different from X-ray mapping mode; not applicable when mapping.
Beam Raster Dimensions,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Dimensions of the small area over which the beam is rastered during a single analysis point, reported as width × height in µm."
Beam Raster Dimensions,"SEM,SEMcomp",2,D,M4,REWRITE-STRADDLE,"applicability condition and definition of the footprint, with the dose-distribution rationale appended",Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement and distributes dose over a larger area to reduce beam damage on sensitive phases.
Blank Correction,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Method and reference material(s) used to determine and subtract blank signal contributions (e.g., carbon coat contribution to C signal, or background contamination for trace elements)."
BSE Detector Type,"FIB,SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Type of backscattered electron detector.
BSE Detector Type,"FIB,SEM,SEMimg",2,P,M2,,M2 — which detector type is standard practice,Solid-state diode detectors (single or segmented) are standard;
BSE Detector Type,"FIB,SEM,SEMimg",3,P,M2,,M2 — merit of YAG scintillator detectors,YAG scintillator detectors offer high sensitivity at low voltage.
BSE Detector Type,"FIB,SEM,SEMimg",4,D,M5,REWRITE-REDUNDANT(Column F),composition/topography modes already named in the controlled list,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).
BSE Detector Type,"FIB,SEM,SEMimg",5,P,M2,,M2 — merit of in-lens BSE detectors,In-lens BSE detectors provide improved BSE collection at short working distances.
Camera Length,TEM,1,D,M1,,"M1 — defining sentence, never moves",Nominal camera length in millimeters used for diffraction pattern acquisition.
Camera Length,TEM,2,D,M4,REWRITE-STRADDLE,what camera length controls (rationale) plus the calibration obligation (instruction),Controls the mapping between reciprocal-space scattering angle and detector position; must be calibrated to convert pixel distances to d-spacings.
Camera Length,TEM,3,P,M2,,M2 — what camera length also sets in STEM mode,"In STEM mode, also sets HAADF/ABF detector collection angles."
Camera Length,TEM,4,D,M3,,"M3 — instruction: calibration required, cross-referencing Diffraction Calibration Reference",Calibration to absolute d-spacings is required — see 'Diffraction Calibration Reference'.
Camera Length,TEM,5,P,M2,,M2 — how the choice affects HAADF Z-contrast purity,Camera length choice affects HAADF Z-contrast purity: a shorter camera length (e.g. 30 mm) shifts the inner angle toward thermal diffuse scatter; a longer one (e.g. 150 mm) admits more Bragg scatter.
Chamber Pressure,"SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Chamber pressure and gas type during analysis.
Chamber Pressure,"SEM,SEMcomp,SEMimg",2,D,M3,,M3 — applicability: which modes require the field,Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes.
Chamber Pressure,"SEM,SEMcomp,SEMimg",3,D,M3,,M3 — instruction: what to report,Report value and unit (Pa or Torr) and gas composition.
Chamber Pressure,"SEM,SEMcomp,SEMimg",4,D,M3,,M3 — instruction: sentinel value for high vacuum,Use 'None' for standard high-vacuum operation.
CL Acquisition Mode,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",CL data collection strategy.
CL Acquisition Mode,"SEM,SEMimg",2,D,M3,,M3 — defines a controlled-list value; Column F names it but does not define it,Panchromatic: total light intensity collected by PMT across the full detector wavelength range.
CL Acquisition Mode,"SEM,SEMimg",3,D,M3,,M3 — defines a controlled-list value; Column F names it but does not define it,Spectral point: full CL spectrum at discrete point locations.
CL Acquisition Mode,"SEM,SEMimg",4,D,M3,,M3 — defines a controlled-list value; Column F names it but does not define it,Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.
CL Detector Configuration,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","CL detector type, manufacturer, model, collection optics (e.g., parabolic mirror, elliptical mirror, light guide), and spectral detection configuration (PMT for panchromatic, CCD/EMCCD for spectral, multi-channel for pseudo-color CL)."
CL Grating,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Diffraction grating specification for spectral or hyperspectral CL acquisition, including groove density and blaze wavelength."
CL Grating,"SEM,SEMimg",2,D,M3,,M3 — applicability boundary,Not applicable to panchromatic-only acquisition.
CL Integration Time,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Acquisition time per pixel (hyperspectral map mode) or per spectrum (spectral point mode), in ms or s."
CL Integration Time,"SEM,SEMimg",2,P,M2,,M2 — signal-to-noise against dose and acquisition time,Longer integration improves signal-to-noise but increases beam dose and acquisition time.
CL Wavelength Calibration Reference,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Reference light source or standard material used to calibrate the wavelength axis of the CL spectrometer.
CL Wavelength Calibration Reference,"SEM,SEMimg",2,D,M3,,M3 — applicability: when the field is required,Required for quantitative spectral CL and hyperspectral mapping.
CL Wavelength Range,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Detection wavelength range of the CL system in nm.
CL Wavelength Range,"SEM,SEMimg",2,P,M2,,M2 — what physically determines the range,The range is set by the detector sensitivity and any optical filters installed.
Coarse Milling Conditions,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Ion beam voltage and current used for bulk material removal during FIB milling.
Coarse Milling Conditions,"FIB,SEM",2,D,M3,,M3 — defines what the conditions cover in the TEM-lamella workflow,For TEM specimen preparation: bulk trenching to isolate the lamella and intermediate thinning.
Coarse Milling Conditions,"FIB,SEM",3,D,M3,,M3 — defines what the conditions cover in the tomography workflow,For 3D tomography: face preparation and initial slice removal.
Convergence Semi-Angle,TEM,1,D,M1,,"M1 — defining sentence, never moves",Semi-angle of the converged electron probe in milliradians.
Convergence Semi-Angle,TEM,2,P,M2,,"M2 — what the semi-angle controls, including the 4D-STEM disc-size trade-off","Controls probe size (smaller angle = larger probe but less coherent), depth of field, and in 4D-STEM, the size of diffraction discs vs. spatial resolution."
Convergence Semi-Angle,TEM,3,P,M2,,M2 — typical practice for near-parallel-beam 4D-STEM and why,"For near-parallel-beam 4D-STEM (e.g., phyllosilicate phase mapping), values as small as 0.1 mrad are used."
Counting Statistics Error,"EPMA,SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: sample > sampling unit x reported property),'for each reported quantity per analysis' states the key axes,"Uncertainty predicted from counting statistics — the theoretical limit set by the Poisson distribution of the counts accumulated — for each reported quantity per analysis, with the sigma level stated."
Counting Statistics Error,"EPMA,SEM,SEMcomp",2,D,M3,,M3 — defines how the quantity is computed,Derived from the counts on the analyte together with those on any background or blank subtracted from it.
Counting Statistics Error,"EPMA,SEM,SEMcomp",3,D,M4,REWRITE-STRADDLE,scope boundary against observed scatter (definition) plus how to interpret agreement between the two (rationale),"Distinct from the scatter actually observed within a measurement or between repeated measurements, which is recorded separately: where a procedure reports both, agreement indicates the measurement is shot-noise limited, and a larger observed scatter indicates a further source of variance."
Cross-Validation Outcome,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=N/A + D=Advanced),'Analysis-level record' asserts the tier position,Analysis-level record of what independent validation was performed and its result.
Cross-Validation Outcome,XCT,2,D,M3,,M3 — instruction: what to report,"Report the validation method(s) used, the quantitative agreement achieved (e.g., relative difference in modal abundance, porosity), and any discrepancies and their likely causes."
Cross-Validation Outcome,XCT,3,D,M4,REWRITE-STRADDLE,"instruction to note the 2D/3D mismatch, carrying the scientific caveat itself","Where BSE imaging is the validation method, note that BSE provides a 2D section while CT provides a 3D volume."
Cross-Validation Procedure Requirement,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Advanced),'Procedure-level specification' asserts the tier position,"Procedure-level specification of what independent analytical validation is required to confirm CT segmentation results, phase identification, or quantitative measurements."
Cross-Validation Procedure Requirement,XCT,2,P,M2,,M2 — when and why cross-validation is needed,Cross-validation is relevant where CT grey-values alone cannot uniquely distinguish phases with similar attenuation coefficients.
Cross-Validation Procedure Requirement,XCT,3,D,M3,,M3 — enumerates the approaches the field may record,"Common approaches include BSE imaging, SEM-EDS or EPMA modal analysis, He pycnometry for bulk porosity, and Raman or SIMS phase mapping."
Cross-Validation Procedure Requirement,XCT,4,D,M3,,M3 — instruction: what to record,"Record the required validation method(s) and the sampling fraction (e.g., every sample, one per session, or a representative subset)."
Crystal Structure Database,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Crystal structure database used for EBSD phase identification and Kikuchi pattern simulation.
CT Number Calibration,XCT,1,D,M1,,"M1 — defining sentence, never moves",Whether the raw CT grayscale values have been calibrated to physically meaningful units using reference materials.
CT Number Calibration,XCT,2,P,M2,,M2 — what calibration enables,"Calibrated CT numbers enable cross-instrument and cross-session comparison and support phase identification by comparison to calculated linear attenuation coefficient (LAC) values (e.g., using MuCalc; Hanna & Ketcham 2017)."
CT Number Calibration,XCT,3,P,M2,,M2 — the converse: why uncalibrated values do not travel,Uncalibrated grayscale values are instrument- and session-specific.
Detection Limit,EPMA,1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: reported property),"'one per reported concentration variable (one per analyte, these being the same set)' states the key axis","Method detection limit at 99% confidence (3-sigma), one per reported concentration variable (one per analyte, these being the same set), derived from counting statistics on peak and background."
Detection Limit,EPMA,2,D,M3,,M3 — instruction: report method and value for each,Include the method and the resulting value for each.
Detection Limit,"SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: reported property),as item 49,"Method detection limit at 99% confidence, one per reported concentration variable (one per analyte, these being the same set)."
Detection Limit,"SEM,SEMcomp",2,D,M3,,M3 — instruction: report method and value for each,Include the method used and the resulting value for each.
Detection Limit Method,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Formula or approach used to calculate detection limits.
Detection Limit Method,EPMA,2,D,M3,,M3 — instruction: cite the method publication,Reference method publication if applicable.
Detection Limit Method,EPMA,3,D,M3,,"M3 — conditional obligation, real content under W3; NOTE it invites analyst entry where Analysis-Level Tier is Read-Only","When the procedure does not specify a method, the analyst should complete this field."
Detection Limit Method,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Formula or approach used to calculate detection limits.
Detector Array Size,XCT,1,D,M1,,"M1 — defining sentence, never moves",Number of pixels in the detector array (width × height).
Detector Array Size,XCT,2,P,M2,,M2 — what the array size determines in combination with pixel size and magnification,"Combined with detector pixel size and geometric magnification, determines the field of view."
Detector Binning,XCT,1,D,M1,,"M1 — defining sentence, never moves",Detector pixel binning factor applied during acquisition.
Detector Binning,XCT,2,D,M4,REWRITE-STRADDLE,defines what binning does (definition) and the resolution/SNR/file-size trade-off (rationale),"Binning combines adjacent pixels (e.g., 2×2 combines 4 pixels into one), reducing effective resolution while increasing per-pixel SNR and reducing file size."
Detector Binning,XCT,3,D,M5,REWRITE-REDUNDANT(Column F),'1x1 (no binning)' is already the first controlled-list value,1×1 indicates no binning.
Detector Pixel Size,XCT,1,D,M1,,"M1 — defining sentence, never moves",Physical size of a single pixel on the detector in micrometres.
Detector Pixel Size,XCT,2,D,M3,,M3 — scope boundary against reconstructed voxel size,"This is a fixed hardware property of the detector array, distinct from the reconstructed voxel size (which depends on geometric magnification and binning)."
Diffracting Crystal,"EPMA,SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'used on each spectrometer assignment' states the key axis,Analyzing crystal (monochromator) used on each spectrometer assignment.
Diffracting Crystal,"EPMA,SEM,SEMcomp",2,P,M2,,M2 — what crystal choice determines,Crystal choice determines the detectable wavelength range and dispersion.
Diffraction Calibration Reference,TEM,1,D,M1,,"M1 — defining sentence, never moves","Reference material or internal standard used to calibrate the electron diffraction camera constant (camera length × electron wavelength), enabling conversion of pixel distances to d-spacings."
Diffraction Camera Length Calibration Method,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method used to calibrate the camera length constant and convert pixel distances in diffraction patterns to d-spacings or reciprocal lattice vectors.
Drift Correction,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Method used to monitor and correct for instrument drift (beam current drift, spectrometer drift) during the analytical session."
Drift Correction,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Describes whether and how stage or beam drift was monitored and corrected during the measurement session.
Drift Correction,"SEM,SEMcomp",2,D,M3,,M3 — enumerates the measures the field may record,"Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals."
Drift Correction,"SEM,SEMcomp",3,P,M2,,M2 — when drift correction matters and why,Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality.
Dwell Time per Pixel,EPMA,1,D,M1,,"M1 — defining sentence, never moves","Time spent acquiring X-ray signal at each pixel during X-ray mapping, in milliseconds."
Dwell Time per Pixel,EPMA,2,D,M5,REWRITE-REDUNDANT(Keyed By: channel),'one value per spectrometer assignment per pixel' states the key axis,For WDS: one value per spectrometer assignment per pixel.
Dwell Time per Pixel,EPMA,3,D,M5,REWRITE-REDUNDANT(Keyed By: channel),states the EDS cardinality of the same key ('a single value'),"For EDS: total live-time per spectrum per pixel, a single value."
