TAPP,Row,Field,Declared_I,Verdict,Description_key,Trigger,Matched_noun,Snippet,Description
LA-SF-ICP-MS_UPb_TAPP_v15.csv,90,Background Count Time,(none),EXTRA,channel,per X,line,nd is typically measured once per raster line or at the start of a map session rathe,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment."
LA-MC-ICPMS_TAPP_v10.csv,120,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-MC-ICPMS_TAPP_v10.csv,120,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-MC-ICPMS_UPb_TAPP_v10.csv,121,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-MC-ICPMS_UPb_TAPP_v10.csv,121,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-Q-ICP-MS_TAPP_v14.csv,112,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-Q-ICP-MS_TAPP_v14.csv,112,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,113,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,113,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-SF-ICP-MS_TAPP_v14.csv,108,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-SF-ICP-MS_TAPP_v14.csv,108,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-SF-ICP-MS_UPb_TAPP_v15.csv,109,Blank / Background Correction Method,(none),EXTRA,sampling unit,per X,analysis,blank interval is subtracted per isotope per analysis. For mapping: backg,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
LA-SF-ICP-MS_UPb_TAPP_v15.csv,109,Blank / Background Correction Method,(none),EXTRA,channel,per X,line,"background may be subtracted per raster line, per map session, o","Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
SEM_Imaging_TAPP_v10.csv,48,CL Acquisition Mode,(none),EXTRA,channel,across X,detector,ht intensity collected by PMT across the full detector wavelength range. Spectral point,CL data collection strategy. Panchromatic: total light intensity collected by PMT across the full detector wavelength range. Spectral point: full CL spectrum at discrete point locations. Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.
SEM_TAPP_v13.csv,76,CL Acquisition Mode,(none),EXTRA,channel,across X,detector,ht intensity collected by PMT across the full detector wavelength range. Spectral point,CL data collection strategy. Panchromatic: total light intensity collected by PMT across the full detector wavelength range. Spectral point: full CL spectrum at discrete point locations. Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.
LA-MC-ICPMS_TAPP_v10.csv,133,Double-Spike Mixing Ratio,(none),EXTRA,analyte,X-specific,analyte,e double-spike inversion; the optimum is analyte-system specific and is typically de,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike."
LA-MC-ICPMS_UPb_TAPP_v10.csv,134,Double-Spike Mixing Ratio,(none),EXTRA,analyte,X-specific,analyte,e double-spike inversion; the optimum is analyte-system specific and is typically de,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike."
Solution_MC-ICP-MS_TAPP_v14.csv,92,Double-Spike Mixing Ratio,(none),EXTRA,analyte,X-specific,analyte,e double-spike inversion; the optimum is analyte-system specific and is typically de,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike."
SEM_FIBSEM_TAPP_v10.csv,44,Dwell Time per Pixel,(none),EXTRA,channel,per X,spectrometer,"DS mapping, the dwell time is per spectrometer per pixel.","Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel."
SEM_FIBSEM_TAPP_v10.csv,44,Dwell Time per Pixel,(none),EXTRA,preparation step,each X,step,canning (imaging modes) or on each step position during compositional mapping (EDS an,"Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel."
SEM_Imaging_TAPP_v10.csv,47,Dwell Time per Pixel,(none),EXTRA,channel,per X,spectrometer,"DS mapping, the dwell time is per spectrometer per pixel.","Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel."
SEM_Imaging_TAPP_v10.csv,47,Dwell Time per Pixel,(none),EXTRA,preparation step,each X,step,canning (imaging modes) or on each step position during compositional mapping (EDS an,"Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel."
SEM_Imaging_TAPP_v10.csv,55,EBSD Phase List,(none),EXTRA,sampling unit,X-specific,phases,the target material; analysts may add phases for specific sample compositions,Mineral phases included in the EBSD reference pattern library for this procedure. The procedure specifies the expected phase suite for the target material; analysts may add phases for specific sample compositions.
SEM_TAPP_v13.csv,83,EBSD Phase List,(none),EXTRA,sampling unit,X-specific,phases,the target material; analysts may add phases for specific sample compositions,Mineral phases included in the EBSD reference pattern library for this procedure. The procedure specifies the expected phase suite for the target material; analysts may add phases for specific sample compositions.
TEM_TAPP_v15.csv,97,EDS Counting Statistics / Accumulation Criterion,(none),EXTRA,sampling unit,per X,point,". Distinct from EDS Live Time per Point or Pixel, which records a fi","Quality criterion used to determine when sufficient EDS signal has been accumulated for a given pixel or point, in lieu of or in addition to a fixed live time. Expressed as a target relative uncertainty on major-element peak counts achieved by accumulating successive scan frames (e.g., ""1% counting statistics on major elements""; "">10% counting statistics""). Distinct from EDS Live Time per Point or Pixel, which records a fixed-duration setting. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s)."
EPMA_TAPP_v16.csv,60,EDS Live Time per Point or Pixel,(none),EXTRA,sampling unit,per X,analysis point,pectral acquisition live time per analysis point in seconds. Previously referre,"EDS spectral acquisition live time per analysis point in seconds. Previously referred to as ""EDS Acquisition Time"" in this TAPP and commonly used under that name in EPMA and SEM-EDS contexts. Renamed to align with TEM-EDS usage, where the per-point vs. per-pixel distinction (point/line mode vs. spectrum image) is explicit. In EPMA, acquisition is always per point."
SEM_Composition_TAPP_v13.csv,55,EDS Live Time per Point or Pixel,(none),EXTRA,sampling unit,per X,analysis point,pectral acquisition live time per analysis point or per pixel in seconds. Longer liv,EDS spectral acquisition live time per analysis point or per pixel in seconds. Longer live time improves counting statistics but increases beam damage risk and total acquisition time.
SEM_TAPP_v13.csv,64,EDS Live Time per Point or Pixel,(none),EXTRA,sampling unit,per X,analysis point,pectral acquisition live time per analysis point or per pixel in seconds. Longer liv,EDS spectral acquisition live time per analysis point or per pixel in seconds. Longer live time improves counting statistics but increases beam damage risk and total acquisition time.
TEM_TAPP_v15.csv,67,EDS Live Time per Point or Pixel,(none),EXTRA,sampling unit,per X,analysis point,pectral acquisition live time per analysis point (point/line mode) or,"EDS spectral acquisition live time per analysis point (point/line mode) or per pixel (spectrum image) in seconds. Also referred to as ""EDS Acquisition Time"" in EPMA and some SEM-EDS contexts, where the per-pixel distinction is less relevant. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s)."
TEM_TAPP_v15.csv,75,EELS Energy Dispersion,(none),EXTRA,channel,per X,channel,f the EELS spectrometer in eV per channel. Controls the energ,Energy dispersion of the EELS spectrometer in eV per channel. Controls the energy range acquired per readout and the effective energy resolution trade-off. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
LA-MC-ICPMS_TAPP_v10.csv,121,Isobaric Interference Corrections Applied,(none),EXTRA,channel,for each X,mass,"s, this is always Yes. Detail for each affected mass is captured in Interfering Species a","Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-MC-ICPMS_TAPP_v10.csv,121,Isobaric Interference Corrections Applied,(none),EXTRA,channel,each X,mass,his is always Yes. Detail for each affected mass is captured in Interfering Species a,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-MC-ICPMS_UPb_TAPP_v10.csv,122,Isobaric Interference Corrections Applied,(none),EXTRA,channel,for each X,mass,"s, this is always Yes. Detail for each affected mass is captured in Interfering Species a","Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-MC-ICPMS_UPb_TAPP_v10.csv,122,Isobaric Interference Corrections Applied,(none),EXTRA,channel,each X,mass,his is always Yes. Detail for each affected mass is captured in Interfering Species a,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-Q-ICP-MS_TAPP_v14.csv,114,Isobaric Interference Corrections Applied,(none),EXTRA,channel,for each X,mass,"s, this is always Yes. Detail for each affected mass is captured in Interfering Species a","Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-Q-ICP-MS_TAPP_v14.csv,114,Isobaric Interference Corrections Applied,(none),EXTRA,channel,each X,mass,his is always Yes. Detail for each affected mass is captured in Interfering Species a,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,115,Isobaric Interference Corrections Applied,(none),EXTRA,channel,for each X,mass,"s, this is always Yes. Detail for each affected mass is captured in Interfering Species a","Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-Q-ICP-MS_UPb_TAPP_v15.csv,115,Isobaric Interference Corrections Applied,(none),EXTRA,channel,each X,mass,his is always Yes. Detail for each affected mass is captured in Interfering Species a,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-SF-ICP-MS_TAPP_v14.csv,110,Isobaric Interference Corrections Applied,(none),EXTRA,channel,for each X,mass,"s, this is always Yes. Detail for each affected mass is captured in Interfering Species a","Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
LA-SF-ICP-MS_TAPP_v14.csv,110,Isobaric Interference Corrections Applied,(none),EXTRA,channel,each X,mass,his is always Yes. Detail for each affected mass is captured in Interfering Species a,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method."
