Field,TAPP,Action,Before,After_Description,Appended_to_Purpose
Plasma Thermal Mode,LA-Q-ICP-MS_UPb_TAPP_v35.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-Q-ICP-MS_UPb_TAPP_v35.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-Q-ICP-MS_UPb_TAPP_v35.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-Q-ICP-MS_UPb_TAPP_v35.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-Q-ICP-MS_UPb_TAPP_v35.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-Q-ICP-MS_UPb_TAPP_v35.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-Q-ICP-MS_UPb_TAPP_v35.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Coolant (Plasma) Gas Flow Rate,LA-SF-ICP-MS_TAPP_v34.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-SF-ICP-MS_TAPP_v34.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
Plasma Thermal Mode,LA-SF-ICP-MS_TAPP_v34.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-SF-ICP-MS_TAPP_v34.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-SF-ICP-MS_TAPP_v34.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-SF-ICP-MS_TAPP_v34.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-SF-ICP-MS_TAPP_v34.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-SF-ICP-MS_TAPP_v34.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-SF-ICP-MS_TAPP_v34.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Coolant (Plasma) Gas Flow Rate,LA-SF-ICP-MS_UPb_TAPP_v35.csv,delete,Set during initial plasma optimisation and confirmed at each session start.,(removed),
RF Power,LA-SF-ICP-MS_UPb_TAPP_v35.csv,delete,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(removed),
Plasma Thermal Mode,LA-SF-ICP-MS_UPb_TAPP_v35.csv,split,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.,Document independently of the RF Power field.,A fundamental method design choice that determines which interference corrections are necessary.
Analysis Sequence,LA-SF-ICP-MS_UPb_TAPP_v35.csv,strip clause,Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.,Adjustments must maintain the bracketing strategy defined in the procedure.,
Per-Analyte Calibration Strategy,LA-SF-ICP-MS_UPb_TAPP_v35.csv,strip clause,Free text; list the strategy for each analyte or analyte group as needed.,List the strategy for each analyte or analyte group as needed.,
Signal Integration Time,LA-SF-ICP-MS_UPb_TAPP_v35.csv,strip clause,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,Determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.,
Signal Integration Time,LA-SF-ICP-MS_UPb_TAPP_v35.csv,strip clause,"Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",
Spike / Outlier Filtering Approach,LA-SF-ICP-MS_UPb_TAPP_v35.csv,delete,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.,(removed),
Isobaric Interference Corrections Applied,LA-SF-ICP-MS_UPb_TAPP_v35.csv,strip clause,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes.","If the procedure includes interference corrections, this is always Yes.",
Interface Cone Configuration,Solution_MC-ICP-MS_TAPP_v36.csv,split,"For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision.","For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options.",The choice affects ion beam intensity.
Mass Resolution Setting,Solution_MC-ICP-MS_TAPP_v36.csv,delete,Procedure registers the mode in use; analyst confirms at session start.,(removed),
Signal Integration Time,Solution_MC-ICP-MS_TAPP_v36.csv,delete,Recorded at analysis level as the actual total time used.,(removed),
Mass Resolution Setting,Solution_Q-ICP-MS_TAPP_v40.csv,delete,This field documents the instrument class constraint at procedure level.,(removed),
Signal Integration Time,Solution_Q-ICP-MS_TAPP_v40.csv,delete,Determined at analysis time from the actual acquisition.,(removed),
Mass Resolution Setting,Solution_SF-ICP-MS_TAPP_v38.csv,delete,Procedure registers the mode(s) in use; analyst confirms at session start.,(removed),
Oxide Production Method and Threshold,Solution_SF-ICP-MS_TAPP_v38.csv,split,CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required.,CeO+/Ce+ (m/z 156/140) is the standard monitor proxy.,Stricter thresholds than Q-ICP-MS are commonly required.
Signal Integration Time,Solution_SF-ICP-MS_TAPP_v38.csv,delete,Determined at analysis time from the actual acquisition.,(removed),
