Field,N_TAPPs,N_variants,Worst_similarity,Verdict,Basis,Owner,Variants
Within-Session Analytical Precision and Assessment Method,8,2,0.35,MIXED,content-word overlap 0.37–0.37,TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Reproducibility of repeated measurements within a single analytical session. Report both the assessment method and the precision values. Assessment method must specify: (1) the reference material used, (2) number of replicates n, and (3) the statistic reported (1σ RSD, 2σ RSD, etc.). For mapping: assess from repeated analyses of a reference material area at session start and end, or from replicate analyses of a homogeneous reference phase within the map. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Precision of repeated measurements within a single analysis session and the method used to assess it (e.g., %RSD of replicate standard or reference material measurements)."
Dwell Time per Mass,6,2,0.24,MIXED,content-word overlap 0.10–0.10,TAPP-owned,"[LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Count time (dwell time) per mass position for each measured isotope in milliseconds. Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time. For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Integration time spent on each mass peak per sweep (ms). May differ between masses where per-mass dwell times are programmed."
Dwell Time per Pixel,5,2,0.14,MIXED,content-word overlap 0.15–0.15,TAPP-owned,"[SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel. ||| [EPMA_v16] Time spent acquiring X-ray signal at each pixel during X-ray mapping, in milliseconds. For WDS: per spectrometer per pixel; may differ by analyte if spectrometers are assigned differently. For EDS: total live-time per spectrum per pixel."
EDS Detector Configuration,4,3,0.44,MIXED,content-word overlap 0.40–0.62,TAPP-owned,"[TEM_v15] EDS detector type, manufacturer, number of detector elements, active solid angle, and window type. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s). ||| [SEM_Composition_v13,SEM_v13] EDS detector type, manufacturer, active area, solid angle, window type, and geometry (take-off angle, position). Multiple detectors should be listed separately. ||| [EPMA_v16] EDS detector type, manufacturer, window type, active area, and detector geometry (take-off angle, position)."
EDS Acquisition Mode,4,2,0.21,MIXED,content-word overlap 0.07–0.07,TAPP-owned,"[EPMA_v16,SEM_Composition_v13,SEM_v13] Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared Analytical Mode. Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns. ||| [TEM_v15] Mode of EDS data acquisition. Record 'N/A' where EDS is not listed in Spectroscopic Detector(s)."
Beam Mode,3,2,0.17,MIXED,content-word overlap 0.27–0.27,TAPP-owned,"[SEM_Composition_v13,SEM_v13] Whether the electron beam was operated as a stationary focused spot, defocused to a specified diameter, or rastered over a small area during analysis. Controls the effective sampling volume and irradiation footprint; critical for beam-sensitive phases such as hydrous minerals, glasses, and carbonates. Must be consistent with the Beam Diameter and Beam Raster Dimensions fields. ||| [EPMA_v16] Whether the electron beam was stationary-focused, defocused to a fixed diameter, or rastered over a small area during a single-point analysis. For X-ray mapping, beam scanning is controlled by Step Size and Stage Scan vs. Beam Scan fields instead."
Beam Raster Dimensions,3,2,0.22,MIXED,content-word overlap 0.21–0.21,TAPP-owned,"[SEM_Composition_v13,SEM_v13] Dimensions of the small area over which the beam is rastered during a single analysis point, reported as width × height in µm. Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement and distributes dose over a larger area to reduce beam damage on sensitive phases. ||| [EPMA_v16] X x Y dimensions of a small beam raster used at a single analysis point to average a coarse-grained or beam-sensitive phase. Different from X-ray mapping mode; not applicable when mapping."
Map Area,3,2,0.08,MIXED,content-word overlap 0.12–0.12,TAPP-owned,"[SEM_Composition_v13,SEM_v13] Physical area covered by the map in µm² or mm², calculated as (map width in pixels × step size) × (map height in pixels × step size). Complements Map Dimensions (pixel grid) by recording the physical scale of the mapped region; useful for direct comparison across datasets acquired with different step sizes. ||| [EPMA_v16] Physical dimensions of the mapped region in micrometers (X x Y). Determined at analysis time based on the sample feature or region of interest."
Stage Scan vs. Beam Scan,3,2,0.31,MIXED,content-word overlap 0.41–0.41,TAPP-owned,"[SEM_Composition_v13,SEM_v13] For mapping modes, records whether the map was acquired by moving the stage while the beam is held fixed (stage scan) or by deflecting the beam across the field while the stage is stationary (beam scan). Stage scan is preferred for large areas or high-accuracy geometric fidelity; beam scan is faster for smaller fields but may introduce geometric distortion at the map edges. ||| [EPMA_v16] Whether the X-ray map was acquired by moving the sample stage (stage scan) or by deflecting the electron beam (beam scan). Stage scan preserves beam geometry and spot size across the full map but is slower; beam scan is faster but may introduce geometric distortion at large deflections."
Target Material,16,7,0.06,PRINCIPLED,technique terms differ (chromatographic) and non-technique content also differs (0.09–0.88),TAPP-owned,"[Solution_MC-ICP-MS_v14] Type of geological or experimental material being analyzed (e.g., basalt, chondrite, seawater, mineral separate). Constrains the dissolution strategy, chromatographic separation, and matrix-matching requirements. ||| [Solution_Q-ICP-MS_v16] Type of geological or experimental material being analyzed (e.g., basalt, peridotite, meteorite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements. ||| [Solution_SF-ICP-MS_v16] Type of geological or experimental material being analyzed (e.g., basalt, peridotite, chondrite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] General description of the material type(s) this procedure is designed to analyse. Used for discoverability and procedure matching. ||| [Lab-XCT_v15] General description of the material type(s) this procedure is designed to scan. Used for discoverability and procedure matching. ||| [TEM_v15] General description of the material type(s) this procedure is designed to analyze at the nanoscale. ||| [EPMA_v16,SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] General description of the material type(s) this procedure is designed to analyze."
Sample Name,16,4,0.49,PRINCIPLED,technique terms differ (tem) and non-technique content also differs (0.21–0.91),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14,Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables. ||| [Lab-XCT_v15] Name or identifier of the sample as used in the laboratory. Should match the identifier used in associated publications or data tables. ||| [EPMA_v16,SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Name or identifier of the sample or sample mount analyzed in this session. ||| [TEM_v15] Name or identifier of the sample or TEM section analyzed in this session."
Acquisition Software,16,8,0.26,PRINCIPLED,"technique terms differ (fib, multi-collector, projection, sem, tomography) and non-technique content also differs (0.19–0.83)",TAPP-owned,"[Lab-XCT_v15] Instrument control and data acquisition software used to collect raw projection images, including version number. Separate from reconstruction and segmentation software. ||| [SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Software used to control the SEM and acquire data, including version number. For FIB-SEM 3D tomography, include the automated slice-and-view module name and version. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Instrument control and data acquisition software used to collect raw signal data, including version number. Separate from data reduction software. ||| [Solution_Q-ICP-MS_v16] Name and version of the software used to control the instrument and acquire raw mass spectrum data (e.g., Qtegra, MassLynx). ||| [Solution_MC-ICP-MS_v14] Name and version of the software used to control the instrument and acquire raw multi-collector data. ||| [Solution_SF-ICP-MS_v16] Name and version of the software used to control the instrument and acquire raw mass spectrum data. ||| [TEM_v15] Data acquisition and microscope control software, including version. ||| [EPMA_v16] Data acquisition and automation software, including version number."
Analytical Mode,16,6,0.00,PRINCIPLED,"technique terms differ (diffraction, eds, icp-ms, stem, tem) and non-technique content also differs (0.05–0.77)",TAPP-owned,"[TEM_v15] Top-level analytical mode(s) executed under this procedure: TEM Imaging, STEM Imaging, or Electron Diffraction. For multi-mode procedures (e.g., STEM Imaging combined with Electron Diffraction), list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from ""Analytical Sub-mode"" (which records the specific technique within a mode, e.g., BF-TEM, HAADF-STEM, SAED, PED) and from the mode flag columns which indicate per-field applicability. ||| [EPMA_v16] Primary analytical mode(s) executed under this procedure. For single-mode procedures, records one value (e.g., WDS Point Analysis). For multi-mode procedures (e.g., simultaneous WDS point analysis and EDS mapping), list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns which indicate per-field applicability. ||| [Lab-XCT_v15] Primary analytical mode(s) executed under this procedure. For single-mode procedures, records one value (e.g., Single-volume). For procedures covering both single-volume and multi-volume stitched acquisitions, list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns which indicate per-field applicability. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Primary analytical mode(s) executed under this procedure. For single-mode procedures, records one value (e.g., Spot). For multi-mode procedures (e.g., spot analysis combined with transect scanning), list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns which indicate per-field applicability. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Top-level declaration of the kind of measurement this procedure covers. Solution ICP-MS has a single routine mode — continuous nebulisation of a digested solution — so this TAPP defines no mode flag columns; the field is still required (Rule 3) so that a procedure record is self-describing and comparable with multi-mode TAPPs across the library. ||| [SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Primary analytical mode(s) executed under this procedure. For multi-mode procedures (e.g., simultaneous BSE + EDS mapping), list all active modes."
Sample Preparation Method,15,5,0.01,PRINCIPLED,"technique terms differ (digestion, fib, sem) and non-technique content also differs (0.03–0.53)",TAPP-owned,"[SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Method by which samples were prepared for SEM analysis prior to loading in the instrument. Includes mounting medium (epoxy, carbon tape, stub), polishing steps (alumina, colloidal silica, argon ion mill), and conductive coating type and thickness. For VP-SEM/ESEM analyses, note whether an uncoated sample was used and the gas type used. FIB-specific in-session operations (protective coating deposition, milling conditions, lamella preparation) are documented separately in Group 4. ||| [TEM_v15] Primary method by which electron-transparent sections are prepared from the sample. The procedure documents the standard approach; analysts record session-specific details and deviations in Sample Preparation Details. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion. ||| [EPMA_v16] Description of how samples were prepared for analysis under this procedure (mounting, polishing, coating). Analysts may document session-specific variations from the procedure standard. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.)."
Data Reduction Software,15,7,0.02,PRINCIPLED,"technique terms differ (diffraction, double-spike, eds, eels, mass bias) and non-technique content also differs (0.10–0.83)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Name and version of the software used for data reduction: baseline subtraction, gain correction, mass bias correction (SSB, double-spike inversion, or internal normalization), interference corrections, and calculation of isotope ratios, δ-values, and concentrations. Include version number. ||| [Solution_Q-ICP-MS_v16] Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation (e.g., Iolite, lab spreadsheet). Include version number. ||| [EPMA_v16] Software used for matrix correction and quantitative data reduction, if separate from the acquisition software. For mapping workflows, include software used to process count maps into concentration maps. ||| [TEM_v15] All software used for post-acquisition data reduction, analysis, and image processing, including diffraction analysis, EDS quantification, and EELS processing. List all packages with version numbers. ||| [Solution_SF-ICP-MS_v16] Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation. Include version number. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Software used for signal processing, background subtraction, and concentration calculation, including version number. ||| [SEM_Composition_v13,SEM_FIBSEM_v10,SEM_Imaging_v10,SEM_v13] Software used for post-acquisition data reduction and analysis. List all packages with version numbers."
Analyte,13,6,0.01,PRINCIPLED,"technique terms differ (collector, cup, eds, eels, icp-ms) and non-technique content also differs (0.04–0.83)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Element(s) whose isotopic composition or concentration is determined by this procedure. In solution MC-ICP-MS the analyte is typically a single element isotope system (e.g., Fe, U, Sn, Pb, Zn) or multiple elements when the measurement simultaneously yields isotope ratios and isotope dilution concentrations. The procedure registers the primary analyte element(s); at analysis level the analyst records the actual suite measured. The complete mass list and cup assignments are documented in Collector Configuration. ||| [TEM_v15] Element(s) this procedure is designed to detect or quantify by any spectroscopic method (EDS, EELS, or both). The procedure registers the full intended analyte suite; analysts confirm or narrow this list at analysis time to reflect the elements actually measured in the session. For sessions using both EDS and EELS, list all elements targeted by either technique. For EDS and EELS the analyte list is determined by the detectors in use; see 'EELS Edges' for the corresponding ionization edges. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Elements or isotopes this procedure is designed to measure. The procedure registers the full analyte suite; at analysis level, the analyst records the specific subset actually measured in the session, which may be narrower if certain masses were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each element or isotope in this list. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Isotopes (mass/charge) this procedure is designed to measure. Defines the scope of the procedure and enables matching of procedures to analytical needs. At analysis level, record the specific isotopes actually measured in the session — this may be a subset of the procedure scope if certain masses were excluded due to interference issues or detector limitations. ||| [EPMA_v16] The element(s) measured by this procedure. The procedure registers the full analyte suite the procedure is designed to measure; analysts record the specific subset actually measured in a given session, which may be narrower. Fields whose Keyed By column declares 'analyte' apply individually to each element in this list. ||| [SEM_Composition_v13,SEM_v13] Element(s) measured by this procedure. The procedure registers the full intended analyte suite; analysts record the specific subset measured in a given session, which may be narrower. Fields whose Keyed By column declares 'analyte' apply individually to each element in this list."
Normalization / Standards-Based Correction,12,5,0.07,PRINCIPLED,"technique terms differ (double-spike, mass bias) and non-technique content also differs (0.11–0.53)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Post-acquisition normalization applied to output isotope ratio data beyond the primary mass bias correction. Examples: correction of δ values for decay of enriched spike isotopes between calibration and use date (double-spike procedures); age correction of δ238U for secular disequilibrium. Record 'None' if no additional normalization is applied. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach. ||| [Solution_Q-ICP-MS_v16] Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a monitor element's certified value in the calibration standard). ||| [Solution_SF-ICP-MS_v16] Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a BHVO-2 working value). ||| [EPMA_v16,SEM_Composition_v13,SEM_v13] Post-acquisition normalization applied using secondary reference materials to correct for session-to-session calibration drift."
Primary Calibration Standard Name,12,5,0.01,PRINCIPLED,"technique terms differ (delta, double-spike, eds, wds) and non-technique content also differs (0.14–0.87)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Name and reference material identifier of the isotopic reference standard used as the bracketing standard (SSB) or zero-delta anchor. This is an isotopic composition standard (not a concentration standard): it defines the isotopic composition against which all sample δ or ε values are normalized. Must be a pure, homogeneous, internationally distributed material with well-characterized isotopic composition. For double-spike procedures, also used for spike calibration. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Primary reference material(s) used to calibrate the instrument and convert raw signal intensities to concentrations or isotope ratios. Include material name, source institution, and citation for the accepted values used. Editable because the specific lot or certification vintage may differ between sessions while the material type remains the same. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable. ||| [SEM_Composition_v13,SEM_v13] Name(s) of the primary reference material(s) used for intensity calibration in EDS or WDS quantification. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable. ||| [EPMA_v16] Name(s) of the primary reference material(s) used for element standardization (intensity calibration). Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable."
