Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
ICPMS,Instrument Sensitivity,1,D,M1,,,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to."
ICPMS,Instrument Sensitivity,2,D,M3,,,"May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited."
ICPMS,Instrument Sensitivity,3,P,M2,,why useful yield is the more comparable form,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate."
ICPMS,Instrument Sensitivity,4,D,"M3,M5",REWRITE-REDUNDANT(C=N/A),"boundary against tuning criteria is real, but 'records what the instrument actually delivered' restates C=N/A",Records what the instrument actually delivered; a sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.
ICPMS,Ion Counter Dead Time,1,D,M1,,,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates."
ICPMS,Ion Counter Dead Time,2,D,M3,,,"Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode."
ICPMS,Oxide Production,1,D,M1,,,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold."
ICPMS,Oxide Production,2,D,M3,,,Record the measured value and confirm whether the procedure threshold was met.
ICPMS,Uncertainty Level,1,D,M1,,,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation."
ICPMS,Uncertainty Level,2,P,M2,,wholly rationale — why the convention must be stated,A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.
ICPMS,Uncertainty Level,3,D,M3,,,"State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions."
ICPMS,Uncertainty Level,4,D,M3,,,"Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted."
ICPMS,Uncertainty Propagation Method,1,D,M1,,,The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value.
ICPMS,Uncertainty Propagation Method,2,D,M3,,,"State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions."
ICPMS,Uncertainty Propagation Method,3,D,M3,,,"Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,1,D,M1,,,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,2,D,M3,,,"State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,3,P,M2,,explanatory context — where this sits among the three precision levels,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,4,D,M3,,,"Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there."
ICPMS,Within-Session Analytical Precision and Assessment Method,1,D,M1,,,Precision of repeated measurements within a single analytical session and the method used to assess it.
ICPMS,Within-Session Analytical Precision and Assessment Method,2,D,M3,,,Report both the assessment method and the precision values.
ICPMS,Within-Session Analytical Precision and Assessment Method,3,D,M3,,,"The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI)."
ICPMS,Within-Session Analytical Precision and Assessment Method,4,D,M3,,,"Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses."
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,1,D,M1,,,Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it.
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,2,D,M3,,,"Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported."
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,3,P,M2,,rationale — why long-term precision is the figure to carry,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.
