Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
LaserAblation,Laser Beam Energy Profile,1,D,M1,,,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed."
LaserAblation,Laser Beam Energy Profile,2,P,M2,,why flat-top beats Gaussian,A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.
LaserAblation,Laser Beam Energy Profile,3,D,"M3,M5",REWRITE-REDUNDANT(D=Read-Only),'fixed hardware property' is what D=Read-Only encodes,This is a fixed hardware property of the laser system.
LaserAblation,Laser Repetition Rate,1,D,M1,,,Laser pulse repetition rate in hertz registered by the procedure.
LaserAblation,Laser Repetition Rate,2,P,M2,,how it combines with other settings to set resolution,"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution."
LaserAblation,Laser Repetition Rate,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'analysts may adjust within bounds' is the D=Editable definition,Analysts may adjust within procedure-allowed bounds.
LaserAblation,Laser Pulse Duration,1,D,M1,,,"Duration of each individual laser pulse, including units."
LaserAblation,Laser Pulse Duration,2,P,M2,,why ns vs fs changes the ablation regime,Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.
LaserAblation,Laser Pulse Duration,3,D,"M3,M5",REWRITE-REDUNDANT(D=Read-Only),as above,This is a fixed hardware property of the laser system.
LaserAblation,Ablation Duration per Spot,1,D,M1,,,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method."
LaserAblation,Ablation Duration per Spot,2,P,"M2,M5",REWRITE-REDUNDANT(C=Basic),'this is a procedure-level parameter' restates C; the trade-off is the real content,"This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput."
LaserAblation,Ablation Duration per Spot,3,D,M3,,,"For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size)."
LaserAblation,Ablation Duration per Spot,4,D,"M3,M5",REWRITE-REDUNDANT(C=N/A for mapping),'therefore analysis-level' restates the tier,"For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here."
LaserAblation,Ablation Pit Depth and Ablation Rate,1,D,M1,,,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate."
LaserAblation,Ablation Pit Depth and Ablation Rate,2,P,M2,,what pit depth governs,Sets the achievable depth resolution and governs downhole elemental fractionation.
LaserAblation,Ablation Pit Depth and Ablation Rate,3,D,M3,,,For transect and mapping the equivalent quantity is trench depth under the same conditions.
LaserAblation,Spot Diameter (Measured),1,D,M1,,,"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers."
LaserAblation,Spot Diameter (Measured),2,P,M2,,why a measured companion is needed — nominal and delivered differ,Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.
LaserAblation,"Transect Rate, Mapping Rate or Step Size",1,D,M1,,,For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹.
LaserAblation,"Transect Rate, Mapping Rate or Step Size",2,P,"M2,M5",REWRITE-REDUNDANT(C=Advanced),'the procedure-level parameter' restates C; the resolution relationship is the content,"This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction."
LaserAblation,"Transect Rate, Mapping Rate or Step Size",3,D,M3,,,"For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable."
LaserAblation,"Transect Rate, Mapping Rate or Step Size",4,D,M3,,,For stepped line profiles: the distance between successive spot positions in µm.
LaserAblation,Raster Line Spacing (Mapping Only),1,D,M1,,,"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres."
LaserAblation,Raster Line Spacing (Mapping Only),2,P,M2,,why spacing relative to spot size matters,"Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size)."
LaserAblation,Raster Line Spacing (Mapping Only),3,D,M3,,,Applies to raster mapping only.
LaserAblation,Transect Length,1,D,M1,,,Total length of the transect line analysed in micrometres.
LaserAblation,Transect Length,2,P,"M2,M5",REWRITE-REDUNDANT(C=N/A),explicitly justifies the analysis-level tier,This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure.
LaserAblation,Transect Length,3,D,"M3,M5",REWRITE-REDUNDANT(D=Basic),'determined at analysis time' restates D=Basic,"The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size."
LaserAblation,Analysis Location/Spot Coordinates,1,D,M1,,,Location of the analysis on the sample surface.
LaserAblation,Analysis Location/Spot Coordinates,2,D,M3,,,"For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary)."
LaserAblation,Analysis Location/Spot Coordinates,3,D,M3,,,"For mapping: coordinates of the map corner(s) or centre, plus map dimensions."
LaserAblation,Analysis Location/Spot Coordinates,4,P,M2,,what recording location enables,Enables spatial reconstruction and co-registration with other analytical images.
SolutionIntroduction,Sample Aliquot Mass or Volume,1,D,M1,,,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution.
SolutionIntroduction,Sample Aliquot Mass or Volume,2,P,M2,,what the value is used for,Used for yield calculations and concentration back-calculation.
SolutionIntroduction,Number of Digestion Steps,1,D,M1,,,Total number of distinct acid digestion steps required to dissolve the sample.
SolutionIntroduction,Number of Digestion Steps,2,D,M3,,,"Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes."
SolutionIntroduction,Digestion Vessel Type,1,D,M1,,,Type of vessel used for acid digestion.
SolutionIntroduction,Digestion Vessel Type,2,P,M2,,why vessel type constrains what can be dissolved,"Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures)."
SolutionIntroduction,Digestion Acid(s),1,D,M1,,,Acid mixture used for sample dissolution.
SolutionIntroduction,Digestion Acid(s),2,D,M3,,,"Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution)."
SolutionIntroduction,Digestion Acid(s),3,P,M2,,why complete dissolution matters for isotope-ratio work,"For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution."
SolutionIntroduction,Digestion Temperature,1,D,M1,,,Temperature at which acid digestion was carried out (°C).
SolutionIntroduction,Digestion Temperature,2,D,"M3,M5",REWRITE-REDUNDANT(C=Basic),'procedure specifies the target' restates the procedure-level tier,Procedure specifies the target temperature.
SolutionIntroduction,Digestion Duration,1,D,M1,,,Duration of the primary acid digestion step (hours or days).
SolutionIntroduction,Chromatographic Separation Applied,1,D,M1,,,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis."
SolutionIntroduction,Chromatographic Separation Applied,2,P,M2,,why separation is performed,"Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions)."
SolutionIntroduction,Chromatographic Separation Applied,3,P,M2,,"when it is mandatory vs optional — technique scope, not our Column C (W3)",It is usually mandatory for isotope-ratio procedures and optional for concentration measurement.
SolutionIntroduction,Chromatographic Separation Applied,4,D,M3,,,Record resin type and elution matrix conditions if applied.
SolutionIntroduction,Chromatographic Separation Applied,5,D,M3,,,Record 'None' if the direct digestion solution is analyzed.
SolutionIntroduction,Isotope Dilution Spike,1,D,M1,,,Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction.
SolutionIntroduction,Isotope Dilution Spike,2,D,M4,REWRITE-STRADDLE,"requirement to spike before digestion, plus the reason","For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry."
SolutionIntroduction,Isotope Dilution Spike,3,D,M3,,,"For concentration ID, the spike must be added before digestion for complete equilibration."
SolutionIntroduction,Isotope Dilution Spike,4,D,M3,,,"Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion."
SolutionIntroduction,Isotope Dilution Spike,5,D,M3,,,Record 'None' if ID or double-spike technique is not used.
SolutionIntroduction,Final Solution Matrix,1,D,M1,,,Acid type and concentration of the final dissolved sample solution introduced to the instrument.
SolutionIntroduction,Final Solution Matrix,2,P,M2,,what the matrix affects,Directly affects instrument response and ion transmission.
SolutionIntroduction,Final Solution Matrix,3,D,M4,REWRITE-STRADDLE,matching requirement plus the reason for it,"For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets."
SolutionIntroduction,Final Solution Matrix,4,D,M3,,,Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.
SolutionIntroduction,Nebulizer Type,1,D,M1,,,Type and material of the pneumatic nebulizer used for sample introduction.
SolutionIntroduction,Nebulizer Type,2,P,M2,,what nebulizer choice affects,Affects droplet size distribution and sample introduction efficiency.
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,1,D,M1,,,Type of spray chamber and cooling temperature if thermostatted (°C).
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,2,P,M2,,what chamber and temperature control,Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma.
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,3,P,M2,,why a chamber is sometimes placed downstream,In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.
SolutionIntroduction,Desolvation System,1,D,M1,,,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load.
SolutionIntroduction,Desolvation System,2,P,M2,,what desolvation achieves and when it is used,"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes."
SolutionIntroduction,Desolvation System,3,P,M2,,the mass-bias trade-off,Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction.
SolutionIntroduction,Desolvation System,4,D,M3,,,Record 'None' if not used.
SolutionIntroduction,Sample Uptake Rate,1,D,M1,,,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).
SolutionIntroduction,Nebulizer Gas Flow Rate,1,D,M1,,,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).
SolutionIntroduction,Nebulizer Gas Flow Rate,2,P,M2,,what the flow controls,Controls aerosol transport and strongly influences signal sensitivity and stability.
SolutionIntroduction,Nebulizer Gas Flow Rate,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'adjusted daily' restates D=Editable,Adjusted daily to optimize signal.
SolutionIntroduction,Wash Time Between Samples,1,D,M1,,,Duration of instrument rinse between successive sample solutions (seconds).
SolutionIntroduction,Wash Time Between Samples,2,P,M2,,what wash time controls,Controls carryover and memory effects.
SolutionIntroduction,Wash Time Between Samples,3,P,M2,,why washout is critical for isotope-ratio work,"For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions."
SolutionIntroduction,Internal Standard Concentration,1,D,M1,,,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb).
SolutionIntroduction,Internal Standard Concentration,2,D,M3,,,Record 'N/A' where Internal Standard Element is 'None'.
