TAPP,Field,Sentence_no,Action,Before,After_Description,Moved_to_Purpose,Rule_and_reason
LA-MC-ICPMS_UPb_TAPP_v47.csv,Error Correlation Between Reported Quantities,1,KEEP,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.","The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",,W5.1 KEEP — Keyed By is `pair: reported property` and this sentence is what ENUMERATES the pair ('together with the pair it applies to'). The field establishes the domain; stripping it would orphan the key
LA-Q-ICP-MS_TAPP_v50.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-Q-ICP-MS_TAPP_v50.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-Q-ICP-MS_TAPP_v50.csv,Collision/Reaction Gas Mixture Ratio,2,SPLIT,Recorded separately from the gas identity because the proportions change reaction efficiency and interference suppression independently of which gases are used.,Recorded separately from the gas identity.,The proportions change reaction efficiency and interference suppression independently of which gases are used.,W1 — the scope boundary stays in Description; why the proportions are recorded apart is rationale
LA-Q-ICP-MS_TAPP_v50.csv,Reaction Product Ion / Mass-Shift Transition,1,REWRITE,"For each monitored mass produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.","Where a monitored mass is produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.",,"W5.2 — 'For each monitored mass' is carried by Keyed By: channel; recast as an APPLICABILITY condition, which Column I cannot express, rather than dropping the qualification entirely"
LA-Q-ICP-MS_TAPP_v50.csv,Dwell Time per Mass,1,REWRITE,Count time (dwell time) per mass position for each measured isotope in milliseconds.,"Count time (dwell time) per mass position, in milliseconds.",,"W5.2 — 'for each measured isotope' is carried by Keyed By: channel; 'per mass position' is the locus, not the cardinality, and stays"
LA-Q-ICP-MS_TAPP_v50.csv,Total Integration Time per Output Data Point,2,SPLIT,"Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there.","Not recoverable from Dwell Time per Mass alone, because settling time is not captured there.",Sets the time resolution of the downhole signal.,W1 — the scope boundary against Dwell Time per Mass stays; what the value sets is rationale
LA-Q-ICP-MS_TAPP_v50.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Collision/Reaction Gas Mixture Ratio,2,SPLIT,Recorded separately from the gas identity because the proportions change reaction efficiency and interference suppression independently of which gases are used.,Recorded separately from the gas identity.,The proportions change reaction efficiency and interference suppression independently of which gases are used.,W1 — the scope boundary stays in Description; why the proportions are recorded apart is rationale
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Reaction Product Ion / Mass-Shift Transition,1,REWRITE,"For each monitored mass produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.","Where a monitored mass is produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.",,"W5.2 — 'For each monitored mass' is carried by Keyed By: channel; recast as an APPLICABILITY condition, which Column I cannot express, rather than dropping the qualification entirely"
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Dwell Time per Mass,1,REWRITE,Count time (dwell time) per mass position for each measured isotope in milliseconds.,"Count time (dwell time) per mass position, in milliseconds.",,"W5.2 — 'for each measured isotope' is carried by Keyed By: channel; 'per mass position' is the locus, not the cardinality, and stays"
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Total Integration Time per Output Data Point,2,SPLIT,"Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there.","Not recoverable from Dwell Time per Mass alone, because settling time is not captured there.",Sets the time resolution of the downhole signal.,W1 — the scope boundary against Dwell Time per Mass stays; what the value sets is rationale
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
LA-Q-ICP-MS_UPb_TAPP_v50.csv,Error Correlation Between Reported Quantities,1,KEEP,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.","The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",,W5.1 KEEP — Keyed By is `pair: reported property` and this sentence is what ENUMERATES the pair ('together with the pair it applies to'). The field establishes the domain; stripping it would orphan the key
LA-SF-ICP-MS_TAPP_v48.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-SF-ICP-MS_TAPP_v48.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-SF-ICP-MS_TAPP_v48.csv,Mass Resolution Assignment,1,REWRITE,Mass resolution mode assigned to each acquired mass.,Mass resolution mode used for acquisition.,,W5.2 — 'assigned to each acquired mass' is carried by Keyed By: channel; S3 keeps the per-mass explanation together with its reason
LA-SF-ICP-MS_TAPP_v48.csv,Mass Resolution Assignment,3,KEEP,"One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key: why the assignment is per acquired mass rather than per element. Column I records the verdict, only this records the reasoning (cf. WDS Spectrometer Channel S2)"
LA-SF-ICP-MS_TAPP_v48.csv,Triple Scanning Mode,3,SPLIT,Triple scanning affects the effective integration time per cycle and should be reported.,,Triple scanning affects the effective integration time per cycle.,"W1+W2 — the rationale moves to Purpose; the remaining half ('and should be reported') is carried by S1, which already asks for the Y/N, so nothing survives in Description"
LA-SF-ICP-MS_TAPP_v48.csv,Dwell Time per Mass,1,REWRITE,Count time (dwell time) per mass position for each measured isotope in milliseconds.,"Count time (dwell time) per mass position, in milliseconds.",,"W5.2 — 'for each measured isotope' is carried by Keyed By: channel; 'per mass position' is the locus, not the cardinality, and stays"
LA-SF-ICP-MS_TAPP_v48.csv,Total Integration Time per Output Data Point,2,SPLIT,"Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there.","Not recoverable from Dwell Time per Mass alone, because settling time is not captured there.",Sets the time resolution of the downhole signal.,W1 — the scope boundary against Dwell Time per Mass stays; what the value sets is rationale
LA-SF-ICP-MS_TAPP_v48.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Doubly-Charged Species Production,2,REWRITE,"The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here.",The acceptable threshold is typically <1% or <3%.,,W2 — 'the procedure should specify the threshold; the measured value for each session is recorded here' is the C/D split in words; the threshold values themselves are real content
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Mass Resolution Assignment,1,REWRITE,Mass resolution mode assigned to each acquired mass.,Mass resolution mode used for acquisition.,,W5.2 — 'assigned to each acquired mass' is carried by Keyed By: channel; S3 keeps the per-mass explanation together with its reason
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Mass Resolution Assignment,3,KEEP,"One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key: why the assignment is per acquired mass rather than per element. Column I records the verdict, only this records the reasoning (cf. WDS Spectrometer Channel S2)"
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Triple Scanning Mode,3,SPLIT,Triple scanning affects the effective integration time per cycle and should be reported.,,Triple scanning affects the effective integration time per cycle.,"W1+W2 — the rationale moves to Purpose; the remaining half ('and should be reported') is carried by S1, which already asks for the Y/N, so nothing survives in Description"
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Dwell Time per Mass,1,REWRITE,Count time (dwell time) per mass position for each measured isotope in milliseconds.,"Count time (dwell time) per mass position, in milliseconds.",,"W5.2 — 'for each measured isotope' is carried by Keyed By: channel; 'per mass position' is the locus, not the cardinality, and stays"
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Total Integration Time per Output Data Point,2,SPLIT,"Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there.","Not recoverable from Dwell Time per Mass alone, because settling time is not captured there.",Sets the time resolution of the downhole signal.,W1 — the scope boundary against Dwell Time per Mass stays; what the value sets is rationale
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
LA-SF-ICP-MS_UPb_TAPP_v49.csv,Error Correlation Between Reported Quantities,1,KEEP,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.","The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",,W5.1 KEEP — Keyed By is `pair: reported property` and this sentence is what ENUMERATES the pair ('together with the pair it applies to'). The field establishes the domain; stripping it would orphan the key
Solution_MC-ICP-MS_TAPP_v49.csv,delta or epsilon Value Reference Standard,2,REWRITE,The reporting reference is a per-study or per-publication decision and is specified at analysis level.,The reporting reference is a per-study or per-publication decision.,,W2 — 'and is specified at analysis level' is carried by C=N/A + D=Basic; that the choice is per-study is not
Solution_MC-ICP-MS_TAPP_v49.csv,Error Correlation Between Reported Quantities,1,KEEP,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.","The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained.",,W5.1 KEEP — Keyed By is `pair: reported property` and this sentence is what ENUMERATES the pair ('together with the pair it applies to'). The field establishes the domain; stripping it would orphan the key
Solution_Q-ICP-MS_TAPP_v54.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
Solution_Q-ICP-MS_TAPP_v54.csv,Dwell Time per Mass,1,REWRITE,Integration time spent on each mass peak per sweep (ms).,Integration time spent at the mass peak per sweep (ms).,,"W5.2 — 'on each mass peak' becomes the locus without the cardinality, which Keyed By: channel carries"
Solution_Q-ICP-MS_TAPP_v54.csv,Dwell Time per Mass,2,DELETE,May differ between masses where per-mass dwell times are programmed.,,,"W5.2 DELETE — 'may differ between masses where per-mass dwell times are programmed' states the per-channel key CONDITIONALLY. conventions.md 7.3.2 (decided today) has Column I declare the finest key unconditionally, so the condition is now expressed by a simple procedure's keyed table having one row. Nothing survives"
Solution_Q-ICP-MS_TAPP_v54.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
Solution_Q-ICP-MS_TAPP_v54.csv,Collision/Reaction Gas Mixture Ratio,2,SPLIT,Recorded separately from the gas identity because the proportions change reaction efficiency and interference suppression independently of which gases are used.,Recorded separately from the gas identity.,The proportions change reaction efficiency and interference suppression independently of which gases are used.,W1 — the scope boundary stays in Description; why the proportions are recorded apart is rationale
Solution_Q-ICP-MS_TAPP_v54.csv,Reaction Product Ion / Mass-Shift Transition,1,REWRITE,"For each monitored mass produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.","Where a monitored mass is produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured.",,"W5.2 — 'For each monitored mass' is carried by Keyed By: channel; recast as an APPLICABILITY condition, which Column I cannot express, rather than dropping the qualification entirely"
Solution_SF-ICP-MS_TAPP_v51.csv,Monitored Masses,1,KEEP,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.","Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one.",,"W5.1 KEEP — Keyed By is `defines: channel per analyte` in 6 of the 8 consumers, so Column I is DERIVED from this sentence. 'where they serve one' is also a real qualification Column I cannot carry. NOTE the 2-of-8 `analyte` variant is the separately registered keyed-by divergence, untouched here"
Solution_SF-ICP-MS_TAPP_v51.csv,Mass Resolution Assignment,1,REWRITE,Mass resolution mode assigned to each acquired mass.,Mass resolution mode used for acquisition.,,W5.2 — 'assigned to each acquired mass' is carried by Keyed By: channel; S3 keeps the per-mass explanation together with its reason
Solution_SF-ICP-MS_TAPP_v51.csv,Mass Resolution Assignment,3,KEEP,"One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key: why the assignment is per acquired mass rather than per element. Column I records the verdict, only this records the reasoning (cf. WDS Spectrometer Channel S2)"
Solution_SF-ICP-MS_TAPP_v51.csv,Triple Scanning Mode,3,SPLIT,Triple scanning affects the effective integration time per cycle and should be reported.,,Triple scanning affects the effective integration time per cycle.,"W1+W2 — the rationale moves to Purpose; the remaining half ('and should be reported') is carried by S1, which already asks for the Y/N, so nothing survives in Description"
Solution_SF-ICP-MS_TAPP_v51.csv,Dwell Time per Mass,1,REWRITE,Integration time spent on each mass peak per sweep (ms).,Integration time spent at the mass peak per sweep (ms).,,"W5.2 — 'on each mass peak' becomes the locus without the cardinality, which Keyed By: channel carries"
Solution_SF-ICP-MS_TAPP_v51.csv,Dwell Time per Mass,2,DELETE,May differ between masses where per-mass dwell times are programmed.,,,"W5.2 DELETE — 'may differ between masses where per-mass dwell times are programmed' states the per-channel key CONDITIONALLY. conventions.md 7.3.2 (decided today) has Column I declare the finest key unconditionally, so the condition is now expressed by a simple procedure's keyed table having one row. Nothing survives"
Solution_SF-ICP-MS_TAPP_v51.csv,Number of Replicates,3,DELETE,The procedure registers an intended count where it has one; the analysis records the count actually acquired.,,,W2 DELETE — 'the procedure registers an intended count where it has one; the analysis records the count actually acquired' is exactly C=Advanced (procedure-level optional) plus D=Basic (analysis-level mandatory). Nothing survives the strip
