TAPP,Row,Field,Declared_I,Verdict,Disposition,N_evidence,N_scalar,Observed,Tally,Sample
Solution_MC-ICP-MS_TAPP_v71.csv,128,Primary Calibration Standard Name,target species,OVER-DECLARED,"KEEP target species. THE RULE THIS ESTABLISHES: a SINGLE-ANALYTE procedure cannot falsify a per-target-species key — the field has exactly one value because there is exactly one target species, and the detector scores that as scalar. Only MULTI-target species procedures test the axis. In Solution MC, 6 of the 8 'scalar' cells are single-target-species (Mo, S, Fe, Zr, Rb, Os); both multi-target-species procedures give an explicit per-target-species mapping — van Kooten et al. 2026 'Fe, Cr and Mg' -> 'IRMM-014, SRM979, DTS-2b', Barnes et al. 2025 'K, Cu and Zn' -> 'NIST-SRM 3141a, NIST-SRM 976, JMC-Lyon'. In Solution Q, Lopez Garcia et al. 2026 assigns standards to element groups, the same shape that keyed LA-SF on Navarro. Weight only the multi-target-species procedures.",8,6,scalar,scalar=6; standard=1; unclear=1,"Alfa Aesar Mo solution standard || In-house S_Alfa and S_Spex 20 ppm S solutions, calibrated against IAEA-S-1, S-2, S-4 and NBS-123 || IRMM-524a"
LA-SF-ICP-MS_TAPP_v71.csv,112,Blank / Background Correction Method,(none),UNDER-DECLARED,"KEEP (none) — 'measured before each ablation' is a schedule, not a cardinality. The field holds one method.",7,1,sampling unit,sampling unit=3; unclear=3; scalar=1,Gas blank measured before each raster analysis; mean background subtracted || Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subt || Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted
LA-SF-ICP-MS_UPb_TAPP_v72.csv,113,Blank / Background Correction Method,(none),UNDER-DECLARED,"KEEP (none) — 'measured before each ablation' is a schedule, not a cardinality. The field holds one method.",7,1,sampling unit,sampling unit=3; unclear=3; scalar=1,Gas blank measured before each raster analysis; mean background subtracted || Gas blank measured before each ablation line (10 scans of gas blank per mapping line); average background subt || Gas blank measured before each analysis (5 scans); average background value preceding each analysis subtracted
LA-SF-ICP-MS_TAPP_v71.csv,104,Elemental Fractionation Correction,acquisition pass,AXIS-MISMATCH,KEEP acquisition pass — the detector reads reference-material names inside a correction described PER PASS ('Run 1: oxide sum normalization ... external calibration using glass GRMs; Run 2: Cr from run 1 as IS') and reports the standard axis. Same shape as the Analytical Accuracy withdrawal: a field that names standards always looks standard-shaped. The pass axis is what varies; the standards are context. See the single-pass unfalsifiability rule above.,7,1,standard,standard=3; unclear=2; sampling unit=1; scalar=1,Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as p || Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; ad || Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (N
LA-SF-ICP-MS_UPb_TAPP_v72.csv,105,Elemental Fractionation Correction,acquisition pass,AXIS-MISMATCH,KEEP acquisition pass — the detector reads reference-material names inside a correction described PER PASS ('Run 1: oxide sum normalization ... external calibration using glass GRMs; Run 2: Cr from run 1 as IS') and reports the standard axis. Same shape as the Analytical Accuracy withdrawal: a field that names standards always looks standard-shaped. The pass axis is what varies; the standards are context. See the single-pass unfalsifiability rule above.,7,1,standard,standard=3; unclear=2; sampling unit=1; scalar=1,Multi-point external calibration using series of iron meteorite reference materials (North Chile Filomena as p || Internal normalization to MgO+FeO+SiO₂+P₂O₅ oxide sum corrects for point-to-point ablation yield variation; ad || Run 1: Oxide sum normalization corrects for ablation yield variation; external calibration using glass GRMs (N
LA-Q-ICP-MS_TAPP_v74.csv,62,Laser Repetition Rate,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",7,7,scalar,scalar=7,20 Hz || 1 Hz || 7 Hz
LA-SF-ICP-MS_TAPP_v71.csv,55,Laser Spot Geometry,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",7,6,scalar,scalar=6; unclear=1,Raster: 50 µm circular beam spot; Spot (Ge): 150 µm circular || 20×20 µm square || Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular
LA-SF-ICP-MS_UPb_TAPP_v72.csv,56,Laser Spot Geometry,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",7,6,scalar,scalar=6; unclear=1,Raster: 50 µm circular beam spot; Spot (Ge): 150 µm circular || 20×20 µm square || Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular
LA-SF-ICP-MS_TAPP_v71.csv,57,Laser Spot Path / Ablation Mode,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",7,7,scalar,scalar=7,"Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons || Raster area (2D elemental mapping) || Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)"
LA-SF-ICP-MS_UPb_TAPP_v72.csv,58,Laser Spot Path / Ablation Mode,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",7,7,scalar,scalar=7,"Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons || Raster area (2D elemental mapping) || Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)"
SEM_TAPP_v62.csv,50,Beam Current,sample > sampling unit,OVER-DECLARED,"KEEP sampling unit — 2 of 13 procedures publish per-phase currents, so the axis is attested in reported data even though 10 are scalar.",6,5,scalar,scalar=5; unclear=1,70 fA (500 V); 1.4 pA (1 kV); 98 pA (5 kV) || N || N
EPMA_TAPP_v64.csv,51,EPMA Technique per Target Species,target species,OVER-DECLARED,KEEP target species — the per-target-species assignment is the field's entire purpose; the surveyed procedures happen to use one technique throughout.,6,6,scalar,scalar=6,WDS (all analytes) || N || N
LA-Q-ICP-MS_TAPP_v74.csv,98,Inter-Pass Data Dependency,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,6,scalar,scalar=6,Single spot per location (30 µm circular) || Single spot per location (45 s ablation at 1 Hz) || Single spot per location (~40 s ablation at 7 Hz)
LA-Q-ICP-MS_UPb_TAPP_v74.csv,99,Inter-Pass Data Dependency,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,6,scalar,scalar=6,Single spot per location (30 µm circular) || Single spot per location (45 s ablation at 1 Hz) || Single spot per location (~40 s ablation at 7 Hz)
Solution_Q-ICP-MS_TAPP_v77.csv,102,Interference Correction Method,channel,OVER-DECLARED,KEEP channel — the correction applies per interfered-upon mass; 3 extractions only.,6,4,scalar,scalar=4; channel=1; unclear=1,Empirical correction factors from pure 118Sn solution (stated section 3.1) || Empirical correction factors (stated Table 1 footnote) || Ratio-based correction using 95Mo and 118Sn monitors (stated section 2)
LA-Q-ICP-MS_UPb_TAPP_v74.csv,63,Laser Repetition Rate,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,6,scalar,scalar=6,20 Hz || 1 Hz || 7 Hz
LA-SF-ICP-MS_TAPP_v71.csv,61,Laser Repetition Rate,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,5,scalar,scalar=5; unclear=1,Raster: 50 Hz; Spot (Ge): 50 Hz || 20 Hz || Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz
LA-SF-ICP-MS_UPb_TAPP_v72.csv,62,Laser Repetition Rate,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,5,scalar,scalar=5; unclear=1,Raster: 50 Hz; Spot (Ge): 50 Hz || 20 Hz || Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz
LA-Q-ICP-MS_TAPP_v74.csv,56,Laser Spot Geometry,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,4,scalar,scalar=4; sampling unit=1; unclear=1,30 µm circular || 100×100 µm square (stated as 100 µm diameter spot at 1 Hz) || 40 µm circular (silicate glass)
LA-Q-ICP-MS_UPb_TAPP_v74.csv,57,Laser Spot Geometry,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",6,4,scalar,scalar=4; sampling unit=1; unclear=1,30 µm circular || 100×100 µm square (stated as 100 µm diameter spot at 1 Hz) || 40 µm circular (silicate glass)
Solution_Q-ICP-MS_TAPP_v77.csv,69,Monitored Masses,defines: channel per target species,AXIS-MISMATCH,KEEP defines: channel per target species — as above. Renamed from Monitored Isotopes 2026-08-17; the key and its registered LA-MC divergence are unchanged.,6,1,channel,channel=4; scalar=1; unclear=1,"N (not listed by mass number in paper) || 7Li, 11B, 25Mg, 46Ca, 27Al, 55Mn, 66Zn, 87Sr, 111Cd, 238U (Table 1) || 95Mo, 111Cd, 113Cd, 115In, 118Sn, 149Sm, 205Tl, 209Bi (Table 1)"
Solution_Q-ICP-MS_TAPP_v77.csv,113,Primary Calibration Standard Name,target species,OVER-DECLARED,"KEEP target species. THE RULE THIS ESTABLISHES: a SINGLE-ANALYTE procedure cannot falsify a per-target-species key — the field has exactly one value because there is exactly one target species, and the detector scores that as scalar. Only MULTI-target species procedures test the axis. In Solution MC, 6 of the 8 'scalar' cells are single-target-species (Mo, S, Fe, Zr, Rb, Os); both multi-target-species procedures give an explicit per-target-species mapping — van Kooten et al. 2026 'Fe, Cr and Mg' -> 'IRMM-014, SRM979, DTS-2b', Barnes et al. 2025 'K, Cu and Zn' -> 'NIST-SRM 3141a, NIST-SRM 976, JMC-Lyon'. In Solution Q, Lopez Garcia et al. 2026 assigns standards to element groups, the same shape that keyed LA-SF on Navarro. Weight only the multi-target-species procedures.",6,4,scalar,scalar=4; target species=1; unclear=1,"Multi-element calibration solution (not formally named; stated section 3.1) || Series of matrix-matched standards at 100 ppm Ca (not formally named; stated section 2) || Multi-element calibrator solution (Cd, In, Tl, Bi, Sm; not formally named; stated section 2)"
Solution_Q-ICP-MS_TAPP_v77.csv,100,Spectral Interference Corrections Applied,(none),UNDER-DECLARED,"KEEP (none) — a procedure-level Boolean whose own description says so and explicitly delegates the per-mass detail: 'Detail for each affected mass is carried by Interfering Species and Interference Correction Method', both of which ARE keyed channel. The extractions are 'Y (...masses...)' / 'N'; the masses are parenthetical context for the Boolean, not per-channel values. Identical to the Isobaric Interference Corrections Applied disposition — the two sibling fields must be read the same way.",6,0,channel,channel=4; unclear=2,"Y (114,115Sn+ on 114Cd+/115In+; stated section 3.1) || Y (7Li18O on 25Mg; 46Ti on 46Ca; 40Ar26Mg on 66Zn; 87Rb on 87Sr; stated Table 1 footnote) || Y (95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+/113In+ on 113Cd; 115Sn+ on 115In+; stated section 2)"
