Flag_class,Module,Field,TAPPs_affected,Sentence_no,Flagged_sentence,Duplicates_column,Why_flagged,Current_DESCRIPTION_after_Step1,Current_PURPOSE_after_Step1,STEP2_action_PROPOSED,STEP2_new_text
REWRITE-REDUNDANT,Analyte,Analyte,13,4,Fields whose Keyed By column declares 'analyte' apply individually to each entry in this list.,Keyed By: analyte,restates what Column I encodes,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The procedure registers the full analyte suite; at analysis level the analyst records the specific subset actually measured in the session, which may be narrower if species were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each entry in this list.",,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,Blank,Procedural Blank Level,12,2,"Companion to the blank correction method, which is procedure-level: this field records what was actually measured.",D=Basic,'records what was actually measured' restates D=Basic; the companion boundary is real,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured.",Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,ICPMS,Instrument Sensitivity,9,4,Records what the instrument actually delivered; a sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.,C=N/A,"boundary against tuning criteria is real, but 'records what the instrument actually delivered' restates C=N/A","Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. Records what the instrument actually delivered; a sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.","Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,ICPMS,Instrument Warm-up / Session Duration Limit,9,2,These constraints are part of the procedure and cannot be varied by the analyst.,D=Read-Only,'cannot be varied by the analyst' is verbatim the D=Read-Only definition,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions. These constraints are part of the procedure and cannot be varied by the analyst.",,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,ICPMS,Torch Depth,9,3,The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,D=Editable,'procedure specifies a target...analyst confirms or fine-adjusts' is almost verbatim the D=Editable definition,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.","Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Ablation Duration per Spot,6,2,"This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",C=Basic,'this is a procedure-level parameter' restates C; the trade-off is the real content,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.","This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Ablation Duration per Spot,6,4,"For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.",C=N/A for mapping,'therefore analysis-level' restates the tier,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.","This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Laser Beam Energy Profile,6,3,This is a fixed hardware property of the laser system.,D=Read-Only,'fixed hardware property' is what D=Read-Only encodes,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed. This is a fixed hardware property of the laser system.",A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Laser Pulse Duration,6,3,This is a fixed hardware property of the laser system.,D=Read-Only,as above,"Duration of each individual laser pulse, including units. This is a fixed hardware property of the laser system.",Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Laser Repetition Rate,6,3,Analysts may adjust within procedure-allowed bounds.,D=Editable,'analysts may adjust within bounds' is the D=Editable definition,Laser pulse repetition rate in hertz registered by the procedure. Analysts may adjust within procedure-allowed bounds.,"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Laser Spot Geometry,6,3,The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.,D=Editable,'procedure registers...analysts may adjust' is the D=Editable definition,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length. The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.",,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Transect Length,6,2,This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure.,C=N/A,explicitly justifies the analysis-level tier,"Total length of the transect line analysed in micrometres. The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,Transect Length,6,3,"The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",D=Basic,'determined at analysis time' restates D=Basic,"Total length of the transect line analysed in micrometres. The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,LaserAblation,"Transect Rate, Mapping Rate or Step Size",6,2,"This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction.",C=Advanced,'the procedure-level parameter' restates C; the resolution relationship is the content,"For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.","This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,SolutionIntroduction,Digestion Temperature,3,2,Procedure specifies the target temperature.,C=Basic,'procedure specifies the target' restates the procedure-level tier,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,UPb,Discordance Definition and Values,3,5,"Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced.",C=Advanced,"'useful and age-conditional rather than required, hence Advanced' justifies Column C","How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained. Several definitions are in circulation and they are not interchangeable, so the formula must be stated. The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria.","Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run. Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,Geochronology,Inherited or Initial Signal Correction,3,4,"D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure.",D=Editable,the sentence exists to justify the D tier; that is what Column D encodes,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty. Record 'None' where the measured quantity accumulates from zero and no such component exists.","Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,MCICPMS,Integration Time per Cycle,3,5,Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds.,D=Editable,as above,"Duration of signal integration per measurement cycle (seconds). Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds. Where different isotope channels use different integration schemes, record the time for each channel.","Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,UPb,Intermediate Daughter Disequilibrium Correction,3,4,"Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required, hence Advanced.",C=Advanced,quotes the standard then says 'hence Advanced' — justifying the tier Column C already carries,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source. Record 'None' with a justification where no correction was applied.","Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples. Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required, hence Advanced.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,SolutionIntroduction,Nebulizer Gas Flow Rate,3,3,Adjusted daily to optimize signal.,D=Editable,'adjusted daily' restates D=Editable,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Adjusted daily to optimize signal.,Controls aerosol transport and strongly influences signal sensitivity and stability.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,MCICPMS,Number of Blocks per Measurement,3,4,Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.,D=Editable,'procedure specifies; analyst may adjust' is the D=Editable definition,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.",Multiple blocks per sample allow inspection of signal stability and within-measurement drift.,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,MCICPMS,Number of Cycles per Block,3,4,Procedure specifies the standard value; analyst may adjust within procedure bounds.,D=Editable,as above,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement). Procedure specifies the standard value; analyst may adjust within procedure bounds.,,strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-REDUNDANT,Geochronology,Radiogenic Fraction of Measured Signal,3,2,"Measured companion to Inherited or Initial Signal Correction, which is procedure-level: this field records what the session actually produced.",C=N/A,'records what the session actually produced' restates C=N/A; the companion boundary is real,"The proportion of the measured signal that is radiogenic, as opposed to inherited, initial or otherwise non-radiogenic. Measured companion to Inherited or Initial Signal Correction, which is procedure-level: this field records what the session actually produced.","It indicates how strongly the reported age depends on the assumed non-radiogenic composition — a result derived from a low radiogenic fraction is sensitive to that assumption in a way a high-fraction result is not, and that sensitivity is invisible from the age and its uncertainty alone. Follows the criterion-versus-measurement split used for Oxide Production.",strip the duplicating clause (W2); delete the sentence if nothing survives,
REWRITE-STRADDLE,Core,Analytical Mode,16,4,"Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library.",C=Basic,'Required even where...' restates C=Basic; comparability clause is rationale,"Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library.","Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability.","split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,Core,Instrument Manufacturer,16,1,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor.",,S1 never moves; carries a trailing 'so that procedures can be found by vendor',"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,Core,Procedure DOI,16,2,"This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability.",D=Basic,'mandatory when submitting analytical data' restates D=Basic; remainder is rationale,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository. This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,Aggregation,Goodness-of-Fit or Dispersion Statistic,13,3,"Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",C=N/A,"explains C=N/A explicitly, then adds a real boundary about the threshold","The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value.","Answers whether a reported aggregate is defensible as a single population. Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.","split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,ICPMS,Make-up Gas and Flow Rate,9,3,"Small nitrogen or hydrogen additions are also made here to enhance sensitivity for some elements; record them with their own flow, whose unit commonly differs from the make-up flow.",,context on N2/H2 additions plus an instruction to record their own flow,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Small nitrogen or hydrogen additions are also made here to enhance sensitivity for some elements; record them with their own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.","Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load.","split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,LaserAblation,Pre-Ablation Surface Treatment,6,4,"For mapping, this step is typically omitted as the large area ablated averages out surface effects.",,"guidance that it is omitted for mapping, plus the reason","Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted as the large area ablated averages out surface effects.",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,Geochronology,Age Datum / Reference Epoch,3,3,"Explicitly required wherever the datum is not the present: year of sample collection for luminescence (Mahan et al. 2023), end of irradiation for 40Ar/39Ar decay corrections (Schaen et al. 2021).",,external requirement plus concrete per-system instructions,"The zero point from which the reported age is measured, where this is not the present day, and the date it corresponds to. Record 'Present day' where the conventional datum applies. Explicitly required wherever the datum is not the present: year of sample collection for luminescence (Mahan et al. 2023), end of irradiation for 40Ar/39Ar decay corrections (Schaen et al. 2021).",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,MCICPMS,Baseline Measurement Approach,3,2,"Three approaches are in use and the choice depends on how sample reaches the plasma: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank, which applies only to solution introduction; or, for laser ablation, collecting a defined number of laser-off cycles at the start of the same block, since no blank can be aspirated mid-ablation.",,enumerates the three approaches (definition) with the reason each applies (rationale),"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition, and the portion of the acquisition it is taken from. Three approaches are in use and the choice depends on how sample reaches the plasma: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank, which applies only to solution introduction; or, for laser ablation, collecting a defined number of laser-off cycles at the start of the same block, since no blank can be aspirated mid-ablation. State which, and how many cycles or how long.",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,UPb,Chemical Abrasion Conditions,3,3,"Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read.",,instruction to record 'None' plus the reason it matters,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step. Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read.","Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon.","split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,UPb,Discordance Definition and Values,3,2,"Several definitions are in circulation and they are not interchangeable, so the formula must be stated.",,"rationale that definitions differ, plus the requirement to state the formula","How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained. Several definitions are in circulation and they are not interchangeable, so the formula must be stated. The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria.","Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run. Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced.","split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,MCICPMS,Double-Spike Isotope Pair,3,2,"Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion.",,selection constraints plus the reason for them,"The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,MCICPMS,Double-Spike Mixing Ratio,3,2,An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent.,,why an optimum exists plus how it is determined,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,SolutionIntroduction,Final Solution Matrix,3,3,"For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets.",,matching requirement plus the reason for it,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Directly affects instrument response and ion transmission.,"split: definition stays in B, rationale moves to J (W1)",
REWRITE-STRADDLE,SolutionIntroduction,Isotope Dilution Spike,3,2,"For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry.",,"requirement to spike before digestion, plus the reason","Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",,"split: definition stays in B, rationale moves to J (W1)",
STALE-CROSSREF,LaserAblation,Laser Energy,6,4,Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,,cites 'Default Laser Fluence'; the field is named 'Laser Fluence (Energy Density)',Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,Less commonly reported than fluence because it does not account for spot area.,correct the field name,
