Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Doubly-Charged Species Production,"Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves",Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning.
Doubly-Charged Species Production,"Sol-Q,Sol-SF",2,D,M3,,M3 — instruction: record threshold and measured value,Record both the acceptance threshold and the measured value.
Doubly-Charged Species Production,"Sol-Q,Sol-SF",3,P,M2,,M2 — how to interpret an elevated value,Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.
Drift Correction Method,"Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves",Method used to correct for instrumental signal drift across a session.
Dwell Time per Mass,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'per mass position for each measured isotope' states the key axis,Count time (dwell time) per mass position for each measured isotope in milliseconds.
Dwell Time per Mass,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,M2,,M2 — counting statistics against the number of isotopes per cycle,Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time.
Dwell Time per Mass,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,P,M2,,M2 — how cycle time sets spatial resolution in mapping,"For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution."
Dwell Time per Mass,"Sol-Q,Sol-SF",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'on each mass peak' states the key axis,Integration time spent on each mass peak per sweep (ms).
Dwell Time per Mass,"Sol-Q,Sol-SF",2,D,M5,REWRITE-REDUNDANT(Keyed By: channel),"'may differ between masses where per-mass dwell times are programmed' is the per-channel key stated CONDITIONALLY — exactly the prose conventions.md 7.3.2 makes redundant, since Column I now declares the finest key unconditionally",May differ between masses where per-mass dwell times are programmed.
E-scan Range,"LA-SF,LA-SF_UPb,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves","Electric scan range used for peak acquisition, expressed as percentage of the centre mass (%)."
E-scan Range,"LA-SF,LA-SF_UPb,Sol-SF",2,P,M2,,M2 — what the E-scan does and why it avoids re-scanning the magnet,Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet.
E-scan Range,"LA-SF,LA-SF_UPb,Sol-SF",3,D,M3,,M3 — instruction: sentinel value when the mode is unused,Record 'N/A' if E-scan acquisition mode is not used.
Error Correlation Between Reported Quantities,"LA-MC_UPb,LA-Q_UPb,LA-SF_UPb,Sol-MC",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: pair: reported property),"'between pairs of reported quantities ... together with the pair it applies to' states the key; NOTE this field arguably ESTABLISHES the pair domain, in which case W5.1 keeps it — adjudicate in Step 2","The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained."
Error Correlation Between Reported Quantities,"LA-MC_UPb,LA-Q_UPb,LA-SF_UPb,Sol-MC",2,P,M2,,M2 — why the coefficient is needed: concordia and isochron regressions,Concordia and isochron regressions cannot be reconstructed without it.
Isotope Ratio Reported,Sol-MC,1,D,M1,,"M1 — defining sentence, never moves",Specific isotope ratio pair(s) reported as primary data output.
Isotope Ratio Reported,Sol-MC,2,D,M3,,M3 — states the denominator convention the filler follows,"The denominator isotope is typically the reference mass used in the delta notation (e.g., 54Fe for Fe isotopes, 235U for U isotopes)."
Isotope Ratio Reported,Sol-MC,3,D,M3,,M3 — instruction: report all routinely reported pairs,Report all ratio pairs routinely calculated and reported.
Mass Bias Correction Strategy,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves","Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination."
Mass Bias Correction Strategy,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,M3,,"M3 — scope boundary against Elemental Fractionation Correction, plus where this field applies","Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios."
Mass Bias Correction Strategy,Sol-MC,1,D,M1,,"M1 — defining sentence, never moves",Primary strategy used to correct for instrumental isotopic mass fractionation.
Mass Bias Correction Strategy,Sol-MC,2,P,M2,,M2 — the magnitude of mass bias and why it must be corrected before interpretation,"In solution MC-ICP-MS, instrumental mass bias is typically 3–5%/amu and must be corrected before isotope ratios can be interpreted geochemically."
Mass Bias Correction Strategy,Sol-MC,3,D,M3,,"M3 — defines strategy (1), sample-standard bracketing",Four main strategies: (1) Sample-standard bracketing (SSB): alternating sample and isotopic standard measurements; bias interpolated linearly between bracketing measurements.
Mass Bias Correction Strategy,Sol-MC,4,D,M3,,"M3 — defines strategy (2), double-spike",(2) Double-spike: a mixture of two enriched isotopes of the analyte element added before digestion provides an internal monitor of both instrumental and chemical mass fractionation.
Mass Bias Correction Strategy,Sol-MC,5,D,M3,,"M3 — defines strategy (3), internal normalization",(3) Internal normalization: an element of known isotopic composition added to samples and standards; measured ratio of normalizing element used to calculate the mass bias factor applied to analyte ratios.
Mass Bias Correction Strategy,Sol-MC,6,D,M3,,"M3 — defines strategy (4), the combined approach",(4) SSB + internal normalization: both strategies applied simultaneously for redundant bias correction.
Mass Resolution Assignment,"LA-MC,LA-MC_UPb,LA-SF,LA-SF_UPb,Sol-SF",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'assigned to each acquired mass' states the key axis,Mass resolution mode assigned to each acquired mass.
Mass Resolution Assignment,"LA-MC,LA-MC_UPb,LA-SF,LA-SF_UPb,Sol-SF",2,P,M2,,M2 — what the resolution choice buys: which interferences are physically resolved,The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector.
Mass Resolution Assignment,"LA-MC,LA-MC_UPb,LA-SF,LA-SF_UPb,Sol-SF",3,D,M5,REWRITE-REDUNDANT(Keyed By: channel),"this sentence is the JUSTIFICATION of the key — why per acquired mass rather than per element. Column I records the verdict, not the reasoning, so Step 2 may keep it under W5.1 (cf. WDS Spectrometer Channel S2)","One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element."
Mass Resolution Assignment,"LA-MC,LA-MC_UPb,LA-SF,LA-SF_UPb,Sol-SF",4,D,M3,,M3 — scope boundary against Mass Resolution Setting in Group 3,The overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).
Monitored Masses,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'grouped by the analyte element they serve' states the key axis; 'where they serve one' is a real qualification and survives,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one."
Monitored Masses,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",2,D,M3,,"M3 — defines what the field covers, including reaction-shifted product masses","Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured."
Monitored Masses,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",3,D,M3,,M3 — defines further content: monitor and internal-standard masses with no parent element,"Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element."
Monitored Masses,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",4,D,M3,,"M3 — scope boundary: the analyte list comes from the Analyte field, never inferred here",The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.
Number of Replicates,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves","Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved."
Number of Replicates,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",2,D,M3,,M3 — defines what a replicate means in each acquisition mode,"For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution."
Number of Replicates,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb,Sol-Q,Sol-SF",3,D,M5,REWRITE-REDUNDANT(C=Advanced + D=Basic),'the procedure registers an intended count; the analysis records the count actually acquired' is the C/D split in words,The procedure registers an intended count where it has one; the analysis records the count actually acquired.
Number of Scans per Replicate,"Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves",Number of complete mass scans accumulated per analytical replicate.
Number of Scans per Replicate,"Sol-Q,Sol-SF",2,D,M3,,M3 — defines a scan and how scan count and dwell time give total integration time,"A scan — also called a sweep or a pass — is one complete traversal of the monitored masses by a sequentially scanning analyser, so the scan count multiplied by the per-mass dwell time gives the total integration time per replicate."
Number of Scans per Replicate,"Sol-Q,Sol-SF",3,D,M3,,M3 — scope boundary against a cycle in simultaneous multi-collection,"Distinct from a cycle in simultaneous multi-collection, which is one readout of all detectors at once rather than a traversal of masses."
Pulse/Analog Detector Nonlinearity Correction,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves",Whether a correction was applied for nonlinear response at the transition between pulse-counting and analog detector modes.
Pulse/Analog Detector Nonlinearity Correction,Sol-Q,1,D,M1,,"M1 — defining sentence, never moves",Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog detection modes.
Pulse/Analog Detector Nonlinearity Correction,Sol-Q,2,D,M3,,M3 — how the cross-calibration factor is obtained and where it applies,"For Q-ICP-MS instruments with dual-mode SEM detectors, a cross-calibration factor is measured and applied at the pulse-to-analog crossover threshold."
Pulse/Analog Detector Nonlinearity Correction,Sol-Q,3,P,M2,,M2 — why accurate cross-calibration matters across a wide concentration range,Accurate cross-calibration is critical for analytes spanning a wide concentration range in the same session.
Pulse/Analog Detector Nonlinearity Correction,Sol-SF,1,D,M1,,"M1 — defining sentence, never moves","Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog (and Faraday, for triple-mode instruments) detection modes."
Pulse/Analog Detector Nonlinearity Correction,Sol-SF,2,P,M2,,M2 — why the correction is needed: where the signal transitions,"For SF-ICP-MS instruments, the signal transitions between pulse counting (low concentrations) and analog detection (high concentrations)."
Pulse/Analog Detector Nonlinearity Correction,Sol-SF,3,P,M2,,M2 — instrument context for triple-mode instruments,"For triple-mode instruments (e.g., Thermo Element XR), an additional transition to Faraday cup detection occurs at the highest signal intensities."
Pulse/Analog Detector Nonlinearity Correction,Sol-SF,4,D,M3,,"M3 — instruction: confirm the factors, typically each session","Cross-calibration factors between detector modes must be confirmed, typically measured each session."
Reaction Product Ion / Mass-Shift Transition,"LA-Q,LA-Q_UPb,Sol-Q",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: channel),'For each monitored mass' states the key axis,"For each monitored mass produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured."
Reaction Product Ion / Mass-Shift Transition,"LA-Q,LA-Q_UPb,Sol-Q",2,D,M3,,M3 — states what the field records and what the monitored mass alone does not,"Records the mass-shift chemistry relating the mass measured to the analyte it reports, which the monitored mass alone does not state."
Reaction Product Ion / Mass-Shift Transition,"LA-Q,LA-Q_UPb,Sol-Q",3,D,M3,,M3 — instruction: sentinel value for on-mass measurement,Record 'N/A' where the analyte is measured on its own mass.
Sample Description,"Sol-MC,Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves","Brief description of sample provenance, form, or preparation state relevant to this analysis."
Sample Preparation Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves","Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.)."
Sample Preparation Method,"Sol-MC,Sol-Q,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves","General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation)."
Sample Preparation Method,"Sol-MC,Sol-Q,Sol-SF",2,D,M3,,M3 — restates what the field documents; NOTE it adds little to S1 and Step 2 may find it redundant with the opening sentence rather than with another column,Documents how the solid material was conditioned before acid digestion.
Signal Collection Mode,"LA-Q,LA-Q_UPb,Sol-Q",1,D,M1,,"M1 — defining sentence, never moves",Mode used to collect ion signal across the monitored masses.
Signal Collection Mode,"LA-Q,LA-Q_UPb,Sol-Q",2,D,M3,,M3 — defines the two controlled-list values; Column F names them but does not define them,"In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range."
Signal Collection Mode,"LA-Q,LA-Q_UPb,Sol-Q",3,P,M2,,M2 — which mode is standard practice and why,Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.
Total Integration Time per Output Data Point,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,M1,,"M1 — defining sentence, never moves",Total duty-cycle time for one complete mass-scan sweep — the sum of all per-isotope dwell times plus inter-mass settling times.
Total Integration Time per Output Data Point,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,M4,REWRITE-STRADDLE,what the value sets (rationale) plus the scope boundary explaining why it is not recoverable from Dwell Time per Mass,"Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there."
Total Integration Time per Output Data Point,"LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,M3,,M3 — scope: sequential acquisition only,Applies to sequential (quadrupole and single-collector sector-field) acquisition.
Triple Scanning Mode,"LA-SF,LA-SF_UPb,Sol-SF",1,D,M1,,"M1 — defining sentence, never moves",Whether each mass peak is scanned three times per cycle and the results averaged (Y/N).
Triple Scanning Mode,"LA-SF,LA-SF_UPb,Sol-SF",2,P,M2,,M2 — what triple scanning is for,Used to reduce noise from short-term magnetic field instabilities on sector-field instruments.
Triple Scanning Mode,"LA-SF,LA-SF_UPb,Sol-SF",3,D,M4,REWRITE-STRADDLE,its effect on integration time (rationale) plus the instruction to report it,Triple scanning affects the effective integration time per cycle and should be reported.
Triple Scanning Mode,"LA-SF,LA-SF_UPb,Sol-SF",4,D,M3,,M3 — instruction: sentinel value when not applicable,Record 'N/A' if not applicable to the instrument.
