Field,Variant_TAPPs,Sentence_no,STEP1_route,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Auxiliary Gas Flow Rate,"Solution_MC,Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).
Blank / Background Correction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Method used to subtract the gas blank (background signal with laser off) from the ablation signal.
Blank / Background Correction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis.
Blank / Background Correction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,"For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions."
Blank / Background Correction Method,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Method used to subtract instrument background and/or procedural blank from sample signals.
Blank / Background Correction Method,Solution_MC,1,D,,"M1 — defining sentence, never moves",Method used to subtract instrument background from analytical signals.
Blank / Background Correction Method,Solution_MC,2,D,,M3 — definition or instruction to the filler,"In MC-ICP-MS, on-peak zero subtraction (aspirating the same acid matrix as samples while measuring background at the analyte masses with beam deflector or from baseline cycles at the start of each block) is standard."
Blank / Background Correction Method,Solution_MC,3,P,,judgement about when on-peak zero suffices,"For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient."
Blank / Background Correction Method,Solution_MC,4,D,,M3 — definition or instruction to the filler,"For low-level analyses, procedural blank must be measured and subtracted."
Calibration Standard Measurement Frequency,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",How often the primary calibration standard is measured relative to unknown samples within a session.
Calibration Standard Measurement Frequency,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what the frequency is for — drift monitoring,"For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift."
Calibration Standard Measurement Frequency,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",How often the primary calibration standard is measured relative to unknown samples within a session.
Calibration Standard Measurement Frequency,Solution_MC,1,D,,"M1 — defining sentence, never moves",How often the primary isotopic standard is measured relative to unknown samples within a session.
Calibration Standard Measurement Frequency,Solution_MC,2,D,,M3 — definition or instruction to the filler,"For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet)."
Calibration Standard Measurement Frequency,Solution_MC,3,D,,M3 — definition or instruction to the filler,Specify the bracketing scheme.
Coolant (Plasma) Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min."
Coolant (Plasma) Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what the flow determines,Determines plasma volume and stability.
Coolant (Plasma) Gas Flow Rate,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,REWRITE-REDUNDANT(D=Editable),"'set during setup, confirmed each session' is the D=Editable definition",Set during initial plasma optimisation and confirmed at each session start.
Coolant (Plasma) Gas Flow Rate,"Solution_MC,Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Flow rate of the outer (coolant) argon gas stream (L/min).
Coolant (Plasma) Gas Flow Rate,"Solution_MC,Solution_Q,Solution_SF",2,P,,what the flow influences,Influences plasma temperature and oxide ion formation.
Guard Electrode,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.
Guard Electrode,"Solution_MC,Solution_Q",1,D,,"M1 — defining sentence, never moves",Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly.
Guard Electrode,"Solution_MC,Solution_Q",2,P,,mechanism and benefit,"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency."
Guard Electrode,Solution_SF,1,D,,"M1 — defining sentence, never moves",Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly.
Guard Electrode,Solution_SF,2,P,,mechanism and benefit,"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency."
Guard Electrode,Solution_SF,3,P,,instrument context,Actively used as a design feature on Thermo Element 2 and Element XR instruments.
ICP-MS Type,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Type of ICP-MS mass analyser and collector configuration.
ICP-MS Type,Solution_Q,1,D,,"M1 — defining sentence, never moves",Type of quadrupole ICP-MS system.
ICP-MS Type,Solution_Q,2,P,,what the type determines,Determines available cell configurations and interference mitigation strategies.
ICP-MS Type,Solution_Q,3,D,,M3 — definition or instruction to the filler,Triple quadrupole (ICP-MS/MS) instruments add a second mass-selection quadrupole upstream of the octopole reaction cell for enhanced interference rejection.
ICP-MS Type,Solution_SF,1,D,,"M1 — defining sentence, never moves",Type of sector-field ICP-MS system.
ICP-MS Type,Solution_SF,2,P,,explains the instrument class,Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams.
ICP-MS Type,Solution_MC,1,D,,"M1 — defining sentence, never moves",Type of ICP-MS system.
ICP-MS Type,Solution_MC,2,P,,explains the instrument class,"Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection."
Interface Cone Configuration,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Combination of sample cone and skimmer cone installed during analysis.
Interface Cone Configuration,Solution_Q,1,D,,"M1 — defining sentence, never moves",Geometry and designation of the sampler and skimmer cones installed during analysis.
Interface Cone Configuration,Solution_Q,2,P,,why geometry matters,"Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance."
Interface Cone Configuration,Solution_SF,1,D,,"M1 — defining sentence, never moves",Geometry and designation of the sampler and skimmer cones installed during analysis.
Interface Cone Configuration,Solution_SF,2,P,,why geometry matters,Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance.
Interface Cone Configuration,Solution_MC,1,D,,"M1 — defining sentence, never moves",Geometry and designation of the sampler and skimmer cones installed during analysis.
Interface Cone Configuration,Solution_MC,2,D,REWRITE-STRADDLE,names the options (definition) and why the choice matters (rationale),"For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision."
Interface Cone Configuration,Solution_MC,3,P,,why jet cones are used,Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity.
Interference Correction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it."
Interference Correction Method,Solution_Q,1,D,,"M1 — defining sentence, never moves","Mathematical approach used to calculate and remove interference contributions from measured signals (e.g., interference standard solutions isolating specific polyatomics, mass-balance equations using empirical correction factors)."
Interference Correction Method,Solution_SF,1,D,,"M1 — defining sentence, never moves",Mathematical approach used to calculate and remove residual interference contributions from measured signals.
Interference Correction Method,Solution_SF,2,D,,M3 — definition or instruction to the filler,"In SF-ICP-MS, interference solutions isolating specific polyatomic species are measured alongside samples and used to calibrate correction factors."
Interference Correction Method,Solution_MC,1,D,,"M1 — defining sentence, never moves",Mathematical approach used to calculate and remove residual interference contributions.
Interference Correction Method,Solution_MC,2,D,,M3 — definition or instruction to the filler,"For direct isobars, interference monitor masses (e.g., 202Hg to correct 204Hg on 204Pb) are measured simultaneously and used with natural abundance ratios to calculate the interference contribution."
Interference Correction Method,Solution_MC,3,D,,M3 — definition or instruction to the filler,"For abundance sensitivity, the tailing factor is measured using a pure standard."
Interfering Species,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope."
Interfering Species,Solution_Q,1,D,,"M1 — defining sentence, never moves",List of isobaric or polyatomic species mathematically corrected in data reduction.
Interfering Species,Solution_Q,2,D,,M3 — definition or instruction to the filler,"For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu."
Interfering Species,Solution_Q,3,D,,M3 — definition or instruction to the filler,Additional interference mitigation via KED or DRC is documented in Group 3 and Group 4.
Interfering Species,Solution_SF,1,D,,"M1 — defining sentence, never moves",List of isobaric or polyatomic species mathematically corrected in data reduction.
Interfering Species,Solution_SF,2,P,,context — where mathematical correction sits relative to resolution,"In SF-ICP-MS, mass resolution is the primary interference mitigation strategy; mathematical corrections address residual interferences not resolved at the operating resolution."
Interfering Species,Solution_MC,1,D,,"M1 — defining sentence, never moves",List of isobaric or polyatomic species mathematically corrected in data reduction.
Interfering Species,Solution_MC,2,D,,M3 — definition or instruction to the filler,"Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239)."
Internal Standard Element,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples."
Internal Standard Element,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,"For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference."
Internal Standard Element,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves","Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization."
Internal Standard Element,"Solution_Q,Solution_SF",2,D,,M3 — definition or instruction to the filler,Specify element and monitored isotope.
Internal Standard Element,Solution_MC,1,D,,"M1 — defining sentence, never moves",Element added at a known concentration to all sample and standard solutions to serve as an internal normalization standard for mass bias correction (SSB + internal normalization procedures).
Internal Standard Element,Solution_MC,2,D,,M3 — definition or instruction to the filler,The element must have a known isotopic composition and mass similar to the analyte.
Internal Standard Element,Solution_MC,3,D,,M3 — definition or instruction to the filler,Examples: Ni or Cu doping for Fe isotopes (must verify complete matrix separation);
Internal Standard Element,Solution_MC,4,D,,M3 — definition or instruction to the filler,Tl for Pb isotopes;
Internal Standard Element,Solution_MC,5,D,,M3 — definition or instruction to the filler,Cd for Sb isotopes.
Internal Standard Element,Solution_MC,6,D,,M3 — definition or instruction to the filler,Specify element and monitored isotope.
Internal Standard Element,Solution_MC,7,D,,M3 — definition or instruction to the filler,Record 'None' if SSB without internal standard or double-spike method is used.
Isobaric Interference Corrections Applied,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Whether isobaric interference corrections were applied for any measured isotope in this procedure.
Isobaric Interference Corrections Applied,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,REWRITE-REDUNDANT(C=Basic + Column E),names both the procedure-level tier and the Data Type,"A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes."
Isobaric Interference Corrections Applied,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,Detail for each affected mass is captured in Interfering Species and Interference Correction Method.
Isobaric Interference Corrections Applied,Solution_Q,1,D,,"M1 — defining sentence, never moves",Whether mathematical corrections for isobaric or polyatomic interferences are applied during data reduction (in addition to any KED or DRC mitigation in the instrument).
Isobaric Interference Corrections Applied,Solution_SF,1,D,,"M1 — defining sentence, never moves",Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction (supplementary to any interference suppression achieved through mass resolution selection).
Isobaric Interference Corrections Applied,Solution_MC,1,D,,"M1 — defining sentence, never moves","Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction, supplementary to any interference suppression achieved by chemical separation or mass resolution."
Isobaric Interference Corrections Applied,Solution_MC,2,P,,context — separation vs mathematical correction,"In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions."
Isobaric Interference Corrections Applied,Solution_MC,3,D,,M3 — definition or instruction to the filler,Common examples: 204Hg on 204Pb; abundance sensitivity tailing of 238U onto 236U and 235U.
Isotope Dilution Data Reduction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements in isotope dilution (ID) analysis.
Isotope Dilution Data Reduction Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,Record 'None' if isotope dilution is not used.
Isotope Dilution Data Reduction Method,Solution_Q,1,D,,"M1 — defining sentence, never moves",Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements.
Isotope Dilution Data Reduction Method,Solution_Q,2,D,,M3 — definition or instruction to the filler,Record 'None' if isotope dilution is not used.
Isotope Dilution Data Reduction Method,Solution_SF,1,D,,"M1 — defining sentence, never moves",Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements.
Isotope Dilution Data Reduction Method,Solution_SF,2,D,,M3 — definition or instruction to the filler,Spike must have been added before digestion for accurate equilibration.
Isotope Dilution Data Reduction Method,Solution_SF,3,D,,M3 — definition or instruction to the filler,Record 'None' if isotope dilution is not used.
Isotope Dilution Data Reduction Method,Solution_MC,1,D,,"M1 — defining sentence, never moves",Mass balance approach used to calculate sample isotope ratios and/or elemental concentrations from spike-sample mixture measurements.
Isotope Dilution Data Reduction Method,Solution_MC,2,D,,M3 — definition or instruction to the filler,"For double-spike procedures, isotope ratios and concentrations are co-determined through the spike inversion."
Isotope Dilution Data Reduction Method,Solution_MC,3,D,,M3 — definition or instruction to the filler,"For conventional ID concentration procedures (separate concentration spike), IUPAC ID equations are used."
Isotope Dilution Data Reduction Method,Solution_MC,4,D,,M3 — definition or instruction to the filler,Record 'None' if neither isotope dilution nor double-spike methods are used.
Limit of Quantification (LOQ) Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy.
Limit of Quantification (LOQ) Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,Mandatory at analysis level when concentrations near the LOD are reported.
Limit of Quantification (LOQ) Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,P,,why the LOQ distinction matters,Concentrations between LOD and LOQ are detectable but not reliably quantifiable.
Limit of Quantification (LOQ) Method,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Method used to determine the limit of quantification.
Limit of Quantification (LOQ) Method,Solution_MC,1,D,,"M1 — defining sentence, never moves","Method used to determine the limit of quantification, where applicable."
Mass Resolution Setting,"LA-MC,LA-MC_UPb",1,D,,"M1 — defining sentence, never moves",Operating mass resolution of the mass analyser.
Mass Resolution Setting,"LA-MC,LA-MC_UPb",2,P,,analyser-dependent fact,For quadrupole instruments this is fixed at unit resolution by instrument design.
Mass Resolution Setting,"LA-MC,LA-MC_UPb",3,P,,analyser-dependent fact,"For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression."
Mass Resolution Setting,"LA-Q,LA-Q_UPb",1,D,,"M1 — defining sentence, never moves",Operating mass resolution of the mass analyser.
Mass Resolution Setting,"LA-Q,LA-Q_UPb",2,P,,analyser-dependent fact,For quadrupole instruments this is fixed at unit resolution by instrument design.
Mass Resolution Setting,"LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Operating mass resolution of the mass analyser.
Mass Resolution Setting,"LA-SF,LA-SF_UPb",2,P,,analyser-dependent fact,"The analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression."
Mass Resolution Setting,Solution_Q,1,D,,"M1 — defining sentence, never moves",Mass resolution of the quadrupole analyser.
Mass Resolution Setting,Solution_Q,2,P,,analyser-dependent fact,"For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible."
Mass Resolution Setting,Solution_Q,3,D,REWRITE-REDUNDANT(C),'documents the constraint at procedure level' restates C,This field documents the instrument class constraint at procedure level.
Mass Resolution Setting,Solution_SF,1,D,,"M1 — defining sentence, never moves",Mass resolution mode(s) used in this procedure.
Mass Resolution Setting,Solution_SF,2,P,,analyser-dependent fact,"Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000)."
Mass Resolution Setting,Solution_SF,3,D,,M3 — definition or instruction to the filler,Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution Assignment).
Mass Resolution Setting,Solution_SF,4,D,REWRITE-REDUNDANT(D=Editable),'procedure registers; analyst confirms' is the D=Editable definition,Procedure registers the mode(s) in use; analyst confirms at session start.
Mass Resolution Setting,Solution_MC,1,D,,"M1 — defining sentence, never moves",Mass resolution mode used in this procedure.
Mass Resolution Setting,Solution_MC,2,P,,analyser-dependent fact,"MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000)."
Mass Resolution Setting,Solution_MC,3,P,,typical practice and why,Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements.
Mass Resolution Setting,Solution_MC,4,P,,when higher resolution is needed and why,"Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone."
Mass Resolution Setting,Solution_MC,5,D,REWRITE-REDUNDANT(D=Editable),as above,Procedure registers the mode in use; analyst confirms at session start.
Memory Effect Mitigation,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode."
Memory Effect Mitigation,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,"For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution."
Memory Effect Mitigation,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions.
Memory Effect Mitigation,"Solution_Q,Solution_SF",2,D,,M3 — definition or instruction to the filler,"For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4)."
Memory Effect Mitigation,"Solution_Q,Solution_SF",3,D,,M3 — definition or instruction to the filler,"At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved."
Memory Effect Mitigation,Solution_MC,1,D,,"M1 — defining sentence, never moves",Procedure applied to minimize carryover of analyte isotopes between successive sample introductions.
Memory Effect Mitigation,Solution_MC,2,D,,M3 — definition or instruction to the filler,"In MC-ICP-MS, extended rinse periods with the same acid matrix as samples (see Wash Time Between Samples) are the primary mitigation."
Memory Effect Mitigation,Solution_MC,3,D,,M3 — definition or instruction to the filler,"At data processing level, documents any flagging or exclusion of measurements preceded by samples with significantly different isotopic compositions where carryover may be suspected."
Oxide Production Method and Threshold,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis.
Oxide Production Method and Threshold,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,Record both the monitored mass ratio(s) and the maximum allowed threshold(s).
Oxide Production Method and Threshold,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,Measured values are recorded in Oxide Production.
Oxide Production Method and Threshold,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",4,D,,M3 — definition or instruction to the filler,"The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used."
Oxide Production Method and Threshold,Solution_Q,1,D,,"M1 — defining sentence, never moves",Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis.
Oxide Production Method and Threshold,Solution_Q,2,D,,M3 — definition or instruction to the filler,Record both the monitored mass ratio(s) and the maximum allowed threshold(s).
Oxide Production Method and Threshold,Solution_Q,3,D,,M3 — definition or instruction to the filler,Measured values are recorded in Oxide Production.
Oxide Production Method and Threshold,Solution_Q,4,D,,M3 — definition or instruction to the filler,CeO+/Ce+ (m/z 156/140) is the standard monitor proxy.
Oxide Production Method and Threshold,Solution_SF,1,D,,"M1 — defining sentence, never moves",Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis.
Oxide Production Method and Threshold,Solution_SF,2,D,,M3 — definition or instruction to the filler,Record both the monitored mass ratio(s) and the maximum allowed threshold(s).
Oxide Production Method and Threshold,Solution_SF,3,D,,M3 — definition or instruction to the filler,Measured values are recorded in Oxide Production.
Oxide Production Method and Threshold,Solution_SF,4,D,REWRITE-STRADDLE,names the proxy (definition) and a comparative requirement (rationale),CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required.
Oxide Production Method and Threshold,Solution_SF,5,D,,M3 — definition or instruction to the filler,BaO+/Ba+ may also be monitored.
Oxide Production Method and Threshold,Solution_MC,1,D,,"M1 — defining sentence, never moves",Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis.
Oxide Production Method and Threshold,Solution_MC,2,D,,M3 — definition or instruction to the filler,Record both the monitored mass ratio(s) and the maximum allowed threshold(s).
Oxide Production Method and Threshold,Solution_MC,3,D,,M3 — definition or instruction to the filler,Measured values are recorded in Oxide Production.
Oxide Production Method and Threshold,Solution_MC,4,D,,M3 — definition or instruction to the filler,CeO+/Ce+ (m/z 156/140) is the standard monitor proxy.
Oxide Production Method and Threshold,Solution_MC,5,P,,why some analytes need a tighter threshold,"Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes)."
Per-Analyte Calibration Strategy,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Documents cases where different analytes or analyte groups within the same session are calibrated using different strategies — for example, one element used as the internal standard while trace elements are calibrated by an external reference material, or different primary standards applied to different mass ranges or mineral phases."
Per-Analyte Calibration Strategy,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,"If a single calibration strategy applies uniformly to all analytes, state that here and refer to Internal Standard Approach and Normalization / Standards-Based Correction for details."
Per-Analyte Calibration Strategy,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,REWRITE-REDUNDANT(Column E),'Free text' restates the Data Type,Free text; list the strategy for each analyte or analyte group as needed.
