Field,Column,Action,Before,After_source_column,Appended_to_Purpose
Sample Name,J,strip clause,The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.,The analysis record corresponds to one session and may cover several samples.,
Sampling Unit,B,delete,State the unit type at procedure level and the units actually analysed at analysis level.,(sentence removed),
Instrument Manufacturer,B,split,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor.","Manufacturer of the instrument that performs the measurement, recorded as a controlled value.",Recording it as a controlled value lets procedures be found by vendor.
Analytical Mode,B,split,"Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library.",Applies even where a procedure defines no mode flag columns.,Ensures every procedure record is self-describing and comparable across the library.
Inherited or Initial Signal Correction,J,strip clause,"D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure.","The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure.",
Radiogenic Fraction of Measured Signal,B,strip clause,"Measured companion to Inherited or Initial Signal Correction, which is procedure-level: this field records what the session actually produced.",Measured companion to Inherited or Initial Signal Correction.,
Age Datum / Reference Epoch,B,split,"Explicitly required wherever the datum is not the present: year of sample collection for luminescence (Mahan et al. 2023), end of irradiation for 40Ar/39Ar decay corrections (Schaen et al. 2021).","Where the datum is not the present, record it explicitly: year of sample collection for luminescence, end of irradiation for 40Ar/39Ar decay corrections.",Required in these cases by Mahan et al. (2023) and Schaen et al. (2021).
Torch Depth,B,delete,The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.,(sentence removed),
Instrument Warm-up / Session Duration Limit,B,delete,These constraints are part of the procedure and cannot be varied by the analyst.,(sentence removed),
Make-up Gas and Flow Rate,B,split,"Small nitrogen or hydrogen additions are also made here to enhance sensitivity for some elements; record them with their own flow, whose unit commonly differs from the make-up flow.","Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow.",Small nitrogen or hydrogen additions enhance sensitivity for some elements.
Instrument Sensitivity,B,strip clause,Records what the instrument actually delivered; a sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.,A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.,
Pre-Ablation Surface Treatment,B,split,"For mapping, this step is typically omitted as the large area ablated averages out surface effects.","For mapping, this step is typically omitted.",In mapping the large area ablated averages out surface effects.
Laser Spot Geometry,B,delete,The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.,(sentence removed),
Laser Energy,B,strip clause,Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,Laser fluence (J cm⁻²) is the preferred quantity and is captured in Laser Fluence (Energy Density).,
Laser Beam Energy Profile,B,delete,This is a fixed hardware property of the laser system.,(sentence removed),
Laser Repetition Rate,B,delete,Analysts may adjust within procedure-allowed bounds.,(sentence removed),
Laser Pulse Duration,B,delete,This is a fixed hardware property of the laser system.,(sentence removed),
Ablation Duration per Spot,J,strip clause,"This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.","For spot analysis, reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",
Ablation Duration per Spot,B,strip clause,"For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.","For mapping analysis, total acquisition time is sample-area-dependent and is not captured here.",
"Transect Rate, Mapping Rate or Step Size",J,strip clause,"This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction.","Together with spot size and repetition rate, determines spatial resolution along the scan direction.",
Transect Length,J,strip clause,This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure.,Depends on the size of the feature of interest rather than being fixed in the procedure.,
Transect Length,B,strip clause,"The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.","Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",
Number of Blocks per Measurement,B,strip clause,Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.,Adjust for samples with low signal or where higher precision is required.,
Number of Cycles per Block,B,delete,Procedure specifies the standard value; analyst may adjust within procedure bounds.,(sentence removed),
Integration Time per Cycle,B,delete,Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds.,(sentence removed),
Baseline Measurement Approach,B,split,"Three approaches are in use and the choice depends on how sample reaches the plasma: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank, which applies only to solution introduction; or, for laser ablation, collecting a defined number of laser-off cycles at the start of the same block, since no blank can be aspirated mid-ablation.",Three approaches are in use: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank; or collecting a defined number of laser-off cycles at the start of the same block.,"The choice depends on how sample reaches the plasma — an acid blank applies only to solution introduction, and for laser ablation no blank can be aspirated mid-ablation."
Internal Normalization Element and Isotope Ratio,B,delete,Record 'N/A' if internal normalization is not used.,(sentence removed),
Double-Spike Isotope Pair,B,delete,Record 'N/A' if double-spike method is not used.,(sentence removed),
Double-Spike Isotope Pair,B,split,"Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion.",Both isotopes must be naturally rare and free from isobaric interferences.,The pair is chosen to minimise error magnification in the inversion.
Double-Spike Mixing Ratio,B,delete,Record 'N/A' if double-spike method is not used.,(sentence removed),
Double-Spike Mixing Ratio,B,split,An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent.,The optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent.,An optimal mixing ratio minimises error propagation through the double-spike inversion.
Double-Spike Inversion Algorithm,B,delete,Record 'N/A' if double-spike method is not used.,(sentence removed),
Digestion Temperature,B,delete,Procedure specifies the target temperature.,(sentence removed),
Isotope Dilution Spike,B,split,"For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry.","For double-spike procedures, add and equilibrate the spike before digestion.",Spiking before digestion corrects for isotopic fractionation during dissolution and column chemistry.
Final Solution Matrix,B,split,"For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets.","For isotope-ratio procedures, match acid molarity precisely between samples and bracketing standards.",Mismatched molarity introduces matrix-induced mass bias offsets.
Nebulizer Gas Flow Rate,B,delete,Adjusted daily to optimize signal.,(sentence removed),
Inherited or Initial Signal Correction,J,strip clause,"D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure.","The value actually applied is frequently sample-specific (a two-stage model composition evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), so a revision to the assumed composition should not require registering a new procedure.",
Chemical Abrasion Conditions,B,split,"Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read.",Record 'None' where grains were analysed untreated.,The absence of treatment materially affects how discordance should be read.
Intermediate Daughter Disequilibrium Correction,J,strip clause,"Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required, hence Advanced.","Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required.",
Discordance Definition and Values,J,strip clause,"Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced.","Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required.",
Discordance Definition and Values,B,split,"Several definitions are in circulation and they are not interchangeable, so the formula must be stated.",State the formula used.,Several definitions are in circulation and they are not interchangeable.
Goodness-of-Fit or Dispersion Statistic,J,split,"Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",The value cannot be known before the analysis.,"The procedure may still state an acceptance threshold, which belongs with the inclusion criteria."
