Field,Group,Variants,Kind,Also_diverges,Attested_cells,Distinct_attested,Distinct_ratio,Suggested_TYPE,DECISION_DataType,DECISION_Description_NEW_TEXT,Description_origin,Variant_texts
Interfering Species,5. Data Processing,4,analyser-wrapper,,38,30,0.79,,NO CHANGE — stays Text (free),"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope. ||| [Solution_Q-ICP-MS] List of isobaric or polyatomic species mathematically corrected in data reduction. For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu. Additional interference mitigation via KED or DRC is documented in Group 3 and Group 4. ||| [Solution_MC-ICP-MS] List of isobaric or polyatomic species mathematically corrected in data reduction. Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239). ||| [Solution_SF-ICP-MS] List of isobaric or polyatomic species mathematically corrected in data reduction. In SF-ICP-MS, mass resolution is the primary interference mitigation strategy; mathematical corrections address residual interferences not resolved at the operating resolution."
Internal Standard Element,5. Data Processing,3,drift,,53,28,0.53,,NO CHANGE — stays Text (free),"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Corrects for instrumental drift and matrix effects, and in isotope-ratio work for mass bias, where the element must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples. For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope. ||| [Solution_MC-ICP-MS] Element added at a known concentration to all sample and standard solutions to serve as an internal normalization standard for mass bias correction (SSB + internal normalization procedures). The element must have a known isotopic composition and mass similar to the analyte. Examples: Ni or Cu doping for Fe isotopes (must verify complete matrix separation); Tl for Pb isotopes; Cd for Sb isotopes. Specify element and monitored isotope. Record 'None' if SSB without internal standard or double-spike method is used."
Isobaric Interference Corrections Applied,5. Data Processing,4,analyser-wrapper,E,44,32,0.73,Controlled list / Text,Controlled list / Text,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method. ||| [Solution_Q-ICP-MS] Whether mathematical corrections for isobaric or polyatomic interferences are applied during data reduction (in addition to any KED or DRC mitigation in the instrument). ||| [Solution_MC-ICP-MS] Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction, supplementary to any interference suppression achieved by chemical separation or mass resolution. In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions. Common examples: 204Hg on 204Pb; abundance sensitivity tailing of 238U onto 236U and 235U. ||| [Solution_SF-ICP-MS] Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction (supplementary to any interference suppression achieved through mass resolution selection)."
Isotope Dilution Data Reduction Method,5. Data Processing,4,drift,,26,9,0.35,,NO CHANGE — stays Text (free),"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements in isotope dilution (ID) analysis. Record 'None' if isotope dilution is not used. ||| [Solution_Q-ICP-MS] Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Record 'None' if isotope dilution is not used. ||| [Solution_MC-ICP-MS] Mass balance approach used to calculate sample isotope ratios and/or elemental concentrations from spike-sample mixture measurements. For double-spike procedures, isotope ratios and concentrations are co-determined through the spike inversion. For conventional ID concentration procedures (separate concentration spike), IUPAC ID equations are used. Record 'None' if neither isotope dilution nor double-spike methods are used. ||| [Solution_SF-ICP-MS] Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Spike must have been added before digestion for accurate equilibration. Record 'None' if isotope dilution is not used."
Limit of Quantification (LOQ) Method,6. Quality Control & Uncertainty,3,drift,E,4,2,0.5,Controlled list / Text,Controlled list / Text,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported. Concentrations between LOD and LOQ are detectable but not reliably quantifiable.,ADOPTED verbatim from a source variant,"[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported. Concentrations between LOD and LOQ are detectable but not reliably quantifiable. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Method used to determine the limit of quantification. ||| [Solution_MC-ICP-MS] Method used to determine the limit of quantification, where applicable."
Mass Resolution Setting,3. Instrument & Software,6,ANALYSER-SUBSTANCE,D+E,40,20,0.5,Controlled list / Text,EXCLUDED from module — stays TAPP-owned (analyser-substance),no merge: each TAPP keeps its analyser-accurate text,n/a — excluded,"[LA-MC-ICPMS_UPb,LA-MC-ICPMS] Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression. ||| [LA-Q-ICP-MS_UPb,LA-Q-ICP-MS] Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. ||| [LA-SF-ICP-MS,LA-SF-ICP-MS_UPb] Operating mass resolution of the mass analyser. The analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression. ||| [Solution_Q-ICP-MS] Mass resolution of the quadrupole analyser. For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible. This field documents the instrument class constraint at procedure level. ||| [Solution_MC-ICP-MS] Mass resolution mode used in this procedure. MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000). Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements. Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone. Procedure registers the mode in use; analyst confirms at session start. ||| [Solution_SF-ICP-MS] Mass resolution mode(s) used in this procedure. Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000). Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution Assignment). Procedure registers the mode(s) in use; analyst confirms at session start."
Memory Effect Mitigation,5. Data Processing,3,analyser-wrapper,,22,18,0.82,,NO CHANGE — stays Text (free),"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved. ||| [Solution_MC-ICP-MS] Procedure applied to minimize carryover of analyte isotopes between successive sample introductions. In MC-ICP-MS, extended rinse periods with the same acid matrix as samples (see Wash Time Between Samples) are the primary mitigation. At data processing level, documents any flagging or exclusion of measurements preceded by samples with significantly different isotopic compositions where carryover may be suspected."
Oxide Production Method and Threshold,4. Measurement Information,4,drift,,13,11,0.85,,NO CHANGE — stays Text (free),"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent - ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use. Stricter thresholds may be required for analytes sensitive to oxide interferences.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. ||| [Solution_Q-ICP-MS] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. ||| [Solution_MC-ICP-MS] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes). ||| [Solution_SF-ICP-MS] Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required. BaO+/Ba+ may also be monitored."
Per-Analyte Calibration Strategy,5. Data Processing,3,drift,C+E,18,17,0.94,Text (free),Text (free),"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Documents cases where different analytes or analyte groups within the same session are calibrated using different strategies — for example, one element used as the internal standard while trace elements are calibrated by an external reference material, or different primary standards applied to different mass ranges or mineral phases. If a single calibration strategy applies uniformly to all analytes, state that here and refer to Internal Standard Approach and Normalization / Standards-Based Correction for details. Free text; list the strategy for each analyte or analyte group as needed. ||| [Solution_Q-ICP-MS,Solution_SF-ICP-MS] Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy. ||| [Solution_MC-ICP-MS] Approach used to convert measured ion signals to elemental concentrations, where concentration data are also a product of the procedure (e.g., isotope dilution combined with isotope ratio measurement). For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'. For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach. Where different elements use different strategies, record each."
Plasma Thermal Mode,4. Measurement Information,4,ANALYSER-SUBSTANCE,,18,13,0.72,,EXCLUDED from module — stays TAPP-owned (analyser-substance),no merge: each TAPP keeps its analyser-accurate text,n/a — excluded,"[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field. ||| [Solution_Q-ICP-MS] Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements. ||| [Solution_MC-ICP-MS] Whether the ICP plasma is operated under normal (hot) or cool plasma conditions. Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS. Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work. ||| [Solution_SF-ICP-MS] Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements."
RF Power,4. Measurement Information,2,drift,,27,17,0.63,,NO CHANGE — stays Numeric (W),"ICP radiofrequency forward power, in watts. Affects plasma temperature, ionisation efficiency, oxide production, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.","SYNTHESIZED — new text, not in any source variant","[LA-MC-ICPMS_UPb,LA-Q-ICP-MS_UPb,LA-SF-ICP-MS,LA-Q-ICP-MS,LA-MC-ICPMS,LA-SF-ICP-MS_UPb] ICP radiofrequency forward power in watts. Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning. ||| [Solution_Q-ICP-MS,Solution_MC-ICP-MS,Solution_SF-ICP-MS] Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates."
