TAPP,Field,Sentence_no,Action,Before,After_Description,Moved_to_Purpose,Rule_and_reason
SEM_Composition_TAPP_v30.csv,Interference Corrections Applied,1,REWRITE,Whether a spectral interference correction was applied for each analyte.,Whether a spectral interference correction was applied.,,W5.2 — 'for each analyte' carried by Keyed By: analyte
SEM_Composition_TAPP_v30.csv,Interfering Elements,1,REWRITE,"Element(s) whose X-ray lines overlap with the measured peak for one or more analytes, requiring a correction.","Element(s) whose X-ray lines overlap with the measured peak, requiring a correction.",,W5.2 — 'for one or more analytes' carried by Keyed By: analyte
SEM_Composition_TAPP_v30.csv,Interference Correction Standard,1,REWRITE,Reference material used to quantify and calibrate the interference correction for each affected analyte.,Reference material used to quantify and calibrate the interference correction.,,W5.2 — 'for each affected analyte' carried by Keyed By: analyte; partial coverage is already what a consumer must assume of any key (conventions.md 7.3.1)
SEM_Composition_TAPP_v30.csv,Analytical Precision,2,REWRITE,"Include reference material name, number of analyses (n), and value per analyte or element group.","Include reference material name, number of analyses (n), and the measured value.",,W5.4 RESOLVED — as Analytical Accuracy; 'number of analyses (n)' is real content and survives
SEM_Composition_TAPP_v30.csv,Analytical Accuracy,2,REWRITE,"Include reference material, reference value source, and per-analyte value.","Include reference material, reference value source, and the measured value.",,"W5.4 RESOLVED — the description said 'per-analyte' where Keyed By says `reported property`, a conflict raised 2026-08-12 and never dispositioned. Removing the axis word retires the conflict rather than adjudicating which term is right: Column I carries the axis, so Column B does not need to name it"
SEM_Composition_TAPP_v30.csv,EDS Dead Time,2,SPLIT,EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.,This field documents the resulting percentage as a session QC metric.,EDS dead time correction is managed automatically by the detector electronics.,W1 — what the field holds stays; how the correction is handled is rationale
SEM_FIBSEM_TAPP_v20.csv,BSE Detector Type,4,KEEP,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,,"KEEP — Column F names 'segmented, composition mode' and 'segmented, topography mode' but not the MECHANISM ('segments summed', 'differential signal between segments'), which is what this sentence adds. NOTE: this flag should have been withdrawn during Step 1 — the withdrawal was written but silently failed to apply"
SEM_FIBSEM_TAPP_v20.csv,Beam Current,3,REWRITE,"Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA).","For sub-nA values use decimal notation (e.g., 0.4 nA).",,W2 — 'Express in nA' carried by Data Type `Numeric (nA)`; the sub-nA notation guidance is not
SEM_FIBSEM_TAPP_v20.csv,Protective Coating Deposition,2,SPLIT,E-beam deposition causes less surface damage than ion-beam deposition and should be applied as the initial layer.,E-beam deposition should be applied as the initial layer.,It causes less surface damage than ion-beam deposition.,W1 — the instruction stays; the comparative reason is rationale
SEM_FIBSEM_TAPP_v20.csv,Lift-out Method,2,SPLIT,In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber and is the standard method for small or precious specimens.,In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber.,It is the standard method for small or precious specimens.,W1 — what the method IS stays; when it is preferred is rationale
SEM_FIBSEM_TAPP_v20.csv,Voxel Size and Image Stack Dimensions,2,DELETE,Determined at analysis time.,,,W2 DELETE — 'Determined at analysis time.' is nothing but C=N/A + D=Basic
SEM_Imaging_TAPP_v19.csv,BSE Detector Type,4,KEEP,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,,"KEEP — Column F names 'segmented, composition mode' and 'segmented, topography mode' but not the MECHANISM ('segments summed', 'differential signal between segments'), which is what this sentence adds. NOTE: this flag should have been withdrawn during Step 1 — the withdrawal was written but silently failed to apply"
SEM_Imaging_TAPP_v19.csv,Beam Current,3,REWRITE,"Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA).","For sub-nA values use decimal notation (e.g., 0.4 nA).",,W2 — 'Express in nA' carried by Data Type `Numeric (nA)`; the sub-nA notation guidance is not
SEM_Imaging_TAPP_v19.csv,EBSD Step Size,2,SPLIT,Must be smaller than the smallest grain of interest to resolve grain boundary positions and intragrain orientation gradients.,Must be smaller than the smallest grain of interest.,Only then are grain boundary positions and intragrain orientation gradients resolved.,W1 — the constraint on the value stays; what it buys is rationale
SEM_Imaging_TAPP_v19.csv,EBSD Phase List,2,REWRITE,The procedure specifies the expected phase suite for the target material; analysts may add phases for specific sample compositions.,Phases may be added for specific sample compositions beyond the expected suite for the target material.,,"W2 — the specify/add split is carried by C=Basic + D=Editable; what may be added, and beyond what, is not"
SEM_TAPP_v31.csv,BSE Detector Type,4,KEEP,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,,"KEEP — Column F names 'segmented, composition mode' and 'segmented, topography mode' but not the MECHANISM ('segments summed', 'differential signal between segments'), which is what this sentence adds. NOTE: this flag should have been withdrawn during Step 1 — the withdrawal was written but silently failed to apply"
SEM_TAPP_v31.csv,Beam Current,3,REWRITE,"Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA).","For sub-nA values use decimal notation (e.g., 0.4 nA).",,W2 — 'Express in nA' carried by Data Type `Numeric (nA)`; the sub-nA notation guidance is not
SEM_TAPP_v31.csv,Beam Raster Dimensions,2,SPLIT,Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement and distributes dose over a larger area to reduce beam damage on sensitive phases.,Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement.,Distributes dose over a larger area to reduce beam damage on sensitive phases.,W1 — applicability and footprint are definitional; the dose argument is rationale
SEM_TAPP_v31.csv,Technique per Analyte,1,REWRITE,"For each analyte, records which X-ray detection technique (EDS or WDS) was used to collect the measurement.",Records which X-ray detection technique (EDS or WDS) was used to collect the measurement.,,"W5.2 — 'For each analyte' carried by Keyed By: analyte, and by the field name"
SEM_TAPP_v31.csv,Technique per Analyte,2,SPLIT,"Required when a procedure employs both EDS and WDS simultaneously, assigning each element to the detector appropriate to its concentration range, line overlap situation, or required precision.",Required when a procedure employs both EDS and WDS simultaneously.,"Each element is assigned to the detector appropriate to its concentration range, line overlap situation, or required precision.",W1 — the CONDITIONAL obligation stays (real content under W3); the assignment rationale moves
SEM_TAPP_v31.csv,X-ray Line,1,REWRITE,X-ray emission line measured on each spectrometer assignment.,X-ray emission line measured.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_TAPP_v31.csv,EDS Map Dimensions,2,REWRITE,Determined at analysis time based on the area of interest and selected pixel size.,Based on the area of interest and selected pixel size.,,W2 — as Map Area
SEM_TAPP_v31.csv,Map Area,2,SPLIT,Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region; useful for direct comparison across datasets acquired with different step sizes.,Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region.,Useful for direct comparison across datasets acquired with different step sizes.,W1 — the relation to the pixel grid is definitional; the comparability argument is rationale
SEM_TAPP_v31.csv,Diffracting Crystal,1,REWRITE,Analyzing crystal (monochromator) used on each spectrometer assignment.,Analyzing crystal (monochromator).,,W5.2 — 'used on each spectrometer assignment' carried by Keyed By: channel
SEM_TAPP_v31.csv,WDS Spectrometer Channel,1,KEEP,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment.","WDS spectrometer position(s) assigned to each analyte, one entry per assignment.",,W5.1 KEEP — `defines:` form; stripping the relation this field establishes would orphan Column I
SEM_TAPP_v31.csv,WDS Spectrometer Channel,2,KEEP,"An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.","An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup.",,"W5.1 KEEP — this sentence is the JUSTIFICATION of the key (why the assignment, not the analyte, is the unit). Column I records the verdict; only this records the reasoning"
SEM_TAPP_v31.csv,Proportional Counter / Detector,1,REWRITE,Type of detector used on each spectrometer assignment.,Type of detector used.,,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_TAPP_v31.csv,Peak Counting Time,2,REWRITE,Procedure specifies standard values; analysts may adjust within procedure-defined bounds.,Adjustments stay within procedure-defined bounds.,,W2 — the specify/adjust split is carried by C=Basic + D=Editable; the bound on adjustment is not
SEM_TAPP_v31.csv,Peak Counting Time,1,REWRITE,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment.","Time spent counting X-ray intensity at the peak position, in seconds.",,W5.2 — 'on each spectrometer assignment' carried by Keyed By: channel
SEM_TAPP_v31.csv,EBSD Step Size,2,SPLIT,Must be smaller than the smallest grain of interest to resolve grain boundary positions and intragrain orientation gradients.,Must be smaller than the smallest grain of interest.,Only then are grain boundary positions and intragrain orientation gradients resolved.,W1 — the constraint on the value stays; what it buys is rationale
SEM_TAPP_v31.csv,EBSD Phase List,2,REWRITE,The procedure specifies the expected phase suite for the target material; analysts may add phases for specific sample compositions.,Phases may be added for specific sample compositions beyond the expected suite for the target material.,,"W2 — the specify/add split is carried by C=Basic + D=Editable; what may be added, and beyond what, is not"
SEM_TAPP_v31.csv,Protective Coating Deposition,2,SPLIT,E-beam deposition causes less surface damage than ion-beam deposition and should be applied as the initial layer.,E-beam deposition should be applied as the initial layer.,It causes less surface damage than ion-beam deposition.,W1 — the instruction stays; the comparative reason is rationale
SEM_TAPP_v31.csv,Lift-out Method,2,SPLIT,In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber and is the standard method for small or precious specimens.,In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber.,It is the standard method for small or precious specimens.,W1 — what the method IS stays; when it is preferred is rationale
SEM_TAPP_v31.csv,Voxel Size and Image Stack Dimensions,2,DELETE,Determined at analysis time.,,,W2 DELETE — 'Determined at analysis time.' is nothing but C=N/A + D=Basic
SEM_TAPP_v31.csv,Background Correction Method,2,KEEP,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model.,,KEEP — revised. Column F lists all 11 methods FLAT; it does not say which apply to WDS and which to EDS. The detector-to-method mapping is content Column F lacks
SEM_TAPP_v31.csv,Background Correction Method,3,KEEP,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,For EDS: spectral background fitting or top-hat filter applied during spectral processing.,,KEEP — the EDS half of the same mapping
SEM_TAPP_v31.csv,EDS Spectral Processing Type,3,KEEP,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.","Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",,KEEP — Column F names the approaches; it does not carry their SEQUENCE ('followed by peak integration') or WHEN they apply ('for overlapping peaks')
SEM_TAPP_v31.csv,Interference Corrections Applied,1,REWRITE,Whether a spectral interference correction was applied for each analyte.,Whether a spectral interference correction was applied.,,W5.2 — 'for each analyte' carried by Keyed By: analyte
SEM_TAPP_v31.csv,Interfering Elements,1,REWRITE,"Element(s) whose X-ray lines overlap with the measured peak for one or more analytes, requiring a correction.","Element(s) whose X-ray lines overlap with the measured peak, requiring a correction.",,W5.2 — 'for one or more analytes' carried by Keyed By: analyte
SEM_TAPP_v31.csv,Interference Correction Standard,1,REWRITE,Reference material used to quantify and calibrate the interference correction for each affected analyte.,Reference material used to quantify and calibrate the interference correction.,,W5.2 — 'for each affected analyte' carried by Keyed By: analyte; partial coverage is already what a consumer must assume of any key (conventions.md 7.3.1)
SEM_TAPP_v31.csv,Analytical Precision,2,REWRITE,"Include reference material name, number of analyses (n), and value per analyte or element group.","Include reference material name, number of analyses (n), and the measured value.",,W5.4 RESOLVED — as Analytical Accuracy; 'number of analyses (n)' is real content and survives
SEM_TAPP_v31.csv,Analytical Accuracy,2,REWRITE,"Include reference material, reference value source, and per-analyte value.","Include reference material, reference value source, and the measured value.",,"W5.4 RESOLVED — the description said 'per-analyte' where Keyed By says `reported property`, a conflict raised 2026-08-12 and never dispositioned. Removing the axis word retires the conflict rather than adjudicating which term is right: Column I carries the axis, so Column B does not need to name it"
SEM_TAPP_v31.csv,EDS Dead Time,2,SPLIT,EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.,This field documents the resulting percentage as a session QC metric.,EDS dead time correction is managed automatically by the detector electronics.,W1 — what the field holds stays; how the correction is handled is rationale
TEM_TAPP_v29.csv,Sample Preparation Details,2,REWRITE,Analysts record session-specific observations and deviations from the procedure standard.,Includes session-specific observations and deviations from the procedure standard.,,W2 — 'Analysts record' is carried by D=Editable; what the field holds is definitional and stays
TEM_TAPP_v29.csv,Accelerating Voltage,3,REWRITE,The procedure specifies the standard operating voltage; analysts record and justify deviations.,Justify any deviation from the standard operating voltage.,,W2 — as EPMA
TEM_TAPP_v29.csv,Analytical Sub-mode,2,DELETE,"TEM Imaging options: BF-TEM, DF-TEM, HRTEM, EFTEM.",,,"W2 DELETE — verbatim re-listing of the TEM Imaging values in Column F, which groups them the same way. S1 and S5 keep the definition and the multi-value instruction (M1)"
TEM_TAPP_v29.csv,Analytical Sub-mode,3,DELETE,"STEM Imaging options: HAADF, ABF, BF-STEM, ADF, MAADF.",,,"W2 DELETE — as S2, STEM Imaging values"
TEM_TAPP_v29.csv,Analytical Sub-mode,4,DELETE,"Electron Diffraction options: SAED, CBED, Nanobeam diffraction, Precession ED, 4D-STEM.",,,"W2 DELETE — as S2, Electron Diffraction values"
TEM_TAPP_v29.csv,HAADF Collection Angles,3,SPLIT,Inner angle is most critical and can be derived from camera length and detector geometry.,Inner angle can be derived from camera length and detector geometry.,The inner angle is the most critical.,"W1 — how to derive it stays; its importance is rationale. Kept 'most critical' verbatim: an earlier draft read 'the more critical of the two', which asserts a comparison between inner and outer angles that the source does not make"
TEM_TAPP_v29.csv,STEM Dwell Time per Pixel,2,SPLIT,"Longer dwell improves signal-to-noise but increases total specimen dose; for dose-sensitive materials, minimize dwell and compensate with frame averaging.","For dose-sensitive materials, minimize dwell and compensate with frame averaging.",Longer dwell improves signal-to-noise but increases total specimen dose.,W1 — the instruction stays; the SNR/dose trade-off is rationale
TEM_TAPP_v29.csv,Camera Length,2,SPLIT,Controls the mapping between reciprocal-space scattering angle and detector position; must be calibrated to convert pixel distances to d-spacings.,Must be calibrated to convert pixel distances to d-spacings.,Controls the mapping between reciprocal-space scattering angle and detector position.,W1 — the calibration obligation is the instruction; what it controls is rationale
TEM_TAPP_v29.csv,EELS Edges,3,REWRITE,The procedure registers the full intended edge suite; analysts confirm or narrow this list at analysis time.,The edge list may be narrowed at analysis time.,,W2 — the register/confirm split is carried by C=Basic + D=Editable; that the list may SHRINK is not
TEM_TAPP_v29.csv,EELS Edges,2,KEEP,"Provides the EELS-specific counterpart to the Analyte field: while Analyte lists elements, EELS Edges documents which ionization edges were used and their approximate energy loss positions.","Provides the EELS-specific counterpart to the Analyte field: while Analyte lists elements, EELS Edges documents which ionization edges were used and their approximate energy loss positions.",,"W5.1 KEEP — `defines: channel per analyte`; Column I is derived FROM this sentence, which is where the edge-to-analyte relation is established"
TEM_TAPP_v29.csv,EELS Energy Loss Range,2,REWRITE,The procedure documents the target range for the registered analyte edges; analysts record the actual range acquired.,The target range covers the registered analyte edges; the actual range acquired may differ.,,W2 — the document/record split is carried by C=Basic + D=Editable; the target-vs-actual distinction is not
TEM_TAPP_v29.csv,EDS Spectral Processing Type,3,KEEP,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.","Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",,KEEP — as the EPMA/SEM variant
TEM_TAPP_v29.csv,EDS Detection Limit,1,KEEP,"Estimated detection limits by EDS under this procedure's conditions, one per reported concentration variable (one per analyte, these being the same set).","Estimated detection limits by EDS under this procedure's conditions, one per reported concentration variable (one per analyte, these being the same set).",,"W5.1 KEEP — names the key correctly and then RECONCILES it with the analyte set ('these being the same set'), an equivalence Column I cannot express"
TEM_TAPP_v29.csv,EDS Dead Time,2,SPLIT,EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.,This field documents the resulting percentage as a session QC metric.,EDS dead time correction is managed automatically by the detector electronics.,W1 — as the EPMA/SEM variant
Lab-XCT_TAPP_v26.csv,Applicable Sample Dimension Range,5,SPLIT,The lower bound is a practical guideline: samples spanning fewer than ~10 voxels in their smallest dimension are difficult to characterize reliably.,The lower bound is a practical guideline: ~10 voxels across the smallest dimension.,Samples spanning fewer than that are difficult to characterize reliably.,W1 — the bound is the definition; why the guideline exists is rationale
