Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,CL Point Analysis,CL Mapping,EBSD,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)"
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'T.J. McCoy' | 'Sara Singerling'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-2345678' | 'NASA 80NSSC23K0415' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,NASA NNG06GE37G (LAJG); NASA NNG06GF08G (PRB),N,N,N,N,N,N,N,N,NSF EAR-0318518; NSF DMR-0080065 (supporting Caltech GPS Analytical Facility),NSF EAR-0318518; NSF DMR-0080065 (supporting Caltech GPS Analytical Facility),N,N,NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,N,N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Name the instrument, laboratory or purpose alongside each technique where known, and join multiple techniques with '; '. Enter ""None"" if no coupling is intended.",Advanced,Editable,Text (free),"e.g., 'EPMA (Brown University CAMECA SX-100)' | 'FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis' | 'NanoSIMS; STXM; Raman' | 'None' | 'N/A'",Source: Core module,2026-08-31,(none),,Y,Y,Y,Y,Y,,FIB milling and TEM cross-section preparation (same instrument),"EDS (same session, same instrument); EBSD (same instrument); EPMA (JEOL JXA-iHP200F, WDS, out of scope)",BSE Imaging and EDS (same instrument); SIMS (University of Wisconsin-Madison); EPMA (out of scope),"EDS and BSE Imaging (same instrument); EPMA with WDS (JEOL JXA-8900R, out of scope)",SEM-EDX (Leo 440; Leo 1540); BSE Imaging; micro-XRD; EPMA-WDS (out of scope),EDS (same instrument); CL (Hitachi S-2500C); BSE Imaging (Leo 1540); micro-XRD; EPMA (out of scope),EDS (same instrument); BSE Imaging (Leo 440); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,"EBSD (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","BSE Imaging (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","EDS (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); EDS (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","EDS (JEOL 7600F, JSC); SE Imaging (JEOL 7600F, JSC); FIB-SEM TEM prep (Quanta3D600, JSC)","BSE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","SE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","BSE/EDS (JEOL 7600F, JSC); SE/BSE/EDS (Hitachi S-4800, U Arizona)",N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'SEM-BSE/EDS used for phase identification and target selection before FIB lift-out; FIB performed after SEM survey because lift-out is destructive. TEM-EDS provides nanoscale chemistry of FIB-prepared sections.'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Organic matter | Regolith | Porous material | Whole rock | N/A | None,Source: Core module,2026-08-31,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,Y,Y,,"Carbonaceous nanoglobules, Tagish Lake (C2) meteorite (HCl/HF acid residue concentrate)","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo",Forsterite grains from Kaba (CV3) carbonaceous chondrite thin section,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,"High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)",Asteroid (101955) Bennu particles (OSIRIS-REx sample return); hummocky and angular particles,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); olivine and carbonate grains,N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,"Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fragments or particles on conductive tape | Bulk specimen, polished face | Acid-dissolution residue | N/A | None",Source: Core module,2026-08-27,(none),,Y,Y,Y,Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,N,N,N,Carbon-coated polished thin sections; high vacuum analysis,N,N,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Polished thin section (section 126A prepared from Grain 126); no coating or SEM-specific preparation stated,Polished thin section (section 126A prepared from Grain 126); no coating or EBSD-specific preparation stated,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished thin sections; ~100 nm graphite coating (as stated in CL emitting volume calculation),N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,Section 126A (USNM 7908),Section 126A (USNM 7908),NWA 7317,NWA 7317,N,N,N,N,N
Sampling Unit Type,"The kind of physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels. The units themselves are listed in Sampling Unit Name.",Basic,Read-Only,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-09-15,(none),,Y,Y,Y,Y,Y,,"Grain (individual carbonaceous nanoglobule) — ""low voltage scanning electron microscopy (SEM) was used to characterize the globule forms and external structures"" (p.1) of globules on an Al-SEM stub (p.2)","Whole sample (the NG-1 section) > Phase — BSE imaging was used ""to determine the composition and structure of the Al-Cu alloy phases and associated minerals"" in the NG-1 section, with settings given per phase (""12 kV for metals and 10 kV for silicates and oxides, beam current at 10 nA for metals and 5 nA for silicates and oxides"", p.2)","Phase > Grain — ""Electron back-scatter diffraction (EBSD) analyses were operated at 20 kV and 6 nA in focused beam mode"", the beam ""several nanometers in diameter"" with ""~30 nm"" resolution for diffracted electrons, run for ""Structural information"" on the alloy phases (p.2)","Grain > Region of interest (core and rim) — CL was measured on ""seven representative grains (designated as B-1 through B-7)"" (p.2); ""CL spectra of red luminescent forsterite grains"" are reported against their cores, which ""show CL blue luminescence"" (p.1)","Whole sample (polished thin section) > Region of interest — ""colour SEM-CL analysis of polished thin sections"" (p.1), reported as CL zoning within named textural components, ""relict CAI spinel, in chondrule and AOA forsterite, and in calcite nodules"" (p.1)","Whole sample (polished thin section) > Phase — ""Backscattered electron images and EDX element maps of the Tagish Lake sections were acquired with the Leo 440 SEM"", providing ""graphical representations of elemental distribution"" (p.3)","Region of interest — ""High-resolution BSE imaging ... carried out with the Leo 1540 FIB/SEM CrossBeam field emission SEM"" (p.3), used for ""higher resolution SEM-BSE mapping to document smaller scale relationships"" within ""polished thin sections"" of Tagish Lake (p.2)","Whole sample (polished coal block) > Phase (pore types) — ""Electron microscopy observations further revealed there are coalification-related pores and mineral-related pores in the high-rank coal"" (p.1), imaged on the polished coal blocks ""#1"" and ""#2"" (Table 1, p.2)","Whole sample (polished coal block) > Phase (pore types) — higher-resolution imaging of the same pore types (p.1) on the polished coal blocks ""#1"" and ""#2"" (Table 1, p.2)","Whole sample (section 126A) > Phase — the SEM was used ""to characterize chemical compositions and structures of minerals in section 126A"" (p.1); the metal assemblages are shown as whole-section context (Fig. 2, p.3)","Grain (single crystal) — one pattern per crystal, ""EBSD patterns of (a) the type hollisterite crystal, indexed with the C2/m Fe3Al structure"" (Fig. 3, p.3), each returning that crystal's cell parameters (p.3)","Whole sample (polished slab) > Phase — BSE images ""were used at high vacuum mode at 20.00 kV accelerating voltage"" (p.3) on the ""NWA 7317 slab"", a ""small fragment of about 10 × 6 mm"" embedded in epoxy and polished (pp.3–4)","Whole sample (polished slab) > Region of interest — ""Secondary electrons were used to construct images enlarged up to ×200,000 and resolved up to 5 nm"" (p.3) on the ""NWA 7317 slab"", a ""small fragment of about 10 × 6 mm"" embedded in epoxy and polished (pp.3–4)","Region of interest — ""Characterization of regions of interest was performed at an accelerating voltage of 15 kV using both secondary electron (SE) and low-angle backscattered electron imaging modes"", on a particle ""attached to an Al cylinder SEM mount"" (p.9)","Whole sample (polished section) > Region of interest — ""SE and BSE images were acquired using a Hitachi S-4800 SEM"" on ""Polished sections"" (p.9); the imaged fields are not labelled","Whole sample (polished section) > Region of interest — ""SE and BSE images were acquired using a Hitachi S-4800 SEM"" on ""Polished sections"" (p.9); the imaged fields are not labelled","Whole sample (particle thin section) > Region of interest — panchromatic and monochromatic CL imaging of ""Bennu particle thin sections"", the emitting volume reaching ""up to 230 nm below the bombarded sample surface and around to 200 nm sideways"" (p.9)",N — this procedure is not described in the paper (see Additional Notes)
Sampling Unit Name,"The name or label of each sampling unit analysed in this session, as the laboratory records it, together with the sample it belongs to — e.g. a spot number, a grain label, a map or region-of-interest name, or an aliquot identifier. Where units are too numerous to name individually, such as map pixels or reconstructed voxels, name the acquisition area they belong to instead.",N/A,Basic,Text (free),"e.g., NWA 8657-1: spots 1–24 | Zircon mount ZM-3: grains Z1–Z30 | Core 73001: map areas A1–A5 | Bennu aggregate OREX-803015-100: aliquot for Ti",Source: Core module,2026-09-15,defines: sample > sampling unit,"Gives every field keyed by sampling unit a row to attach its values to, and ties each unit to the sample it belongs to; without it those fields collapse to one value per session.",Y,Y,Y,Y,Y,,"Sample name only — the Tagish Lake ""carbonaceous residue was attached to an Al-SEM stub"" (p.2); globules are identified by figure panel (""A) Single sphere, B) three coalesced spheres, C) cluster of spheres …"", Fig. 1, p.2), not labelled","Sample name only — the single particle ""micrometeorite NG-1"", analysed as ""the NG-1 section"" (p.2); regions are identified by figure panel (""Alloy-rich regions"", Fig. 2; ""Silicate-dominated areas"", Fig. 3; pp.3–4), not labelled","Sample name only — the single particle ""micrometeorite NG-1"", analysed as ""the NG-1 section"" (p.2); regions are identified by figure panel (""Alloy-rich regions"", Fig. 2; ""Silicate-dominated areas"", Fig. 3; pp.3–4), not labelled","Labelled: ""seven representative grains (designated as B-1 through B-7)"" of ""a Kaba thin section"" (p.2), shown as the ""analyzed areas"" in Fig. 1 (p.2)","Sample name only — ""polished thin sections"" of Tagish Lake (p.2), not individually labelled; the numbered points of Table 1 and Fig. 1 (e.g. ""point #1"", ""spot 34"") are μXRD spots, not SEM-CL","Sample name only — ""the Tagish Lake sections"" (p.3), not individually labelled; the numbered points of Table 1 and Fig. 1 (e.g. ""point #1"", ""spot 34"") are μXRD spots, not SEM analyses","Sample name only — ""the Tagish Lake sections"" (p.3), not individually labelled; the numbered points of Table 1 and Fig. 1 (e.g. ""point #1"", ""spot 34"") are μXRD spots, not SEM analyses","Labelled: coal samples ""#1"" (Bofang Mine) and ""#2"" (Yuwu Mine) (Table 1, p.2); imaged areas are not labelled","Labelled: coal samples ""#1"" (Bofang Mine) and ""#2"" (Yuwu Mine) (Table 1, p.2); imaged areas are not labelled","Labelled: ""section 126A of USNM 7908"" (p.1), ""prepared from a larger Grain 126"" (p.2); the three mineral locations are ""marked by rectangles"" in Fig. 1 (p.2), not labelled","Labelled: ""section 126A of USNM 7908"" (p.1), ""prepared from a larger Grain 126"" (p.2); the three mineral locations are ""marked by rectangles"" in Fig. 1 (p.2), not labelled","Sample name only — ""the NWA 7317 slab"" (p.3), imaged on ""almost the same portion of the VIS-IR SPIM images"" (p.4); imaged fields and analysis points are not labelled","Sample name only — ""the NWA 7317 slab"" (p.3), imaged on ""almost the same portion of the VIS-IR SPIM images"" (p.4); imaged fields and analysis points are not labelled","N — the JSC SEM passage names no specimen (""The particle was attached to an Al cylinder SEM mount""; ""regions of interest"", p.9); the paper's OREX numbers identify figures, not this laboratory's analyses","N — the Arizona SEM passage names no specimen (""Polished sections were coated with a thin layer ... of carbon"", p.9); the paper's OREX numbers identify figures, not this laboratory's analyses","N — the Arizona SEM passage names no specimen (""Polished sections were coated with a thin layer ... of carbon"", p.9); the paper's OREX numbers identify figures, not this laboratory's analyses",N — the cathodoluminescence passage names no specimen (p.9),N — this procedure is not described in the paper (see Additional Notes)
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",N/A,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-09-15,sample,,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,USNM 7908 (section 126A),USNM 7908 (section 126A),N,N,N,N,N,N,N
