Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition. In MC-ICP-MS, the baseline is measured at the start of each block by deflecting the ion beam (beam-off or electrostatic deflector) or by aspiring an acid blank solution, and integrating for a set number of cycles. The baseline signal is subtracted from all subsequent analytical cycles in that block. Specify: (1) baseline method (beam deflector / acid blank solution), (2) number of baseline cycles per block, (3) solution used for on-peak zero (same acid matrix as samples, e.g., 0.3 M HNO3). This field documents the acquisition procedure; the choice of blank correction approach is in Blank/Background Correction Method (Group 5).",Basic,Read-Only,Text (free),Beam deflector on-peak zero; 1 baseline block of 1 cycle (4.194 s) per measurement block | On-peak zero measured before each sample by aspirating 0.3 M HNO3 for 10 cycles | N/A | None | Other: specify,,2026-06-18,
Wash Time Between Samples,"Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects. For isotope ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,,2026-06-18,
Sample Sequence Design,"Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved. For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference. For double-spike procedures, standards are spiked to the same level as samples before analysis.",Basic,Read-Only,Text (free),SSB: sample bracketed by two standards (Std1–Sample–Std2) | Double-spike: spiked standards bracketing spiked samples | SSB + secondary RM every 5 samples | N/A | None | Other: specify,,2026-07-24,
Collision Gas Type,"Type of collision gas used in KED mode for polyatomic interference suppression, on collision/reaction-cell-equipped MC-ICP-MS instruments (e.g., Nu Sapphire, Thermo Neoma MS/MS). Record 'N/A' if the instrument has no cell or KED mode is not used.",Basic,Read-Only,Controlled list,He | H2 | He+H2 | N/A | None | Other: specify,KED; only applicable to collision/reaction-cell-equipped MC-ICP-MS instruments,2026-07-29,
Collision Gas Flow Rate,"Flow rate of the collision gas in KED mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if the instrument has no cell or KED mode is not used.",Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2 | N/A,KED; only applicable to collision/reaction-cell-equipped MC-ICP-MS instruments,2026-07-29,
Cell Exit Discrimination Voltage,"Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V), on collision/reaction-cell-equipped MC-ICP-MS instruments. Controls the degree of polyatomic ion suppression. Record 'N/A' if the instrument has no cell or KED mode is not used.",Basic,Editable,Numeric (V),−2 | −5 | N/A,KED; only applicable to collision/reaction-cell-equipped MC-ICP-MS instruments,2026-07-29,
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used.",Advanced,Read-Only,Controlled list,NH3 | O2 | CH4 | N/A | None | Other: specify,DRC; only applicable to collision/reaction-cell-equipped MC-ICP-MS instruments,2026-07-29,
Reaction Gas Flow Rate,"Flow rate of the reaction gas in DRC mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used.",Advanced,Editable,Numeric (mL/min),,DRC; only applicable to collision/reaction-cell-equipped MC-ICP-MS instruments,2026-07-29,
Internal Standard Element,Element added at a known concentration to all sample and standard solutions to serve as an internal normalization standard for mass bias correction (SSB + internal normalization procedures). The element must have a known isotopic composition and mass similar to the analyte. Examples: Ni or Cu doping for Fe isotopes (must verify complete matrix separation); Tl for Pb isotopes; Cd for Sb isotopes. Specify element and monitored isotope. Record 'None' if SSB without internal standard or double-spike method is used.,Basic,Read-Only,Text (free),Cu (65Cu/63Cu for Fe procedures) | Ni (62Ni/58Ni for Fe procedures) | Tl (205Tl/203Tl for Pb procedures) | Cd (113Cd/111Cd for Sb procedures) | None | N/A | Other: specify,,2026-07-24,
Internal Standard Concentration,Target concentration of the internal normalization standard element in all measured solutions (µg/L).,Advanced,Read-Only,Numeric (µg/L),,Only relevant when Internal Standard Element is not 'None',2026-06-18,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes). Measured values are recorded in Oxide Production.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 0.5% | CeO+/Ce+ < 0.3%; BaO+/Ba+ (m/z 154/138) < 0.1% | N/A | None | Other: specify,,2026-06-18,
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.3% (threshold < 0.5% met) | BaO+/Ba+ = 0.07% (threshold < 0.1% met),,2026-07-24,
,,,,,,,,
5. Data Processing,,,,,,,,
Mass Bias Correction Strategy,"Primary strategy used to correct for instrumental isotopic mass fractionation. In solution MC-ICP-MS, instrumental mass bias is typically 3–5%/amu and must be corrected before isotope ratios can be interpreted geochemically. Four main strategies: (1) Sample-standard bracketing (SSB): alternating sample and isotopic standard measurements; bias interpolated linearly between bracketing measurements. (2) Double-spike: a mixture of two enriched isotopes of the analyte element added before digestion provides an internal monitor of both instrumental and chemical mass fractionation. (3) Internal normalization: an element of known isotopic composition added to samples and standards; measured ratio of normalizing element used to calculate the mass bias factor applied to analyte ratios. (4) SSB + internal normalization: both strategies applied simultaneously for redundant bias correction.",Basic,Read-Only,Controlled list,SSB | Double-spike | Internal normalization | SSB + internal normalization | N/A | None | Other: specify,,2026-06-18,
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None | Other: specify,,2026-07-24,
Double-Spike Isotope Pair,"The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' if double-spike method is not used.",Basic,Read-Only,Text (free),233U–236U (IRMM-3636) | 117Sn–122Sn (in-house calibrated) | 57Fe–58Fe | 61Ni–62Ni | 204Pb–207Pb | N/A | None | Other: specify,Double-spike only; record 'N/A' if not applicable,2026-06-18,
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used.",Advanced,Editable,Text (free),~0.40 (spike fraction; optimal for 117Sn–122Sn) | ~0.5 spike:sample | N/A | None,Double-spike only; record 'N/A' if not applicable. C=Advanced vs Basic: pending lit assessment,2026-06-18,
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' if double-spike method is not used.",Basic,Read-Only,Text (free),Rudge et al. (2009) Double Spike Toolbox | Iterative Newton-Raphson (Compston & Oversby 1969) | In-house spreadsheet implementing exponential-law inversion | N/A | None | Other: specify,Double-spike only; record 'N/A' if not applicable,2026-06-18,
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' if internal normalization is not used.",Basic,Read-Only,Text (free),60Ni/58Ni = 0.38579 (from IUPAC 2021) for Fe-Ni doping | 65Cu/63Cu = 0.44561 for Fe-Cu doping | 113Cd/111Cd = 0.95542 (Abouchami et al. 2012) for Sb | 205Tl/203Tl = 2.38714 for Pb | N/A | None | Other: specify,Internal normalization only; record 'N/A' if not applicable,2026-06-18,
Isotope Ratio Reported,"Specific isotope ratio pair(s) reported as primary data output. The denominator isotope is typically the reference mass used in the delta notation (e.g., 54Fe for Fe isotopes, 235U for U isotopes). Report all ratio pairs routinely calculated and reported. Analyte-specific.",Basic,Read-Only,Text (free),56Fe/54Fe and 57Fe/54Fe | 238U/235U | 122Sn/118Sn | 123Sb/121Sb | 206Pb/204Pb; 207Pb/204Pb; 208Pb/204Pb | N/A | None | Other: specify,Analyte-Specific,2026-06-18,
delta or epsilon Value Reference Standard,"International or community-accepted isotopic reference standard used as the zero-delta anchor for expressing isotopic compositions in delta (δ, per mil) or epsilon (ε, per ten thousand) notation: δⁱX = [(ⁱX/ʲX)sample / (ⁱX/ʲX)reference − 1] × 1000‰. The reporting reference is a per-study or per-publication decision and is specified at analysis level. Specify the standard name, lot or batch number where applicable, and the certified or consensus isotope ratio used for normalization. Analyte-specific.",N/A,Basic,Text (free),IRMM-014 (Fe; Taylor et al. 1992) | CRM-112a / SRM-960 (U) | NIST SRM 981 (Pb) | NIST SRM 3102a (Sb) | Sn_IPGP (in-house Sn standard) | JMC Lyon (Zn) | N/A | None | Other: specify,Analyte-Specific,2026-06-18,
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations, where concentration data are also a product of the procedure (e.g., isotope dilution combined with isotope ratio measurement). For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'. For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach. Analyte-specific when different elements use different strategies.",Advanced,Read-Only,Controlled list,Not applicable (isotope ratios only) | Isotope dilution via double-spike inversion (concentrations co-determined with isotope ratios) | IUPAC isotope dilution equations (separate ID spike) | N/A | None | Other: specify,,2026-07-24,
