Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Coupled Procedure DOI,DOI of the registered procedure for the coupled technique.,N/A,Advanced,URI / DOI,,,2026-07-24,,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Dataset or Publication Reference,"DOI of the dataset or publication containing the coupled technique data. If coupling is documented only through a shared sample IGSN (Group 2), this field may be 'None'.",N/A,Advanced,URI / DOI,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
2. Samples,,,,,,,,,N,N,N,N,N,N
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, peridotite, chondrite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,,2026-06-16,,Soil samples (sequential acid leach fractions; stated abstract),Magnetite and pyrite (mineral separates from skarn deposits; stated abstract),"Geological reference materials and carbonaceous chondrites (basalt, andesite, peridotite, chondrites; stated section 2.5)",Open-ocean seawater (stated abstract),Foraminifera calcite (benthic and planktonic species; stated abstract),"Geological reference materials (basalt, andesite, granite, shale, peridotite, NIST glass; stated Table 2)"
Sample IGSN,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,,Sequential acid leaching of bulk soil (TD and AR fractions; stated section 2.2),Mineral separates (~100 mg powder; stated section 2.3),Whole-rock powder (decomposed in TFM bomb; same as Q-ICP-MS portion; stated section 2.1.1),Open-ocean seawater; off-line pre-concentration using Toyopearl AF-Chelate-650M chelating resin (stated section 2.2),Foraminifera shells cleaned and dissolved in minimum 1 M HNO3 then diluted (stated section 2.4),Whole-rock powder (~100 mg; stated section on sample preparation)
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).",Basic,Read-Only,Text (free),HF–HNO3 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,,2026-06-16,,Aqua regia (AR fraction); HF-HNO3 for residue (stated section 2.2),Step 1: 6M HCl (1.5 ml) + 8M HNO3 (0.5 ml); Step 2: 10M HCl (1.5 ml) for re-dissolution; stated section 2.3.1,0.5 mol/l HF (same as Q-ICP-MS portion; stated section 2.1.1),N/A (seawater; pre-concentration by chelation; no acid digestion),1 M HNO3 (minimum volume for dissolution; stated section 2.4),HF (1-2 ml) + HNO3 (0.2 ml; stated sample prep section)
Digestion Vessel Type,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Basic,Read-Only,Controlled list,Savillex beaker | Parr bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-06-16,,N,15 mL Teflon capsule (stated section 2.3),TFM bomb (TFM-981; stated section 2.1.1),N/A (no digestion vessel; seawater pre-concentration),N/A (simple dissolution; stated section 2.4),"15 ml Savillex PFA beakers (non-refractory, hotplate); Parr bombs (refractory minerals; stated sample prep section)"
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps (e.g., an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals).",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,,N,2 (step 1: 6M HCl + 8M HNO3 at 130 deg C / 48 h; step 2: evaporate + re-dissolve in 10M HCl; both steps explicitly described; stated section 2.3.1),N,N/A,1 (stated section 2.4),N
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),,,2026-07-24,,N,130 deg C (stated section 2.3),N,N/A,N/A (ambient dissolution; stated section 2.4),"130 deg C (hotplate, non-refractory); 180 deg C (Parr bomb, refractory; stated sample prep section)"
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),,,2026-06-16,,N,48 h (stated section 2.3),N,N/A,N/A,"12 h (non-refractory, hotplate); 7 days (refractory, Parr bomb; stated sample prep section)"
Final Solution Matrix,Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. Note: some SF-ICP-MS procedures add trace HF to final solution to stabilize HFSE.,Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 2% HNO3 + trace HF | 6M HCl (intermediate) | N/A | None | Other: specify,,2026-07-24,,2% HNO3 + 1 ppb Tl (stated section 2.3),2% HNO3 + 5 ng/ml Rh (stated section 2.3),N (HF-based; same as Q-ICP-MS; stated section 2.1.1),1.0 M HNO3 (trace elements eluted from chelating resin in 1 mL; stated section 2.2),0.1 M HNO3 + 0.3 M HF (Table 1),"0.4 mol/l HNO3 (dilution factor ~21000 for LR, ~1000 for HR; stated sample prep section)"
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Advanced,Editable,Numeric (mg or mL),,,2026-06-16,,N,~100 mg mineral powder (stated section 2.3),N,12 mL seawater (stated section 2.2),1-2 mg foraminifera shells (stated section 2.4),~100 mg (stated sample prep section)
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to ICP-MS analysis. Common for procedures requiring matrix removal or interference elimination before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE). Record resin type and matrix conditions if applied. Record 'None' if direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,,2026-07-24,,None (Pb separation performed for MC-ICP-MS only; SF-ICP-MS uses unseparated leachate with Tl addition; stated section 2.3),AG1-X8 anion exchange resin + TRUspec resin (stated section 2.3.2),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.2),Toyopearl AF-Chelate-650M chelating resin (pre-concentration from seawater; stated section 2.2),None (direct dissolution analysis; stated section 2.4),None (direct analysis; stated section on instrumentation)
Isotope Dilution Spike,Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis. Spike must be added before digestion for complete equilibration. Record spike name or certificate reference and spike isotope(s). Record 'None' if ID technique is not used.,Basic,Read-Only,Text (free),Mixed multi-element spike | Single-element spike | None | N/A | Other: specify,,2026-06-16,,"None (Tl added for mass fractionation correction only, not ID)",None (external calibration used; stated section 2.3),N (Ti measured by ID; spike isotope not stated; stated section 2.1.2),"57Fe, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb enriched isotope spikes (stated Table 1)",None,"Multi-element spike (MES; enriched isotopes of Rb, Sr, Y, Zr, Nb, Cs, Ba, REE, Hf, Pb, Th, U; stated section on instrumentation)"
3. Instrument & Software,,,,,,,,,N,N,N,N,N,N
Instrument Make and Model,"Manufacturer and model name of the sector-field ICP-MS instrument (e.g., Thermo Element 2, Thermo Element XR, Nu Instruments Attom HR). Determines available mass resolution modes and detector configuration.",Basic,Read-Only,Text (free),Thermo Element 2 | Thermo Element XR | Nu Instruments Attom HR | Nu Instruments AttoM ES | N/A | None | Other: specify,,2026-06-16,,Nu Instruments Attom SC-SF-ICP-MS (stated section 2.3),Thermo Fisher Element I HR-ICP-MS (stated Table 1),Finnigan ELEMENT sector-field ICP-MS (stated section 2.1.2),Thermo Finnigan Element I (E1) HR-ICP-MS (stated section 2.4),Thermo Element XR single-collector SF-ICP-MS (stated section 2.3),ThermoFinnigan ELEMENT2 (stated section on instrumentation)
ICP-MS Type,Type of sector-field ICP-MS system. Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams.,Basic,Read-Only,Controlled list,Single-collector sector-field (SF-ICP-MS) | Other: specify,,2026-06-16,,Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-16,,N,N,N,N,N,N
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-16,,N,N,Quartz glass torch with sapphire injector (stated Table in section 2.1.2),N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance.,Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Al sample cone + Al skimmer | N/A | None | Other: specify,,2026-06-16,,N,1.1 mm Ni sampler + 0.8 mm Ni skimmer (Table 1),1 mm Ni sampler + 0.8 mm Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler (Spectron Inc.) + Ni skimmer (Spectron Inc.; Table 2),Pt-normal sampler + Pt-H skimmer (Table 1),1.0 mm Ni sampler + 0.5 mm Ni skimmer (Table 3)
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Aluminium (Al) cones are used in some SF-ICP-MS labs for enhanced sensitivity at high resolution. Platinum (Pt) is used for HCl-rich matrices.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Al sampler and Al skimmer | Pt sampler and Pt skimmer | N/A | None | Other: specify,,2026-06-16,,N,Ni sampler and Ni skimmer (Table 1),Ni sampler and Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler and Ni skimmer (Table 2),Pt sampler and Pt skimmer (Table 1),Ni sampler and Ni skimmer (Table 3)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position. Affects ion transmission efficiency and oxide formation rates. Procedure registers the target torch position; analyst confirms or adjusts during session tuning.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-07-24,,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. Actively used as a design feature on Thermo Element 2 and Element XR instruments.",Advanced,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,N,N
Mass Resolution Setting,"Mass resolution mode(s) used in this procedure. Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000). Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution per Analyte). Procedure registers the mode(s) in use; analyst confirms at session start.",Basic,Editable,Text (free),LR only (m/Δm ≈ 300) | LR+MR | LR+MR+HR | MR only (m/Δm ≈ 2500) | N/A | None | Other: specify,,2026-07-24,,N (Nu Attom uses deflector peak jump; no LR/MR/HR designation stated; stated section 2.3),N,MR (M/Delta-m = 3000; stated section 2.1.2),LR (R ~300) and MR (R ~4000; stated section 2.4),LR and MR (stated Table 1 and section 2.3),LR (M/Delta-m = 300) and HR (M/Delta-m = 11000; stated section on instrumentation)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and the detection mode(s) used. SF-ICP-MS instruments typically use a single SEM. Some instruments (e.g., Thermo Element XR) support triple mode: pulse counting for low signals, analog for mid-range signals, and Faraday cup for high signals. The cross-calibration correction between detector modes is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog) | Single SEM, triple mode (pulse counting, analog, Faraday) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-06-16,,Single SEM; deflector peak jump mode for Pb isotopes (stated section 2.3),"Single SEM, pulse counting only (stated Table 1: counting mode)","Single SEM, pulse counting (stated section 2.1.2)","Single SEM, dual mode (stated section 2.4)","Single SEM, dual mode (pulse counting + analog; fixed per analyte; Table 1)",N
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and uptake rate.,Basic,Read-Only,Text (free),PFA MicroFlow | Meinhard | Micromist | PFA-ST | N/A | None | Other: specify,,2026-06-16,,Glass Expansion glass nebulizer (stated section 2.3),N,"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.2)",PFA microflow PFA-100 (Elemental Scientific; Table 2),ESI 50 uL microconcentric nebulizer; self-aspirating (Table 1),ESI microconcentric Teflon nebulizer (stated section on instrumentation)
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma.,Basic,Read-Only,Text (free),Scott double-pass (glass) | Scott double-pass (PFA) | Cyclonic at 7°C | Cinnabar cyclonic at 7°C | N/A | None | Other: specify,,2026-06-16,,Glass Expansion cyclonic spray chamber (stated section 2.3),N,"Scott double-pass, uncooled, Teflon (stated Table in section 2.1.2)",PFA Teflon Savillex 100 mL with internal baffle (Table 2),Teflon Scott-type single-pass (Savillex PFA; Table 1 footnote),ESI Teflon spray chamber (stated section on instrumentation)
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Reduces oxide production rates and increases sensitivity for selected element groups. Specific systems (e.g., Aridus-I) are often assigned to particular element fractions in multi-fraction procedures. Record 'None' if not used.",Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex IR | ApexQ | None | N/A | Other: specify,,2026-07-24,,N,N,None,None,None,None
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),,,2026-06-16,,0.33 ml/min (stated section 2.3),200 uL/min (Table 1),Self-aspiration; uptake time 60 s (stated section 2.1.2); volumetric flow rate N,150 uL/min (Table 2),50 uL ESI nebulizer; uptake time 70 s (Table 1); volumetric flow rate N,~100 uL/min (Table 3)
Acquisition Software,Name and version of the software used to control the instrument and acquire raw mass spectrum data.,Basic,Editable,Text (free),,,2026-06-17,,N,N,N,N,N,N
Data Reduction Software,"Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation. Include version number.",Basic,Editable,Text (free),,,2026-06-17,,N,N,N,N,N,N
4. Measurement Information,,,,,,,,,N,N,N,N,N,N
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1200 | 1300 | 1350 | 1550,,2026-06-16,,N,1300 W (Table 1),1.1 kW (stated Table in section 2.1.2),1300 W (Table 2),1250 W (Table 1),1235 W (Table 3)
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–16 L/min,,2026-06-16,,N,14.6 L/min (Table 1),14 L/min (stated Table in section 2.1.2),13 L/min (Table 2),N,15 L/min (Table 3)
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-16,,N,0.96 L/min (Table 1),1.2 L/min (stated Table in section 2.1.2),1.05 L/min (varied and optimized daily; Table 2),N,0.9 L/min (Table 3)
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity.,Basic,Editable,Numeric (L/min),0.8–1.0 L/min,,2026-06-16,,N,0.90 L/min (sampling gas; Table 1),0.90 L/min (stated Table in section 2.1.2),1.2 L/min (varied and optimized daily; Table 2),N,1.0 L/min (sample gas; Table 3)
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used.,Advanced,Editable,Numeric (L/min),,Only relevant when Desolvation System is not 'None',2026-06-16,,N/A,N/A,N/A,N/A,N/A,N/A
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-06-16,,N,Normal plasma (1300 W; Table 1),Normal plasma (1.1 kW; stated section 2.1.2),Normal plasma (1300 W; Table 2),Normal plasma (1250 W; Table 1),Normal plasma (1235 W; Table 3)
Analyte,"Elements or isotopes this procedure is designed to measure. The procedure registers the full analyte suite; at analysis level, the analyst records the specific subset actually measured in the session, which may be narrower if certain masses were excluded due to interferences or scope reduction. Fields flagged as Analyte-Specific in the Comments column apply individually to each element or isotope in this list.",Basic,Editable,Text (free),,,2026-07-24,,"Pb isotopes (204Pb, 206Pb, 207Pb, 208Pb) with mass fractionation monitors 202Hg, 203Tl, 205Tl (stated section 2.3)","Trace elements: REEs, Cr, Co, Ni, Cu, Zn, Li, Rb, Sr, Cs, Ba (stated section 2.3.2)","Ti (47Ti, 49Ti) with Nb (93Nb) as ID-IS; stated section 2.1.2","Mn (55Mn), Fe (57Fe), Co (59Co), Ni (62Ni), Cu (65Cu), Zn (68Zn), Cd (111Cd), Pb (207Pb) in seawater (stated Table 1)","Li, B, Na, Mg, Al, Mn, Fe, Zn, Sr, Cd, Ba, U as Me/Ca ratios in foraminifera (stated section 2.3)","26 trace elements: Rb, Sr, Y, Zr, Nb, Cs, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, Pb, Th, U (stated Table 2)"
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses. Analyte-specific field.",Basic,Read-Only,Text (free),71Ga | 109Ag | 115In | 205Tl | 209Bi | N/A | None | Other: specify,Analyte-Specific,2026-07-24,,"202Hg, 203Tl, 204Pb, 205Tl, 206Pb, 207Pb, 208Pb (stated section 2.3)",N,"47Ti, 49Ti, 93Nb (stated section 2.1.2)","55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb (Table 1)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)",N (Table 2 lists elements without specific mass numbers)
Mass Resolution per Analyte,Mass resolution mode assigned to each analyte in this procedure. The selected resolution determines which polyatomic interferences are physically resolved by the magnet sector. Per-analyte assignments are documented here; the overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3). Analyte-specific field.,Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All MR (m/Δm ~2500) | N/A | None | Other: specify",Analyte-Specific,2026-07-24,,N (Nu Attom uses deflector peak jump; resolution mode not stated in LR/MR/HR terms),N,"MR (M/Delta-m = 3000) for all analytes: 47Ti, 49Ti, 93Nb (stated section 2.1.2)","MR (R ~4000): 55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn; LR (R ~300): 111Cd, 207Pb (stated section 2.4)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)","LR (M/Delta-m = 300): Rb, Sr, Y, Zr, Nb, Cs, Ba, La-Nd, Hf, Ta, Pb, Th, U; HR (M/Delta-m = 11000): Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu (stated section on instrumentation)"
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the center mass (%). Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet. Record 'N/A' if E-scan acquisition is not used.",Advanced,Read-Only,Numeric (%),15% | 10%,Only relevant when E-scan acquisition mode is used,2026-06-16,,"N/A (Nu Attom uses deflector peak jump, not E-scan)",N,N,N,N,N
Triple Scanning Mode,Whether each mass peak is scanned three times per cycle and the results averaged (Y/N). Used to reduce noise from short-term magnetic field instabilities. Record 'N/A' if not applicable to the instrument.,Advanced,Read-Only,Controlled list,Y | N | N/A | None | Other: specify,,2026-06-16,,N/A (Nu Attom instrument; not applicable),N,N,N,N,N
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ per analyte if analyte-specific dwell times are programmed.,Basic,Read-Only,Numeric (ms) / Text,,Analyte-Specific,2026-06-16,,500 us (0.5 ms) per mass (stated section 2.3),100 ms per isotope (Table 1),47Ti/49Ti: 0.18 s per 1 s cycle; 30 scans in 50 s continuous nebulization (Table 2b and section 2.1.2),N,LR: 50-100 ms sample time per mass; MR: 25 ms sample time per mass (Table 3),100 ms per mass (Table 3)
Number of Scans per Replicate,Number of complete mass scans accumulated per analytical replicate.,Basic,Read-Only,Integer,20 | 40 | 100 | 300,,2026-06-16,,2000 sweeps per set x 30 sets (stated section 2.3),N,30 scans in 50 s (stated section 2.1.2),N,LR: 15 passes x 3 runs = 45 total; MR: 3 passes x 3 runs = 9 total (Table 3),70-120 scans per analysis (stated section on instrumentation)
Number of Replicates per Sample,Number of discrete replicate measurements acquired per sample solution.,Basic,Read-Only,Integer,3 | 5 | 10,,2026-06-16,,1 (30 sets of 2000 sweeps = single 4.5 min continuous analysis; stated section 2.3),N,N,N,3 runs (LR and MR; Table 3),N
Sample Sequence Design,"Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved.",Basic,Read-Only,Text (free),Matrix-matched bracketing every 5 samples | Standard after every 3 samples | Dual-aliquot design (Barrat approach) | N/A | None | Other: specify,,2026-06-16,,N,N,Standard solution measured every two samples; background measured before each sample (stated section 2.1.2),N,Blocks of 7 samples bracketed by pair of acid blanks and consistency standards (stated section 2.3.1),N
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects.,Basic,Read-Only,Numeric (s),,,2026-06-16,,10 s in two 2% HNO3 reservoirs (stated section 2.3),60 s (Table 1),~200 s (background measured after 200 s wash before each sample; stated section 2.1.2),N,120 s (Table 1),N
Internal Standard Element,"Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope.",Basic,Read-Only,Text (free),Y + Ho | Rh (10 ppb) | Tm spike aliquot | None | N/A | Other: specify,,2026-06-16,,Tl (203Tl and 205Tl for mass fractionation correction; stated section 2.3),Rh (103Rh; Table 1),Nb (93Nb as ID internal standard for Ti; stated section 2.1.2),None (ID method used; no external IS; stated section 2.1),None (matrix-matched external calibration; stated section 2.3.1),Ru and Re (in-run mass fractionation correction; ~6 uL Ru-Re solution per dilution; stated section on instrumentation)
