Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,Quartz glass torch with Pt injector (stated Table in section 2.1.1)
Interface Cone Configuration,"Geometry and designation of the sampler and skimmer cones installed during analysis. Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance.",Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Ni sample cone + Ni Xs skimmer | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,1 mm Pt sampler + 0.4 mm Pt skimmer (stated Table in section 2.1.1)
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Platinum (Pt) is used for samples in HCl-rich or organic matrices due to greater corrosion resistance.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,Pt sampler and Pt skimmer (stated Table in section 2.1.1)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position. Affects ion transmission efficiency and oxide formation rates. Procedure registers the target torch position; analyst confirms or adjusts during session tuning.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-07-24,,N,N,N,N,N
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Advanced,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,On (shield torch system used; stated section 2.1.1)
Mass Resolution Setting,"Mass resolution of the quadrupole analyser. For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible. This field documents the instrument class constraint at procedure level.",Basic,Read-Only,Controlled list,"Unit resolution (quadrupole, fixed; m/Δm ≈ 300)",,2026-07-24,,"Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)"
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode for this procedure. STD = standard mode with no cell gas; KED = kinetic energy discrimination with He or H2 collision gas to suppress polyatomic interferences; DRC = dynamic reaction cell with reactive gas (e.g., NH3). Specific gas types, flow rates, and voltages are documented in Group 4.",Basic,Read-Only,Controlled list,None (STD mode) | KED (He) | DRC (NH3) | KED+DRC | Not installed | N/A | Other: specify,,2026-07-24,,None (STD mode; stated section 3.1),None (STD mode; DRC II instrument but no reaction gas stated; stated section 2),N,KED (He); He at 5 mL/min applied for masses 23-75 (stated Methods),None (STD mode; collision gases not introduced into cell; stated section 2.1.1)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and whether dual pulse-counting/analog mode is used. Most Q-ICP-MS instruments use a single SEM in dual mode (pulse counting at low signals, analog at high signals), with an instrument-specific crossover threshold. The pulse-to-analog cross-calibration correction is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog; crossover ~10^6 cps) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-06-16,,N,N,N,N,Dual mode: pulse counting + analog (crossover ~10^6 cps; stated section 2.1.1)
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Basic,Read-Only,Text (free),PFA MicroFlow | PFA-ST | Concentric glass | Micromist | Meinhard | N/A | None | Other: specify,,2026-06-16,,Glass microconcentric nebulizer (MCN; stated section 3.1),Glass Expansion Micromist FM005 (stated section 2 and Table 1),N,MicroMist nebulizer (stated Methods),"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.1)"
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma.,Basic,Read-Only,Text (free),Cyclonic quartz at 2°C | Scott double-pass at 7°C | Conical with impact bead (uncooled) | N/A | None | Other: specify,,2026-06-16,,Cyclonic spray chamber (stated section 3.1),Cyclonic quartz spray chamber (stated Table 1),N,Scott spray chamber (stated Methods),"Scott double-pass, cooled at 2 deg C, Teflon (stated Table in section 2.1.1)"
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Lowers oxide production rates and increases sensitivity for selected element groups (e.g., ApexQ for chalcophile elements). Record 'None' if not used.",Advanced,Read-Only,Controlled list,ApexQ | Aridus II | Aridus I | Apex IR | None | N/A | Other: specify,,2026-06-16,,None,None,N,None,None
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),,,2026-06-16,,0.20 ml/min (stated section 3.1),~60 uL/min (stated Table 1; 0.03 mm ID pump tubing),N,0.2 mL/min (stated Methods),Self-aspiration; volumetric flow rate N (stated Table in section 2.1.1)
Acquisition Software,"Name and version of the software used to control the instrument and acquire raw mass spectrum data (e.g., Qtegra, MassLynx).",Basic,Editable,Text (free),,,2026-06-17,,N,N,N,N,N
Data Reduction Software,"Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation (e.g., Iolite, lab spreadsheet). Include version number.",Basic,Editable,Text (free),,,2026-06-17,,N,N,N,N,N
4. Measurement Information,,,,,,,,,N,N,N,N,N
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1400 | 1500 | 1550 | 1600,,2026-06-16,,1350 W (stated section 3.1),1300 W (Table 1),N,N,1.6 kW (stated Table in section 2.1.1)
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–18 L/min,,2026-06-16,,14 L/min (outer ICP gas; stated section 3.1),15 L/min (Table 1),N,N,15 L/min (stated Table in section 2.1.1)
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.7–1.2 L/min,,2026-06-16,,1.2 L/min (intermediate gas; stated section 3.1),1.2 L/min (Table 1),N,N,0.90 L/min (stated Table in section 2.1.1)
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity.,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-16,,N,0.99-1.02 L/min (Table 1),N,N,0.92 L/min (stated Table in section 2.1.1)
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used.,Advanced,Editable,Numeric (L/min),,Only relevant when Desolvation System is not 'None',2026-06-16,,N/A,N/A,N/A,N/A,0.25 L/min supplementary Ar for PFA micronebulizer (stated Table in section 2.1.1)
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-06-16,,Normal plasma (1350 W; stated section 3.1),Normal plasma (1300 W; Table 1),N,N,Normal plasma (1.6 kW; stated section 2.1.1)
Analyte,"Elements or isotopes this procedure is designed to measure. The procedure registers the full analyte suite; at analysis level, the analyst records the specific subset actually measured in the session, which may be narrower if certain masses were excluded due to interferences or scope reduction. Fields flagged as Analyte-Specific in the Comments column apply individually to each element or isotope in this list.",Basic,Editable,Text (free),,,2026-07-24,,"48 trace elements: Li, Be, B, Sc, V, Cr, Co, Ni, Cu, Zn, Ga, Ge, As, Rb, Sr, Y, Zr, Nb, Mo, Cd, In, Sn, Sb, Te, Cs, Ba, La-Lu, Hf, Ta, W, Tl, Pb, Bi, Th, U (stated section 3.1)","9 Me/Ca ratios: Li, B, Mg, Al, Mn, Zn, Sr, Cd, U relative to Ca (stated Table 1)","Cd, In, Tl, Bi (with 149Sm as ID-IS reference; stated section 2)","Major and trace elements (masses 23-75, Na to As; stated Methods)","B, Zr, Nb, Mo, Sn, Sb, Hf, Ta (stated Table 2a)"
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses. Analyte-specific field.",Basic,Read-Only,Text (free),67Zn | 115In | 209Bi | 172Yb | N/A | None | Other: specify,Analyte-Specific,2026-07-24,,N (not listed by mass number in paper),"7Li, 11B, 25Mg, 46Ca, 27Al, 55Mn, 66Zn, 87Sr, 111Cd, 238U (Table 1)","95Mo, 111Cd, 113Cd, 115In, 118Sn, 149Sm, 205Tl, 209Bi (Table 1)",N,"10B, 11B, 90Zr, 91Zr, 93Nb, 95Mo, 97Mo, 118Sn, 119Sn, 121Sb, 123Sb, 178Hf, 179Hf, 181Ta (Table 2a)"
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ per analyte if analyte-specific dwell times are programmed.,Basic,Read-Only,Numeric (ms) / Text,,Analyte-Specific,2026-06-16,,150 ms per mass (0.15 s; stated section 3.1),"Analyte-specific: 7Li 10 ms, 11B 10 ms, 25Mg 0.5 ms, 46Ca 2 ms, 27Al 0.5 ms, 55Mn 0.5 ms, 66Zn 5 ms, 87Sr 0.5 ms, 111Cd 60 ms, 238U 20 ms (Table 1)","Analyte-specific: 0.11 ms per mass per scan for 95Mo/111Cd/113Cd/115In/118Sn/149Sm; 0.18 ms per mass per scan for 205Tl/209Bi (Table 1, expressed as ms per 1 s cycle)",N,"Analyte-specific fraction of 1 s per mass (Table 2a): B 0.0801 s, Zr 0.0032 s, Nb 0.0320 s, Mo/Sn/Sb 0.0481 s, Hf 0.0641 s, Ta 0.2083 s"
Mass Cycles per Replicate,Number of complete mass scans (sweeps) accumulated per analytical replicate.,Basic,Read-Only,Integer,20 | 40 | 100,,2026-06-16,,3 sweeps/reading x 3 readings/replicate (= 9 sweeps/replicate; stated section 3.1),250 sweeps per replicate (Table 1),N,N,48 scans per 30 s acquisition (stated section 2.1.1)
Number of Replicates per Sample,Number of discrete replicate measurements acquired per sample solution.,Basic,Read-Only,Integer,3 | 5 | 10 | 20,,2026-06-16,,N,6 replicates (Table 1),N,N,N
Sample Sequence Design,"Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved.",Basic,Read-Only,Text (free),Calibration block at session start; standard after every 3 samples | Bracketing every 5 samples | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,Standard solution measured every two samples (stated section 2.1.1)
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects.,Basic,Read-Only,Numeric (s),,,2026-06-16,,N (B and Ta require special washout: 5% HNO3 + 0.1% HF alternated with 3% HNO3; stated section 3.1),60 s (Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~180 s (~3 min; stated: each measurement ~6 min including ~3 min wash; section 2.1.1)
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range. Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.",Basic,Read-Only,Controlled list,Peak hopping | Scanning | N/A | None | Other: specify,,2026-06-17,,N,Peak hopping (stated Table 1),N,N,N
Collision Gas Type,Type of collision gas used in KED mode for polyatomic interference suppression. Record 'N/A' if KED mode is not used.,Basic,Read-Only,Controlled list,He | H2 | He+H2 | N/A | None | Other: specify,KED,2026-06-16,,N/A,N/A,N/A,He (stated Methods),N/A
Collision Gas Flow Rate,Flow rate of the collision gas in KED mode (mL/min). Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if KED mode is not used.,Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2,KED,2026-06-16,,N/A,N/A,N/A,5 mL/min (stated Methods),N/A
Cell Exit Discrimination Voltage,Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V). Controls the degree of polyatomic ion suppression. Record 'N/A' if KED mode is not used.,Basic,Editable,Numeric (V),−2 | −5,KED,2026-06-16,,N/A,N/A,N/A,N,N/A
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4). Record 'N/A' if DRC mode is not used.",Advanced,Read-Only,Controlled list,NH3 | O2 | CH4 | N/A | None | Other: specify,DRC,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Reaction Gas Flow Rate,Flow rate of the reaction gas in DRC mode (mL/min). Record 'N/A' if DRC mode is not used.,Advanced,Editable,Numeric (mL/min),,DRC,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Internal Standard Element,"Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope.",Basic,Read-Only,Text (free),Ho (2 ppb) | Tb + Bi | In (10 ppb) | Rh (50 ppb) | None | N/A | Other: specify,,2026-06-16,,Rh (stated section 3.1),None (matrix-matched external calibration; stated section 2),149Sm (as ID-IS reference; stated section 2),"Sc, In, Re (stated Methods)",None (ID-IS method: spike isotope ratios used; stated section 2.1)
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb).,Advanced,Read-Only,Numeric (µg/L),,,2026-06-16,,N,N/A,N,N,N/A
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. For solution ICP-MS, CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. Record both the monitored mass ratio and the maximum allowed oxide rate threshold. Measured values are recorded in Oxide Production.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 1.5% | CeO+/Ce+ < 1% | ThO+/Th+ < 0.3% | N/A | None | Other: specify,,2026-06-16,,CeO+/Ce+ < 2.5% and Ce2+/Ce+ < 2.5% (stated section 3.1),CeO/Ce < 3% (stated section 2),CeO+/Ce+ < 0.01 (= <1%; stated section 2),N,CeO+/Ce+ < 1% (stated section 2.1.1)
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.8% (threshold < 1.5% met) | ThO+/Th+ = 0.2% (threshold < 0.3% met),,2026-07-24,,N/A,N/A,N/A,N/A,N/A
Doubly-Charged Species Monitor,Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. Ba2+/Ba+ (m/z 69/138) and Ce2+/Ce+ (m/z 70/140) are the most common proxies for solution ICP-MS.,Advanced,Editable,Text (free),Ba2+/Ba+ (m/z 69/138) | Ce2+/Ce+ (m/z 70/140) | N/A | None | Other: specify,,2026-06-16,,Ce2+/Ce+ (m/z 70/140; stated section 3.1),N,N,N,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.,Advanced,Editable,Text (free),Ba2+/Ba+ < 5% (threshold); 2.1% (measured) | Ce2+/Ce+ < 3% (threshold); 1.8% (measured) | N/A | None,,2026-06-16,,Ce2+/Ce+ < 2.5% threshold (stated section 3.1),N,N,N,N
5. Data Processing,,,,,,,,,N,N,N,N,N
