Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),0.3 M HNO3 | 2% HNO3 | 0.5 M HCl | 3 M HCl | N/A | None | Other: specify,,2026-06-18,(none),
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",,2026-08-10,(none),
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin AG1-X8 (HCl) | Cation exchange resin AG50W-X8 | TRU resin | UTEVA resin | AG-MP-1 (HBr) | Thiol resin | Multi-step: specify | None | N/A | Other: specify,,2026-06-18,(none),
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),IRMM-3636 (233U–236U double spike) | 117Sn–122Sn double spike (in-house) | 57Fe–58Fe double spike | None | N/A | Other: specify,,2026-07-24,(none),
,,,,,,,,,
3. Instrument & Software,,,,,,,,,N
Instrument Make and Model,"Manufacturer and model name of the MC-ICP-MS instrument. Determines the collector array geometry, available mass resolution modes, and detector complement.",Basic,Read-Only,Text (free),Thermo Scientific Neptune | Thermo Scientific Neptune Plus | Nu Instruments Nu Plasma II | Nu Instruments Nu Plasma 1700 | Nu Instruments Nu Sapphire | IsotopX Phoenix | N/A | None | Other: specify,,2026-06-18,(none),
ICP-MS Type,"Type of ICP-MS system. Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection.",Basic,Read-Only,Controlled list,Multi-collector sector-field (MC-ICP-MS) | N/A | None | Other: specify,,2026-08-11,(none),
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-18,(none),
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-18,(none),
Interface Cone Configuration,"Geometry and designation of the sampler and skimmer cones installed during analysis. For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision. Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity.",Basic,Read-Only,Text (free),Ni H-sampler + Ni H-skimmer (standard) | Ni H-sampler + Ni X-skimmer | Ni Jet-sampler + Ni X-skimmer (with interface pump) | N/A | None | Other: specify,,2026-07-24,(none),
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for HNO3 matrices. Platinum (Pt) cones are used for HCl-rich matrices (e.g., 6 M HCl in Fe chemistry procedures) due to greater corrosion resistance.",Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,,2026-07-24,(none),
Torch Depth,Distance between the load coil and the sampling cone tip (mm). Affects ion transmission efficiency and oxide formation rates. Procedure registers the target torch position; analyst confirms or adjusts during session tuning.,Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-07-24,(none),
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-08-11,(none),
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array. Specify the total number of Faraday cup detectors (fixed and moveable), their labeled positions (e.g., L4, L3, L2, L1, Ax, H1, H2, H3, H4 for a 9-cup Neptune), and the presence and position of any ion counter (SEM) or Daly detector in the collector block. The number and span of cups constrains which isotope combinations can be simultaneously collected.",Basic,Read-Only,Text (free),Neptune: 9 Faraday cups (L4–H4) + 1 SEM (axial or off-axis); Nu Plasma II: 16 Faraday cups + 3 ion counters | N/A | None | Other: specify,,2026-06-18,(none),
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors, yielding 1 V per ~6.24 × 10⁶ ion counts per second. High-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., 234U, low-abundance spike isotopes). Report the resistor value per cup position, or note 'all 10¹¹ Ω' if uniform.",Basic,Read-Only,Text (free),All cups: 10¹¹ Ω | L1: 10¹³ Ω (234U); all others: 10¹¹ Ω | N/A | None | Other: specify,,2026-06-18,channel,
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected. Common approaches: instrument internal gain calibration routine (measures signal in each cup sequentially using a common beam), amplifier rotation procedure, or measurement of a known isotope ratio solution in each cup. For instruments with SEM detectors, also describes the SEM-to-Faraday cross-calibration sequence. Specify frequency (per session, per block, weekly).",Basic,Read-Only,Text (free),Instrument internal gain calibration routine; baseline and gain calibrated at session start and daily | SEM-to-Faraday cross-calibration measured per session using known ratio solution | N/A | None | Other: specify,,2026-07-24,channel,
Mass Resolution Setting,"Mass resolution mode used in this procedure. MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000). Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements. Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone. Procedure registers the mode in use; analyst confirms at session start.",Basic,Editable,Controlled list,LR (m/Δm ≈ 300) | MR (m/Δm ≈ 3000–8000) | HR (m/Δm ≈ 10000–12000) | N/A | None | Other: specify,,2026-07-24,(none),
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode for this procedure. Most conventional multi-collector instruments have no cell — mass bias and isobaric interferences are handled entirely by chemical separation and mass-bias correction (record 'Not installed'). A small number of modern MC-ICP-MS instruments (e.g., Nu Instruments Sapphire, Thermo Scientific Neoma MS/MS) add a hexapole collision/reaction cell upstream of the collector array, operated in STD/KED/DRC modes analogous to quadrupole ICP-MS/MS instruments, to suppress polyatomic and isobaric interferences before simultaneous multi-collection. Specific gas types, flow rates, and voltages are documented in Group 4.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | N/A | None | Other: specify",,2026-08-11,(none),
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Basic,Read-Only,Text (free),PFA self-aspirating MicroFlow (50–100 µL/min) | PFA-ST | Glass concentric | ESI Apex-HF nebulizer | N/A | None | Other: specify,,2026-06-18,(none),
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,Basic,Read-Only,Text (free),Stable Introduction System (SIS): cyclonic + Scott double-pass | Scott double-pass (glass) at 2°C | Cyclonic at 5°C | Spray chamber downstream of Aridus II | N/A | None | Other: specify,,2026-07-24,(none),
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction. Record 'None' if not used.",Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,,2026-08-10,(none),
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",,2026-08-10,(none),
Acquisition Software,Name and version of the software used to control the instrument and acquire raw multi-collector data.,Basic,Editable,Text (free),,,2026-06-18,(none),
Data Reduction Software,"Name and version of the software used for data reduction: baseline subtraction, gain correction, mass bias correction (SSB, double-spike inversion, or internal normalization), interference corrections, and calculation of isotope ratios, δ-values, and concentrations. Include version number.",Basic,Editable,Text (free),,,2026-06-18,(none),
,,,,,,,,,
4. Measurement Information,,,,,,,,,N
Analytical Mode,Top-level declaration of the kind of measurement this procedure covers. Solution ICP-MS has a single routine mode — continuous nebulisation of a digested solution — so this TAPP defines no mode flag columns; the field is still required (Rule 3) so that a procedure record is self-describing and comparable with multi-mode TAPPs across the library.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,,2026-08-08,(none),
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1200 | 1250 | 1300 | 1350,,2026-06-18,(none),
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–16 L/min,,2026-06-18,(none),
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-18,(none),
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity and stability. Adjusted daily to optimize signal.,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-08-10,(none),
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used. Record 'N/A' where Desolvation System is 'None'.,Advanced,Editable,Numeric (L/min),,,2026-08-11,(none),
Plasma Thermal Mode,Whether the ICP plasma is operated under normal (hot) or cool plasma conditions. Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS. Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work.,Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | N/A | None | Other: specify,,2026-06-18,(none),
Analyte,"Element(s) whose isotopic composition or concentration is determined by this procedure. In solution MC-ICP-MS the analyte is typically a single element isotope system (e.g., Fe, U, Sn, Pb, Zn) or multiple elements when the measurement simultaneously yields isotope ratios and isotope dilution concentrations. The procedure registers the primary analyte element(s); at analysis level the analyst records the actual suite measured. The complete mass list and cup assignments are documented in Collector Configuration.",Basic,Editable,Text (free),,,2026-07-24,defines: analyte,
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",,2026-08-11,defines: reported property,
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure. Lists the mass number monitored in each collector position (e.g., L4=116Sn, L3=117Sn, L2=118Sn, L1=119Sn, Ax=120Sn, H1=121Sb, H2=122Sn, H3=123Sb, H4=124Sn). For static multi-collection procedures, one configuration applies throughout the measurement. For multi-dynamic procedures, list all configurations and the cycling sequence. Includes all interference-monitor masses collected in addition to analyte isotopes. Different element systems require different mass assignments within the collector array span.",Basic,Read-Only,Text (free),,,2026-08-11,defines: channel,
Number of Blocks per Measurement,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Multiple blocks per sample allow inspection of signal stability and within-measurement drift. Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.",Basic,Editable,Integer,1 | 2 | 3 | 5,,2026-07-24,(none),
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement). Procedure specifies the standard value; analyst may adjust within procedure bounds.,Basic,Editable,Integer,25 | 40 | 50 | 80,,2026-07-24,(none),
Integration Time per Cycle,"Duration of signal integration per measurement cycle (seconds). Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge. Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds. Where different isotope channels use different integration schemes, record the time for each channel.",Basic,Editable,Numeric (s),4.194 s | 8 s | 10 s | 16.8 s,,2026-07-24,channel,
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition, and the portion of the acquisition it is taken from. Three approaches are in use and the choice depends on how sample reaches the plasma: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank, which applies only to solution introduction; or, for laser ablation, collecting a defined number of laser-off cycles at the start of the same block, since no blank can be aspirated mid-ablation. State which, and how many cycles or how long.",Basic,Read-Only,Text (free),Beam deflector on-peak zero; 1 baseline block of 1 cycle (4.194 s) per measurement block | On-peak zero measured before each sample by aspirating 0.3 M HNO3 for 10 cycles | N/A | None | Other: specify,,2026-06-18,(none),
Wash Time Between Samples,"Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,,2026-06-18,(none),
Analysis Sequence,"Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved. For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference. For double-spike procedures, standards are spiked to the same level as samples before analysis.",Basic,Read-Only,Text (free),SSB: sample bracketed by two standards (Std1–Sample–Std2) | Double-spike: spiked standards bracketing spiked samples | SSB + secondary RM every 5 samples | N/A | None | Other: specify,,2026-07-24,(none),
Collision Gas Type,"Type of collision gas used in KED mode for polyatomic interference suppression, on collision/reaction-cell-equipped MC-ICP-MS instruments (e.g., Nu Sapphire, Thermo Neoma MS/MS). Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.",Basic,Read-Only,Controlled list,He | H2 | He+H2 | N/A | None | Other: specify,,2026-08-11,(none),
Collision Gas Flow Rate,"Flow rate of the collision gas in KED mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.",Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2 | N/A,,2026-08-11,(none),
Cell Exit Discrimination Voltage,"Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V), on collision/reaction-cell-equipped MC-ICP-MS instruments. Controls the degree of polyatomic ion suppression. Record 'N/A' if the instrument has no cell or KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.",Basic,Editable,Numeric (V),−2 | −5 | N/A,,2026-08-11,(none),
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Read-Only,Controlled list,NH3 | O2 | CH4 | N/A | None | Other: specify,,2026-08-11,(none),
Reaction Gas Flow Rate,"Flow rate of the reaction gas in DRC mode (mL/min), on collision/reaction-cell-equipped MC-ICP-MS instruments. Record 'N/A' if the instrument has no cell or DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Editable,Numeric (mL/min),N/A,,2026-08-11,(none),
Internal Standard Element,Element added at a known concentration to all sample and standard solutions to serve as an internal normalization standard for mass bias correction (SSB + internal normalization procedures). The element must have a known isotopic composition and mass similar to the analyte. Examples: Ni or Cu doping for Fe isotopes (must verify complete matrix separation); Tl for Pb isotopes; Cd for Sb isotopes. Specify element and monitored isotope. Record 'None' if SSB without internal standard or double-spike method is used.,Basic,Read-Only,Text (free),Cu (65Cu/63Cu for Fe procedures) | Ni (62Ni/58Ni for Fe procedures) | Tl (205Tl/203Tl for Pb procedures) | Cd (113Cd/111Cd for Sb procedures) | None | N/A | Other: specify,,2026-07-24,(none),
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",,2026-08-11,(none),
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Stricter oxide thresholds may be required for analytes sensitive to oxide interferences (e.g., BaO+ on REE isotopes). Measured values are recorded in Oxide Production.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 0.5% | CeO+/Ce+ < 0.3%; BaO+/Ba+ (m/z 154/138) < 0.1% | N/A | None | Other: specify,,2026-06-18,(none),
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.3% (threshold < 0.5% met) | BaO+/Ba+ = 0.07% (threshold < 0.1% met),,2026-07-24,(none),
Peak Flatness Method and Threshold,"Method used to verify that every collector sits on a flat region of its peak top simultaneously, and the acceptance threshold applied before analysis begins. Specific to simultaneous collection: a sequential instrument centres one mass at a time, whereas a multi-collector array must have all cups on flat peak tops at once or the measured ratio carries a peak-shape bias that no downstream correction removes. Typically assessed by scanning across the peak plateau, or by comparing ratios measured at slightly offset mass positions.",Basic,Read-Only,Text (free),,,2026-08-08,(none),
Peak Flatness,"Peak flatness actually achieved in the session, assessed against the criterion registered by the procedure. Companion measured value to Peak Flatness Method and Threshold, following the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),,,2026-08-08,(none),
,,,,,,,,,
5. Data Processing,,,,,,,,,N
Mass Bias Correction Strategy,"Primary strategy used to correct for instrumental isotopic mass fractionation. In solution MC-ICP-MS, instrumental mass bias is typically 3–5%/amu and must be corrected before isotope ratios can be interpreted geochemically. Four main strategies: (1) Sample-standard bracketing (SSB): alternating sample and isotopic standard measurements; bias interpolated linearly between bracketing measurements. (2) Double-spike: a mixture of two enriched isotopes of the analyte element added before digestion provides an internal monitor of both instrumental and chemical mass fractionation. (3) Internal normalization: an element of known isotopic composition added to samples and standards; measured ratio of normalizing element used to calculate the mass bias factor applied to analyte ratios. (4) SSB + internal normalization: both strategies applied simultaneously for redundant bias correction.",Basic,Read-Only,Controlled list,SSB | Double-spike | Internal normalization | SSB + internal normalization | N/A | None | Other: specify,,2026-06-18,(none),
