Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Keyed By,Spot,Transect,Mapping,Literature Assessment
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),"e.g., 'CL imaging on Zeiss Sigma SEM at 10 kV before spot placement; every dated grain imaged and spot positions annotated' | 'BSE and CL mosaics; micro-Raman screening of chemical-abrasion effectiveness (McKanna et al. 2023)'",,2026-08-08,(none),Y,Y,Y,
Chemical Abrasion Conditions,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step. Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon. Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read.",Basic,Read-Only,Text (free),"e.g., 'Annealed 900 C, 60 h; partial dissolution 12 M HF, 210 C, 12 h' | 'Annealed 850 C, 48 h; 29 M HF, 180 C, 12 h' | 'None (untreated)'",Source: U-Pb module,2026-08-08,(none),Y,Y,Y,
,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,N,N,N,N
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",,2026-05-14,(none),Y,Y,Y,
ICP-MS Manufacturer & Model,Manufacturer and model of the ICP-MS instrument.,Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",,2026-05-06,(none),Y,Y,Y,
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,"Multi-collector (MC-ICP-MS) | Multi-collector with collision/reaction cell (e.g. Nu Sapphire, Thermo Neoma MS/MS) | Other: specify | N/A | None",,2026-08-08,(none),Y,Y,Y,
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",,2026-06-17,(none),Y,Y,Y,
Interface Cone Configuration,Combination of sample cone and skimmer cone installed during analysis.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",,2026-05-14,(none),Y,Y,Y,
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work). Cone material affects sensitivity, matrix tolerance, and long-term stability. State both sampler and skimmer materials; if identical, a single statement is acceptable.",Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",,2026-05-14,(none),Y,Y,Y,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. Affects ion transmission efficiency, oxide formation, and doubly-charged species production. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),,2026-07-24,(none),Y,Y,Y,
Torch Type,Type of plasma torch installed. Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None | Other: specify,,2026-06-17,(none),Y,Y,Y,
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode) | N/A | None | Other: specify,,2026-08-11,(none),Y,Y,Y,
Mass Resolution Setting,"Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression.",Basic,Editable,Text (free),"e.g., Unit resolution — quadrupole (fixed) | Low resolution — SF (~300 m/Δm) | Medium resolution — SF (~3000 m/Δm) | High resolution — SF (~10000 m/Δm) | Other: specify",,2026-08-11,(none),Y,Y,Y,
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-05-06,(none),Y,Y,Y,
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences (larger collision cross-section) are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On ICP-MS/MS instruments (e.g., Agilent 8900), a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates, and cell voltages are documented in Group 4. Record 'Not applicable' for SF-ICP-MS instruments, which lack collision/reaction cells. Record 'N/A' where the instrument is not fitted with a collision/reaction cell.",Basic,Read-Only,Controlled list,"STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | ICP-MS/MS (triple-quadrupole mode) | N/A | None | Other: specify",,2026-08-11,(none),Y,Y,Y,
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",,2026-05-14,(none),Y,Y,Y,
Acquisition Software,"Instrument control and data acquisition software used to collect raw signal data, including version number. Separate from data reduction software.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",,2026-05-06,(none),Y,Y,Y,
Data Reduction Software,"Software used for signal processing, background subtraction, and concentration calculation, including version number.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",,2026-05-14,(none),Y,Y,Y,
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell. Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",,2026-05-14,(none),Y,Y,Y,
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",,2026-08-08,(none),Y,Y,Y,
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array. Specify the total number of Faraday cup detectors (fixed and moveable), their labeled positions (e.g., L4, L3, L2, L1, Ax, H1, H2, H3, H4 for a 9-cup Neptune), and the presence and position of any ion counter (SEM) or Daly detector in the collector block. The number and span of cups constrains which isotope combinations can be simultaneously collected.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors, yielding 1 V per ~6.24 × 10⁶ ion counts per second. High-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., 234U, low-abundance spike isotopes). Report the resistor value per cup position, or note 'all 10¹¹ Ω' if uniform.",Basic,Read-Only,Text (free),,,2026-08-08,channel,Y,Y,Y,
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected. Common approaches: instrument internal gain calibration routine (measures signal in each cup sequentially using a common beam), amplifier rotation procedure, or measurement of a known isotope ratio solution in each cup. For instruments with SEM detectors, also describes the SEM-to-Faraday cross-calibration sequence. Specify frequency (per session, per block, weekly).",Basic,Read-Only,Text (free),,,2026-08-08,channel,Y,Y,Y,
,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,N,N,N,N
Analytical Mode,"Primary analytical mode(s) executed under this procedure. For single-mode procedures, records one value (e.g., Spot). For multi-mode procedures (e.g., spot analysis combined with transect scanning), list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns which indicate per-field applicability.",Basic,Read-Only,Controlled list,'Spot' | 'Transect' | 'Mapping' | 'Spot; Transect' | 'Spot; Mapping',,2026-08-08,(none),Y,Y,Y,
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length. The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",,2026-07-24,(none),Y,Y,Y,
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers. Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.",N/A,Basic,Numeric (µm),"e.g., '32.4' | 'nominal 35, measured 33.1 +/- 0.8 (n = 12 pits, white-light profilometry)'",,2026-08-08,(none),Y,Y,Y,
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | N/A | None | Other: specify,,2026-08-11,(none),Y,Y,Y,
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Less commonly reported than fluence because it does not account for spot area. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",,2026-05-06,(none),Y,Y,Y,
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",,2026-07-24,(none),Y,Y,Y,
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed. A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam. This is a fixed hardware property of the laser system.",Advanced,Read-Only,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated | N/A | None,,2026-05-13,(none),Y,Y,Y,
Laser Repetition Rate,"Laser pulse repetition rate in hertz registered by the procedure. For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution. Analysts may adjust within procedure-allowed bounds.",Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",,2026-07-24,(none),Y,Y,Y,
Laser Pulse Duration,"Duration of each individual laser pulse, including units. Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects. This is a fixed hardware property of the laser system.",Basic,Read-Only,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",,2026-05-13,(none),Y,Y,Y,
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",,2026-07-24,(none),Y,N,N,
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. Sets the achievable depth resolution and governs downhole elemental fractionation. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),"e.g., 'Pit depth 18 um after 300 pulses (white-light profilometry); 60 nm/pulse' | 'Trench depth 4 um at 5 um/s scan speed'",,2026-08-08,(none),Y,Y,Y,
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",,2026-07-24,(none),N,Y,Y,
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size). Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",,2026-05-06,(none),N,N,Y,
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",,2026-07-24,(none),Y,Y,Y,
Plasma / Make-up Gas Addition,"Additional gas(es) mixed into the carrier stream downstream of the ablation cell, with the procedure-registered target flow rate. Ar make-up gas is standard. Small N₂ additions can enhance sensitivity for some elements. If N₂ is not added, state ""None"" explicitly to distinguish from not reported.",Advanced,Editable,Text (free),"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",,2026-07-24,(none),Y,Y,Y,
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability. Set during initial plasma optimisation and confirmed at each session start.",Basic,Editable,Numeric (L/min),14 L/min | 15 L/min | Other: specify,,2026-06-17,(none),Y,Y,Y,
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas.",Basic,Editable,Numeric (L/min),0.8 L/min | 1.0 L/min | 1.2 L/min | Other: specify,,2026-06-17,(none),Y,Y,Y,
RF Power,"ICP radiofrequency forward power in watts. Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Basic,Editable,Numeric (W),"e.g., 800 W | 1200 W | 1350 W | 1550 W",,2026-07-28,(none),Y,Y,Y,
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.",Basic,Read-Only,Controlled list,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run | N/A | None | Other: specify,,2026-08-11,(none),Y,Y,Y,
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",,2026-05-14,(none),Y,Y,Y,
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",,2026-05-14,(none),Y,Y,Y,
Sensitivity as Useful Yield,"Instrument sensitivity expressed as useful yield: the percentage of sampled atoms of a given element ultimately detected as ions, with the method used to derive it cited. A more rigorous and more comparable statement of sensitivity than counts per second per unit concentration, which depends on spot size, fluence and repetition rate.",N/A,Advanced,Numeric (%),"e.g., '0.42 (U, method of Horstwood et al. 2016)' | 'Pb 0.31%, U 0.44%'",,2026-08-11,analyte,Y,Y,Y,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. Report both the measurement method (which oxide proxy) and the threshold value.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",,2026-05-06,(none),Y,Y,Y,
