Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution MC-ICP-MS | TIMS | LA-ICP-MS | EPMA | Noble Gas MS | INAA | None | N/A,,2026-07-24,(none),,N,ICP-AES (for initial [Ca] determination; stated section 2),N,MC-ICP-MS (Neptune Plus at IPGP; for Zn isotope measurements; stated Methods),SF-ICP-MS (Finnigan ELEMENT at PML; for Ti measurements; stated section 2.1.2)
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,,2026-06-16,(none),,N,ICP-AES measured initial Ca concentration; sample then diluted to 100 ppm Ca for Q-ICP-MS analysis; ICP-AES performed first (stated section 2),N,"Same dissolved aliquots analyzed by Q-ICP-MS (major/trace elements, masses 23-75) and MC-ICP-MS (Zn isotopes); stated Methods","Q-ICP-MS (7500cs) measured B, Zr, Nb, Mo, Sn, Sb, Hf, Ta; SF-ICP-MS (ELEMENT) measured Ti and Nb; both techniques on same digested solutions; stated section 2.1"
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A
2. Samples,,,,,,,,,N,N,N,N,N,N
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, peridotite, meteorite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,,2026-06-16,(none),,"Geological reference materials (basalt, andesite, granite, shale); upper continental crust samples (stated abstract)",Foraminifera calcite (benthic and planktonic species; stated abstract),"Silicate reference materials (basalt, andesite, peridotite), NIST SRM glasses, carbonaceous chondrites (stated section 2)","Carbonaceous chondrites (CI, CM, CV, CO, CR, CK, CH, CY, CB types; stated abstract)","Geological reference materials (basalt, andesite, peridotite) and carbonaceous chondrites (stated section 2.5)"
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",,2026-08-08,(none),,,,,,
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,,,,,,
Sample Persistent Identifier,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,(none),,Whole-rock powder (50 mg; stated section 3.3),Foraminifera shells cleaned mechanically and chemically then dissolved; no grinding (stated section 2),Whole-rock powder or glass chips (stated section 2),N,Whole-rock powder (decomposed in TFM bomb with HF; stated section 2.1.1)
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,,2026-08-10,preparation step,,Step 1: conc. HNO3 (1 ml) + conc. HF (1 ml); Steps 2-3: conc. HNO3 fuming to dryness (twice); Step 4: HNO3 (1.5 ml) + ultra-pure water (2.5 ml); stated section 3.3,N/A (simple dissolution in 0.075 M HNO3; stated section 2),"HF + HClO4 (basalt/glass, ultrasonic); HF alone in TFE bomb (peridotite/chondrite; stated section 2)",N,0.5 mol/l HF (stated section 2.1.1)
Digestion Vessel Type,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-08-10,(none),,PTFE-lined stainless steel bomb (home-made; stated section 3.3),N/A (simple dissolution in vial; stated section 2),Ultrasonic bath (basalt/glass); TFE bomb at 245 deg C (peridotite/chondrite; stated section 2),N,TFM bomb (TFM-981; stated section 2.1.1)
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,defines: preparation step,,2 (step 1: bomb at 190 deg C / 48 h in HNO3+HF; step 4: bomb at 150 deg C overnight in HNO3+water; five steps explicitly numbered; stated section 3.3),1 (simple dissolution; stated section 2),N,N,N
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",,2026-08-10,preparation step,,190 deg C (stated section 3.3),N/A (ambient dissolution; stated section 2),Ambient for ultrasonic; 245 deg C for TFE bomb (stated section 2),N,N
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",,2026-08-10,preparation step,,48 h (stated section 3.3),N/A,N,N,N
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 4% HCl | 2% HNO3 + trace HF | N/A | None | Other: specify,,2026-06-16,(none),,Dilute HNO3 (~3%; 1.5 ml conc. HNO3 in ~50 ml; stated section 3.3),0.075 M HNO3 at 100 ppm Ca (stated section 2),0.5 mol/l HNO3 (stated section 2),N,0.5 mol/l HF (stated section 2.1.1)
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",,2026-08-10,(none),,50 mg (stated section 3.3),N,15-63 mg (silicates); 8-22 mg (NIST glass); 9-28 mg (chondrites; stated section 2),N,N
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,,2026-07-24,(none),,None (direct analysis of digested solution),None (direct analysis of dissolved foraminifera),None (direct analysis),None (direct analysis; stated Methods),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.1)
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),IRMM-016 (Fe) | 67Zn spike | None | N/A | Other: specify,,2026-06-16,(none),,None,None,"149Sm-enriched spike (used as ID internal standard for Cd, In, Tl, Bi; stated section 2)",None,"Multi-element enriched isotope spikes (Mo, Sn, Sb, Zr, Hf, Ta, B spikes; stated section 2.1)"
3. Instrument & Software,,,,,,,,,N,N,N,N,N,N
Instrument Make and Model,"Manufacturer and model name of the quadrupole ICP-MS instrument (e.g., Thermo iCAP RQ, Agilent 7900, PerkinElmer NexION 350D). Determines instrument-specific tuning parameters and available cell configurations.",Basic,Read-Only,Text (free),Thermo iCAP RQ | Agilent 7900 | Agilent 7700x | PerkinElmer NexION 350D | Thermo X Series II | Agilent 8900 (ICP-MS/MS) | N/A | None | Other: specify,,2026-06-16,(none),,PerkinElmer SCIEX ELAN 6100 DRC (stated section 3.1),PerkinElmer Elan DRC II (stated section 2 and Table 1),Agilent 7500cs (stated section 2),Agilent 7900 (stated Methods),Agilent 7500cs (stated section 2.1.1)
ICP-MS Type,Type of quadrupole ICP-MS system. Determines available cell configurations and interference mitigation strategies. Triple quadrupole (ICP-MS/MS) instruments add a second mass-selection quadrupole upstream of the octopole reaction cell for enhanced interference rejection.,Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | N/A | None | Other: specify,,2026-08-11,(none),,Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-16,(none),,N,N,N,N,N
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,Quartz glass torch with Pt injector (stated Table in section 2.1.1)
Interface Cone Configuration,"Geometry and designation of the sampler and skimmer cones installed during analysis. Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance.",Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Ni sample cone + Ni Xs skimmer | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,1 mm Pt sampler + 0.4 mm Pt skimmer (stated Table in section 2.1.1)
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Platinum (Pt) is used for samples in HCl-rich or organic matrices due to greater corrosion resistance.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,Pt sampler and Pt skimmer (stated Table in section 2.1.1)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. Affects ion transmission efficiency, oxide formation, and doubly-charged species production. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-08-12,(none),,N,N,N,N,N
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-08-11,(none),,N,N,N,N,On (shield torch system used; stated section 2.1.1)
Mass Resolution Setting,"Mass resolution of the quadrupole analyser. For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible. This field documents the instrument class constraint at procedure level.",Basic,Read-Only,Controlled list,"Unit resolution (quadrupole, fixed; m/Δm ≈ 300) | N/A | None | Other: specify",,2026-08-11,(none),,"Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)"
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode for this procedure. STD = standard mode with no cell gas; KED = kinetic energy discrimination with He or H2 collision gas to suppress polyatomic interferences; DRC = dynamic reaction cell with reactive gas (e.g., NH3). Specific gas types, flow rates, and voltages are documented in Group 4.",Basic,Read-Only,Controlled list,None (STD mode) | KED (He) | DRC (NH3) | KED+DRC | Not installed | N/A | Other: specify,,2026-07-24,(none),,None (STD mode; stated section 3.1),None (STD mode; DRC II instrument but no reaction gas stated; stated section 2),N,KED (He); He at 5 mL/min applied for masses 23-75 (stated Methods),None (STD mode; collision gases not introduced into cell; stated section 2.1.1)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and whether dual pulse-counting/analog mode is used. Most Q-ICP-MS instruments use a single SEM in dual mode (pulse counting at low signals, analog at high signals), with an instrument-specific crossover threshold. The pulse-to-analog cross-calibration correction is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog; crossover ~10^6 cps) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-06-16,(none),,N,N,N,N,Dual mode: pulse counting + analog (crossover ~10^6 cps; stated section 2.1.1)
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Basic,Read-Only,Text (free),PFA MicroFlow | PFA-ST | Concentric glass | Micromist | Meinhard | N/A | None | Other: specify,,2026-06-16,(none),,Glass microconcentric nebulizer (MCN; stated section 3.1),Glass Expansion Micromist FM005 (stated section 2 and Table 1),N,MicroMist nebulizer (stated Methods),"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.1)"
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,Basic,Read-Only,Text (free),Cyclonic quartz at 2°C | Scott double-pass at 7°C | Conical with impact bead (uncooled) | N/A | None | Other: specify,,2026-06-16,(none),,Cyclonic spray chamber (stated section 3.1),Cyclonic quartz spray chamber (stated Table 1),N,Scott spray chamber (stated Methods),"Scott double-pass, cooled at 2 deg C, Teflon (stated Table in section 2.1.1)"
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction. Record 'None' if not used.",Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,,2026-08-10,(none),,None,None,N,None,None
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",,2026-08-10,(none),,0.20 ml/min (stated section 3.1),~60 uL/min (stated Table 1; 0.03 mm ID pump tubing),N,0.2 mL/min (stated Methods),Self-aspiration; volumetric flow rate N (stated Table in section 2.1.1)
Acquisition Software,"Name and version of the software used to control the instrument and acquire raw mass spectrum data (e.g., Qtegra, MassLynx).",Basic,Editable,Text (free),,,2026-06-17,(none),,N,N,N,N,N
Data Reduction Software,"Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation (e.g., Iolite, lab spreadsheet). Include version number.",Basic,Editable,Text (free),,,2026-06-17,(none),,N,N,N,N,N
4. Measurement Information,,,,,,,,,N,N,N,N,N,N
Analytical Mode,Top-level declaration of the kind of measurement this procedure covers. Solution ICP-MS has a single routine mode — continuous nebulisation of a digested solution — so this TAPP defines no mode flag columns; the field is still required (Rule 3) so that a procedure record is self-describing and comparable with multi-mode TAPPs across the library.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,,2026-08-08,(none),,,,,,
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1400 | 1500 | 1550 | 1600,,2026-06-16,(none),,1350 W (stated section 3.1),1300 W (Table 1),N,N,1.6 kW (stated Table in section 2.1.1)
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–18 L/min,,2026-06-16,(none),,14 L/min (outer ICP gas; stated section 3.1),15 L/min (Table 1),N,N,15 L/min (stated Table in section 2.1.1)
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.7–1.2 L/min,,2026-06-16,(none),,1.2 L/min (intermediate gas; stated section 3.1),1.2 L/min (Table 1),N,N,0.90 L/min (stated Table in section 2.1.1)
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity and stability. Adjusted daily to optimize signal.,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-16,(none),,N,0.99-1.02 L/min (Table 1),N,N,0.92 L/min (stated Table in section 2.1.1)
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used. Record 'N/A' where Desolvation System is 'None'.,Advanced,Editable,Numeric (L/min),,,2026-08-11,(none),,N/A,N/A,N/A,N/A,0.25 L/min supplementary Ar for PFA micronebulizer (stated Table in section 2.1.1)
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-06-16,(none),,Normal plasma (1350 W; stated section 3.1),Normal plasma (1300 W; Table 1),N,N,Normal plasma (1.6 kW; stated section 2.1.1)
Analyte,"Elements or isotopes this procedure is designed to measure. The procedure registers the full analyte suite; at analysis level, the analyst records the specific subset actually measured in the session, which may be narrower if certain masses were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each element or isotope in this list.",Basic,Editable,Text (free),,,2026-08-12,defines: analyte,,"48 trace elements: Li, Be, B, Sc, V, Cr, Co, Ni, Cu, Zn, Ga, Ge, As, Rb, Sr, Y, Zr, Nb, Mo, Cd, In, Sn, Sb, Te, Cs, Ba, La-Lu, Hf, Ta, W, Tl, Pb, Bi, Th, U (stated section 3.1)","9 Me/Ca ratios: Li, B, Mg, Al, Mn, Zn, Sr, Cd, U relative to Ca (stated Table 1)","Cd, In, Tl, Bi (with 149Sm as ID-IS reference; stated section 2)","Major and trace elements (masses 23-75, Na to As; stated Methods)","B, Zr, Nb, Mo, Sn, Sb, Hf, Ta (stated Table 2a)"
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",,2026-08-11,defines: reported property,,,,,,
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses.",Basic,Read-Only,Text (free),67Zn | 115In | 209Bi | 172Yb | N/A | None | Other: specify,,2026-08-12,defines: channel per analyte,,N (not listed by mass number in paper),"7Li, 11B, 25Mg, 46Ca, 27Al, 55Mn, 66Zn, 87Sr, 111Cd, 238U (Table 1)","95Mo, 111Cd, 113Cd, 115In, 118Sn, 149Sm, 205Tl, 209Bi (Table 1)",N,"10B, 11B, 90Zr, 91Zr, 93Nb, 95Mo, 97Mo, 118Sn, 119Sn, 121Sb, 123Sb, 178Hf, 179Hf, 181Ta (Table 2a)"
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ between masses where per-mass dwell times are programmed.,Basic,Editable,Numeric (ms) / Text,,,2026-08-12,channel,,150 ms per mass (0.15 s; stated section 3.1),"Analyte-specific: 7Li 10 ms, 11B 10 ms, 25Mg 0.5 ms, 46Ca 2 ms, 27Al 0.5 ms, 55Mn 0.5 ms, 66Zn 5 ms, 87Sr 0.5 ms, 111Cd 60 ms, 238U 20 ms (Table 1)","Analyte-specific: 0.11 ms per mass per scan for 95Mo/111Cd/113Cd/115In/118Sn/149Sm; 0.18 ms per mass per scan for 205Tl/209Bi (Table 1, expressed as ms per 1 s cycle)",N,"Analyte-specific fraction of 1 s per mass (Table 2a): B 0.0801 s, Zr 0.0032 s, Nb 0.0320 s, Mo/Sn/Sb 0.0481 s, Hf 0.0641 s, Ta 0.2083 s"
Mass Cycles per Replicate,Number of complete mass scans (sweeps) accumulated per analytical replicate.,Basic,Read-Only,Integer,20 | 40 | 100,,2026-06-16,(none),,3 sweeps/reading x 3 readings/replicate (= 9 sweeps/replicate; stated section 3.1),250 sweeps per replicate (Table 1),N,N,48 scans per 30 s acquisition (stated section 2.1.1)
Number of Replicates per Sample,Number of discrete replicate measurements acquired per sample solution.,Basic,Read-Only,Integer,3 | 5 | 10 | 20,,2026-06-16,(none),,N,6 replicates (Table 1),N,N,N
Analysis Sequence,"Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved.",Basic,Read-Only,Text (free),Calibration block at session start; standard after every 3 samples | Bracketing every 5 samples | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,Standard solution measured every two samples (stated section 2.1.1)
