Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution MC-ICP-MS | TIMS | LA-ICP-MS | EPMA | Noble Gas MS | INAA | None | N/A,,2026-07-24,(none),,Agilent 7700x Q-ICP-MS (used for Pb isotope comparison; stated section 2.4),N,"Agilent 7500cs Q-ICP-MS at PML (B, Zr, Nb, Mo, Sn, Sb, Hf, Ta on same samples; stated section 2.1.1)",N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,,2026-06-16,(none),,Q-ICP-MS Pb isotope ratios compared with SF-ICP-MS values for validation; Q-ICP-MS showed higher uncertainties (stated section 2.4),N,"SF-ICP-MS (ELEMENT) measured Ti (47Ti, 49Ti) by ID; Q-ICP-MS (7500cs) measured all other elements; both on same digested solutions; stated section 2.1",N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
2. Samples,,,,,,,,,N,N,N,N,N,N,N
Target Material,"Type of geological or experimental material being analyzed (e.g., basalt, peridotite, chondrite, synthetic solution). Constrains the calibration strategy and matrix-matching requirements.",Basic,Read-Only,Text (free),Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,,2026-06-16,(none),,Soil samples (sequential acid leach fractions; stated abstract),Magnetite and pyrite (mineral separates from skarn deposits; stated abstract),"Geological reference materials and carbonaceous chondrites (basalt, andesite, peridotite, chondrites; stated section 2.5)",Open-ocean seawater (stated abstract),Foraminifera calcite (benthic and planktonic species; stated abstract),"Geological reference materials (basalt, andesite, granite, shale, peridotite, NIST glass; stated Table 2)"
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",,2026-08-08,(none),,,,,,,
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,,,,,,,
Sample Persistent Identifier,International Geo Sample Number (IGSN) or other persistent identifier for the sample.,Advanced,Basic,URI / IGSN,,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,(none),,Sequential acid leaching of bulk soil (TD and AR fractions; stated section 2.2),Mineral separates (~100 mg powder; stated section 2.3),Whole-rock powder (decomposed in TFM bomb; same as Q-ICP-MS portion; stated section 2.1.1),Open-ocean seawater; off-line pre-concentration using Toyopearl AF-Chelate-650M chelating resin (stated section 2.2),Foraminifera shells cleaned and dissolved in minimum 1 M HNO3 then diluted (stated section 2.4),Whole-rock powder (~100 mg; stated section on sample preparation)
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution). For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,,2026-08-10,preparation step,,Aqua regia (AR fraction); HF-HNO3 for residue (stated section 2.2),Step 1: 6M HCl (1.5 ml) + 8M HNO3 (0.5 ml); Step 2: 10M HCl (1.5 ml) for re-dissolution; stated section 2.3.1,0.5 mol/l HF (same as Q-ICP-MS portion; stated section 2.1.1),N/A (seawater; pre-concentration by chelation; no acid digestion),1 M HNO3 (minimum volume for dissolution; stated section 2.4),HF (1-2 ml) + HNO3 (0.2 ml; stated sample prep section)
Digestion Vessel Type,"Type of vessel used for acid digestion. Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,,2026-08-10,(none),,N,15 mL Teflon capsule (stated section 2.3),TFM bomb (TFM-981; stated section 2.1.1),N/A (no digestion vessel; seawater pre-concentration),N/A (simple dissolution; stated section 2.4),"15 ml Savillex PFA beakers (non-refractory, hotplate); Parr bombs (refractory minerals; stated sample prep section)"
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,,2026-07-24,defines: preparation step,,N,2 (step 1: 6M HCl + 8M HNO3 at 130 deg C / 48 h; step 2: evaporate + re-dissolve in 10M HCl; both steps explicitly described; stated section 2.3.1),N,N/A,1 (stated section 2.4),N
Digestion Temperature,Temperature at which acid digestion was carried out (°C). Procedure specifies the target temperature.,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",,2026-08-10,preparation step,,N,130 deg C (stated section 2.3),N,N/A,N/A (ambient dissolution; stated section 2.4),"130 deg C (hotplate, non-refractory); 180 deg C (Parr bomb, refractory; stated sample prep section)"
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",,2026-08-10,preparation step,,N,48 h (stated section 2.3),N,N/A,N/A,"12 h (non-refractory, hotplate); 7 days (refractory, Parr bomb; stated sample prep section)"
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. Directly affects instrument response and ion transmission. For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 2% HNO3 + trace HF | 6M HCl (intermediate) | N/A | None | Other: specify,,2026-07-24,(none),,2% HNO3 + 1 ppb Tl (stated section 2.3),2% HNO3 + 5 ng/ml Rh (stated section 2.3),N (HF-based; same as Q-ICP-MS; stated section 2.1.1),1.0 M HNO3 (trace elements eluted from chelating resin in 1 mL; stated section 2.2),0.1 M HNO3 + 0.3 M HF (Table 1),"0.4 mol/l HNO3 (dilution factor ~21000 for LR, ~1000 for HR; stated sample prep section)"
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution. Used for yield calculations and concentration back-calculation.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",,2026-08-10,(none),,N,~100 mg mineral powder (stated section 2.3),N,12 mL seawater (stated section 2.2),1-2 mg foraminifera shells (stated section 2.4),~100 mg (stated sample prep section)
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,,2026-07-24,(none),,None (Pb separation performed for MC-ICP-MS only; SF-ICP-MS uses unseparated leachate with Tl addition; stated section 2.3),AG1-X8 anion exchange resin + TRUspec resin (stated section 2.3.2),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.2),Toyopearl AF-Chelate-650M chelating resin (pre-concentration from seawater; stated section 2.2),None (direct dissolution analysis; stated section 2.4),None (direct analysis; stated section on instrumentation)
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),Mixed multi-element spike | Single-element spike | None | N/A | Other: specify,,2026-06-16,(none),,"None (Tl added for mass fractionation correction only, not ID)",None (external calibration used; stated section 2.3),N (Ti measured by ID; spike isotope not stated; stated section 2.1.2),"57Fe, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb enriched isotope spikes (stated Table 1)",None,"Multi-element spike (MES; enriched isotopes of Rb, Sr, Y, Zr, Nb, Cs, Ba, REE, Hf, Pb, Th, U; stated section on instrumentation)"
3. Instrument & Software,,,,,,,,,N,N,N,N,N,N,N
Instrument Make and Model,"Manufacturer and model name of the sector-field ICP-MS instrument (e.g., Thermo Element 2, Thermo Element XR, Nu Instruments Attom HR). Determines available mass resolution modes and detector configuration.",Basic,Read-Only,Text (free),Thermo Element 2 | Thermo Element XR | Nu Instruments Attom HR | Nu Instruments AttoM ES | N/A | None | Other: specify,,2026-06-16,(none),,Nu Instruments Attom SC-SF-ICP-MS (stated section 2.3),Thermo Fisher Element I HR-ICP-MS (stated Table 1),Finnigan ELEMENT sector-field ICP-MS (stated section 2.1.2),Thermo Finnigan Element I (E1) HR-ICP-MS (stated section 2.4),Thermo Element XR single-collector SF-ICP-MS (stated section 2.3),ThermoFinnigan ELEMENT2 (stated section on instrumentation)
ICP-MS Type,Type of sector-field ICP-MS system. Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams.,Basic,Read-Only,Controlled list,Single-collector sector-field (SF-ICP-MS) | N/A | None | Other: specify,,2026-08-11,(none),,Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),,,2026-06-16,(none),,N,N,N,N,N,N
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-16,(none),,N,N,Quartz glass torch with sapphire injector (stated Table in section 2.1.2),N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance.,Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Al sample cone + Al skimmer | N/A | None | Other: specify,,2026-06-16,(none),,N,1.1 mm Ni sampler + 0.8 mm Ni skimmer (Table 1),1 mm Ni sampler + 0.8 mm Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler (Spectron Inc.) + Ni skimmer (Spectron Inc.; Table 2),Pt-normal sampler + Pt-H skimmer (Table 1),1.0 mm Ni sampler + 0.5 mm Ni skimmer (Table 3)
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Aluminium (Al) cones are used in some SF-ICP-MS labs for enhanced sensitivity at high resolution. Platinum (Pt) is used for HCl-rich matrices.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Al sampler and Al skimmer | Pt sampler and Pt skimmer | N/A | None | Other: specify,,2026-06-16,(none),,N,Ni sampler and Ni skimmer (Table 1),Ni sampler and Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler and Ni skimmer (Table 2),Pt sampler and Pt skimmer (Table 1),Ni sampler and Ni skimmer (Table 3)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. Affects ion transmission efficiency, oxide formation, and doubly-charged species production. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,,2026-08-12,(none),,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. Actively used as a design feature on Thermo Element 2 and Element XR instruments.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-08-11,(none),,N,N,N,N,N,N
Mass Resolution Setting,"Mass resolution mode(s) used in this procedure. Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000). Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution per Analyte). Procedure registers the mode(s) in use; analyst confirms at session start.",Basic,Editable,Text (free),LR only (m/Δm ≈ 300) | LR+MR | LR+MR+HR | MR only (m/Δm ≈ 2500) | N/A | None | Other: specify,,2026-07-24,(none),,N (Nu Attom uses deflector peak jump; no LR/MR/HR designation stated; stated section 2.3),N,MR (M/Delta-m = 3000; stated section 2.1.2),LR (R ~300) and MR (R ~4000; stated section 2.4),LR and MR (stated Table 1 and section 2.3),LR (M/Delta-m = 300) and HR (M/Delta-m = 11000; stated section on instrumentation)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and the detection mode(s) used. SF-ICP-MS instruments typically use a single SEM. Some instruments (e.g., Thermo Element XR) support triple mode: pulse counting for low signals, analog for mid-range signals, and Faraday cup for high signals. The cross-calibration correction between detector modes is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog) | Single SEM, triple mode (pulse counting, analog, Faraday) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-06-16,(none),,Single SEM; deflector peak jump mode for Pb isotopes (stated section 2.3),"Single SEM, pulse counting only (stated Table 1: counting mode)","Single SEM, pulse counting (stated section 2.1.2)","Single SEM, dual mode (stated section 2.4)","Single SEM, dual mode (pulse counting + analog; fixed per analyte; Table 1)",N
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction. Affects droplet size distribution and sample introduction efficiency.,Basic,Read-Only,Text (free),PFA MicroFlow | Meinhard | Micromist | PFA-ST | N/A | None | Other: specify,,2026-06-16,(none),,Glass Expansion glass nebulizer (stated section 2.3),N,"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.2)",PFA microflow PFA-100 (Elemental Scientific; Table 2),ESI 50 uL microconcentric nebulizer; self-aspirating (Table 1),ESI microconcentric Teflon nebulizer (stated section on instrumentation)
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C). Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,Basic,Read-Only,Text (free),Scott double-pass (glass) | Scott double-pass (PFA) | Cyclonic at 7°C | Cinnabar cyclonic at 7°C | N/A | None | Other: specify,,2026-06-16,(none),,Glass Expansion cyclonic spray chamber (stated section 2.3),N,"Scott double-pass, uncooled, Teflon (stated Table in section 2.1.2)",PFA Teflon Savillex 100 mL with internal baffle (Table 2),Teflon Scott-type single-pass (Savillex PFA; Table 1 footnote),ESI Teflon spray chamber (stated section on instrumentation)
Desolvation System,"Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction. Record 'None' if not used.",Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,,2026-08-10,(none),,N,N,None,None,None,None
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",,2026-08-10,(none),,0.33 ml/min (stated section 2.3),200 uL/min (Table 1),Self-aspiration; uptake time 60 s (stated section 2.1.2); volumetric flow rate N,150 uL/min (Table 2),50 uL ESI nebulizer; uptake time 70 s (Table 1); volumetric flow rate N,~100 uL/min (Table 3)
Acquisition Software,Name and version of the software used to control the instrument and acquire raw mass spectrum data.,Basic,Editable,Text (free),,,2026-06-17,(none),,N,N,N,N,N,N
Data Reduction Software,"Name and version of the software used for data reduction: blank correction, internal standard normalization, calibration, and concentration calculation. Include version number.",Basic,Editable,Text (free),,,2026-06-17,(none),,N,N,N,N,N,N
4. Measurement Information,,,,,,,,,N,N,N,N,N,N,N
Analytical Mode,Top-level declaration of the kind of measurement this procedure covers. Solution ICP-MS has a single routine mode — continuous nebulisation of a digested solution — so this TAPP defines no mode flag columns; the field is still required (Rule 3) so that a procedure record is self-describing and comparable with multi-mode TAPPs across the library.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,,2026-08-08,(none),,,,,,,
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1200 | 1300 | 1350 | 1550,,2026-06-16,(none),,N,1300 W (Table 1),1.1 kW (stated Table in section 2.1.2),1300 W (Table 2),1250 W (Table 1),1235 W (Table 3)
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–16 L/min,,2026-06-16,(none),,N,14.6 L/min (Table 1),14 L/min (stated Table in section 2.1.2),13 L/min (Table 2),N,15 L/min (Table 3)
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-16,(none),,N,0.96 L/min (Table 1),1.2 L/min (stated Table in section 2.1.2),1.05 L/min (varied and optimized daily; Table 2),N,0.9 L/min (Table 3)
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min). Controls aerosol transport and strongly influences signal sensitivity and stability. Adjusted daily to optimize signal.,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-08-10,(none),,N,0.90 L/min (sampling gas; Table 1),0.90 L/min (stated Table in section 2.1.2),1.2 L/min (varied and optimized daily; Table 2),N,1.0 L/min (sample gas; Table 3)
Make-up Gas Flow Rate,Supplementary argon flow added downstream of a desolvation system to maintain total gas delivery to the plasma (L/min). Record 'N/A' if no desolvation system is used. Record 'N/A' where Desolvation System is 'None'.,Advanced,Editable,Numeric (L/min),,,2026-08-11,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-06-16,(none),,N,Normal plasma (1300 W; Table 1),Normal plasma (1.1 kW; stated section 2.1.2),Normal plasma (1300 W; Table 2),Normal plasma (1250 W; Table 1),Normal plasma (1235 W; Table 3)
Analyte,"Elements or isotopes this procedure is designed to measure. The procedure registers the full analyte suite; at analysis level, the analyst records the specific subset actually measured in the session, which may be narrower if certain masses were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each element or isotope in this list.",Basic,Editable,Text (free),,,2026-08-12,defines: analyte,,"Pb isotopes (204Pb, 206Pb, 207Pb, 208Pb) with mass fractionation monitors 202Hg, 203Tl, 205Tl (stated section 2.3)","Trace elements: REEs, Cr, Co, Ni, Cu, Zn, Li, Rb, Sr, Cs, Ba (stated section 2.3.2)","Ti (47Ti, 49Ti) with Nb (93Nb) as ID-IS; stated section 2.1.2","Mn (55Mn), Fe (57Fe), Co (59Co), Ni (62Ni), Cu (65Cu), Zn (68Zn), Cd (111Cd), Pb (207Pb) in seawater (stated Table 1)","Li, B, Na, Mg, Al, Mn, Fe, Zn, Sr, Cd, Ba, U as Me/Ca ratios in foraminifera (stated section 2.3)","26 trace elements: Rb, Sr, Y, Zr, Nb, Cs, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, Pb, Th, U (stated Table 2)"
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",,2026-08-11,defines: reported property,,,,,,,
