Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,TEM Sample Preparation,3D Tomography,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,"e.g., 'TEM/STEM (FIB sections)' | 'EPMA; NanoSIMS' | 'XCT (pre-SEM overview)' | 'None' | N/A",,2026-08-11,(none),Y,Y,,FIB milling and TEM cross-section preparation (same instrument),"SE Imaging (same instrument, pre- and post-FIB milling)","EDS (same session, same instrument); EBSD (same instrument); EPMA (JEOL JXA-iHP200F, WDS, out of scope)","BSE Imaging (same session, same instrument); EBSD (same instrument); EPMA (JEOL JXA-iHP200F, WDS, out of scope)",BSE Imaging and EDS (same instrument); SIMS (University of Wisconsin-Madison); EPMA (out of scope),"EDS and BSE Imaging (same instrument); EPMA with WDS (JEOL JXA-8900R, out of scope)","CL (same instrument); BSE Imaging (same instrument, same session); EPMA with WDS (JEOL JXA-8900R, out of scope)",SEM-EDX (Leo 440; Leo 1540); BSE Imaging; micro-XRD; EPMA-WDS (out of scope),EDS (same instrument); CL (Hitachi S-2500C); BSE Imaging (Leo 1540); micro-XRD; EPMA (out of scope),BSE Imaging (same instrument); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),EDS (same instrument); BSE Imaging (Leo 440); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),BSE Imaging (same instrument); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),"X-ray CT (Xradia 520 Versa, Carl Zeiss)",FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,"EBSD (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","BSE Imaging (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","EDS (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); EDS (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)",N,"EDS (JEOL 7600F, JSC); SE Imaging (JEOL 7600F, JSC); FIB-SEM TEM prep (Quanta3D600, JSC)","BSE Imaging (JEOL 7600F, JSC); SE Imaging (JEOL 7600F, JSC); FIB-SEM TEM prep (Quanta3D600, JSC)","BSE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","SE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","SE/BSE Imaging (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","TEM analysis (HF5000 STEM, U Arizona); BSE/SE Imaging (Hitachi S-4800, U Arizona)","Synchrotron XANES (ALS, Berkeley); TEM analysis","TEM analysis (NASA JSC); BSE/SE Imaging (JEOL 7600F, JSC)","BSE/EDS (JEOL 7600F, JSC); SE/BSE/EDS (Hitachi S-4800, U Arizona)","NanoSIMS isotope mapping (CAMECA NanoSIMS 50L, NASA JSC); presolar grains identified by NanoSIMS then confirmed by SEM-EDS phase characterisation",N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'SEM-BSE/EDS used for phase identification and target selection before FIB lift-out; FIB performed after SEM survey because lift-out is destructive. TEM-EDS provides nanoscale chemistry of FIB-prepared sections.'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",,2026-07-24,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2. Samples,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyze.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Oxide | Sulfide | Carbonate | Phosphate | Metal alloy | Organic matter | Glass | Regolith | Whole rock / polished section | Porous material | Other: specify | N/A | None,,2026-07-24,(none),Y,Y,,"Carbonaceous nanoglobules, Tagish Lake (C2) meteorite (HCl/HF acid residue concentrate)","Carbonaceous nanoglobules, Tagish Lake (C2) meteorite (HCl/HF acid residue concentrate)","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo",Forsterite grains from Kaba (CV3) carbonaceous chondrite thin section,Forsterite grains from Kaba (CV3) carbonaceous chondrite thin section,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,"High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","Subbituminous coal (SC) and high-volatile bituminous coal (HBC), Xishanyao Formation, southern Junggar Basin, NW China",Asteroid (101955) Bennu particles (OSIRIS-REx sample return); hummocky and angular particles,Asteroid (101955) Bennu particles (OSIRIS-REx sample return),Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); fine-grained matrix areas,Asteroid (101955) Bennu particles (OSIRIS-REx sample return),Asteroid (101955) Bennu particles (OSIRIS-REx sample return),Asteroid (101955) Bennu particles (OSIRIS-REx sample return); olivine and carbonate grains,Asteroid (101955) Bennu aggregate QL particles; O-rich presolar silicate and oxide grains; sample OREX-501018-100,N,N,N
Sample Preparation Method,"Method by which samples were prepared for SEM analysis prior to loading in the instrument. Includes mounting medium (epoxy, carbon tape, stub), polishing steps (alumina, colloidal silica, argon ion mill), and conductive coating type and thickness. For VP-SEM/ESEM analyses, note whether an uncoated sample was used and the gas type used. FIB-specific in-session operations (protective coating deposition, milling conditions, lamella preparation) are documented separately in Group 4.",Basic,Editable,Text (free),"e.g., 'Polished thin section, 10 nm C coat' | 'Fragments on C tape, uncoated (VP-SEM, 30 Pa H2O)' | '25 mm epoxy mount, 0.25 µm diamond polish, 5 nm Ir coat'",,2026-05-22,(none),Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,N,N,N,N,N,Carbon-coated polished thin sections; high vacuum analysis,N,N,N,N,"Small coal pillars (~2 mm diameter, 2 mm height) drilled orthogonal to bedding; polished with cross section polisher to remove ~1-2 µm oxide layer; no coating applied",Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Polished thin section (section 126A prepared from Grain 126); no coating or SEM-specific preparation stated,Polished thin section (section 126A prepared from Grain 126); no coating or EBSD-specific preparation stated,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Cuboidal samples (~0.5×1×1 cm) polished with dry emery paper and argon ion polishing; high-pressure freezing and freeze-drying; glued onto sample holder,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Sections extracted from fine-grained matrix areas in polished sections; BSE and SE images acquired before and after sectioning,Particles placed on PELCO carbon conductive tabs on Al SEM round; no protective coating stated,Particles dispersed on conductive carbon dots on Al SEM pin mounts,Polished thin sections; ~100 nm graphite coating (as stated in CL emitting volume calculation),N,N,N,N
Sample Name,Name or identifier of the sample or sample mount analyzed in this session.,N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Section 126A (USNM 7908),Section 126A (USNM 7908),NWA 7317,NWA 7317,NWA 7317,NWA 7317,SC; HBC,N,N,N,N,N,N,N,N,N,OREX-501018-100,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Persistent identifier (e.g., IGSN) for the sample analyzed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,USNM 7908 (section 126A),USNM 7908 (section 126A),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out. Generalised from Lab-XCT's 'VOI Selection Criteria', which implements this concept for a single technique.",Basic,Editable,Text (free),,,2026-08-08,(none),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,,2026-08-08,(none),Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,Make of the instrument used for this procedure.,Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,,FEI,FEI,Zeiss,Zeiss,Zeiss,JEOL,JEOL,Hitachi,Other: Leo Electron Microscopy (now Zeiss),Other: Leo Electron Microscopy (now Zeiss),Zeiss,Zeiss,Carl Zeiss,"FEI Company, USA",Carl Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),FEI (now Thermo Fisher Scientific),JEOL,JEOL,Hitachi,Hitachi,Hitachi,Thermo Fisher Scientific (ThermoScientific),FEI (now Thermo Fisher Scientific),FEI (now Thermo Fisher Scientific),JEOL,N,N,N,N
Instrument Model,"Model designation of the SEM or FIB-SEM instrument, including generation suffix if applicable.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",,2026-05-21,(none),Y,Y,,Nova 200 NanoLab DualBeam,Nova 200 NanoLab DualBeam,ZEISS 1550VP,ZEISS 1550VP,ZEISS 1550VP,JSM-5410LV,JSM-5410LV,S-2500C,Leo 440,Leo 440,Leo 1540 FIB/SEM CrossBeam,Leo 1540 FIB/SEM CrossBeam,Crossbeam 540,Quanta 250,SUPRA 55,1550VP,1550VP,Supra 40,Supra 40,Supra 40,Supra 40,Helios NanoLab 650,7600F,7600F,S-4800,S-4800,S-4800,Helios G3,Helios G4 UX,Quanta 3D 600,JSM-7000F,N,N,N,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG | LaB6 / CeB6 | Tungsten (W) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,,Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),N,N,Tungsten (W),N,N,Other: FEG (type not specified),Other: FEG (type not specified),N,N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,N,N,N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | Other: specify | N/A | None,,2026-05-21,(none),Y,Y,,FIB-SEM dual-beam,FIB-SEM dual-beam,VP-SEM / ESEM,VP-SEM / ESEM,VP-SEM / ESEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,FIB-SEM dual-beam,N,ESEM (Environmental SEM),FESEM (Field Emission SEM),VP (Variable Pressure),VP (Variable Pressure),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),Dual Beam (FIB-SEM),N,N,N,N,N,Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),N,N,N,N,N
Ion Beam Source,Ion beam source type in a FIB-SEM dual-beam system. Gallium LMIS (Ga+) is the most common ion source; xenon plasma FIB (PFIB) provides higher material removal rates for large-volume milling; helium and neon ion microscopes (GFIS) provide nanometre-resolution imaging and low-damage milling.,Basic,Read-Only,Controlled list,Gallium LMIS (Ga+) | Xenon plasma FIB (PFIB) | Helium GFIS | Neon GFIS | Other: specify | N/A | None,,2026-08-11,(none),Y,Y,,N/A,Gallium LMIS (Ga+),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N,Gallium (Ga+) ion beam,Gallium (Ga+) ion beam,N/A,N/A,N/A,N,N
SE Detector Type,Type of secondary electron detector used. Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances; GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.,Basic,Read-Only,Controlled list,Everhart-Thornley (ET) | In-lens / TLD (through-the-lens) | GSED (VP/ESEM) | ESED (VP/ESEM) | Other: specify | N/A | None,,2026-05-22,(none),Y,Y,,In-lens / TLD (through-the-lens),N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N,N/A,N/A,N,N,N,N/A,N/A,N/A,N,N
BSE Detector Type,Type of backscattered electron detector. Solid-state diode detectors (single or segmented) are standard; YAG scintillator detectors offer high sensitivity at low voltage. Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments). In-lens BSE detectors provide improved BSE collection at short working distances.,Basic,Read-Only,Controlled list,"Solid-state diode (single) | Solid-state diode (segmented, composition mode) | Solid-state diode (segmented, topography mode) | In-lens BSE | YAG scintillator | Other: specify | N/A | None",,2026-05-22,(none),Y,Y,,N/A,N,N,N/A,N/A,N/A,N/A,N,N,N/A,N,N/A,N,N/A,N/A,Solid-state BSE detector,N/A,Quadrant Backscatter Detector (QBSD),N/A,N/A,N/A,N,N,N/A,N/A,N,N/A,N,N,N,N/A,N/A,N,N,N
Acquisition Software,"Software used to control the SEM and acquire data, including version number. For FIB-SEM 3D tomography, include the automated slice-and-view module name and version.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",,2026-05-21,(none),Y,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph (CL image assembly),N,N,N,N,N,N,N,N,N,Oxford INCA Energy,Oxford INCA Energy,Oxford INCA Energy,N,N,Oxford AZtec (Point & ID programme),Oxford AZtec (Point & ID programme),N,N,Oxford Instruments Aztec Live/x-stream,N,N,N,N,N,N,N,N
Data Reduction Software,Software used for post-acquisition data reduction and analysis. List all packages with version numbers.,Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",,2026-06-01,(none),N,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph,N,N,N,N,Avizo 7 (3D digital core software); Multiple-point geostatistics for pore network model,N,N,N,N,N,Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),N,Fiji/ImageJ (StackReg/TurboReg for slice alignment; VolumeJ for volume rendering); Adobe Photoshop CS6 (image enhancement); FEI Avizo Fire 8.1.1 (pore volume reconstruction and segmentation),N,Oxford AZtec,N,N,Oxford Instruments Aztec,N/A,N/A,N/A,N,N,N,N/A,N/A
4. Measurement Information,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,"Primary analytical mode(s) executed under this procedure. For multi-mode procedures (e.g., simultaneous BSE + EDS mapping), list all active modes.",Basic,Read-Only,Controlled list,SE Imaging | BSE Imaging | EDS | SEM-WDS | CL | EBSD | TEM Sample Preparation | 3D Tomography | Multiple (specify) | Other: specify | N/A | None,,2026-07-24,(none),Y,Y,,SE Imaging,TEM Sample Preparation,BSE Imaging,EDS,EBSD,CL,EDS,CL,BSE Imaging,EDS,BSE Imaging,EDS,N,N,N,N,N,BSE (QBSD mode),Spot analysis,Element mapping,N,Sequential FIB-SEM tomography (serial cross-section imaging),Low-angle backscattered electron (BSE) imaging,"Point spectra (spot analysis, Point & ID)",N,N,EDS mapping,In-situ FIB lift-out; cross-section lamella preparation for TEM,In-situ FIB lift-out; lamella preparation for XANES and TEM,In-situ FIB lift-out; cross-section lamella preparation,Panchromatic CL imaging; hyperspectral CL; monochromatic CL imaging,Elemental maps and spot spectra (SEM-EDX) for presolar grain phase identification,N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",,2026-08-11,defines: reported property,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
