Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Q-ICP-MS,SF-ICP-MS,MC-ICP-MS,Literature Assessment
Coupling Description,"Describes (1) the functional relationship between this dataset and the coupled technique, and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.",Advanced,Editable,Text (free),"e.g., 'A subset of dated grains were subsequently analysed by CA-ID-TIMS to independently validate the LA-ICP-MS age population; CA-ID-TIMS performed after LA-ICP-MS screening identified target grains'",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Coupled Procedure DOI,Registered procedure DOI for the coupled technique named above.,N/A,Advanced,URI / DOI,"e.g., pending | None",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Coupled Dataset or Publication Reference,DOI or persistent identifier for the co-registered dataset or publication reporting both datasets together.,N/A,Advanced,URI / DOI / Text,"e.g., 'same submission' | pending | None",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
,,,,,,,,,,,
2. Samples,,,,,,,,N,N,N,
Imaging,"Pre-ablation characterisation imaging (typically cathodoluminescence [CL] or backscattered electron [BSE]) used to reveal internal zoning, inherited cores, and metamict domains for selecting valid spot locations, including the imaging instrument and settings used.",Advanced,Editable,Text (free),"CL, FEI Quanta600, 10 nA, 17 mm working distance",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Target Material,General description of the U-(Th-)Pb-bearing mineral(s) this procedure is designed to analyse. Used for discoverability and procedure matching.,Basic,Read-Only,Controlled list / Text,Zircon | Monazite | Titanite | Apatite | Rutile | Xenotime | Baddeleyite | Perovskite | Allanite | Other: specify,Source: In-house TAPP rule — Rule 1 shared Group 2 field (standard name mandatory in all TAPPs). Merged 2026-07-27: also covers Table 3's 'Sample type/mineral' item (paper example: 'Detrital zircons').,2026-07-28,Y,Y,Y,
Sample Preparation Method,"Standard cross-TAPP description of how samples were prepared for analysis (mounting, polishing, coating, etc.).",Basic,Editable,Text (free),"Conventional mineral separation, 1 inch resin mount, 1 µm polish to finish",Source: In-house TAPP rule — Rule 1 shared Group 2 field (standard name mandatory in all TAPPs). Merged 2026-07-27: replaces Table 3's separate 'Sample preparation' item; example is Table 3's own value. Tier corrected 2026-07-28 to Basic/Editable to match LA-Q/SF-ICP-MS TAPP v4.,2026-07-28,Y,Y,Y,
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 7533 zrn-14' | 'Jack Hills detrital zircon JH-22'",Source: In-house TAPP rule — Group 2 universal field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Sample Persistent Identifier,"Globally unique, persistent identifier for the analysed sample. IGSN is the recommended standard for geological and cosmochemical samples.",N/A,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/)",Source: In-house TAPP rule — Group 2 universal field (mandatory in all TAPPs),2026-07-28,Y,Y,Y,
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface, distinct from general sample preparation. Pre-ablation pulses are typically discarded before signal acquisition begins.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (25 µm, 5 Hz, 2.5 J cm⁻²)' | 'None'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
,,,,,,,,,,,
3. Instrument & Software,,,,,,,,N,N,N,
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"ESI/New Wave Research, UP193FX","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Make, Model and Type (Laser Ablation System)'; wavelength/type content moved to 'Laser Wavelength and Type' below.",2026-07-28,Y,Y,Y,
Laser Wavelength and Type,"Wavelength and type of the laser used for ablation, in nanometres. Table 3 (Horstwood et al. 2016) states wavelength only; laser type (e.g., ArF excimer) is not explicitly stated for this instrument in the source example.",Basic,Read-Only,Text (free),193 nm,"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from Group 4's 'Laser Wavelength (nm)' and relocated to Group 3, matching LA-Q/SF-ICP-MS TAPP's placement of wavelength as a fixed hardware fact.",2026-07-28,Y,Y,Y,
ICP-MS Manufacturer & Model,Manufacturer and model of the ICP-MS instrument.,Basic,Read-Only,Text (free),"Nu Instruments, Nu Plasma HR","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed/split from 'Make, Model and Type (ICP-MS Instrument)'; mass-analyzer type moved to 'ICP-MS Type' below.",2026-07-28,Y,Y,Y,
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Single-collector sector-field (SF-ICP-MS) | Multi-collector sector-field (MC-ICP-MS) | Other: specify,"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of 'Make, Model and Type (ICP-MS Instrument)' as its own controlled-list field, matching LA-Q/SF-ICP-MS TAPP's split; example instrument in Table 3 (Nu Plasma HR) is MC-ICP-MS.",2026-07-28,Y,Y,Y,
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell. Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.",Advanced,Read-Only,Text (free),"In-house built low volume cell, volume ca. 4 cm³","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Ablation Cell and Volume' for cross-TAPP consistency; content (including volume, which LA-Q/SF-ICP-MS TAPP's field does not explicitly request) unchanged.",2026-07-28,Y,Y,Y,
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including any co-aspirated tracer or spike solution (e.g., a Tl solution used for instrumental mass bias correction, or a ²³⁵U spike used for isotope dilution).",Basic,Read-Only,Text (free),Ablation aerosol combined with co-aspiration of desolvated Tl-235U tracer,Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Detector Configuration,Type(s) of detector(s) installed in the mass spectrometer used to measure the U-(Th-)Pb isotope beams.,Basic,Read-Only,Text (free),mixed Faraday-multiple ion counting array,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Detection System' for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP.,2026-07-28,Y,Y,Y,
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),"e.g., 'Nu Plasma HR S/N 1234' | 'Lab unit: NIGL-MC1'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis.,Advanced,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | N/A | None | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most matrices; platinum (Pt) is used for high-TDS or organic-matrix samples.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | N/A | None | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position. Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Advanced,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Mass Resolution Setting,Operating mass resolution of the mass analyser. Fixed at unit resolution for quadrupole instruments; selectable (low/medium/high) for sector-field instruments to balance sensitivity against interference suppression; not applicable in the same sense for multi-collector instruments running static low-resolution collection (see Faraday Cup Array Configuration and Collector Configuration for MC-specific detail).,Advanced,Editable,Text (free),"e.g., Unit resolution — quadrupole (fixed) | Low resolution — SF (~300 m/Δm) | Medium resolution — SF (~3000 m/Δm) | High resolution — SF (~10000 m/Δm)",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (SF-ICP-MS primarily; Q-ICP-MS answer is a fixed constant),2026-07-28,Y,Y,Y,
Collision/Reaction Cell (CRC) Configuration,Whether a collision or reaction cell is installed and its operating mode. Applicable only to quadrupole-based instruments; single-collector sector-field and multi-collector instruments do not have collision/reaction cells (interferences are instead resolved by mass resolution or chemical separation).,Advanced,Read-Only,Controlled list,"STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | Not applicable (SF/MC-ICP-MS) | Other: specify",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array: total number of Faraday cup detectors (fixed and moveable), their labelled positions, and the presence and position of any ion counter (SEM) or Daly detector. The number and span of cups constrains which isotope combinations can be simultaneously collected.",Advanced,Read-Only,Text (free),"e.g., 'Nu Plasma HR: mixed Faraday-multiple ion counting array, [n] Faraday cups + [n] ion counters' | 'N/A (not multi-collector)'",Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors; high-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., low-abundance Pb isotopes in young or low-U material).",Advanced,Read-Only,Text (free),All cups: 10¹¹ Ω | L1 (204Pb): 10¹² Ω; all others: 10¹¹ Ω | N/A (not multi-collector),Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected. For instruments with ion-counting detectors, also describes the SEM-to-Faraday cross-calibration sequence.",Advanced,Read-Only,Text (free),Instrument internal gain calibration routine; calibrated at session start | SEM-to-Faraday cross-calibration measured per session using a known ratio solution | N/A (not multi-collector),Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
Acquisition Software,"Instrument control and data acquisition software used to collect raw signal data, including version number.",Basic,Editable,Text (free),"e.g., 'Nu Instruments Nu Plasma TRA 2.x' | 'Thermo Qtegra 2.10' | 'Agilent MassHunter 4.6'",Source: In-house TAPP rule — Rule 1 shared Group 3 software field (standard name mandatory in all TAPPs); Table 3 does not request acquisition software as a distinct item,2026-07-28,Y,Y,Y,
Data Reduction Software,"Software used for signal processing, background subtraction, downhole fractionation correction, and age calculation, including version number.",Basic,Editable,Text (free),Nu Instruments Nu Plasma TRA software,"Source: In-house TAPP rule — Rule 1 shared Group 3 software field (standard name mandatory in all TAPPs); content populated 2026-07-28 by splitting the software name out of Table 3's 'Data Processing Package Used/Correction for LIEF' (Horstwood et al. 2016), leaving the LIEF correction method in the renamed Group 5 field 'Elemental Fractionation Correction'",2026-07-28,Y,Y,Y,
,,,,,,,,,,,
4. Measurement Information,,,,,,,,N,N,N,
Analytical Mode,"Procedure-level declaration of the analytical mode(s) this procedure covers. This TAPP is scoped to static spot ablation only, consistent with Table 3 (Horstwood et al. 2016). No mode-flag columns are used in this TAPP because only one mode is in scope.",Basic,Read-Only,Controlled vocabulary,Spot Analysis,Source: In-house TAPP rule — Rule 3 — mandatory first field of Group 4 in every TAPP. Merged 2026-07-27: also covers Table 3's 'Sampling mode/pattern' item (paper example: 'Static spot ablation').,2026-07-28,Y,Y,Y,
Laser Spot Path / Ablation Mode,"Sampling mode or ablation pattern used during analysis, as described in Table 3 of Horstwood et al. (2016).",Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | Other: specify,"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; reinstates Table 3's 'static' nuance as its own field, matching LA-Q/SF-ICP-MS TAPP's structure of keeping this field distinct from Analytical Mode. Content: Spot (stationary).",2026-07-28,Y,Y,Y,
Spot Diameter,Diameter of the laser spot as set in the acquisition method (nominal/target value).,Basic,Editable,Text (free),25 µm,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; renamed and narrowed to nominal value only; measured/actual value split out to 'Spot Diameter (Measured)' below.,2026-07-28,Y,Y,Y,
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or a test material, distinct from the nominal/target value registered by the procedure.",N/A,Basic,Text (free),32 µm,"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Spot Diameter (µm), Nominal/Actual' field, following the target-vs-measured naming convention used elsewhere in the TAPP library (e.g. Oxide Production).",2026-07-28,Y,Y,Y,
Laser Pulse Duration,Duration of each individual laser pulse. A fixed hardware property of the laser system that determines the thermal vs. non-thermal ablation regime.,Advanced,Read-Only,Numeric (ns),4 ns,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Pulse Width (ns)' for cross-TAPP consistency.,2026-07-28,Y,Y,Y,
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface, the primary control on ablation rate and crater morphology.",Basic,Editable,Numeric (J cm⁻²),2.5 J cm⁻²,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Fluence (J cm-2)' for cross-TAPP consistency.,2026-07-28,Y,Y,Y,
Laser Repetition Rate,Laser pulse repetition rate.,Basic,Editable,Numeric (Hz),5 Hz,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Repetition Rate (Hz)' for cross-TAPP consistency.,2026-07-28,Y,Y,Y,
Ablation Duration per Spot,"Total on-sample ablation time per spot, as set in the acquisition method.",Basic,Editable,Numeric (s),40 s,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Ablation Duration (s)' for cross-TAPP consistency.,2026-07-28,Y,Y,Y,
Ablation Pit Depth/Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. Characterises the achievable depth/time resolution of the procedure.",Advanced,Editable,Text (free),"16 µm pit depth, measured using an optical microscope, SEM and interferometry, equivalent to 0.08 µm/pulse",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed. A flat-top (top-hat) profile produces more uniform ablation craters than a Gaussian beam. Fixed hardware property.",Advanced,Read-Only,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Carrier Gas and Flow Rate,"Identity and plumbing configuration of the gas used to transport the ablated aerosol from the cell to the torch, including the procedure-registered flow rate(s).",Basic,Editable,Text (free),"100% He in the cell (0.8 L min⁻¹), Ar make-up gas combined using a Y-piece 50% along the sample transport line to the torch.",Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; merged from separate 'Carrier Gas' and 'Cell Carrier Gas Flow (L min⁻¹)' fields for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP's combined field.,2026-07-28,Y,Y,Y,
RF Power (W),"ICP radiofrequency forward power. Session-tunable within procedure-defined bounds during plasma optimisation; consistent with the analogous, tunable treatment of RF Power across LA-Q/SF-ICP-MS and all three solution ICP-MS TAPPs.",Basic,Editable,Numeric (W),1300 W,"Source: Table 3 (Horstwood et al. 2016) — tier confirmed 2026-07-28 as Editable (not Read-Only) after cross-checking all four sibling ICP-MS TAPPs, which unanimously use Editable",2026-07-28,Y,Y,Y,
Make-up Gas Flow (L min⁻¹),"Source and estimated flow rate of any make-up gas added downstream of the ablation cell, including any desolvating nebuliser used for tracer co-aspiration.",Advanced,Editable,Text (free),Sourced from Nu Instruments DSN-100 desolvating nebuliser. Neb pressure 24 psi (estimated at 0.7 L min⁻¹) Ar.,Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma. Determines plasma volume and stability.,Advanced,Editable,Numeric (L/min),14 L/min | 15 L/min | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil. Affects ion extraction efficiency and oxide production rates.,Advanced,Editable,Numeric (L/min),0.8 L/min | 1.0 L/min | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Plasma Thermal Mode,Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma is standard for U-(Th-)Pb geochronology; cool plasma would reduce sensitivity for these high-mass analytes and is not typically used.,Advanced,Read-Only,Controlled list,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Masses Measured,Mass-to-charge positions (isotope masses) this procedure is designed to measure. Defines the scope of the procedure; the analyst may record the specific subset actually measured in a given session.,Basic,Editable,Text (free),"202–207, 235, 238",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Reported Variables and Units,"The final reported chemical/isotopic variable(s) and their units — distinct from Masses Measured, which records raw acquisition scope. Covers isotope ratios (both common-Pb corrected and uncorrected, where applicable), elemental/isotopic concentrations, and any derived quantities (age, δ or ε notation) with their reference standard where relevant. For non-mass-spectrometry techniques, this field is generalised to any reported physical or chemical property and its units.",Basic,Read-Only,Text (free),"²⁰⁶Pb/²³⁸U, ²⁰⁷Pb/²⁰⁶Pb, ²⁰⁷Pb/²³⁵U (corrected and uncorrected for common Pb); ²⁰⁸Pb/²³²Th (where Th measured); U concentration (µg g⁻¹); f206c; %concordance; age (Ma)","Source: In-house TAPP rule — new generic field, informed by Table 4 of Horstwood et al. (2016) (the paper's own analytical data-reporting template, distinct from the Table 3 metadata template this TAPP is otherwise built from) and by the precedent field 'Isotope Ratio Reported' in Solution MC-ICP-MS TAPP v3",2026-07-28,Y,Y,Y,
Integration Time per Peak/Dwell Times; Quadrupole Settling Time Between Mass Jumps,"Count time (dwell time) per mass position for each measured isotope, and the settling time allowed between mass jumps, as reported in Table 3 of Horstwood et al. (2016). Applies to sequential (Q/SF) mass-hopping acquisition; for simultaneous multi-collector acquisition see Number of Blocks per Measurement, Number of Cycles per Block, and Integration Time per Cycle.",Basic,Editable,Text (free),200 ms for each isotope,Source: Table 3 (Horstwood et al. 2016); Q/SF-ICP-MS (sequential acquisition),2026-07-28,Y,Y,N,
Total Integration Time per Output Data Point (s),"Total duty-cycle time for one complete mass-scan sweep (sum of all per-isotope dwell times and settling times), which sets the time resolution of the down-hole signal. Applies to sequential (Q/SF) acquisition.",Basic,Editable,Numeric (s),~1.2 s (N.B. this should represent the time resolution of the data),Source: Table 3 (Horstwood et al. 2016); Q/SF-ICP-MS (sequential acquisition),2026-07-28,Y,Y,N,
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure. For static multi-collection, one configuration applies throughout the measurement; for multi-dynamic procedures, lists all configurations and the cycling sequence. Includes interference-monitor masses collected alongside analyte isotopes.",Advanced,Read-Only,Text (free),"e.g., L4=²⁰²Hg, L3=²⁰⁴Pb, L2=²⁰⁵Tl, L1=²⁰⁶Pb, Ax=²⁰⁷Pb, H1=²⁰⁸Pb, H2=²³²Th, H3=²³⁵U, H4=²³⁸U | N/A (not multi-collector)",Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only; Analyte-Specific),2026-07-28,N,N,Y,
Number of Blocks per Measurement,Number of measurement blocks acquired per spot. Each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Multiple blocks allow inspection of signal stability and within-measurement drift.,Advanced,Editable,Integer,1 | 2 | 3 | N/A (not multi-collector),Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration in Integration Time per Cycle.,Advanced,Editable,Integer,20 | 40 | N/A (not multi-collector),Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
Integration Time per Cycle,Duration of signal integration per measurement cycle. Total integration time per spot = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement).,Advanced,Editable,Numeric (s),4.194 s | 8 s | N/A (not multi-collector),Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only),2026-07-28,N,N,Y,
"'Sensitivity' as Useful Yield (%, element)","Instrument sensitivity expressed as useful yield — the percentage of sampled atoms of a given element that are ultimately detected as ions — for the analytical session, following the method cited.",N/A,Advanced,Text (free),0.4% U ((#ions detected/#atoms sampled)*100; Schaltegger et al. 2015),Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
