Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Literature Assessment
Procedure DOI,"DOI or unique persistent identifier for the registered procedure used in this analysis. Mandatory when submitting analytical data, to encourage formal procedure registration. Enter 'pending' if applied for but not yet minted.",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Funding Source for Procedure Development,"Grants and other funding sources that supported instrument purchase, major upgrades, and procedure development. Include grant numbers and funding agencies.",Advanced,Read-Only,Text (free),"e.g., 'NERC IP-1332-0512' | 'None'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses reported here. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-1524297' | 'None'",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Procedure Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1111/j.1751-908X.2016.00379.x (Horstwood et al. 2016, community reporting standard)",Source: In-house TAPP rule — Group 1 template (mandatory in all TAPPs),2026-07-24,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with, or used to independently validate, this dataset. Enter 'None' if no coupling is intended.",Advanced,Editable,Controlled list / Text,CA-ID-TIMS | SIMS | EPMA | CL/BSE Imaging | Other: specify | None,Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-24,
Coupling Description,"Describes (1) the functional relationship between this dataset and the coupled technique, and (2) the analytical sequence — which technique was performed first and why. Required when Coupled Technique(s) is not 'None'.",Advanced,Editable,Text (free),"e.g., 'A subset of dated grains were subsequently analysed by CA-ID-TIMS to independently validate the LA-ICP-MS age population; CA-ID-TIMS performed after LA-ICP-MS screening identified target grains'",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-24,
Coupled Procedure DOI,Registered procedure DOI for the coupled technique named above.,N/A,Advanced,URI / DOI,"e.g., pending | None",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-24,
Coupled Dataset or Publication Reference,DOI or persistent identifier for the co-registered dataset or publication reporting both datasets together.,N/A,Advanced,URI / DOI / Text,"e.g., 'same submission' | pending | None",Source: In-house TAPP rule — Group 1 template — standard coupling field (mandatory in all TAPPs),2026-07-24,
,,,,,,,,
2. Samples,,,,,,,,
Imaging,"Pre-ablation characterisation imaging (typically cathodoluminescence [CL] or backscattered electron [BSE]) used to reveal internal zoning, inherited cores, and metamict domains for selecting valid spot locations, including the imaging instrument and settings used.",Advanced,Editable,Text (free),"CL, FEI Quanta600, 10 nA, 17 mm working distance",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Target Material,General description of the U-(Th-)Pb-bearing mineral(s) this procedure is designed to analyse. Used for discoverability and procedure matching.,Basic,Read-Only,Controlled list / Text,Zircon | Monazite | Titanite | Apatite | Rutile | Xenotime | Baddeleyite | Perovskite | Allanite | Other: specify,Source: In-house TAPP rule — Rule 1 shared Group 2 field (standard name mandatory in all TAPPs). Merged 2026-07-27: also covers Table 3's 'Sample type/mineral' item (paper example: 'Detrital zircons').,2026-07-27,
Sample Preparation Method,"Standard cross-TAPP description of how samples were prepared for analysis (mounting, polishing, coating, etc.).",Advanced,Editable,Text (free),"Conventional mineral separation, 1 inch resin mount, 1 µm polish to finish",Source: In-house TAPP rule — Rule 1 shared Group 2 field (standard name mandatory in all TAPPs). Merged 2026-07-27: replaces Table 3's separate 'Sample preparation' item; example below is Table 3's own value.,2026-07-27,
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 7533 zrn-14' | 'Jack Hills detrital zircon JH-22'",Source: In-house TAPP rule — Group 2 universal field (mandatory in all TAPPs),2026-07-24,
Sample Persistent Identifier,"Globally unique, persistent identifier for the analysed sample. IGSN is the recommended standard for geological and cosmochemical samples.",N/A,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/)",Source: In-house TAPP rule — Group 2 universal field (mandatory in all TAPPs),2026-07-24,
,,,,,,,,
3. Instrument & Software,,,,,,,,
"Make, Model and Type (Laser Ablation System)","Manufacturer, model, and type of the laser ablation system. Table 3 of Horstwood et al. (2016) uses the generic header 'Make, Model and type' for both the laser and the ICP-MS instrument; the instrument context has been added in parentheses here so the two fields remain distinguishable outside the original two-column table layout.",Basic,Read-Only,Text (free),"ESI/New Wave Research, UP193FX",Source: Table 3 (Horstwood et al. 2016); disambiguated from the identically-labelled ICP-MS instrument field,2026-07-24,
Ablation Cell and Volume,"Type, design origin, and internal volume of the ablation cell. Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.",Advanced,Read-Only,Text (free),"In-house built low volume cell, volume ca. 4 cm³",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
"Make, Model and Type (ICP-MS Instrument)","Manufacturer, model, and mass-analyzer type of the ICP-MS instrument (quadrupole, single-collector sector-field, or multi-collector).",Basic,Read-Only,Text (free),"Nu Instruments, Nu Plasma HR, MC-ICP-MS",Source: Table 3 (Horstwood et al. 2016); disambiguated from the identically-labelled laser ablation system field,2026-07-24,
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including any co-aspirated tracer or spike solution (e.g., a Tl solution used for instrumental mass bias correction, or a ²³⁵U spike used for isotope dilution).",Basic,Read-Only,Text (free),Ablation aerosol combined with co-aspiration of desolvated Tl-235U tracer,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Detection System,Detector configuration installed in the mass spectrometer used to measure the U-(Th-)Pb isotope beams.,Basic,Read-Only,Text (free),mixed Faraday-multiple ion counting array,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Acquisition Software,"Instrument control and data acquisition software used to collect raw signal data, including version number.",Basic,Editable,Text (free),"e.g., 'Nu Instruments Nu Plasma TRA 2.x' | 'Thermo Qtegra 2.10' | 'Agilent MassHunter 4.6'",Source: In-house TAPP rule — Rule 1 shared Group 3 software field (standard name mandatory in all TAPPs); Table 3 does not request acquisition software as a distinct item,2026-07-24,
Data Reduction Software,"Software used for signal processing, background subtraction, downhole fractionation correction, and age calculation, including version number.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2010)' | 'VizualAge_UcomPbine (Chew et al. 2014)' | 'In-house spreadsheet'",Source: In-house TAPP rule — Rule 1 shared Group 3 software field (standard name mandatory in all TAPPs); see also the paper-sourced 'Data Processing Package Used/Correction for LIEF' field in Group 5,2026-07-24,
,,,,,,,,
4. Measurement Information,,,,,,,,
Analytical Mode,"Procedure-level declaration of the analytical mode(s) this procedure covers. This TAPP is scoped to static spot ablation only, consistent with Table 3 (Horstwood et al. 2016), where the 'Sampling mode/pattern' example is 'Static spot ablation' and depth-profiling/single-pulse ablation is discussed only as a supplementary variant (see 'Other Information'). No mode-flag columns are used in this TAPP because only one mode is in scope.",Basic,Read-Only,Controlled vocabulary,Spot Analysis,Source: In-house TAPP rule — Rule 3 (mandatory first field of Group 4 in every TAPP). Merged 2026-07-27: also covers Table 3's 'Sampling mode/pattern' item (paper example: 'Static spot ablation').,2026-07-27,
Laser Wavelength (nm),"Wavelength of the laser used for ablation, in nanometres.",Basic,Read-Only,Numeric (nm),193 nm,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Pulse Width (ns),Duration of each individual laser pulse. A fixed hardware property of the laser system that determines the thermal vs. non-thermal ablation regime.,Advanced,Read-Only,Numeric (ns),4 ns,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Fluence (J cm⁻²),"Laser pulse energy per unit area at the sample surface, the primary control on ablation rate and crater morphology.",Basic,Editable,Numeric (J cm⁻²),2.5 J cm⁻²,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Repetition Rate (Hz),Laser pulse repetition rate.,Basic,Editable,Numeric (Hz),5 Hz,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Ablation Duration (s),"Total on-sample ablation time per spot, as set in the acquisition method.",Basic,Editable,Numeric (s),40 s,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Ablation Pit Depth/Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. Characterises the achievable depth/time resolution of the procedure.",Advanced,Editable,Text (free),"16 µm pit depth, measured using an optical microscope, SEM and interferometry, equivalent to 0.08 µm/pulse",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
"Spot Diameter (µm), Nominal/Actual",Diameter of the laser spot as set in the acquisition method (nominal) and as independently measured on the sample or a test material (actual).,Basic,Editable,Text (free),25 µm/32 µm,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Carrier Gas,Identity and plumbing configuration of the gas used to transport the ablated aerosol from the cell to the torch.,Basic,Editable,Text (free),"100% He in the cell, Ar make-up gas combined using a Y-piece 50% along the sample transport line to the torch.",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Cell Carrier Gas Flow (L min⁻¹),Flow rate of the carrier gas through the ablation cell.,Basic,Editable,Numeric (L min⁻¹),0.8 L min⁻¹,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
RF Power (W),ICP radiofrequency forward power.,Basic,Read-Only,Numeric (W),1300 W,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Make-up Gas Flow (L min⁻¹),"Source and estimated flow rate of any make-up gas added downstream of the ablation cell, including any desolvating nebuliser used for tracer co-aspiration.",Advanced,Editable,Text (free),Sourced from Nu Instruments DSN-100 desolvating nebuliser. Neb pressure 24 psi (estimated at 0.7 L min⁻¹) Ar.,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Masses Measured,Mass-to-charge positions (isotope masses) this procedure is designed to measure. Defines the scope of the procedure; the analyst may record the specific subset actually measured in a given session.,Basic,Editable,Text (free),"202–207, 235, 238",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Integration Time per Peak/Dwell Times; Quadrupole Settling Time Between Mass Jumps,"Count time (dwell time) per mass position for each measured isotope, and the settling time allowed between mass jumps, as reported in Table 3 of Horstwood et al. (2016).",Basic,Editable,Text (free),200 ms for each isotope,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Total Integration Time per Output Data Point (s),"Total duty-cycle time for one complete mass-scan sweep (sum of all per-isotope dwell times and settling times), which sets the time resolution of the down-hole signal.",Basic,Editable,Numeric (s),~1.2 s (N.B. this should represent the time resolution of the data),Source: Table 3 (Horstwood et al. 2016),2026-07-24,
"'Sensitivity' as Useful Yield (%, element)","Instrument sensitivity expressed as useful yield — the percentage of sampled atoms of a given element that are ultimately detected as ions — for the analytical session, following the method cited.",N/A,Advanced,Text (free),0.4% U ((#ions detected/#atoms sampled)*100; Schaltegger et al. 2015),Source: Table 3 (Horstwood et al. 2016),2026-07-24,
IC Dead Time (ns),"Dead time of each ion-counting detector channel, used in dead-time correction of high count rates.",Advanced,Editable,Text (free),"6, 9 and 7 ns IC0, IC1 and IC2 resp.",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Other Information,"Supplementary methodological context not captured by the structured fields above, as reported in Table 3 of Horstwood et al. (2016) — in the source paper's own example, notes on ablation-cell and sample-line configuration for depth-profiling/single-pulse ablation studies, a variant not otherwise in scope for this single-mode (Spot Analysis) TAPP.",Advanced,Editable,Text (free),"Depth profiling and single-pulse ablation studies used a low-volume ablation cell, sample line of 3 m from ablation cell to torch and a 20 s wait time between ablations. Cell washout time was ca. 0.8 s to 1% of peak signal.",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
,,,,,,,,
5. Data Processing,,,,,,,,
Gas Blank,Duration of the background (gas blank) measurement and how it is applied to correct the ablation signal.,Basic,Read-Only,Text (free),30 s on-peak zero subtracted,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Data Processing Package Used/Correction for LIEF,"Software used for data reduction and the method (if any) used to correct for laser-induced elemental fractionation (LIEF), as reported in Table 3 of Horstwood et al. (2016). Bundles software identity together with the LIEF correction assumption/method in a single field, per the paper's own field structure.",Basic,Editable,Text (free),"Nu Instruments Nu Plasma TRA software and in-house spreadsheet for data normalisation, uncertainty propagation and age calculation. LIEF correction assumes reference material and samples behave identically.",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Mass Discrimination,Method used to correct measured isotope ratios for instrumental mass bias (mass discrimination).,Basic,Read-Only,Text (free),Tl-U tracer solution used for initial mass bias correction with 207Pb/206Pb and 206Pb/238U additionally normalised to reference material,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
"Common-Pb Correction, Composition and Uncertainty","Whether a common-Pb correction was applied, and if so, the model composition (e.g., Stacey and Kramers 1975) and its uncertainty used in the correction.",Basic,Read-Only,Text (free),No common-Pb correction applied to the data.,Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Uncertainty Level and Propagation,"Uncertainty level at which ages/ratios are quoted (e.g., 1σ, 2σ) and the method used to propagate component uncertainties (e.g., quadratic addition) into the final reported value.",Advanced,Editable,Text (free),"Ages are quoted at 2s absolute, propagation is by quadratic addition. Reproducibility and age uncertainty of reference material and common-Pb composition uncertainty are propagated where appropriate.",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,
Calibration Strategy,Names the primary calibration reference material and the secondary/validation reference material(s) used in the session.,Basic,Editable,Text (free),"91500 used as primary reference material, Plesovice and GJ1 used as secondaries/validation",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Reference Material Information,Accepted isotopic values and source citation for each reference material named in Calibration Strategy.,Basic,Editable,Text (free),"91500 (Wiedenbeck et al. 1995); Plesovice (Slama et al. 2008); GJ1 206Pb/238U 0.097877 ± 0.07%, 207Pb/206Pb 0.060171 ± 0.08% (in-house CA-TIMS, this study)",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Quality Control/Validation,"Session validation results: the weighted-average age, uncertainty, MSWD, and n obtained for each secondary/validation reference material analysed as an unknown, plus the systematic uncertainty value applied in propagation.",N/A,Basic,Text (free),"Plesovice – Wtd ave 206Pb/238U age = 338 ± 3 (2s, MSWD = 0.9, n = 8); GJ-1 – Wtd ave 206Pb/238U age = 602 ± 5 (2s, MSWD = 1.1, n = 7); Systematic uncertainty for propagation is 2% (2s).",Source: Table 3 (Horstwood et al. 2016),2026-07-24,
Detection Limit,"Session detection limit for U, Th, and/or Pb, demonstrating the reliability of reported concentrations near the detection limit. Not requested by Table 3 of Horstwood et al. (2016), which focuses on age uncertainty rather than elemental detection limits.",Advanced,Basic,Numeric (unit),"e.g., '0.05 ppm U (3σ background)' | 'Range: 0.02–0.4 ppm across U, Th, Pb'",Source: In-house TAPP rule — Rule 1 shared Group 6 QC term (gap vs. Table 3),2026-07-24,
Detection Limit Method,Reference or description of the method used to calculate the session detection limit reported above.,Advanced,Basic,Text / URI,"e.g., '3σ of background ion counts per Longerich et al. (1996)'",Source: In-house TAPP rule — Rule 1 shared Group 6 QC term (gap vs. Table 3),2026-07-24,
