"Metadata Item","Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
"Protocol DOI","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Funding Source for Protocol Development","N","[CHANGED from: FWO (Flemish Research Foundation) project G0C4914N; NASA/Smithsonian grants] Planet Topers (BELSPO Interuniversity Attraction Poles); FWO postdoctoral fellowship for SCh; FWO ""Excellence of Science"" (ET-HoME ID 30442502); FWO/BOF-UGent; Alexander von Humboldt Foundation; FWO/BELSPO/VUB for SG and PC","[CHANGED from: FWO project G0C4914N] Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent","[CHANGED from: FWO project G0C4914N] Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent","FWO ""Excellence of Science"" project ET-HoME-ID30442502; Montanuniversität Leoben","Japan Society for the Promotion of Science (JSPS)","N","JSPS KAKENHI; Tokyo Institute of Technology","FAPESP (São Paulo Research Foundation); CNPq","FAPESP; CNPq","National Natural Science Foundation of China (NSFC)","NSFC; Chinese Academy of Sciences","[CHANGED from: Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057] Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","[CHANGED from: Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057] Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","N","N"
"Funding Source for Analysis","[CHANGED from: N] NASA Grants 80NSSC19K1238 (BZ), 80NSSC19K1613 (NLC), 80NSSC18K0595 (MH), NNX17AE77G (AER); NSF Cooperative Agreement DMR-1644779 and State of Florida [Acknowledgements]","[CHANGED from: N] Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent","[CHANGED from: N] Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent","[CHANGED from: N] Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent","[CHANGED from: N] FWO ""Excellence of Science"" project ET-HoME-ID30442502 (S.M.C. and F.V.); Montanuniversität Leoben (S.M.C.); FWO postdoctoral fellowship FWO.3E0.2022.0048.01 (T.V.A.); Belgian Science Policy BELAM, Amundsen, and BAMM projects","[CHANGED from: N] JSPS KAKENHI grants to TY (21KK0058, 20H04609, 19H00715, 18H01258), to TH (JP19H01081), and to YM (23KJ0900); JST to YM (JPMJFS2112)","[CHANGED from: N] N (no funding section in this appendix document; funding would be in the parent paper which was not assessed)","[CHANGED from: N] JSPS Grant-in-Aid for Scientific Research (grants 26106002, 26220713, 16H04081, 19H00715, 19H01081, 20H04609)","[CHANGED from: N] M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts for Geoanalysis 2022 presentation; J.E.: CNPq grant 316191/2021-3","[CHANGED from: N] M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts; J.E.: CNPq grant 316191/2021-3","[CHANGED from: N] CNSA pre-research project D020205; NSFC 41973013; Natural Science Foundation of Hubei Province 2020CFA045; GPMR State Key Laboratory special fund MSFGPMR04 and MSFGPMR08","[CHANGED from: N] Strategy Priority Research Program (Category B) of Chinese Academy of Sciences (XDB0710000); NSFC 42073022","[CHANGED from: N] Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","[CHANGED from: N] Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","NASA Cosmochemistry grants NNX11AG58G (to L.A.T.) and NNN13D465T (to Y.L.); NSF EAR-1226270 (to P.D.A.) and EAR-1019770 (to R.J.B.); Y.L. supported by Jet Propulsion Laboratory [P20-Ack]","Same as silicate protocol [P20-Ack]"
"Protocol Reference(s)","Zhang et al. (2022) GCA 323, 202–219; Humayun (2012) for standardization","Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method","Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method","Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method","Chernonozhkin et al. (2024) JAAS 39, 1050; Van Malderen et al. (2020)","Masuda et al. (2024) M&PS 59, 2260; iQuant 2+ software (Suzuki et al. 2018)","Mittlefehldt (2024) GCA; Lee (Rice University) Excel data reduction spreadsheet","Nakanishi et al. (2022) GCA 319, 254; Walker et al. (2008) for IVB standards","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Zhang et al. (2022) At. Spectrosc. 43; ISO-Compass software; Zhang et al. (2018)","Liu et al. (2024) JAAS 39, 2728; Pettke et al. (2012) for LOD","Liu et al. (2025) GCA 393, 170; Xu et al. (2022) for experimental protocol","Liu et al. (2025) GCA 393, 170; Xu et al. (2022)","Udry et al. (2012) and Pernet-Fisher et al. (2014) cited as broad references for the analytical procedure [P4]","Same as silicate protocol [P4]"
"Coupled Technique(s)","[CHANGED from: N] EPMA (Brown University CAMECA SX-100)","N","N","N","N","N","N","[CHANGED from: N] EPMA (electron probe microanalysis)","N","N","N","N","N","N","EPMA (EMP) [P4]","EPMA (EMP) [P4]"
"Coupling Description","[CHANGED from: N] Quantitative analysis, mixed WDS/EDS element mapping, and characterization of mineral phases from NWA 1911 and Zinder [Section 2.5]","N","N","N","N","N","N","[CHANGED from: N] EPMA used to measure Ni concentration at the exact LA-ICP-MS analysis spot location, required for internal standardization of HSE data [Section 2.3]","N","N","N","N","N","N","EPMA provides major element concentrations for comparison with LA-ICP-MS oxide-sum normalization results; agreement within <10% verified [P4]","EPMA provides CaO concentration at exact analysis spot, used as internal standard for LA-ICP-MS data reduction (LA-ICP-MS 40Ca counts normalized to EMP CaO) [P4]"
"Coupled Protocol DOI","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Coupled Dataset or Publication Reference","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"","","","","","","","","","","","","","","","",""
"2. Samples","","","","","","","","","","","","","","","N","N"
"Target Material","Iron meteorite metal (kamacite + taenite); pyroxene-bearing pallasite metal","Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite Ca-phosphate (merrillite, stanfieldite, farringtonite)","Cosmic spherule micrometeorites (silicate glass, olivine, magnetite)","CAI (calcium–aluminum-rich inclusion) constituent minerals (spinel, diopside, hibonite, nepheline, etc.)","Pallasite olivine ([Mg,Fe]₂SiO₄)","CR chondrite metal grains (interior, margin, and isolated types)","Iron meteorite metal (kamacite + taenite)","Iron meteorite metal (kamacite + plessite)","Lunar meteorite silicates (plagioclase, pyroxene, ilmenite, glass)","Li-borate flux fusion glass (extraterrestrial sample preparation)","Experimental dacitic silicate glass (quench product)","Experimental pyrrhotite (Fe₁₋ₓS) sulfide (quench product)","Martian meteorite (Tissint) silicates, oxides, and glass: olivine, low-Ca pyroxene, augite, maskelynite, Fe-Ti-Cr oxides, shock melt glass, fusion crust [P4]","Martian meteorite (Tissint) phosphate: sodium-merrillite [P4, P12]"
"Sample Form / Analytical Substrate","Polished metal slab (in situ)","In situ — polished epoxy thick section (HELEX II two-volume cell)","In situ — polished epoxy thick section; pre-ablated before trace element run","In situ — polished epoxy thick section","In situ — polished epoxy mount (progressively polished to 4000 grit)","In situ — polished epoxy mount (Allende slab sections embedded in epoxy)","In situ — polished grain mount (olivine grain fragments)","In situ — polished epoxy thick section (petropoxy 154 resin, 0.5 µm diamond finish)","In situ — polished epoxy mount (~1 cm fragments in epoxy, etched with Nital)","In situ — polished epoxy mount (same Augusto Pestana fragment as spot protocol)","In situ — polished thin section (two-volume cell)","Li-borate flux fusion glass disc (10 mg sample + 350 mg Li₂B₄O₇, 35:1 dilution)","In situ — polished epoxy mount (experimental capsule half-section)","In situ — polished epoxy mount (same capsule section as glass protocol)","In situ — polished thin section (Tissint sections: Tata-2-C3, Tata-3-C2, UT1, UT3) [P4, P5-P11]","In situ — polished thin section (same sections as silicate protocol) [P4]"
"Sample Name","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Tissint Martian meteorite [P4]","Tissint Martian meteorite [P4]"
"Sample Persistent Identifier","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Fusion Flux and Dilution Ratio","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Li₂B₄O₇ flux; sample:flux = 1:35 (10 mg sample + 350 mg flux)","N/A","N/A","N/A (in situ)","N/A (in situ)"
"Sample Preparation Method","Polished metal slabs and thin sections; no acid treatment described","PMG thick sections polished; HELEX II two-volume cell; C-coated for SEM then coating removed before LA","PMG thick sections polished; pre-ablation pass (2 J cm⁻², 20 Hz, 150 µm square, 300 µm s⁻¹) before trace element run","PMG thick sections polished; same as olivine mapping preparation","Epoxy mounts progressively polished with 1200–4000 grit SiC then 4000 grit diamond; C-coated for SEM then gently re-polished","Polished Allende slabs cut to include each FG, embedded in epoxy, polished; EDS mapping performed before LA","Olivine grain fragments repeatedly washed in dilute HCl and triply distilled H₂O, hand-picked, polished grain mounts","Thick sections in petropoxy 154 resin, polished to 0.5 µm diamond paste, C-coated for EPMA then surface polished before LA","Fragments ~1 cm mounted in epoxy resin, polished, cleaned with ultrapure water","Same Augusto Pestana fragment etched with Nital solution (2% v/v HNO₃ in ethanol) to reveal kamacite and plessite","Polished thin section (two-volume cell)","Li-borate fusion: 350 mg Li₂B₄O₇ + 10 mg powdered sample fused in Pt-Au crucible (M4 automatic fluxer); glass surface cleaned with ethanol before LA","Experimental capsule longitudinally sectioned with wire saw; half mounted in epoxy for analysis","Same capsule section as silicate glass; sulfide grains ≥20 µm selected by SEM-BSE","N (not described; sections mentioned; polished implied) [P4]","N (same as silicate protocol) [P4]"
"Pre-Ablation Surface Treatment","N","N (mapping; surface effects average out over large area)","Pre-ablation pass: 150 µm square, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ scan before trace element spot run; removes surface contamination and re-deposited material","N","N","N","N (grains imaged by SEM to locate inclusion-free regions)","N","N","N","N","Surface cleaning with ethanol before analysis","N","N","N (not stated) [P4]","N (not stated) [P4]"
"","","","","","","","","","","","","","","","",""
"3. Instrument & Software","","","","","","","","","","","","","","","N","N"
"Laser Manufacturer & Model","ESI New Wave UP193FX (193 nm Nd:YAG frequency-quintupled solid state)","Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer)","Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer)","Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer)","Teledyne Photon Machines Iridia (193 nm ArF excimer)","S.T. Japan Inc. Jupiter Solid Nebulizer (msfsLA system; Yb:KGW fs laser, 260 nm)","New Wave UP-193 (solid state, 193 nm)","Cyber Laser IFRIT (Ti:sapphire fs UV laser, 260 nm)","Teledyne Excite 193 (193 nm ArF excimer)","Teledyne Excite 193 (193 nm ArF excimer)","New Wave Research NWR FemtoUC (Yb:KGW fs, 257 nm PHAROS amplifier)","Shanghai Chemlab GenesisGEO (high-repetition-rate fs laser, 343 nm)","[CHANGED from: Teledyne CETAC CetacAnalyte HE (193 nm, ns)] Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system)","[CHANGED from: Teledyne CETAC CetacAnalyte HE (193 nm, ns)] Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system; same system as glass protocol)","GeoLasPro (193 nm Excimer laser-ablation system; manufacturer not stated by name; GeoLasPro is a Lambda Physik/Coherent product) [P4]","GeoLasPro 193 nm Excimer laser-ablation system (same as silicate protocol) [P4]"
"ICP-MS Manufacturer & Model","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","TOFWERK icpTOF 2R (ICP-ToF-MS)","Thermo Fisher Scientific iCAP TQ (Q-ICP-MS with CRC)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Scientific X-series 2 (Q-ICP-MS)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Fisher Scientific Element XR (SF-ICP-MS)","Thermo Fisher Scientific NEPTUNE Plus (MC-ICP-MS)","Agilent 8900 (Q-ICP-MS; ICP-MS/MS capable)","Agilent 7900 (Q-ICP-MS)","Agilent 7900 (Q-ICP-MS)","Agilent 7500ce ICP-MS [P4]","Agilent 7500ce ICP-MS [P4]"
"ICP-MS Type","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] N","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] Double-focusing sector field ICP-MS (explicitly stated: ""Thermo Scientific Element XR double-focusing sector field ICP-MS unit"")","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] Double-focusing sector field ICP-MS (explicitly stated)","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] Double-focusing sector field ICP-MS (explicitly stated)","Time-of-flight (ICP-ToF-MS)","Single-collector quadrupole (Q-ICP-MS) with collision/reaction cell (CRC)","Single-collector sector-field (SF-ICP-MS)","Single-collector quadrupole (Q-ICP-MS)","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] Sector field (SF-ICP-MS) (explicitly stated: ""sector field inductively coupled plasma mass spectrometer"")","[CHANGED from: Single-collector sector-field (SF-ICP-MS)] Sector field (SF-ICP-MS) (explicitly stated)","Multi-collector sector-field (MC-ICP-MS)","[CHANGED from: Single-collector quadrupole (Q-ICP-MS)] N (ICP-MS type not stated; Agilent 8900 model named but ""quadrupole"" or ""ICP-MS/MS"" not used in paper)","[CHANGED from: Single-collector quadrupole (Q-ICP-MS)] N (ICP-MS type not stated; Agilent 7900 model named but ""quadrupole"" not explicitly stated)","[CHANGED from: Single-collector quadrupole (Q-ICP-MS)] N (ICP-MS type not stated)","N (quadrupole implied by Agilent 7500ce model; not explicitly stated in paper) [P4]","N (same as silicate protocol) [P4]"
"Interface Cone Configuration","N","Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture)","Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture)","Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture)","[CHANGED from: N (ToF instrument; standard configuration)] N","[CHANGED from: N (iCAP TQ standard configuration; dry sampler cone for sensitivity enhancement)] N","N (parameters lost)","Ni micro-skimmer cone Xs; Ni sampler cone","Ni sampler cone; Ni skimmer cone","Ni sampler cone; Ni skimmer cone","X skimmer cone + Jet sample cone (high-sensitivity configuration)","N","N","N","N","N"
"Guard Electrode","N","N","N","N","N","N","N","N","On (active)","On (active)","N","N","N","N","N","N"
"Mass Resolution Setting","Low resolution (M/ΔM ≈ 400)","Low resolution (M/ΔM = 300; cool plasma mapping)","Run 1: Medium resolution (M/ΔM = 4000) for major elements; Run 2: Low resolution (M/ΔM = 300) for trace elements","Low resolution (M/ΔM = 300)","N/A — ToF acquires all masses simultaneously; mass resolution ~2500 at m/z 115","Unit resolution (quadrupole fixed)","Medium resolution (m/Δm ≈ 4000)","Unit resolution (quadrupole fixed)","Low resolution (M/ΔM = 300)","Low resolution (M/ΔM = 300)","Low resolution (M/ΔM ≈ 400)","Unit resolution (quadrupole; ICP-MS/MS mode not specified)","Unit resolution (quadrupole fixed)","Unit resolution (quadrupole fixed)","N (unit resolution implied for quadrupole; not explicitly stated) [P4]","N (same as silicate protocol) [P4]"
"Detector Configuration","Triple mode detection (pulse counting + analog + Faraday) at 65% duty cycle","Triple mode detection (all analytical modes)","Triple mode detection; Faraday used for major elements in run 1","Triple mode detection","MCP detector (simultaneous full-spectrum ToF detection); notch filter for Ar-based ions","Secondary electron multiplier (SEM)","N (parameters lost)","N","Triple mode detector (pulse counting, analog, Faraday)","Triple mode detector (pulse counting, analog, Faraday)","Seven fixed electron multiplier ICs + nine Faraday cups (1011 Ω resistors)","Dual mode detector (30 ms / 10 ms dwell alternation)","N","N","N","N"
"Laser Wavelength and Type","[CHANGED from: 193 nm Nd:YAG solid-state (frequency-quintupled)] N","193 nm ArF excimer; pulse duration ~5 ns","193 nm ArF excimer; pulse duration ~5 ns","193 nm ArF excimer; pulse duration ~5 ns","193 nm ArF excimer (Iridia system)","260 nm (4th harmonic generation of Yb:KGW); 290 fs pulse duration","193 nm solid-state (New Wave UP-193)","260 nm Ti:sapphire femtosecond UV; pulse duration ~220 fs (IFRIT system)","193 nm ArF excimer; pulse duration 4 ns","193 nm ArF excimer; pulse duration 4 ns","257 nm Yb:KGW femtosecond; pulse duration 300 fs (PHAROS system)","343 nm fs (GenesisGEO high-repetition-rate femtosecond laser)","193 nm (CetacAnalyte HE; ns pulse)","193 nm (CetacAnalyte HE; ns pulse)","193 nm Excimer (ArF excimer) [P4]","193 nm Excimer (ArF excimer) [P4]"
"Acquisition Software","N","N","N","N","Tofpilot v2.8 (TOFWERK; preliminary mass calibration, baseline, peak integration)","N","N","N","N","N","N","N","N","N","N","N"
"Data Reduction Software","[CHANGED from: In-house (following Humayun 2012)] N (paper only states ""standardization techniques followed those of Humayun (2012)""; no software named)","In-house MatLab script (Appendix C1)","In-house MatLab script (Appendix C2)","In-house MatLab script (Appendix C3)","HDIP software (Teledyne Photon Machines; data post-processing, calibration, oxide normalization, VOI selection)","iQuant 2+ (Suzuki et al. 2018; image processing and REE pattern extraction)","Excel spreadsheets developed by C.-T. A. Lee (Rice University)","N (in-house reduction implied)","iolite 4.5.7 with 3D Trace Elements DRS","iolite 4.5.7 with 3D Trace Elements DRS","[CHANGED from: ISO-Compass software (Zhang et al. 2018)] ISO-Compass software (Zhang et al. 2020, J. Anal. At. Spectrom. 35, 1087–1096)","Iolite 4 (Paton et al. 2011)","[CHANGED from: N (Agilent software implied)] N","[CHANGED from: N (Agilent software implied)] N","AMS ver. 1.0 (Mutchler et al. 2008; Analysis Management System, stand-alone software) [P4]","AMS ver. 1.0 (Mutchler et al. 2008) [P4]"
"Ablation Cell Type","[CHANGED from: N (New Wave standard cell)] N","HELEX II two-volume ablation cell","HELEX II two-volume ablation cell","HELEX II two-volume ablation cell","Cobalt™ ablation chamber + low-dispersion tube-type cell + ARIS (Aerosol Rapid Introduction System)","N (Jupiter Solid Nebulizer with galvanometric scanner; no separate ablation cell described)","N (standard cell; parameters lost)","N","HelEx II two-volume sample cell","HelEx II two-volume sample cell","Two-volume cell (constant distance between laser and aerosol extraction)","[CHANGED from: N (GenesisGEO standard cell)] N","[CHANGED from: N (CetacAnalyte HE standard cell)] Cetac Analyte HE system (stated as the laser ablation system coupled to Agilent 7900)","[CHANGED from: N (CetacAnalyte HE standard cell)] Cetac Analyte HE system (same as silicate glass protocol)","N","N"
"","","","","","","","","","","","","","","","",""
"4. Measurement Information","","","","","","","","","","","","","","","N","N"
