Metadata Item,"Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Background Count Time,50 s (background counted for 50 s before each LA-ICP-MS analysis) [P4],50 s (same as silicate protocol) [P4]
Multi-Run Sequential Analysis Design,Single spot analysis per location [P4],Single spot analysis per location [P4]
Analysis Location/Spot Coordinates,N,N
Number of Replicates,N (not stated),N (not stated)
Transect Length,N/A (spot analysis),N/A (spot analysis)
Mapping Area,N/A (spot analysis),N/A (spot analysis)
,,
5. Data Processing,N,N
Internal Standard Approach,Normalization to 100 wt% oxide total (for silicates and oxides) [P4],Single element IS: EMP CaO concentration used; LA-ICP-MS 40Ca counts normalized to CaO from EMP analysis at the same spot [P4]
Internal Standard Element,"None (oxide sum normalization, 100 wt% total) [P4]",40Ca; CaO wt% from EMP at the analysis spot [P4]
Elemental Fractionation Correction,External calibration using NIST 610 glass standard analyzed before and after session; oxide-sum normalization corrects for ablation yield variation; no explicit downhole fractionation correction described [P4],External calibration using NIST 610; EMP CaO as IS corrects for ablation yield; no explicit downhole correction described [P4]
Uncertainty Propagation Method,N (not stated) [P4],N (not stated) [P4]
Matrix Offset Correction (LIEF),N (not stated; agreement within <10% between oxide-sum normalization and EMP-based IS noted as validation) [P4],N (not stated) [P4]
Signal Integration Interval Method,Time-lapse plots of each spot examined; only the plateau region used to quantify trace element abundances [P4],Time-lapse plots examined; only plateau region used (same as silicate protocol) [P4]
Signal Integration Time,N (not stated) [P4],N (not stated) [P4]
Spike / Outlier Filtering Approach,N (not explicitly stated; implied by plateau-region selection excluding non-stable intervals) [P4],N (same as silicate protocol) [P4]
Blank / Background Correction Method,50 s background measurement before each analysis; background subtracted (method not explicitly described beyond counting duration) [P4],50 s background measurement before each analysis (same as silicate protocol) [P4]
Pulse/Analog Detector Nonlinearity Correction,N (not stated) [P4],N (not stated) [P4]
Isobaric Interference Corrections Applied,N (not stated) [P4],N (not stated) [P4]
Interfering Species,N (not stated) [P4],N (not stated) [P4]
Interference Correction Method,N (not stated) [P4],N (not stated) [P4]
Memory Effect Mitigation,N (not stated) [P4],N (not stated) [P4]
Normalization / Standards-Based Correction,100% oxide total normalization applied per analysis for silicates and oxides; NIST 610 used for external calibration before and after session [P4],No post-acquisition normalization; EMP CaO applied directly as IS; NIST 610 for external calibration [P4]
,,
6. Quality Control & Uncertainty,N,N
Primary Calibration Standard Name,NIST 610 glass standard [P4],NIST 610 glass standard [P4]
Secondary Reference Materials,N (not stated) [P4],N (not stated) [P4]
Detection Limit,"Referenced in Table 3 and Table S1; specific values not directly stated in main text; REE in olivines below detection limits at 24–32 µm conditions [P4, P7, P11]","Referenced in Table 3 and Table S1; specific values not directly stated in main text; merrillite REE at 14–414 ppm range above detection [P4, P12]"
Detection Limit Method,N (method not stated) [P4],N (method not stated) [P4]
Limit of Quantification (LOQ) Method,N (not stated) [P4],N (not stated) [P4]
Within-Session Analytical Precision and Assessment Method,N (not stated) [P4],N (not stated) [P4]
Between-Session (Long-Term) Analytical Precision and Assessment Method,N (not stated) [P4],N (not stated) [P4]
Analytical Accuracy and Assessment Method,"For silicates: oxide-sum normalization agrees within <10% with EMP-based IS method (internal cross-check, not a separate QC standard) [P4]",N (no accuracy assessment stated for phosphate protocol) [P4]
Additional Notes,Paper broadly follows Udry et al. (2012) and Pernet-Fisher et al. (2014) for procedure; two IS approaches used for different mineral phases (oxide-sum for silicates; EMP CaO for phosphate); 90 µm spot used on some olivines to evaluate whether low REE signals result from insufficient sampling volume [P4],N/A — see silicate column for general notes [P4]
