Metadata Item,Description,Protocol-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry"
Protocol DOI,"DOI or unique persistent identifier for the registered protocol used in this analysis, generated upon protocol submission to a data repository. This field is mandatory when submitting analytical data to encourage formal protocol registration and ensure traceability. If a DOI has been applied for but not yet minted, enter ""pending"".",N/A,Basic,URI / DOI,"e.g., http://doi.org/10.60520/IEDA/114187 | pending",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Protocol Development,"Grants and other funding sources that supported instrument purchase, major upgrades, protocol development, and associated personnel time. Include grant numbers and funding agencies where applicable.",Basic,Read-Only,Text (free),"e.g., 'NSF EAR-2142500; DFG INST 216/1019-1 FUGG no. 665508' | 'None'",,2026-05-07,Y,Y,Y,,N,FWO (Flemish Research Foundation) project G0C4914N; NASA/Smithsonian grants,FWO project G0C4914N,FWO project G0C4914N,"FWO ""Excellence of Science"" project ET-HoME-ID30442502; Montanuniversität Leoben",Japan Society for the Promotion of Science (JSPS),N,JSPS KAKENHI; Tokyo Institute of Technology,FAPESP (São Paulo Research Foundation); CNPq,FAPESP; CNPq,National Natural Science Foundation of China (NSFC),NSFC; Chinese Academy of Sciences,"Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057","Strategic Priority Research Program (B) CAS; NSFC 92062222, 42073057"
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from protocol development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Protocol Reference(s),"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this protocol.",Advanced,Read-Only,URI / DOI,"e.g., doi:10.1016/j.oregeorev.2011.11.001",,,Y,Y,Y,,"Zhang et al. (2022) GCA 323, 202–219; Humayun (2012) for standardization",Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,Chernonozhkin et al. (2021) Chem. Geol. 562; Liu et al. (2008) for IS method,"Chernonozhkin et al. (2024) JAAS 39, 1050; Van Malderen et al. (2020)","Masuda et al. (2024) M&PS 59, 2260; iQuant 2+ software (Suzuki et al. 2018)",Mittlefehldt (2024) GCA; Lee (Rice University) Excel data reduction spreadsheet,"Nakanishi et al. (2022) GCA 319, 254; Walker et al. (2008) for IVB standards","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)","Navarro et al. (2024) ACS Earth Space Chem. 8, 281; Longerich et al. (1996)",Zhang et al. (2022) At. Spectrosc. 43; ISO-Compass software; Zhang et al. (2018),"Liu et al. (2024) JAAS 39, 2728; Pettke et al. (2012) for LOD","Liu et al. (2025) GCA 393, 170; Xu et al. (2022) for experimental protocol","Liu et al. (2025) GCA 393, 170; Xu et al. (2022)"
Coupled Technique(s),"Analytical technique(s) applied to the same sample or aliquot in conjunction with this protocol, where the two analyses are designed to be interpreted together or where one provides input to the other. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,EPMA | SIMS | ICP-MS (solution) | Noble Gas MS | Other: specify | None,,2026-05-09,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupling Description,"Description of how this protocol is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques or how results are combined (e.g., which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g., non-destructive before destructive).",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",,2026-05-09,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Protocol DOI,"Registered protocol DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled protocol has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",,2026-05-09,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",,2026-05-09,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,,,,,,,,,,,,,,,,
Target Material,General description of the material type(s) this protocol is designed to analyse. Used for discoverability and protocol matching.,Basic,Read-Only,Controlled list / Text,Silicate glass | Feldspar | Pyroxene | Olivine | Oxide | Sulfide | Carbonate | Phosphate | Native metal | Iron meteorite | Fluid inclusion | Melt inclusion | Whole rock | Other: specify,,,Y,Y,Y,,Iron meteorite metal (kamacite + taenite); pyroxene-bearing pallasite metal,"Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite Ca-phosphate (merrillite, stanfieldite, farringtonite)","Cosmic spherule micrometeorites (silicate glass, olivine, magnetite)","CAI (calcium–aluminum-rich inclusion) constituent minerals (spinel, diopside, hibonite, nepheline, etc.)","Pallasite olivine ([Mg,Fe]₂SiO₄)","CR chondrite metal grains (interior, margin, and isolated types)",Iron meteorite metal (kamacite + taenite),Iron meteorite metal (kamacite + plessite),"Lunar meteorite silicates (plagioclase, pyroxene, ilmenite, glass)",Li-borate flux fusion glass (extraterrestrial sample preparation),Experimental dacitic silicate glass (quench product),Experimental pyrrhotite (Fe₁₋ₓS) sulfide (quench product)
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical protocol.",Basic,Editable,Controlled list,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | Other: specify,,,Y,Y,Y,,Polished metal slab (in situ),In situ — polished epoxy thick section (HELEX II two-volume cell),In situ — polished epoxy thick section; pre-ablated before trace element run,In situ — polished epoxy thick section,In situ — polished epoxy mount (progressively polished to 4000 grit),In situ — polished epoxy mount (Allende slab sections embedded in epoxy),In situ — polished grain mount (olivine grain fragments),"In situ — polished epoxy thick section (petropoxy 154 resin, 0.5 µm diamond finish)","In situ — polished epoxy mount (~1 cm fragments in epoxy, etched with Nital)",In situ — polished epoxy mount (same Augusto Pestana fragment as spot protocol),In situ — polished thin section (two-volume cell),"Li-borate flux fusion glass disc (10 mg sample + 350 mg Li₂B₄O₇, 35:1 dilution)",In situ — polished epoxy mount (experimental capsule half-section),In situ — polished epoxy mount (same capsule section as glass protocol)
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sample Persistent Identifier,"Globally unique, persistent identifier for the analysed sample. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem, and SESAR.",N/A,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Fusion Flux and Dilution Ratio,"For protocols using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",,,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Li₂B₄O₇ flux; sample:flux = 1:35 (10 mg sample + 350 mg flux),N/A,N/A
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Advanced,Editable,Text (free),"e.g., 'Polished thin section, uncoated' | '25 mm epoxy mount, polished to 0.25 µm diamond' | 'Double-fused Li-tetraborate bead, polished to 1 µm'",,,Y,Y,Y,,Polished metal slabs and thin sections; no acid treatment described,PMG thick sections polished; HELEX II two-volume cell; C-coated for SEM then coating removed before LA,"PMG thick sections polished; pre-ablation pass (2 J cm⁻², 20 Hz, 150 µm square, 300 µm s⁻¹) before trace element run",PMG thick sections polished; same as olivine mapping preparation,Epoxy mounts progressively polished with 1200–4000 grit SiC then 4000 grit diamond; C-coated for SEM then gently re-polished,"Polished Allende slabs cut to include each FG, embedded in epoxy, polished; EDS mapping performed before LA","Olivine grain fragments repeatedly washed in dilute HCl and triply distilled H₂O, hand-picked, polished grain mounts","Thick sections in petropoxy 154 resin, polished to 0.5 µm diamond paste, C-coated for EPMA then surface polished before LA","Fragments ~1 cm mounted in epoxy resin, polished, cleaned with ultrapure water",Same Augusto Pestana fragment etched with Nital solution (2% v/v HNO₃ in ethanol) to reveal kamacite and plessite,Polished thin section (two-volume cell),Li-borate fusion: 350 mg Li₂B₄O₇ + 10 mg powdered sample fused in Pt-Au crucible (M4 automatic fluxer); glass surface cleaned with ethanol before LA,Experimental capsule longitudinally sectioned with wire saw; half mounted in epoxy for analysis,Same capsule section as silicate glass; sulfide grains ≥20 µm selected by SEM-BSE
Pre-Ablation Surface Treatment,"Protocol applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted as the large area ablated averages out surface effects.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",,,Y,Y,Y,,N,N (mapping; surface effects average out over large area),"Pre-ablation pass: 150 µm square, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ scan before trace element spot run; removes surface contamination and re-deposited material",N,N,N,N (grains imaged by SEM to locate inclusion-free regions),N,N,N,N,Surface cleaning with ethanol before analysis,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,,,,,,,,,,,,,,,,
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",,,Y,Y,Y,,ESI New Wave UP193FX (193 nm Nd:YAG frequency-quintupled solid state),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne Photon Machines Iridia (193 nm ArF excimer),"S.T. Japan Inc. Jupiter Solid Nebulizer (msfsLA system; Yb:KGW fs laser, 260 nm)","New Wave UP-193 (solid state, 193 nm)","Cyber Laser IFRIT (Ti:sapphire fs UV laser, 260 nm)",Teledyne Excite 193 (193 nm ArF excimer),Teledyne Excite 193 (193 nm ArF excimer),"New Wave Research NWR FemtoUC (Yb:KGW fs, 257 nm PHAROS amplifier)","Shanghai Chemlab GenesisGEO (high-repetition-rate fs laser, 343 nm)","Teledyne CETAC CetacAnalyte HE (193 nm, ns)","Teledyne CETAC CetacAnalyte HE (193 nm, ns)"
ICP-MS Manufacturer & Model,Manufacturer and model of the ICP-MS instrument.,Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",,,Y,Y,Y,,Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),TOFWERK icpTOF 2R (ICP-ToF-MS),Thermo Fisher Scientific iCAP TQ (Q-ICP-MS with CRC),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Scientific X-series 2 (Q-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific NEPTUNE Plus (MC-ICP-MS),Agilent 8900 (Q-ICP-MS; ICP-MS/MS capable),Agilent 7900 (Q-ICP-MS),Agilent 7900 (Q-ICP-MS)
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Single-collector sector-field (SF-ICP-MS) | Multi-collector sector-field (MC-ICP-MS) | Time-of-flight (ICP-ToF-MS) | Triple quadrupole (ICP-MS/MS) | Other: specify,,,Y,Y,Y,,Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Time-of-flight (ICP-ToF-MS),Single-collector quadrupole (Q-ICP-MS) with collision/reaction cell (CRC),Single-collector sector-field (SF-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Multi-collector sector-field (MC-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS)
Interface Cone Configuration,Combination of sample cone and skimmer cone installed during analysis.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",,,Y,Y,Y,,N,Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),N (ToF instrument; standard configuration),N (iCAP TQ standard configuration; dry sampler cone for sensitivity enhancement),N (parameters lost),Ni micro-skimmer cone Xs; Ni sampler cone,Ni sampler cone; Ni skimmer cone,Ni sampler cone; Ni skimmer cone,X skimmer cone + Jet sample cone (high-sensitivity configuration),N,N,N
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode),,,Y,Y,Y,,N,N,N,N,N,N,N,N,On (active),On (active),N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression.",Basic,Editable,Text (free),"e.g., Unit resolution — quadrupole (fixed) | Low resolution — SF (~300 m/Δm) | Medium resolution — SF (~3000 m/Δm) | High resolution — SF (~10000 m/Δm) | Other: specify",,,Y,Y,Y,,Low resolution (M/ΔM ≈ 400),Low resolution (M/ΔM = 300; cool plasma mapping),Run 1: Medium resolution (M/ΔM = 4000) for major elements; Run 2: Low resolution (M/ΔM = 300) for trace elements,Low resolution (M/ΔM = 300),N/A — ToF acquires all masses simultaneously; mass resolution ~2500 at m/z 115,Unit resolution (quadrupole fixed),Medium resolution (m/Δm ≈ 4000),Unit resolution (quadrupole fixed),Low resolution (M/ΔM = 300),Low resolution (M/ΔM = 300),Low resolution (M/ΔM ≈ 400),Unit resolution (quadrupole; ICP-MS/MS mode not specified),Unit resolution (quadrupole fixed),Unit resolution (quadrupole fixed)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,,Y,Y,Y,,Triple mode detection (pulse counting + analog + Faraday) at 65% duty cycle,Triple mode detection (all analytical modes),Triple mode detection; Faraday used for major elements in run 1,Triple mode detection,MCP detector (simultaneous full-spectrum ToF detection); notch filter for Ar-based ions,Secondary electron multiplier (SEM),N (parameters lost),N,"Triple mode detector (pulse counting, analog, Faraday)","Triple mode detector (pulse counting, analog, Faraday)",Seven fixed electron multiplier ICs + nine Faraday cups (1011 Ω resistors),Dual mode detector (30 ms / 10 ms dwell alternation),N,N
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",,,Y,Y,Y,,193 nm Nd:YAG solid-state (frequency-quintupled),193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer (Iridia system),260 nm (4th harmonic generation of Yb:KGW); 290 fs pulse duration,193 nm solid-state (New Wave UP-193),260 nm Ti:sapphire femtosecond UV; pulse duration ~220 fs (IFRIT system),193 nm ArF excimer; pulse duration 4 ns,193 nm ArF excimer; pulse duration 4 ns,257 nm Yb:KGW femtosecond; pulse duration 300 fs (PHAROS system),343 nm fs (GenesisGEO high-repetition-rate femtosecond laser),193 nm (CetacAnalyte HE; ns pulse),193 nm (CetacAnalyte HE; ns pulse)
Acquisition Software,"Instrument control and data acquisition software used to collect raw signal data, including version number. Separate from data reduction software.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",,,Y,Y,Y,,N,N,N,N,"Tofpilot v2.8 (TOFWERK; preliminary mass calibration, baseline, peak integration)",N,N,N,N,N,N,N,N,N
