Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,Ma+2015 | Caltech GPS | WDS Point Analysis (JEOL 8200),Hu+2020 | IGGCAS | WDS Point Analysis (JEOL JXA-8100),Liu+2016_UT | Cameca SX100 | WDS Mapping (U.Tennessee),Liu+2016_Cal | JEOL JXA-8200 | WDS Point Analysis (Caltech GPS),Ma+2017 | JEOL 8200 | WDS Point Analysis (Caltech GPS Analytical Facility),Frank+2023 | Cameca SX100 | WDS Point Analysis (ARES JSC),Broussard+2026 | JEOL JXA-8200 | WDS Mapping (WashU),Seifert+2026 | JEOL 8530 | WDS Point Analysis (ARES JSC),Pang+2016 | JEOL JXA-8100 | WDS Point Analysis (Nanjing U.),McCoy+2025_SI | JEOL 8530F+ | WDS Point Analysis (Smithsonian),McCoy+2025_UA | Cameca SX-100 | WDS Point Analysis (K-ALFAA U.Arizona),Zega+2025 | Cameca SX-100 Ultra | WDS Point Analysis (K-ALFAA U.Arizona),Barnes+2025 | JEOL JXA-8230 | WDS Point Analysis (CRPG Nancy),Barnes+2025 | Cameca SX100 | WDS Point Analysis (NHM London),
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-13,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'Sen Hu'",Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,Chi Ma,Sen Hu,N,N,Chi Ma,David R. Frank,N,Logan B. Seifert,N,N,N,N,N,N,
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-2345678' | 'NASA 80NSSC23K0415' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,"e.g., 'LA-ICP-MS' | 'EBSD' | 'SEM-EDS' | 'NanoSIMS' | 'None' | N/A",Source: Core module,2026-08-11,(none),,Y,Y,Y,Y,,"SEM (Carl Zeiss 1550VP FE-SEM, BSE imaging); EBSD (HKL system on ZEISS 1550VP); synchrotron XRD; micro-Raman",SEM-EDS (FEI Nova NanoSEM 450); Raman spectroscopy,"SEM (BSE imaging); petrographic microscopy; LA-ICP-MS (Agilent 7500ce, Virginia Tech)","SEM (BSE imaging); petrographic microscopy; LA-ICP-MS (Agilent 7500ce, Virginia Tech)","SEM (Carl Zeiss 1550VP FE-SEM, BSE imaging); EBSD; synchrotron XRD; micro-Raman",Petrographic microscopy; SEM-BSE (JEOL 5900LV); EPMA X-ray mapping; Cameca ims1280 ion microprobe (O isotopes; 26Al-26Mg); FIB-TEM,"Powder XRD (Rigaku MiniFlex 600); ICP-MS (Thermo Fisher iCAP Qc, WashU); K isotope MC-ICP-MS (Neptune Plus, WashU); CO2 laser-fluorination O isotope MS (U. New Mexico); AMS (PRIME Lab, Purdue)",SEM-EDS; SIMS (Cameca ims 1280); TEM-EDS,SEM (BSE imaging); petrographic microscopy,SEM-EDS (NHM London; Smithsonian; JSC); TEM-EDS/EELS; FIB-SEM; ToF-SIMS; XRD; XANES,SEM-EDS (NHM London; Smithsonian; JSC); TEM-EDS/EELS; FIB-SEM; ToF-SIMS; XRD; XANES,SEM-EDS; TEM-EDS/EELS; FIB-SEM; XRD; XANES,"SEM-BSE (JEOL JSM-6510, 15 kV, 3 nA); SEM-EDS (multi-element mapping); SIMS (CAMECA IMS 1270 E7, CRPG); NanoSIMS (K-ALFAA); ICP-MS; MC-ICP-MS; noble gas MS","SEM-EDS (Zeiss EVO 15LS + Oxford X-Max80, 20 kV, 3 nA); NanoSIMS (OU); SIMS (CAMECA ims-1280-HR, Hokkaido); laser fluorination O isotopes (OU)",
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA WDS major element concentrations used as internal standard for LA-ICP-MS trace element data reduction. EPMA performed first because LA-ICP-MS ablation is destructive.'",Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",Source: Core module,2026-07-24,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Target Material,"General description of the material type(s) this procedure is designed to analyse. Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Phosphate | Carbonate | Metal alloy | Other: specify | N/A | None,Source: Core module,2026-08-14,(none),,Y,Y,Y,Y,,"Silicate mineral (tissintite clinopyroxene, plagioclase, maskelynite) | Oxide | Glass (melt pocket)","Silicate mineral (coesite, pyroxene, feldspar) | Oxide | Sulfide","Silicate mineral (olivine, pyroxene, maskelynite) | Oxide (chromite, ulvospinel, ilmenite) | Sulfide | Phosphate (merrillite) | Glass (melt pocket)","Silicate mineral (olivine, pyroxene, maskelynite) | Oxide | Sulfide | Phosphate | Glass","Silicate mineral (liebermannite, lingunite, maskelynite, augite, pigeonite)",Silicate mineral | Oxide | Sulfide | Phosphate (CI chondrite phases),"Phyllosilicate (matrix) | Oxide (magnetite, ilmenite) | Sulfide (pyrrhotite, pentlandite) | Carbonate (dolomite, magnesite) | Phosphate (Ca phosphate, Na-Mg hydrous phosphate)",Phosphate (apatite),Silicate mineral | Oxide (eucrite phases),Carbonate | Oxide | Silicate mineral (Bennu evaporite and host phases),"Phosphate (Mg,Na phosphate) | Carbonate (Bennu evaporite phases)",Silicate mineral | Sulfide | Oxide | Phosphate | Carbonate (Bennu samples),"Silicate mineral (olivine, pyroxene) | Oxide | Carbonate (anhydrous minerals in Bennu aggregate particles)","Silicate mineral (olivine, pyroxene) in Bennu aggregate particles",
Sample Preparation Method,"Description of how samples were prepared for analysis under this procedure (mounting, polishing, coating). Analysts may document session-specific variations from the procedure standard.",Basic,Editable,Text (free),"e.g., 'Polished thin section, 20 nm carbon coat' | '25 mm epoxy mount, polished to 0.25 µm diamond, 10 nm C coat'",,2026-07-24,(none),,Y,Y,Y,Y,,Polished thin section; carbon coating N,Polished thick section (NWA 8657); carbon coating N,Polished thin sections (coating type N),Polished thin sections (coating type N),Polished thin section USNM 7619 (coating type N),N,Fragments mounted and dry-polished in a petrographic thin section; carbon coating N,Fragments embedded in epoxy; dry-polished with diamond powder; one mount ion-polished before carbon coating,Polished thin section; carbon coating N,Ir-coated specimens mounted on Ir-coated Parafilm,Polished section; 20 nm carbon coat,N,Aggregate particles (<1 mm) mounted in epoxy at Université Côte d'Azur; polished; carbon coated (thickness N),"Mounted in resin blocks; polished at NHM London; fragmented during polishing (P1, P2); initial carbon coat for SEM/EPMA (thickness N); additional coat added after for SIMS (total ~30 nm) [N5,N6]",
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 8657 polished thin section 1' | 'Tissint UT1' | 'Ivuna MZ2'",Source: Core module,2026-08-12,defines: sample,,Y,Y,Y,Y,,Tissint Mars meteorite,NWA 8657 shergottite,"Tissint thin sections UT1, UT2, UT3; Tata-1-C1 to C3; Tata-2-C1 to C3; Tata-3-C1 to C3; Tissint-B","Tissint thin sections UT1, UT2, UT3; Tata-1-C1 to C3; Tata-2-C1 to C3; Tata-3-C1 to C3; Tissint-B",Zagami USNM 7619,"Ivuna CI chondrite, section MZ2",OC002 LAB24-2 (10-11 fragments of Oued Chebeika 002),OREX-803079-0 and OREX-803080-0 (Bennu OSIRIS-REx samples),NWA 8003 eucrite,Bennu OSIRIS-REx samples (OREX-8#####-###),Bennu OSIRIS-REx samples (OREX-8#####-###),Bennu OSIRIS-REx samples (OREX-5/8#####-###),OREX-800045-103 and OREX-800045-107,"OREX-501054-0 and OREX-501059-0 (particles P1, P2)",
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-11,defines: sampling unit,,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-12,sample,,Y,Y,Y,Y,,,,,,,,,,,"OREX-8#####-### (NASA curatorial ID, not IGSN)","OREX-8#####-### (NASA curatorial ID, not IGSN)","OREX-5/8#####-### (NASA curatorial ID, not IGSN)","OREX-800045-103; OREX-800045-107 (NASA curatorial IDs, not IGSN)","OREX-501054-0; OREX-501059-0 (NASA curatorial IDs, not IGSN)",
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-08,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-08,sample,,Y,Y,Y,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Cameca | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-12,(none),,Y,Y,Y,Y,,JEOL,JEOL,Cameca,JEOL,JEOL,Cameca,JEOL,JEOL,JEOL,JEOL,Cameca,Cameca,JEOL,Cameca,
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),JXA-8530F Plus | JXA-8230 | JXA-8200 | JXA-8100 | SXFiveTactis | SXFive | SX100 | iHP200F | Other: specify | Unknown | N/A | None,Source: Core module,2026-05-11,(none),,Y,Y,Y,Y,,"JEOL 8200 (stated as ""JEOL 8200 electron microprobe""; no JXA prefix stated)","JXA-8100 (stated as ""JEOL JXA-8100"")","SX100 (stated as ""Cameca SX100"")","JXA-8200 (stated as ""JEOL JXA-8200"")","JEOL 8200 (stated as ""JEOL 8200 electron microprobe""; no JXA prefix in paper)","SX100 (stated as ""Cameca SX100"")","JXA-8200 (stated as ""JEOL JXA-8200 electron microprobe"")","JEOL 8530 EMPA (stated as ""JEOL 8530 EMPA at NASA JSC""; no F suffix or JXA prefix stated)","JXA-8100 (stated as ""JEOL 8100"")","JXA-8530F Plus (stated as ""JEOL 8530 F+ Hyperprobe Field Emission Electron Probe Microanalyzer"")","SX-100 (stated as ""Cameca SX-100 electron microprobe located at K-ALFAA"")","SX-100 Ultra (stated as ""SX-100 Ultra electron microprobe in the K-ALFAA"")","JXA-8230 (stated as ""JEOL JXA-8230 electron microprobe analyser (EPMA)"")","SX100 (stated as ""CAMECA SX100 electron microprobe"")",
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Field Emission (FEG) | LaB6 / CeB6 | Tungsten (W) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,Field Emission (FEG),N,N,N,N,
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Probe for EPMA v12.9.5' | 'JEOL PC-EPMA v3.0' | 'Cameca PeakSight 6.2'",Source: Core module,2026-08-14,(none),,Y,Y,Y,Y,,"Probe for EPMA (Probe Software, Inc.)",N,N,N,"Probe for EPMA (Probe Software, Inc.)",N,Probe for EPMA microanalysis software,N,N,N,N,N,N,N,
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Probe for EPMA (built-in)' | 'CalcZAF v12' | 'CITZAF (Armstrong 1995)' | 'XMapTools 4.1 (for mapping)'",Source: Core module,2026-08-14,(none),,Y,Y,Y,Y,,CITZAF correction procedure (Armstrong 1995),Bence-Albee method,N,N,CITZAF correction procedure (Armstrong 1995),N,"Probe for EPMA (CITZAF matrix correction, Armstrong 1995); CalcImage and Quantitative Microanalysis Explorer web-based tool (for stage mapping)",N,N,N,N,XMapTools (for phase maps),N,N,
WDS Spectrometer Configuration,"Number, type, and crystal range of WDS spectrometers on the instrument. Include manufacturer, model, and crystal range. For SEM-WDS configurations (third-party WDS on a non-EPMA platform), include WDS manufacturer and model.",Advanced,Read-Only,Text (free),"e.g., '5 Rowland-circle WDS spectrometers (JEOL), crystal range LDE1-LIFH' | '4 WDS spectrometers (Cameca)'",,2026-08-12,(none),,N,N,Y,Y,,N,N,N,N,N,N,5 wavelength-dispersive spectrometers (JEOL),N,N,"LIFL (Fe Ka, Mn Ka); TAPL (Mg Ka); PETL (Ca Ka) — partial; full config N",N,N,5 wavelength-dispersive spectrometers (JEOL),N,
EDS Detector Configuration,"EDS detector type, manufacturer, window type, active area, and detector geometry (take-off angle, position).",Advanced,Read-Only,Text (free),"e.g., 'Oxford Ultim Max 100 SDD, 100 mm2, polymer window, 35 deg take-off angle' | 'JEOL (e2v/Gresham) SDD, Be window'",,2026-08-11,(none),,Y,Y,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Analytical Mode,"Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library.",Basic,Read-Only,Controlled list,'WDS Point Analysis' | 'EDS Point Analysis' | 'WDS Mapping' | 'EDS Mapping' | 'WDS Point Analysis; EDS Point Analysis',Source: Core module,2026-08-14,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Beam Mode,"Whether the electron beam was stationary-focused, defocused to a fixed diameter, or rastered over a small area during a single-point analysis. For X-ray mapping, beam scanning is controlled by Step Size and Stage Scan vs. Beam Scan fields instead.",Basic,Read-Only,Controlled list,Focused | Defocused | Raster | Other: specify | N/A | None,,2026-05-13,(none),,Y,Y,Y,Y,,"Focused (stated: ""beam in focused mode"")",Focused,"Focused (olivine, pyroxene, Fe-Ti-Cr oxides); Defocused 5-10 µm (maskelynite, phosphate, sulfide, glass)","Focused (olivine, pyroxene, Fe-Ti-Cr oxides); Defocused 5-10 µm (maskelynite, phosphate, sulfide, glass)","Focused (stated: ""beam in focused mode"")",Focused (point analysis); mapping beam mode N,N,Focused (2 µm probe size stated),Focused (most phases); Defocused 2-5 µm (plagioclase and polymorphs),"Focused (1 µm, silicates/oxides); Focused (5 µm, carbonates)",Focused (1 µm),"Focused (silicates, sulfides, oxides); Defocused 2 µm (phosphates, carbonates)","Focused (1 µm, point analysis); Rastered 5×5 µm² for carbonates",Focused (1 µm),
Accelerating Voltage,Electron beam accelerating voltage in kilovolts (kV). The procedure specifies the standard operating voltage; analysts record and justify any deviations.,Basic,Editable,Numeric (kV),"e.g., 15 | 20 | 10 | 7.5",,2026-07-24,(none),,Y,Y,Y,Y,,15 kV,15 kV,15 kV,15 kV,15 kV,20 kV,15 kV,15 kV,15 kV,15 kV,15 kV,15 kV,20 kV,20 kV,
Beam Current,Probe current in nanoamperes (nA). Often varies by phase type or analyte; record the procedure-standard value(s).,Basic,Editable,Numeric (nA),"e.g., 5 | 10 | 20 | 50 | 100",,2026-08-12,sample > sampling unit,,Y,Y,Y,Y,,5 nA,10 nA,"20 nA (olivine, pyroxene, Fe-Ti-Cr oxides); 10 nA (maskelynite, phosphate, sulfide, glass); 200 nA (olivine megacryst Ka maps)","20 nA (olivine, pyroxene, Fe-Ti-Cr oxides); 10 nA (maskelynite, phosphate, sulfide, glass)",5 nA,20 nA,25 nA (point analysis),20 nA,"20 nA (focused, most phases); 20 nA defocused (plagioclase and polymorphs)",10 nA (carbonates and silicates/oxides),8 nA (phosphates); carbonate conditions N,"20 nA (silicates, sulfides, oxides); 8 nA (phosphates); 4 nA (carbonates)",10 nA,N,
