Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,,"Soil and rock samples from boreholes BH1, BH2 (Sunbury), BH3, BH4 (Kalkallo), BH5 (Greenvale), BH6, BH (Wallan), incl. BH3a; reference materials BCR-2, BR, AGV-2, JB-2, JB-3, NIST SRM981, and Broken Hill Main Lode galena","mag_1, mag_3, mag_5, py_2, py_4; iron-formation reference material FER-2 (CCRMP, CANMET MMSL, Canada)","JB-1, JB-2, JB-3, JA-1, JA-2, JA-3, JP-1 (GSJ); BHVO-1, AGV-1, PCC-1, DTS-1 (USGS); Ivuna (CI1), Orgueil (CI1), Cold Bokkeveld (CM2), Allende (USNM 3529, Split 1, Pos. 23)","Open-ocean seawater reference materials SAFe S1, SAFe D2 and NASS-5; GEOTRACES inter-calibration samples GS (surface) and GD (deep); depth-profile samples from the BATS station, 31 deg 45' N, 64 deg 05' W, 23 June 2008","In-house consistency standards CAM-wuellerstorfi, CAM-Uvig-1, CAM-Uvig-2 and CAM-Mix; Globigerinoides sacculifer specimens of the 300-355 um size fraction","AGV-1, AGV-2, BCR-1, BCR-2, BCR-2G, BIR-1, BIR-1G, BHVO-1, BHVO-2, BHVO-2G, G-2, JR-1, KL2-G, ML3B-G, NIST SRM 612, OU-6, PCC-1 -- tabulated with issuing organisation and split/position numbers (e.g. BHVO-1 Split 15 Pos 26; G-2 Split 58 Pos 23)"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,,"Weighed split of a digest or leachate -- rock chips 0.05-0.24 g, soils 1-2.3 g; ""weighed splits taken for trace element and high-precision Pb isotope analysis by MC-ICPMS. At least 50% of each solution was retained for Pb isotope analysis by SC-SF-ICP-MS and Q-ICP-MS""; ""Small splits of the soil samples (TD, AR) were used for Pb isotope analysis on a Nu Instruments Attom""","Aliquot of the digest solution -- 50 mg FER-2 and ""approximately 100 mg of the studied mineral samples"" digested; ""a small aliquot sample solution was taken for column separation"", ""7.2 mg Fe in 10% aliquot of magnetite solution""; ""A 1.8 g sample solution (in 2 g of 10 M HCl) was weighed and loaded""","Weighed test portion -- ""Approximately 20 mg of basalt and andesite samples were weighed""; ""Approximately 50 mg for peridotites and approximately 10 mg for meteorites""; 9-18 mg for carbonaceous chondrites","12 mL sub-sample (aliquot) of an acidified seawater sample -- ""Acidified seawater samples ... were sub-sampled (12 mL) into clean 30 mL FEP Teflon bottles. The 12 mL aliquots were spiked""; ""standard additions ... were added to individual 12 mL sub-samples of the same sample""; ""Standard additions of Co and Mn were performed on a further four aliquots (1 mL) of the elution acid""","Dissolved foraminiferal test aliquot -- ""capable of analyzing small masses of calcite (5-10 mg), including single foraminifera specimens""; ""Leached samples were dissolved in a minimum volume of 1 M HNO3 (40-60 uL) ... centrifuged for 2 min at 10,000 rpm and the supernatant was used for Me/Ca analysis. A 5 uL aliquot ...""","Digestion, with determinations nested inside it -- ""Five independent analyses (different spikings/digestions) of BHVO-1 were carried out over a time period of 4 months. Triplicate determinations were performed for each digestion""; ""Only one digestion was prepared for the USGS reference glasses ... and were measured in triplicate"""
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,,Source: Core module,2026-08-25,sample,,,N/A,N/A,N/A,N/A,N/A,N/A
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,(none),,,Sequential acid leaching of bulk soil (TD and AR fractions; stated section 2.2),Mineral separates (~100 mg powder; stated section 2.3),Whole-rock powder (decomposed in TFM bomb; same as Q-ICP-MS portion; stated section 2.1.1),Open-ocean seawater; off-line pre-concentration using Toyopearl AF-Chelate-650M chelating resin (stated section 2.2),Foraminifera shells cleaned and dissolved in minimum 1 M HNO3 then diluted (stated section 2.4),Whole-rock powder (~100 mg; stated section on sample preparation)
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,preparation step,"For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",,Aqua regia (AR fraction); HF-HNO3 for residue (stated section 2.2),Step 1: 6M HCl (1.5 ml) + 8M HNO3 (0.5 ml); Step 2: 10M HCl (1.5 ml) for re-dissolution; stated section 2.3.1,0.5 mol/l HF (same as Q-ICP-MS portion; stated section 2.1.1),N/A (seawater; pre-concentration by chelation; no acid digestion),1 M HNO3 (minimum volume for dissolution; stated section 2.4),HF (1-2 ml) + HNO3 (0.2 ml; stated sample prep section)
Digestion Vessel Type,Type of vessel used for acid digestion.,Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",,N,15 mL Teflon capsule (stated section 2.3),TFM bomb (TFM-981; stated section 2.1.1),N/A (no digestion vessel; seawater pre-concentration),N/A (simple dissolution; stated section 2.4),"15 ml Savillex PFA beakers (non-refractory, hotplate); Parr bombs (refractory minerals; stated sample prep section)"
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,Source: Solution Introduction module,2026-08-25,defines: preparation step,,,N,2 (step 1: 6M HCl + 8M HNO3 at 130 deg C / 48 h; step 2: evaporate + re-dissolve in 10M HCl; both steps explicitly described; stated section 2.3.1),N,N/A,1 (stated section 2.4),N
Digestion Temperature,Temperature at which acid digestion was carried out (°C).,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",Source: Solution Introduction module,2026-08-25,preparation step,,,N,130 deg C (stated section 2.3),N,N/A,N/A (ambient dissolution; stated section 2.4),"130 deg C (hotplate, non-refractory); 180 deg C (Parr bomb, refractory; stated sample prep section)"
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",Source: Solution Introduction module,2026-08-25,preparation step,,,N,48 h (stated section 2.3),N,N/A,N/A,"12 h (non-refractory, hotplate); 7 days (refractory, Parr bomb; stated sample prep section)"
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. For isotope-ratio procedures, match acid molarity precisely between samples and bracketing standards. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 2% HNO3 + trace HF | 6M HCl (intermediate) | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Directly affects instrument response and ion transmission. Mismatched molarity introduces matrix-induced mass bias offsets.,,2% HNO3 + 1 ppb Tl (stated section 2.3),2% HNO3 + 5 ng/ml Rh (stated section 2.3),N (HF-based; same as Q-ICP-MS; stated section 2.1.1),1.0 M HNO3 (trace elements eluted from chelating resin in 1 mL; stated section 2.2),0.1 M HNO3 + 0.3 M HF (Table 1),"0.4 mol/l HNO3 (dilution factor ~21000 for LR, ~1000 for HR; stated sample prep section)"
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",Source: Solution Introduction module,2026-08-25,sample,Used for yield calculations and concentration back-calculation.,,N,~100 mg mineral powder (stated section 2.3),N,12 mL seawater (stated section 2.2),1-2 mg foraminifera shells (stated section 2.4),~100 mg (stated sample prep section)
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement.",,None (Pb separation performed for MC-ICP-MS only; SF-ICP-MS uses unseparated leachate with Tl addition; stated section 2.3),AG1-X8 anion exchange resin + TRUspec resin (stated section 2.3.2),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.2),Toyopearl AF-Chelate-650M chelating resin (pre-concentration from seawater; stated section 2.2),None (direct dissolution analysis; stated section 2.4),None (direct analysis; stated section on instrumentation)
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, add and equilibrate the spike before digestion. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),Mixed multi-element spike | Single-element spike | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Spiking before digestion corrects for isotopic fractionation during dissolution and column chemistry.,,"None (Tl added for mass fractionation correction only, not ID)",None (external calibration used; stated section 2.3),N (Ti measured by ID; spike isotope not stated; stated section 2.1.2),"57Fe, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb enriched isotope spikes (stated Table 1)",None,"Multi-element spike (MES; enriched isotopes of Rb, Sr, Y, Zr, Nb, Cs, Ba, REE, Hf, Pb, Th, U; stated section on instrumentation)"
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,,"Nu Instruments -- ""a Nu Instruments Attom SC-SF-ICP-MS""","Thermo Fisher Scientific -- ""An Inductively Coupled Sector Plasma Mass Spectrometer (Element I, ThermoFisher, USA)""","Thermo Fisher Scientific -- ""(b) ICP-SFMS, Finnigan ELEMENT""; stated as ""Finnigan ELEMENT"", the pre-Thermo brand name","Thermo Fisher Scientific -- ""a Thermo-Finnigan Element I (E1) HR-ICP-MS""; ""Instrument ThermoFinnigan Element1""","Thermo Fisher Scientific -- ""a Thermo Element XR, a single collector sector field high resolution inductively coupled plasma mass spectrometer""","Thermo Fisher Scientific -- ""a ThermoFinnigan ELEMENT2 mass spectrometer"""
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),Thermo Element 2 | Thermo Element XR | Nu Instruments Attom HR | Nu Instruments AttoM ES | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),,,Nu Instruments Attom SC-SF-ICP-MS (stated section 2.3),Thermo Fisher Element I HR-ICP-MS (stated Table 1),Finnigan ELEMENT sector-field ICP-MS (stated section 2.1.2),Thermo Finnigan Element I (E1) HR-ICP-MS (stated section 2.4),Thermo Element XR single-collector SF-ICP-MS (stated section 2.3),ThermoFinnigan ELEMENT2 (stated section on instrumentation)
ICP-MS Type,Type of sector-field ICP-MS system. Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams.,Basic,Read-Only,Controlled list,Single-collector sector-field (SF-ICP-MS) | N/A | None | Other: specify,,2026-08-11,(none),,,Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS),Single-collector sector-field (SF-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),,Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,,N,N,N,N,N,N
Torch Type,"Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-06-16,(none),,,N,N,Quartz glass torch with sapphire injector (stated Table in section 2.1.2),N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance.,Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Al sample cone + Al skimmer | N/A | None | Other: specify,,2026-06-16,(none),,,N,1.1 mm Ni sampler + 0.8 mm Ni skimmer (Table 1),1 mm Ni sampler + 0.8 mm Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler (Spectron Inc.) + Ni skimmer (Spectron Inc.; Table 2),Pt-normal sampler + Pt-H skimmer (Table 1),1.0 mm Ni sampler + 0.5 mm Ni skimmer (Table 3)
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Aluminium (Al) cones are used in some SF-ICP-MS labs for enhanced sensitivity at high resolution. Platinum (Pt) is used for HCl-rich matrices.,Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Al sampler and Al skimmer | Pt sampler and Pt skimmer | N/A | None | Other: specify,,2026-06-16,(none),,,N,Ni sampler and Ni skimmer (Table 1),Ni sampler and Ni skimmer (stated Table in section 2.1.2),Ni/Cu sampler and Ni skimmer (Table 2),Pt sampler and Pt skimmer (Table 1),Ni sampler and Ni skimmer (Table 3)
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. Actively used as a design feature on Thermo Element 2 and Element XR instruments.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-08-11,(none),,,N,N,N,N,N,N
Mass Resolution Setting,"Mass resolution mode(s) used in this procedure. Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000). Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution Assignment). Procedure registers the mode(s) in use; analyst confirms at session start.",Basic,Editable,Text (free),LR only (m/Δm ≈ 300) | LR+MR | LR+MR+HR | MR only (m/Δm ≈ 2500) | N/A | None | Other: specify,,2026-08-12,(none),,,N (Nu Attom uses deflector peak jump; no LR/MR/HR designation stated; stated section 2.3),N,MR (M/Delta-m = 3000; stated section 2.1.2),LR (R ~300) and MR (R ~4000; stated section 2.4),LR and MR (stated Table 1 and section 2.3),LR (M/Delta-m = 300) and HR (M/Delta-m = 11000; stated section on instrumentation)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and the detection mode(s) used. SF-ICP-MS instruments typically use a single SEM. Some instruments (e.g., Thermo Element XR) support triple mode: pulse counting for low signals, analog for mid-range signals, and Faraday cup for high signals. The cross-calibration correction between detector modes is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog) | Single SEM, triple mode (pulse counting, analog, Faraday) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-06-16,(none),,,Single SEM; deflector peak jump mode for Pb isotopes (stated section 2.3),"Single SEM, pulse counting only (stated Table 1: counting mode)","Single SEM, pulse counting (stated section 2.1.2)","Single SEM, dual mode (stated section 2.4)","Single SEM, dual mode (pulse counting + analog; fixed per analyte; Table 1)",N
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction.,Basic,Read-Only,Text (free),PFA MicroFlow | Meinhard | Micromist | PFA-ST | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Affects droplet size distribution and sample introduction efficiency.,,Glass Expansion glass nebulizer (stated section 2.3),N,"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.2)",PFA microflow PFA-100 (Elemental Scientific; Table 2),ESI 50 uL microconcentric nebulizer; self-aspirating (Table 1),ESI microconcentric Teflon nebulizer (stated section on instrumentation)
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C).,Basic,Read-Only,Text (free),Scott double-pass (glass) | Scott double-pass (PFA) | Cyclonic at 7°C | Cinnabar cyclonic at 7°C | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,,Glass Expansion cyclonic spray chamber (stated section 2.3),N,"Scott double-pass, uncooled, Teflon (stated Table in section 2.1.2)",PFA Teflon Savillex 100 mL with internal baffle (Table 2),Teflon Scott-type single-pass (Savillex PFA; Table 1 footnote),ESI Teflon spray chamber (stated section on instrumentation)
Desolvation System,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Record 'None' if not used.,Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction.",,N,N,None,None,None,None
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",Source: Solution Introduction module,2026-08-25,(none),,,0.33 ml/min (stated section 2.3),200 uL/min (Table 1),Self-aspiration; uptake time 60 s (stated section 2.1.2); volumetric flow rate N,150 uL/min (Table 2),50 uL ESI nebulizer; uptake time 70 s (Table 1); volumetric flow rate N,~100 uL/min (Table 3)
