Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose
Internal (Within-Measurement) Analytical Precision and Assessment Method,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it. State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to. Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there.",Advanced,Basic,Text (free),"e.g., '2SE = 2SD/sqrt(n), n = 45 cycles' | '+/-0.001-0.002 (2SE) on 206Pb/204Pb' | '~2.6% (2SE) on single-spot ages' | 'N/A'",,2026-08-25,sample > sampling unit x reported property,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three."
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analytical session and the method used to assess it. Report both the assessment method and the precision values. The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI). Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses.",Basic,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,,2026-08-25,standard x reported property,
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it. Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported.",Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,,2026-08-25,standard x reported property,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",Basic,Editable,Numeric (L/min),0.7–1.2 L/min,,2026-08-26,(none),
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",Basic,Editable,Numeric (L/min),13–18 L/min,,2026-08-26,(none),Influences plasma temperature and oxide ion formation.
RF Power,"Radiofrequency forward power applied to the ICP, in watts.",Basic,Editable,Numeric (W),1400 | 1500 | 1550 | 1600,,2026-08-26,(none),Controls ionization efficiency and oxide production rates.
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,,2026-08-26,(none),
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,,2026-08-26,(none),"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency."
Calibration Standard Measurement Frequency,"How often the primary calibration or bracketing standard is measured relative to unknown samples within a session. Specify the bracketing scheme where a fixed one is used, such as one standard measurement before and after each sample.",Basic,Read-Only,Text (free),Before and after every 3 samples | Bracketing every 5 samples | Start and end of session only | N/A | None | Other: specify,,2026-08-26,(none),
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 1.5% | CeO+/Ce+ < 1% | ThO+/Th+ < 0.3% | N/A | None | Other: specify,,2026-08-26,(none),
Plasma Thermal Mode,Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field.,Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-08-26,(none),"Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements."
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-08-26,(none),
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Ni sample cone + Ni Xs skimmer | N/A | None | Other: specify,,2026-08-26,(none),"Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance."
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),,,2026-08-26,(none),
Analytical Accuracy and Assessment Method,"Offset between measured and accepted values for secondary reference materials, and the method used to assess it. Specify the reference material and the source of its accepted values, the number of analyses, and the quantities assessed. Report systematic biases and their likely causes. Express the offset in the form appropriate to what the procedure reports - percent relative bias for concentrations, or deviation in delta or ratio units for isotopic quantities.",Basic,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,,2026-08-26,standard x reported property,
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,,2026-08-26,(none),
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),Ho (2 ppb) | Tb + Bi | In (10 ppb) | Rh (50 ppb) | None | N/A | Other: specify,,2026-08-26,(none),
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification (LOQ): the lowest concentration reliably measurable with acceptable precision and accuracy. Mandatory at analysis level when concentrations near the LOD are reported.,Advanced,Basic,Controlled list / Text,10σ blank | 10σ background | 10× LOD | 3.3× LOD | S/N ≥ 10 | N/A | None,,2026-08-26,reported property,
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,,2026-08-26,(none),
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),External calibration (all analytes) | Isotope dilution (all analytes) | ID for Zn (67Zn spike); external calibration for all other elements | External calibration + standard addition | N/A | None | Other: specify,,2026-08-26,analyte,
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,,2026-08-26,(none),
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | N/A | None | Other: specify,,2026-08-26,(none),Determines available cell configurations and interference mitigation strategies.
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,,2026-08-26,channel,
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"ArCl+ on 75As | MoO+ on Cd isotopes | Ba2+ on Zn isotopes | None | N/A | Other: specify | For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu.",,2026-08-26,channel,
Isobaric Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,Yes | No | N/A | None,,2026-08-26,(none),
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-08-26,(none),
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",,2026-08-26,(none),"For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible."
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel is standard for most aqueous and nitric matrices; platinum is used for HCl-rich, high-TDS or organic matrices for its greater corrosion resistance; aluminium is used in some laboratories for high-purity work or enhanced sensitivity. State both sampler and skimmer materials; a single statement is acceptable where they are identical.",Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,,2026-08-26,(none),
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary standard / 1 QC / 10 unknowns' | 'Standard bracketing every 5 samples' | 'Calibration block at session start, standard after every 3 samples'",,2026-08-27,(none),
