Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Single-volume,Multi-volume stitching,Literature Assessment,"Eckley 2024
(JSC Scan Record)
Bennu particle
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Genge et al. 2025
(Nat. Commun.)
Ryugu particle (A0180)
Single-volume
Zeiss Versa
Not stated","Neuman et al. 2025 /
Shearer et al. 2024
(JGR / Space Sci. Rev.)
Apollo 17 core 73002
Multi-volume stitching
NSI custom, UTCT","Neuman et al. 2025
(JGR Planets)
Apollo 17 core 73001
Multi-volume stitching
NSI custom, UTCT","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 73001 CSVC
Single-volume
Nikon XTH 320
NASA JSC","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 particles
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Tomkinson et al. 2015
(MAPS)
NWA 5790 nakhlite
Single-volume
Nikon Metris XTH 225
U. Manchester","Glavin et al. 2023
(MAPS)
Murchison CM2
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Nascimento-Dias
et al. 2019
(Appl. Radiat. Isot.)
NWA 8277 + NWA 6963
Single-volume
Bruker Skyscan 1173","Richard et al. 2019
(Chem. Geol.)
Olivine (melt incl.)
Single-volume
Zeiss Xradia 510 Versa
UNAM Mexico","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
Whole sample (low-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
ROI scan (high-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Fluid incl. minerals (C-I)
Single-volume
Phoenix Nanotom S
U. Lorraine","Tait 2014
(Thesis)
Watson 012 H7 chondrite
Single-volume
XRADIA XRM500
CSIRO Kensington",
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,,,,,,,,,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: Core module,2026-08-25,(none),,Y,Y,,Scott Eckley,N,N,N,N,N,N,Scott A. Eckley,N,N,N,N,N,N,
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,,2024-10-29,N,N,N,N,N,N,N,N,N,N,N,N,N,
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,NCT | EPMA | LA-ICP-MS | SIMS | None | N/A,Source: Core module,2026-08-30,(none),,Y,Y,,N,SEM (post-XCT polished sections),N,N,N,N,SEM-BSE (qualitative comparison),N,Micro-XRF (same samples),N,N,N,Confocal laser scanning microscopy (Sample I),Optical microscopy; EBSD,
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'NCT provides complementary attenuation contrast sensitive to H, Cl, and Ir, and discriminates Fe from Ni — information inaccessible to X-ray CT; XCT and NCT performed sequentially on the same sample. If thermoluminescence (TL) analyses are also planned, TL must be performed before any tomography. Note: NCT produces short-lived radioactivation (e.g., ²⁴Na, t₁/₂ = 15 h); hold samples at facility until below shipping limits.' | 'EPMA provides phase identification used to guide XCT VOI selection; EPMA performed after XCT (non-destructive) and before polishing'",Source: Core module,2026-08-25,(none),,Y,Y,,N,Serial polished sections cut post-XCT; SEM imaging,N,N,N,N,BSE images compared with XCT attenuation contrast,N,Micro-XRF performed on same meteorite fragments after XCT,N,N,N,CLSM performed on same inclusion for volumetric cross-validation,XCT qualitatively compared with thin sections and EBSD,
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Chondrite meteorite | Achondrite meteorite | Lunar sample | Mission-returned sample | Drill core (rock) | Sediment core | Terrestrial rock | Cosmic spherule | N/A | None,Source: Core module,2026-08-30,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,,"C-type asteroid particle (Bennu, OSIRIS-REx)","C-type asteroid particle (Ryugu, Hayabusa2)",Lunar regolith (Apollo 17 drive-tube core),"Lunar regolith (Apollo 17 drive-tube core, steel sleeve)",Lunar regolith (Apollo 17 drive-tube CSVC),Lunar regolith particles (Apollo 17 core),"Martian meteorite (nakhlite, NWA 5790)",CM2 carbonaceous chondrite (Murchison),Lunar meteorite (NWA 8277); Martian meteorite (NWA 6963),Olivine phenocryst with silicate melt inclusion,Synthetic quartz monocrystal with aqueous fluid inclusions,Synthetic quartz monocrystal with aqueous fluid inclusions,"Minerals with fluid inclusions (quartz, garnet, emerald, wolframite, feldspar)",H7 ordinary chondrite (Watson 012),
Target Feature(s),The 3D internal features or properties the procedure is designed to characterize.,Basic,Read-Only,Text (free),"e.g., 'Vesicle network and size distribution' | 'Opaque phase (FeNi metal, sulfide) 3D distribution' | 'Porosity and pore connectivity' | 'Mineral phase boundaries and modal mineralogy' | 'General 3D structural characterization'","Note for Phase 3 literature assessment: evaluate whether procedures in the literature are feature-specific (acquisition parameters tuned to a specific feature type, e.g., opaque-phase contrast) or general-purpose (designed to capture all structural features in a given sample type). This will inform whether the field warrants a controlled list or remains free text.",2026-08-27,(none),Defines the scientific purpose of the scan and informs resolution and contrast requirements. Used for procedure discoverability: a researcher can identify whether this procedure is suitable for their scientific question.,Y,Y,,Internal structure; mineralogy (reconnaissance scan),Microchondrules (SSOs); 3D volume fraction,"Voids, lithic clasts, stratigraphic layers in core","Voids, lithic clasts, stratigraphic layers in core (steel-sleeved)",Internal structure of core vacuum seal container,Individual particle internal structure,Modal mineralogy (vol%); secondary minerals,Radiation dose assessment (not mineralogy),Internal structure; porosity; density contrast,Silicate melt inclusion morphology and phase volumes,Fluid inclusion morphology and phase volumes,Fluid inclusion morphology and phase volumes,Fluid inclusion morphology and phase volumes,Plagioclase network connectivity; partial melt evidence,
Applicable Sample Dimension Range,The range of sample sizes compatible with this procedure at the target voxel size and geometric configuration. The upper bound is a hard constraint set by the instrument field of view (FOV) at the procedure's target magnification: FOV ≈ detector array width × pixel size / geometric magnification (divide additionally by optical objective multiplier for Versa-class systems using optical magnification). For Mode A (single-volume): all three sample dimensions must fall within the FOV. For Mode B (multi-volume stitching): sample diameter must fall within the FOV; sample length along the rotation axis is effectively unlimited through stitching. The lower bound is a practical guideline: ~10 voxels across the smallest dimension.,Basic,Read-Only,Text (free),"e.g., 'Single-volume: max 20 mm in all dimensions at 7.6 µm voxel' | 'Multi-volume stitching: max 25 mm diameter, unlimited length at 12.9 µm voxel' | 'Max 5 mm (all axes) at 0.85 µm voxel with 4× objective'",,2026-08-27,(none),Samples spanning fewer than that are difficult to characterize reliably.,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Sample Dimensions (L × W × H),"Physical dimensions of the sample in mm, reported as length × width × height (or equivalent three orthogonal measurements).",Advanced,Basic,Text (free),"e.g., '12 × 8 × 5 mm' | '2.844 × 1.994 × 1.38 mm' | '350 × 25 × 25 mm (drive tube)'",,2026-08-27,(none),The maximum dimension constrains the minimum achievable field of view and therefore the coarsest achievable voxel size. The minimum dimension determines how many voxels span the smallest feature of interest.,Y,Y,,N,1.592 × 0.756 × 0.985 mm,~35 cm length core,~35 cm length core,N,N (multiple particles),~1.1 × 1.2 × 0.8 cm,N (powder in 12 mL glass vial),~4 mm fragments,~1 mm olivine,3 × 5 × 2 cm,3 × 5 × 2 cm,Varies: 0.3×0.4 to 11×11×7 mm,8 mm diameter core,
Sample Mass,"Mass of the sample in grams, recorded for curatorial tracking of precious or limited materials.",N/A,Advanced,Numeric (g),"e.g., 5.59 g | 0.003 g | 19.64 g",,2026-08-27,(none),"Particularly important for meteorite, mission-returned, and other restricted samples. The actual sample mass depends on the specific sample being scanned, not on the procedure design.",Y,Y,,N,N,N,N,N,N,2.7 g,4.6430 g (Murchison B in vial),N,N,N,N,N,N,
Sample Mounting Method,"Method used to mount or hold the sample on the instrument rotation stage. Mounting material should transmit X-rays at the selected voltage without dominating beam attenuation. Report the holder type, adhesive or support material, and any alignment aids used.",Advanced,Editable,Controlled list / Text,Free-standing on stage pin | Mounted in plastic straw | Mounted in glass capillary | Mounted with wax | Mounted in modeling clay | Placed on flat quartz window | Wrapped in PTFE tape | Free-standing without holder | N/A | None,,2026-08-30,(none),,Y,Y,,N,Mounted in pipette tips,Plexiglass tube (vertical); triple-sealed Teflon bag,Custom PVC tube,N,"Triple-bagged in Teflon, wrapped in cylinder, placed in 1-cm plastic straw",N,Glass vial placed in scanner,Polystyrene support,N,N,N,N,N,
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597' | 'Apollo 17 sample 71035,36' | 'Ryugu A0159'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,,OREX-800099-0,A0180 (A0180-A and A0180-B),Apollo 17 core 73002,Apollo 17 core 73001,73001 CSVC,Multiple particles from 73001 and 73002,NWA 5790,"Murchison B (USNM 5453,1)",NWA 8277; NWA 6963,Sample A (olivine),Sample B (synthetic quartz),Sample B (synthetic quartz),Samples C–I (various),Watson 012,
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-08-30,defines: sampling unit,,Y,Y,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number | JAXA Hayabusa2 sample ID",Source: Core module,2026-08-25,sample,,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Sample Preparation Notes,"Any preparation steps applied to the sample before scanning, including cleaning, trimming, consolidation, or drying. Note any exceptions.",Advanced,Editable,Text (free),"e.g., 'None — scanned as received' | 'Fragment trimmed to fit within FOV' | 'Wrapped in PTFE tape to stabilize loose grains' | 'Dried at 60°C for 24 h before scanning'",,2026-08-27,(none),"XCT is typically non-destructive, with no surface preparation required.",Y,Y,,N,"Decanted for XCT; sample split along fractures during mounting into pipette tips. Post-XCT: embedded in Specifix resin, polished with 0.1 µm Al₂O₃.",Al inner sleeve triple-sealed in Teflon; stainless-steel outer sleeve removed prior to scan,Steel outer sleeve retained for scan,N,Triple-bagged (Teflon) per ANGSA curation protocol,None; chip used as received,Chips (~10.3 g) crushed with mortar and pestle; vortex mixed 3 min; split into two ~4.6 g portions,None stated (fragments purchased from IMCA member),None stated for XCT; embedded in epoxy after XCT for microprobe,None stated,None stated,None stated,8 mm diameter core drilled from meteorite prior to XCT,
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,"Bulk specimen or fragment (as received) | Core or trimmed billet | Powder or crushed split | Mounted in tube, straw or pipette tip | Sealed or bagged for containment | Polished block or epoxy mount | N/A | None",Source: Core module,2026-08-30,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Nikon | Zeiss | Bruker | GE / Waygate | North Star Imaging | RX Solutions | Custom-built | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,,,,,,,,,,,,,,,,
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Nikon XTH 320/225' | 'Zeiss Xradia Versa 520' | 'Bruker SkyScan 1173' | 'Custom NSI system (FeinFocus FXE 225.48 source + Perkin Elmer 2048×2048 flat-panel), UTCT Lab'",Source: Core module,2026-08-25,(none),,Y,Y,,Nikon XT H 320,Zeiss Versa (model not specified),Custom NSI instrument (North Star Imaging) at UTCT,Custom NSI instrument (North Star Imaging) at UTCT,Nikon XTH 320,Nikon XTH 320,Nikon Metris XTH 225,Nikon XTH 320,Bruker/Skyscan 1173,Zeiss Xradia 510 Versa,Nikon XTH 320/225,Nikon XTH 320/225,Phoenix Nanotom S,XRADIA XRM500,
X-ray Source Configuration,Focal spot geometry and scale of the X-ray tube.,Basic,Read-Only,Controlled list / Text,"Reflection target, microfocal | Reflection target, rotating (high-power) | Transmission target, nanofocal | N/A | None",,2026-08-30,(none),"Reflection target configurations are most common in lab XCT (X-rays emitted from the face of the anode toward the sample); transmission target configurations allow smaller focal spots by thinning the anode into a membrane and collecting X-rays from the back, enabling higher spatial resolution at the cost of lower maximum power.",Y,Y,,180 kV transmission source,N,Feinfocus FXE 225.48 microfocal source,Feinfocus FXE 225.48 microfocal source,225 kV multi-metal reflection target source,180 kV nano-focus transmission target source,N,180 kV nano-focus tungsten transmission source (~1 µm spot size),N,N,Microfocus multi-metal target (225 kV),Microfocus multi-metal target (225 kV),N,N,
X-ray Tube Anode Material,Material of the X-ray tube anode (target).,Advanced,Read-Only,Controlled list,Tungsten (W) | Multi-metal (W/Mo/Cu) | Silver (Ag) | Molybdenum (Mo) | Copper (Cu) | N/A | None,,2026-08-30,(none),"Determines the characteristic line energies superimposed on the bremsstrahlung continuum, which can affect phase contrast at specific energies. Multi-metal anodes (e.g., W/Mo/Cu) extend the usable energy range.",Y,Y,,Tungsten,Tungsten,N,N,N (multi-metal target),Tungsten,Copper,Tungsten,N,N,Silver (for Sample B),Silver (for Sample B),N,N,
X-ray Detector Type,Type of X-ray detector used to record projection images.,Basic,Read-Only,Controlled list / Text,"Flat-panel (amorphous silicon, a-Si) | CCD + scintillator (with optical objective) | CMOS + scintillator | N/A | None",,2026-08-30,(none),"Flat-panel detectors (amorphous silicon) are standard in Nikon, NSI, and similar systems. CCD or CMOS detectors coupled to a scintillator via an optical objective are used in Zeiss Xradia Versa systems, enabling optical magnification for sub-micrometre voxel sizes.",Y,Y,,N,2000 × 2000 CCD plane (16-bit),2048 × 2048 Perkin Elmer flat panel (4096 × 4096 effective via Subpix),2048 × 2048 Perkin Elmer flat panel (4096 × 4096 effective via Subpix),N,N,N,2000 × 2000 pixel Perkin Elmer flat panel CCD,Flat panel detector (2240 × 2240 pixels),"CCD ANDOR camera (1080 × 1080 px, 32-bit)","Flat panel photodetector (2000 × 2000 px, cell size 0.2 × 0.2 mm)","Flat panel photodetector (2000 × 2000 px, cell size 0.2 × 0.2 mm)",CCD Hamamatsu (2300 × 2300 px),N,
Detector Array Size,Number of pixels in the detector array (width × height).,Advanced,Read-Only,Text (free),"e.g., '2048 × 2048 pixels' | '2000 × 2000 pixels' | '2240 × 2240 pixels'",,2026-08-27,(none),"Combined with detector pixel size and geometric magnification, determines the field of view.",Y,Y,,N,2000 × 2000 pixels,"2048 × 2048 (physical); 4096 × 4096 (effective, NSI Subpix)","2048 × 2048 (physical); 4096 × 4096 (effective, NSI Subpix)",N,N,N,2000 × 2000 pixels,2240 × 2240 pixels,1080 × 1080 pixels,2000 × 2000 pixels,2000 × 2000 pixels,2300 × 2300 pixels,N,
Detector Pixel Size,"Physical size of a single pixel on the detector in micrometres. This is a fixed hardware property of the detector array, distinct from the reconstructed voxel size (which depends on geometric magnification and binning).",Advanced,Read-Only,Numeric (µm),"e.g., 127 µm | 6.5 µm | 12.7 µm | 200 µm",,2026-05-15,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,0.2 × 0.2 mm cell size,0.2 × 0.2 mm cell size,N,N,
Optical Objective,"Optical magnification objective installed between the scintillator and CCD/CMOS detector. Applies only to instruments using optical magnification (e.g., Zeiss Xradia Versa series). For systems using only geometric magnification, report ""Not applicable"".",Advanced,Read-Only,Text (free),"e.g., '4× objective' | '20× objective' | 'Not applicable — geometric magnification only'",,2026-05-15,(none),,Y,Y,,N/A,4× objective lens,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0× magnification,N/A,N/A,N/A,N/A,
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'CT Agent Pro 3D v3.8 (Nikon)' | 'Zeiss Scout-and-Scan Control System v14' | 'NRecon SkyScan v1.6.9.4 (Bruker)'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Reconstruction Software,"Software used to reconstruct 2D projection images into a 3D CT volume, including version number.",Basic,Editable,Text (free),"e.g., 'CT Pro 3D v3.8 (Nikon)' | 'Zeiss Reconstructor v14' | 'NRecon v1.6.9.4 (Bruker)' | 'Octopus Reconstruction v8.9'",,2026-08-27,(none),Often bundled with the instrument and proprietary to the manufacturer.,Y,Y,,Nikon CTPro3D v5.4,Zeiss Reconstructor software,N (UTCT custom; software not named),N (UTCT custom; software not named),N,N,Nikon proprietary filtered back projection (software not named),Nikon CTAgentPro v5.4 (FBP algorithm),NRecon SkyScan v1.6.9.4,ZEISS XRM software,CT Pro 3D software,CT Pro 3D software,N,N,
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Avizo 9.2 (Thermo Fisher)' | 'Dragonfly 2021.1 (ORS Inc.)' | 'Blob3D v2019 (UT Austin)' | 'Fiji/ImageJ + 3D Suite plugin' | 'VGStudio Max 3.4 (Volume Graphics)' | 'CTAn v1.20 (Bruker)'",Source: Core module,2026-08-25,(none),,Y,Y,,N,ImageJ + TANGO plugin (Ollion et al. 2013),N,N,N,N,Avizo™,N (3D rendering and TIFF export only),DataViewer; CTVox; CTAn (Bruker proprietary suite),ImageJ; Avizo 9.2,Avizo 9.2.0,Avizo 9.2.0,Avizo 9.2.0,AvizoFire 8.0; Matlab; Drishti 2.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
