Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech",Wu+etal2023 | Analyte G2 + iCAP TQ ICP-MS/MS | IGGCAS
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,N/A,Li₂B₄O₇ flux; sample:flux = 1:35 (10 mg sample + 350 mg flux),N/A,N/A,N/A (in situ),N/A (in situ),N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fused bead | Experimental capsule section | Etched or chemically treated surface | N/A | None,Source: Core module,2026-08-27,(none),,Y,Y,Y,,"Thick sections in petropoxy 154 resin, polished to 0.5 µm diamond paste, C-coated for EPMA then surface polished before LA",Li-borate fusion: 350 mg Li₂B₄O₇ + 10 mg powdered sample fused in Pt-Au crucible (M4 automatic fluxer); glass surface cleaned with ethanol before LA,Experimental capsule longitudinally sectioned with wire saw; half mounted in epoxy for analysis,Same capsule section as silicate glass; sulfide grains ≥20 µm selected by SEM-BSE,N (not described; sections mentioned; polished implied) [P4],N (same as silicate protocol) [P4],"Megacrysts and single crystals; XN02 megacrysts from the Datas alluvial deposits, SE Brazil"
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",Source: Laser Ablation module,2026-08-27,(none),In mapping the large area ablated averages out surface effects.,Y,Y,Y,,N,Surface cleaning with ethanol before analysis,N,N,N (not stated) [P4],N (not stated) [P4],N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,,,,,,,,N
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,,,,,,,,N
,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,,,,,N,N,N
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,"Cyber Laser IFRIT (Ti:sapphire fs UV laser, 260 nm)","Shanghai Chemlab GenesisGEO (high-repetition-rate fs laser, 343 nm)",Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system),Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system; same system as glass protocol),GeoLasPro (193 nm Excimer laser-ablation system; manufacturer not stated by name; GeoLasPro is a Lambda Physik/Coherent product) [P4],GeoLasPro 193 nm Excimer laser-ablation system (same as silicate protocol) [P4],"Photon Machines Analyte G2 (Teledyne CETAC, Omaha, USA)"
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,,,,,,,,Thermo Fisher Scientific
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,Thermo Scientific X-series 2 (Q-ICP-MS),Agilent 8900 (Q-ICP-MS; ICP-MS/MS capable),Agilent 7900 (Q-ICP-MS),Agilent 7900 (Q-ICP-MS),Agilent 7500ce ICP-MS [P4],Agilent 7500ce ICP-MS [P4],"iCap TQ ICP-MS/MS (Thermo Fisher Scientific, Bremen, Germany)"
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | N/A | None,Source: ICP-MS module,2026-08-30,(none),Determines available cell configurations and interference mitigation strategies.,Y,Y,Y,,Single-collector quadrupole (Q-ICP-MS),"N (ICP-MS type not stated; Agilent 8900 model named but ""quadrupole"" or ""ICP-MS/MS"" not used in paper)","N (ICP-MS type not stated; Agilent 7900 model named but ""quadrupole"" not explicitly stated)",N (ICP-MS type not stated),N (quadrupole implied by Agilent 7500ce model; not explicitly stated in paper) [P4],N (same as silicate protocol) [P4],Triple quadrupole (ICP-MS/MS) — operated in both single-quadrupole (SQ) and triple-quadrupole (TQ) modes
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,Y,Y,Y,,N,N,N,N,N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",Source: ICP-MS module,2026-08-27,(none),"Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance.",Y,Y,Y,,Ni micro-skimmer cone Xs; Ni sampler cone,N,N,N,N,N,High sensitivity sample and skimmer cones
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. State both sampler and skimmer materials; a single statement is acceptable where they are identical.,Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",Source: ICP-MS module,2026-08-27,(none),"Cone material affects sensitivity, matrix tolerance, and long-term stability.",Y,Y,Y,,,,,,,,"N — 'high sensitivity' cones specified, material not stated"
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",Y,Y,Y,,,,,,,,N
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None,Source: ICP-MS module,2026-08-30,(none),Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Y,Y,Y,,N,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None,Source: ICP-MS module,2026-08-30,(none),"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Y,Y,Y,,N,N,N,N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",Source: ICP-MS module,2026-08-26,(none),For quadrupole instruments this is fixed at unit resolution by instrument design.,Y,Y,Y,,Unit resolution (quadrupole fixed),Unit resolution (quadrupole; ICP-MS/MS mode not specified),Unit resolution (quadrupole fixed),Unit resolution (quadrupole fixed),N (unit resolution implied for quadrupole; not explicitly stated) [P4],N (same as silicate protocol) [P4],~300
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-08-26,(none),,Y,Y,Y,,N,Dual mode detector (30 ms / 10 ms dwell alternation),N,N,N,N,"Single SEM in double mode, counting and analog"
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences, which have a larger collision cross-section, are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. Specific gas types, flow rates and cell voltages are documented in Group 4. Record 'Not installed' where the instrument has no collision/reaction cell.",Basic,Read-Only,Controlled list / Text,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | KED+DRC | ICP-MS/MS (triple-quadrupole mode) | N/A | None",Source: collision/reaction cell module,2026-08-30,channel,On MS/MS instruments a second mass filter preceding the cell enables precursor-ion selection.,Y,Y,Y,,N,N,N,N,N,N,ICP-MS/MS (triple-quadrupole mode) with NH3 reaction gas for analysis; tuning first performed in single-quadrupole (SQ) no-gas mode
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,260 nm Ti:sapphire femtosecond UV; pulse duration ~220 fs (IFRIT system),343 nm fs (GenesisGEO high-repetition-rate femtosecond laser),193 nm (CetacAnalyte HE; ns pulse),193 nm (CetacAnalyte HE; ns pulse),193 nm Excimer (ArF excimer) [P4],193 nm Excimer (ArF excimer) [P4],193 nm
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,N (in-house reduction implied),Iolite 4 (Paton et al. 2011),N,N,"AMS ver. 1.0 (Mutchler et al. 2008; Analysis Management System, stand-alone software) [P4]",AMS ver. 1.0 (Mutchler et al. 2008) [P4],"Iolite v.3.7 for gas-blank-corrected intensities, raw ratios and uncertainties; an in-house Microsoft Excel spreadsheet for drift, elemental fractionation and matrix-induced bias; IsoplotR for isochron and weighted-mean ages"
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",Source: Laser Ablation module,2026-08-27,(none),Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.,Y,Y,Y,,N,N,Cetac Analyte HE system (stated as the laser ablation system coupled to Agilent 7900),Cetac Analyte HE system (same as silicate glass protocol),N,N,HelEx ablation cell
