Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Budde+etal2016 | Neptune Plus | IfP Münster,Craddock+etal2008 | Thermo NEPTUNE | WHOI,Hopp+etal2021 | Neptune (Plus spec) | Univ Chicago,Hu+etal2022 | Neptune Plus | Univ Chicago,IbanezMejia+Tissot2020 | Nu Plasma II | MIT,Nie+Dauphas2019 | Neptune | Univ Chicago,Nowell+etal2008 | Neptune | Durham AHIGL,Nowell+etal2008 | Nu Plasma | NIGL,Pringle+Moynier2017 | Neptune Plus | IPGP,Schönbächler+etal2025 | Neptune Plus | ETH Zurich,vanKooten+etal2026 | Thermo Neoma | Univ Copenhagen,Broussard+etal2026 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | ETH Zurich
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,Solution Q-ICP-MS | Solution SF-ICP-MS | TIMS | LA-MC-ICP-MS | None | N/A,Source: Core module,2026-08-25,(none),,,TIMS — Ba isotopes on a Thermo Scientific Triton Plus at the same institute; Hf-W on the same sample digestions,"Laser-ablation MC-ICP-MS — the same NEPTUNE, with a NewWave UP213 laser, ""such that laser ablation and solution aspiration can be operated simultaneously""","Prior Pt, Mo, Ni and/or W isotope analyses on the same digestions",N,"ID-TIMS U-Pb on an Isotopx X-62 at MIT, and solution Q-ICP-MS (Agilent 7700) for Zr and Hf concentrations, on aliquots of the same dissolutions",N,N,N,N,"Mg, K, Ca, Ti, Cr, Fe, Cu, Zn, Mo and Nd isotope data ""all obtained from the same sample digestions and are therefore directly comparable""",ICP-MS for Sr and Rb weathering assessment; Si isotopes on a separate NaOH-fusion aliquot,Laser-fluorination oxygen isotopes on a Thermo Finnigan MAT 253 Plus; K loss monitored by Thermo Fisher iCAP Q ICP-MS,"High-resolution ICP-MS (Thermo Element XR) at LLNL for bulk elemental abundances, on splits of the same digest",Coordinated dissolution shared with the WUSTL K/Cu/Zn procedure; SIMS oxygen isotopes
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),,Source: Core module,2026-08-25,(none),,,N,"Functional: the laser is connected directly to the spray chamber so ablated particles mix with 2% HNO3 and are ""effectively analyzed as a wet plasma ensuring that ablated aerosols are closely matrix-matched to solution standards"". Sequence: interchangeable — ""Our setup allows for interchangeable bulk and in situ S isotope measurement""",N,N,"Functional: 3 M HCl washes from the U-Pb anion chemistry were collected and became the Zr aliquots, so the same crystal yields a U-Pb date and a Zr isotopic composition. Sequence: U-Pb purification first, Zr purification from its washes",N,N,N,N,N,N,"Functional: pre-cut and post-cut fractions either side of the K collection were measured by Q-ICP-MS ""to monitor for K loss during column chemistry"". Sequence: Q-ICP-MS check before MC-ICP-MS measurement",N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,,Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Basalt | Chondrite | Seawater | Mineral separate | Synthetic solution | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",,"Chondrules, matrix separates and bulk rock of the Allende CV3 chondrite","Sulfate minerals (anhydrite, barite, gypsum) and sulfide minerals (pyrite, chalcopyrite)",Iron meteorites and terrestrial basalt geostandards,Calcium-aluminium-rich inclusions (CAIs),"Single zircon and baddeleyite crystals, and bulk rock","Silicate rocks — geostandards including basalts, granites and peridotites, and the Allende chondrite",Osmium isotope reference material solutions,Osmium isotope reference material solutions,"Whole-rock terrestrial igneous rocks, chondrites, achondrites and Apollo lunar samples","Ryugu returned samples, carbonaceous chondrites, eucrites and terrestrial rock reference materials",Bulk chondrite powders,CI chondrite Oued Chebeika 002 and geostandard,Bennu returned sample aggregate,Bennu returned sample aggregate
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,,"Three matrix separates, six chondrule fractions (C2, C3, C4; C3m, C3i, C3n) and two bulk rock samples of Allende; BHVO-2","IAEA-S-1, S-2, S-4, NBS-123; in-house standards S_Alfa and S_Spex; anhydrite mineral standard Sch-M-2; pyrite FVG-1","Toluca, Gibeon, Duchesne, Skookum, Tlacotepec and 18 further iron meteorites; BHVO-2, BCR-2; IRMM-524a","Group II CAIs including FG-FT-4, FG-FT-8 and FG-FT-9",FC-1 zircon and baddeleyite crystals; ZrNIST reference solution,"BHVO-2, BCR-2, BE-N, W-2, AGV-2, GSR-1, GS-N, G-A, G-3; DTS-2b and PCC-1 synthetic mixes; Allende; NIST SRM984","UMd, DTM, LOsST and DROsS Os isotope reference materials",DTM and LOsST Os isotope reference materials,"GS-N, AGV-2, BCR-2, BHVO-2, EW9309 10D, AHANEMO2 D20B; Allende (duplicate splits); NIST SRM984","Ryugu A0106, A0106-A0107 and C0108; Tagish Lake, Tarda, Ivuna (PB and high PT), Orgueil, Murchison, Colony; eucrites Bouvante and Bereba; BHVO-2, BCR-2, AGV-1, SCo-1; NIST SRM 3169",BHVO2 and DTS-2b processed alongside the samples,Oued Chebeika 002; geostandard BHVO-2; NIST SRM 3141a,OREX-803015-101 (LLNL split) and OREX-803015-100 (ETH split) of Bennu aggregate; BHVO-2,"OREX-803015-100, a 5.2 mg aliquot of Bennu aggregate"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,,"Digestion aliquot — ""All samples (0.3–0.5 g) were digested in closed Savillex beakers""; chondrule fractions ""comprise between 155 and ~3000 chondrules each""","Purified solution aliquot — ""Less than 50 mg of sample was accurately weighed""; ""A precise solution volume, corresponding to 500 µg of S"" taken for column purification","Solution aliquot of a digestion — ""the Fe isotopic compositions were analyzed on solution aliquots (~1-2 mg Fe) of digestions""; five meteorites cut as ""~50 mg pieces""","Fraction of a CAI digestion — ""Approximately 30% of the matrix cut"", ""equivalent to 24% fraction of the whole CAI""","Single crystal — ""Single zircon and baddeleyite crystals selected for analysis were individually handpicked""; each ""individually loaded into clean PFA microcapsules""","Digestion aliquot — ""Samples of about 100 mg or less were digested""","Reference material solution aliquot — 200 ng/ml to 2.5 µg/ml Os, ~300 µl consumed per analysis",Reference material solution aliquot — ~6400 µl consumed per analysis,"Weighed powder aliquot — ""An aliquot of <=125 mg of powdered sample was weighed depending on the Rb concentration of the sample; masses were calculated to yield >20 ng Rb""","Digestion aliquot — Ryugu ""aliquots of <25 mg were analyzed with ~40 to 70 ng Zr""; Tagish Lake 30 mg, Tarda 90 mg, Ivuna 40 and 44 mg ""from a larger homogenized powder (550 mg)""","Fraction of a bulk digestion — ""Another 5% fraction was used to determine Al/Mg ratios by multi-collector (MC)-ICPMS""",N,"Split of a single digest — ""The solution was then split two ways: about half stayed at WUSTL and half was sent to Lawrence Livermore National Laboratory ... the aliquot was further split into two aliquots""",A 5.2 mg aliquot of Bennu aggregate
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,,Source: Core module,2026-08-25,sample,,,N,N,N,N,N,N,N,N,N,N,N,N,Curatorial sample identifiers stated: OREX-803015-101 (LLNL) and OREX-803015-100 (ETH Zurich),OREX-803015-100
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-18,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Controlled list / Text,Whole-rock powder | Mineral separate | Biogenic material (cleaned) | Natural water | Leachate or partial-dissolution fraction | Dissolved residue | Pre-digested liquid | N/A | None,,2026-08-26,(none),,,"Chondrule, matrix and bulk rock separates; preparation detailed in the supplementary material","Mineral standard cut as a 2 mm thick section, polished and mounted on a 45x25 mm petrographic slide for the laser half; solution half dissolved from weighed mineral","Iron meteorite pieces ""cut using a diamond saw, polished with SiC abrasive paper, and cleaned in ethanol""",N,"Crushing in a stainless steel mortar, sieving through 375 µm plastic mesh, washing in a plastic gold pan, hand magnet, Frantz LB-1 magnetic separation, methylene iodide heavy liquid, hand picking under high-purity ethanol",Whole-rock powder,"N/A — reference material solutions, no solid preparation","N/A — reference material solutions, no solid preparation","""Whole rock samples were crushed by hand using an agate mortar until a fine powder was obtained. A minimum of 0.5 g of terrestrial rock or meteorite and 100 mg of lunar samples was crushed in order to avoid non-representational sample analysis""","Homogenised powder — Ivuna aliquots taken ""from a larger homogenized powder (550 mg)""","Bulk powder; for the Si aliquot, NaOH fusion in silver crucibles",N,N,N
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,preparation step,"For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",,"""HF–HNO3(–HClO4), followed by inverse aqua regia""","5 ml HNO3 (50%), then 3 ml concentrated HNO3 + 2 mL HCl (50%); residue dissolved in 4 mL 2% HNO3",Iron meteorites: aqua regia (3:1 HCl-HNO3). Basalts: HF-HNO3 (2:1) followed by several steps of aqua regia. All converted to chloride and redissolved in 0.25 ml 10 M HCl,"""redissolved in a 2:1 mixture of HCl:HNO3 for 1 week on a hot plate ... These steps were performed twice""; dried and dissolved in concentrated HNO3, diluted in 3 M HNO3",29 M HF; after conversion to a chloride matrix for U-Pb. Zr aliquots taken up in 3 M HNO3 + 0.5 M HF,"Three steps of concentrated HF–HNO3–HCl–HClO4; step (i) ""4 ml 28 M HF + 2 ml 15 M HNO3 + 1 ml 10 M HClO4""",N/A — reference material solutions in 3 or 5 mol/l Teflon-distilled HCl,N/A — reference material solutions in Teflon-distilled 3 mol/l HCl,"""a mixture of concentrated HF/HNO3""; after evaporation ""6N HCl was added"" to dissolve fluoride complexes","Concentrated HF-HNO3, then a HNO3-HCl mixture, then a HNO3-H2O2 mixture; Ivuna high PT: concentrated HF-HNO3 for 3 days then concentrated HCl for 2 days","Cr/Mg route: 6 M HCl loading, 10 M HCl pretreatment, 0.5 M HCl, 0.5 M HNO3, 1 M HF, 6 M HCl elutions; Si route: NaOH fusion then Milli-Q water and HNO3",N,"""concentrated HF and HNO3 in a 3:1 ratio"", followed by fluxing in concentrated HNO3 and HCl with 1 ml H2O2 added to remove organics; brought up in 5 ml 0.5 M HNO3",Coordinated dissolution shared with the WUSTL split — see the WUSTL column
Digestion Vessel Type,Type of vessel used for acid digestion.,Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",,"""closed Savillex beakers""",15 ml PTFE digestion vessel,"Hot plate, closed vessel not specified beyond ""on a hot plate""",N,"""clean Teflon microcapsules"" inside ""a large-volume Parr digestion vessel""",30 ml fluoropolymer vessel,N/A,N/A,"""closed Teflon bombs""","Octagonal-body Savillex vials; Parr bomb (Ivuna PB, BCR-2, AGV-1); hotplate (BHVO-2)",N,N,"""in a closed beaker""",N
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,Source: Solution Introduction module,2026-08-25,defines: preparation step,,,N,N,N,"Two (""These steps were performed twice"")",N,Three,N,N,N,Ivuna high PT: two (HF-HNO3 then HCl),N,N,N,N
Digestion Temperature,Temperature at which acid digestion was carried out (°C).,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",Source: Solution Introduction module,2026-08-25,preparation step,,,N,"""less than 70 °C"" for the first evaporation; 70 °C for the total digestion",Iron meteorites 120 °C; basalts 150 °C,"Hot plate, temperature not stated",215 °C,N,N,N,130 °C for both the HF/HNO3 and the 6N HCl steps,"180 °C (hotplate), 120 °C (HNO3-HCl), 220 °C (Savillex, Tagish Lake and Tarda), 170 °C (Parr bomb, Ivuna PB), 160 °C (Ivuna high PT)",130 °C for the 10 M HCl Cr(VI) speciation step; 720 °C for the NaOH fusion,70 °C for the HCl step; 140 °C for the HF/HNO3 mixture,170 °C,N
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",Source: Solution Introduction module,2026-08-25,preparation step,,,N,"Not stated for the individual steps beyond ""taken to dryness""",Iron meteorites 24 hours; basalts 48 hours,"1 week per step, performed twice",Zircon 48 hours (U-Pb) and 60 hours (Zr isotopes),N,N,N,""">48 h""","3–7 days (hotplate), 12 h (HNO3-HCl), ""about a week"" (Tagish Lake and Tarda), 3 days + 2 days (Ivuna high PT)","3 h (Cr(VI) speciation), >1 week at room temperature (Cr(III) speciation), 13 min (NaOH fusion)",20 h for the HF/HNO3 step,48 h,N
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. For isotope-ratio procedures, match acid molarity precisely between samples and bracketing standards. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),0.3 M HNO3 | 2% HNO3 | 0.5 M HCl | 3 M HCl | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Directly affects instrument response and ion transmission. Mismatched molarity introduces matrix-induced mass bias offsets.,,N,"2% (w/w) HNO3, 50 ppm S stock","0.3 M HNO3 (measured at 10 µg/g Fe in 0.45 M HNO3); all sample and standard solutions ""prepared with the same 0.3 M HNO3 solution""",15–25 ppb for the most abundant isotope,"0.59 M HNO3 + 0.28 M HF, samples and bracketing standards matched in matrix and at 60 ng/g total Zr","0.3 M HNO3, ~15–25 ppb Rb",3 or 5 mol/l Teflon-distilled HCl,3 mol/l Teflon-distilled HCl,0.1N HNO3,0.5 M HNO3 - 0.005 M HF at 30 ppb Zr (also 17 and 60 ppb),0.5 M HNO3 (Cr); 6 M HCl elution of the final Cr cut,300 ppb K solution,200 ppb for K and Zn; 100 ppb for Cu,N
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",Source: Solution Introduction module,2026-08-25,sample,Used for yield calculations and concentration back-calculation.,,0.3–0.5 g digested; ~100 ng Mo consumed per measurement,<50 mg weighed; 500 µg S taken for column purification,~1-2 mg Fe per analysis; ~50 mg meteorite pieces,N,Single crystals; ~50 µl (5% of sample) taken for concentration measurement,~100 mg or less; ~40 ng Rb typical,Up to 600 ng Os consumed per analysis; ~300 µl of solution,~6400 µl of solution per analysis,"<=125 mg powder, calculated to yield >20 ng Rb",Ryugu <25 mg with ~40–70 ng Zr; 15 ng Zr consumed per 30 ppb analysis,N,N,N,5.2 mg
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin AG1-X8 (HCl) | Cation exchange resin AG50W-X8 | TRU resin | UTEVA resin | AG-MP-1 (HBr) | Thiol resin | Multi-step: specify | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement.",,"Yes — two-stage anion exchange for W, with Mo collected in 3 M HNO3 and further purified on Eichrom TRU Resin; Ba separated on AG50-X8","Yes — cation exchange AG50-X8 (H+ form), 2.5 ml resin, conditioned with 1.4 N HNO3; S passes through while matrix elements are retained. Yield 98±4%","Yes — AG1-X8 (200-400 mesh) anion resin, 3 ml, 10.5 cm PFA columns; repeated with new resin. Overall Fe yield >99%","Yes — U/TEVA, TODGA, then two-step FPLC on Ln-Spec resin (70 cm x 1.6 mm, 1.4 ml of 25–50 µm resin, 94 steps, 188 ml, 16 h at 70 °C, 0.17 ml/min). Overall yields >95%","Yes — AG-1X for U-Pb; Ln-Spec (~300 µl, 25–50 µm) for Zr, giving >95% Zr, undetectable REEs and <3% of initial Hf; TODGA first stage for bulk rocks","Yes — five steps: AG50W-X8 cation, a second cation column, AG1-X8 anion in 2 M HF for Ti, a 40 cm Eichrom Sr resin column for Rb-K, and an AG50W-X8 clean-up. Yields >95%",N/A — reference material solutions,N/A — reference material solutions,"Yes — DGA resin Ca removal (1.8 mL), then AG50 X12 (20 mL and 10 mL) in 3N HCl, then AG50 X8 (1 mL) in 0.5N HCl. Reduces K/Rb by a factor of 200 to K/Rb<2 and gives 88Sr/85Rb<0.005","Yes — four-step separation on anion exchange (AG 1-X8), DGA and LN resin; two-stage anion exchange for Ivuna; three-stage AG 1-X8 + LN for terrestrial samples","Yes — AG1-X8 anion (1 ml) for Fe, then AG50-X12 cation (1 ml) twice for Cr and Mg","Yes — twice through 1.5 mL Bio-Rad AG50W-X8 100–200 mesh cation resin, loading, matrix elution and K elution all in 0.5 M HNO3","Yes — AG1-X8 200–400 mesh anion resin, 5 ml 1.5 M HBr to elute the matrix and 3 ml 0.5 M HNO3 to elute Zn",Yes — three-step anion exchange chromatography; yields 75–100%
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, add and equilibrate the spike before digestion. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),IRMM-3636 (233U–236U double spike) | 117Sn–122Sn double spike (in-house) | 57Fe–58Fe double spike | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Spiking before digestion corrects for isotopic fractionation during dissolution and column chemistry.,,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,"In-house 91Zr-96Zr double spike, added at a 0.43:0.57 spike-to-sample Zr mass ratio",N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization,N/A — no isotope dilution spike; mass bias handled by standard-sample bracketing or internal normalization
,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,"Nu Instruments — ""a Nu Plasma II MC-ICP-MS fitted with an enhanced sensitivity interface""",Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific
