Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,"Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),"Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)"
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,Y,,,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'T.J. McCoy' | 'Sara Singerling'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,YYYY-MM-DD,Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NSF EAR-2345678' | 'NASA 80NSSC23K0415' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,NASA award NNH09ZDA007O; contract NNM10AA11C (OSIRIS-REx New Frontiers),NASA PSEF 80NSSC23K0327; NSF MRI 1531243 and 0619599,N
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,"e.g., 'TEM/STEM (FIB sections)' | 'EPMA; NanoSIMS' | 'XCT (pre-SEM overview)' | 'None' | N/A",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,"BSE Imaging (same session, same instrument); EBSD (same instrument); EPMA (JEOL JXA-iHP200F, WDS, out of scope)","CL (same instrument); BSE Imaging (same instrument, same session); EPMA with WDS (JEOL JXA-8900R, out of scope)",BSE Imaging (same instrument); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),BSE Imaging (same instrument); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),"BSE Imaging (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (JEOL 7600F, JSC); SE Imaging (JEOL 7600F, JSC); FIB-SEM TEM prep (Quanta3D600, JSC)","SE/BSE Imaging (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","NanoSIMS isotope mapping (CAMECA NanoSIMS 50L, NASA JSC); presolar grains identified by NanoSIMS then confirmed by SEM-EDS phase characterisation"
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'SEM-BSE/EDS used for phase identification and target selection before FIB lift-out; FIB performed after SEM survey because lift-out is destructive. TEM-EDS provides nanoscale chemistry of FIB-prepared sections.'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Oxide | Sulfide | Carbonate | Phosphate | Metal alloy | Organic matter | Glass | Regolith | Whole rock / polished section | Porous material | Other: specify | N/A | None,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,Y,,"Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo",Forsterite grains from Kaba (CV3) carbonaceous chondrite thin section,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,"NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)",Asteroid (101955) Bennu particles (OSIRIS-REx sample return),Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu aggregate QL particles; O-rich presolar silicate and oxide grains; sample OREX-501018-100
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,"Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fragments or particles on conductive tape | Bulk specimen, polished face | Acid-dissolution residue | N/A | None",Source: Core module,2026-08-27,(none),,Y,Y,Y,Y,,N,N,N,N,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,Y,,N,N,N,N,NWA 7317,NWA 7317,N,N,OREX-501018-100
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,Y,Y,Y,Y,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-25,sample,,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,Y,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,Y,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,Y,,Zeiss,JEOL,Other: Leo Electron Microscopy (now Zeiss),Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),JEOL,Hitachi,N
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,ZEISS 1550VP,JSM-5410LV,Leo 440,Leo 1540 FIB/SEM CrossBeam,Supra 40,Supra 40,7600F,S-4800,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG | LaB6 / CeB6 | Tungsten (W) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,Y,Y,Y,Y,,Other: FEG (type not specified in paper),N,N,Other: FEG (type not specified),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | Other: specify | N/A | None,,2026-05-21,(none),,Y,Y,Y,Y,,VP-SEM / ESEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,FESEM (Field Emission SEM),FESEM (Field Emission SEM),N,N,N
EDS Detector Configuration,"EDS detector type, manufacturer, active area, solid angle, window type, and geometry (take-off angle, position). Multiple detectors should be listed separately.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Ultim Max 170 mm2 SDD, polymer window, 35 deg take-off' | 'Bruker XFlash 6, 60 mm2, windowless' | 'Dual Oxford Ultim Max 170 mm2, 2.0 sr'",,2026-08-11,(none),,Y,Y,N,N,,Oxford X-Max SDD system,ISIS analysis system (Oxford); detector type not specified,Gresham light element detector; Quartz XOne EDX analysis system (full spectral imaging),Oxford Instruments INCA EDX system,Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),"Oxford Instruments Ultim Max SDD, 170 mm²",Oxford Instruments Aztec Live/x-stream/Ultimax 170 SDD,N
WDS Spectrometer Configuration,"Number, type, and crystal range of WDS spectrometers on the instrument. Include manufacturer, model, and crystal range. For SEM-WDS configurations (third-party WDS on a non-EPMA platform), include WDS manufacturer and model.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Wave 700, 1 sequential WDS spectrometer, LDE1-TAPH-PETL-LLIF crystal range'",,2026-08-12,(none),,N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,Oxford INCA Energy,Oxford INCA Energy,Oxford AZtec (Point & ID programme),Oxford Instruments Aztec Live/x-stream,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,,N,N,N,N,Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),Oxford AZtec,Oxford Instruments Aztec,N
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'EDS Point Analysis' | 'EDS Mapping' | 'WDS Point Analysis' | 'WDS Mapping' | 'EDS Point Analysis; EDS Mapping',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,Y,,EDS Point Analysis,EDS Point Analysis,EDS Mapping,EDS Point Analysis,EDS Point Analysis,EDS Mapping,EDS Point Analysis,EDS Mapping,EDS Mapping
Beam Mode,"Whether the electron beam was operated as a stationary focused spot, defocused to a specified diameter, or rastered over a small area during analysis. Must be consistent with the Beam Diameter and Beam Raster Dimensions fields.",Basic,Read-Only,Controlled list,'Focused' | 'Defocused' | 'Rastered' | Other: specify | N/A | None,,2026-08-27,(none),"Controls the effective sampling volume and irradiation footprint; critical for beam-sensitive phases such as hydrous minerals, glasses, and carbonates.",Y,Y,Y,Y,,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts.,Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-08-27,(none),"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Y,Y,Y,Y,,10 kV,15 kV,N,N,20 kV,20 kV,15 kV,N,N
Beam Current,"Electron beam probe current. For sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-27,sample > sampling unit,"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution.",Y,Y,Y,Y,,N,2.0 nA,N,N,N,N,~900 pA,N,N
Beam Diameter,"Nominal electron beam diameter (spot size) at the sample surface, in nanometres or micrometres, as set by the condenser aperture and working distance. For mapping modes, the effective spatial sampling interval is further defined by Step Size / Pixel Size.",Basic,Editable,Numeric (µm) / Text,'~1 µm' | '5 nm' | '200 nm',,2026-08-27,(none),Controls the spatial resolution and X-ray excitation volume.,Y,Y,Y,Y,,,,,,,,,,
Beam Raster Dimensions,"Dimensions of the small area over which the beam is rastered during a single analysis point, reported as width × height in µm. Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement.",Advanced,Editable,Numeric pair (µm x µm),'5 × 5 µm' | '10 × 10 µm',,2026-08-27,(none),Distributes dose over a larger area to reduce beam damage on sensitive phases.,Y,N,Y,N,,,,,,,,,,
Beam Damage Minimization,"Describes any measures taken to reduce electron beam damage to the sample during analysis. Examples: reduced accelerating voltage, lowered beam current, defocused or rastered beam, cooled stage, short acquisition sequences, or rotating between multiple points.",Advanced,Editable,Text (free),'Beam defocused to 5 µm; current reduced to 2 nA for hydrous phases',,2026-08-27,sample > sampling unit,"Particularly important for volatile-bearing phases, hydrous minerals, glasses, organic materials, and biological samples.",Y,Y,Y,Y,,,,,,,,,,
Drift Correction,"Describes whether and how stage or beam drift was monitored and corrected during the measurement session. Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals.",Advanced,Editable,Text (free),'Automated beam drift correction enabled in AZtec; stage realigned every 30 min',,2026-08-27,(none),Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality.,Y,Y,Y,Y,,,,,,,,,,
Stage Scan vs. Beam Scan,"For mapping modes, records whether the map was acquired by moving the stage while the beam is held fixed (stage scan) or by deflecting the beam across the field while the stage is stationary (beam scan).",Advanced,Read-Only,Controlled list,'Stage scan' | 'Beam scan' | Other: specify | N/A | None,,2026-08-27,(none),Stage scan is preferred for large areas or high-accuracy geometric fidelity; beam scan is faster for smaller fields but may introduce geometric distortion at the map edges.,N,Y,N,Y,,,,,,,,,,
Working Distance,Distance between the objective lens pole piece and the specimen surface in millimetres.,Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-08-27,(none),"Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
Chamber Pressure,Chamber pressure and gas type during analysis. Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes. Report value and unit (Pa or Torr) and gas composition. Use 'None' for standard high-vacuum operation.,Advanced,Editable,Numeric + unit,"e.g., '30 Pa (H2O vapor, ESEM)' | '130 Pa (N2, VP-SEM)' | 'None (high vacuum)'",,2026-05-21,(none),,Y,Y,Y,Y,,N,N,N,N,High vacuum,High vacuum,N,N,N
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. For WDS mapping, the dwell time is per spectrometer per pixel.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-27,channel,Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.,N,Y,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EDS Acquisition Mode,"Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared Analytical Mode.",Basic,Read-Only,Controlled list,Point / spot | Line scan | Map | Automated mineralogy | Multiple (specify) | Other: specify | N/A | None,,2026-08-27,(none),Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns.,Y,Y,N,N,,N,N,Map,Point / spot; Map,Spot analysis,Element mapping,Point spectra (spot analysis),EDS mapping,N
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Si, Al, Fe, Mg, Ca, Na, K, Ti, Cr, Mn, Ni, S'",Source: Analyte module,2026-08-25,defines: analyte,,Y,Y,Y,Y,,N,N,N,N,"Mg, Si, Fe, Ni, S, Na, Ca, Al","Mg, Si, Fe, Ni, S, Na, Ca, Al (element mapping)",N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,Y,,,,,,,,,,
Technique per Analyte,Records which X-ray detection technique (EDS or WDS) was used to collect the measurement. Required when a procedure employs both EDS and WDS simultaneously. List in the same order as the Analyte field.,Basic,Read-Only,Controlled list,WDS | EDS | Other: specify | N/A | None,,2026-08-27,analyte,"Each element is assigned to the detector appropriate to its concentration range, line overlap situation, or required precision.",Y,Y,Y,Y,,,,,,,,,,
X-ray Line,X-ray emission line measured.,Basic,Read-Only,Controlled list,Ka | Kb | La | Lb | Lg | Ma | Mb | Other: specify | N/A | None,,2026-08-27,channel,"Line choice affects sensitivity, matrix correction accuracy, and susceptibility to peak overlap and spectral interference.",Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N
