Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N (Allan Patchen and Luca Fedele assisted with data collection per acknowledgments; not explicitly named as analysts in methods) [P20-Ack],N (same as silicate protocol) [P20-Ack]
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"JSPS Grant-in-Aid for Scientific Research (grants 26106002, 26220713, 16H04081, 19H00715, 19H01081, 20H04609)",Strategy Priority Research Program (Category B) of Chinese Academy of Sciences (XDB0710000); NSFC 42073022,"Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",NASA Cosmochemistry grants NNX11AG58G (to L.A.T.) and NNN13D465T (to Y.L.); NSF EAR-1226270 (to P.D.A.) and EAR-1019770 (to R.J.B.); Y.L. supported by Jet Propulsion Laboratory [P20-Ack],Same as silicate protocol [P20-Ack]
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,EPMA | SIMS | ICP-MS (solution) | Noble Gas MS | Other: specify | None | N/A,Source: Core module,2026-08-25,(none),,Y,Y,Y,,EPMA (electron probe microanalysis),N,N,N,EPMA (EMP) [P4],EPMA (EMP) [P4]
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"EPMA used to measure Ni concentration at the exact LA-ICP-MS analysis spot location, required for internal standardization of HSE data [Section 2.3]",N,N,N,EPMA provides major element concentrations for comparison with LA-ICP-MS oxide-sum normalization results; agreement within <10% verified [P4],"EPMA provides CaO concentration at exact analysis spot, used as internal standard for LA-ICP-MS data reduction (LA-ICP-MS 40Ca counts normalized to EMP CaO) [P4]"
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,,,,,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate glass | Feldspar | Pyroxene | Olivine | Oxide | Sulfide | Carbonate | Phosphate | Native metal | Iron meteorite | Fluid inclusion | Melt inclusion | Whole rock | Other: specify | N/A | None,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,,"CR chondrite metal grains (interior, margin, and isolated types)",Li-borate flux fusion glass (extraterrestrial sample preparation),Experimental dacitic silicate glass (quench product),Experimental pyrrhotite (Fe₁₋ₓS) sulfide (quench product),"Martian meteorite (Tissint) silicates, oxides, and glass: olivine, low-Ca pyroxene, augite, maskelynite, Fe-Ti-Cr oxides, shock melt glass, fusion crust [P4]","Martian meteorite (Tissint) phosphate: sodium-merrillite [P4, P12]"
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical procedure.",Basic,Editable,Controlled list,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | N/A | None | Other: specify,Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,"In situ — polished epoxy thick section (petropoxy 154 resin, 0.5 µm diamond finish)","Li-borate flux fusion glass disc (10 mg sample + 350 mg Li₂B₄O₇, 35:1 dilution)",In situ — polished epoxy mount (experimental capsule half-section),In situ — polished epoxy mount (same capsule section as glass protocol),"In situ — polished thin section (Tissint sections: Tata-2-C3, Tata-3-C2, UT1, UT3) [P4, P5-P11]",In situ — polished thin section (same sections as silicate protocol) [P4]
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,,N,N,N,N,Tissint Martian meteorite [P4],Tissint Martian meteorite [P4]
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,Y,Y,Y,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",Source: Core module,2026-08-25,sample,,Y,Y,Y,,N,N,N,N,N,N
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,N/A,Li₂B₄O₇ flux; sample:flux = 1:35 (10 mg sample + 350 mg flux),N/A,N/A,N/A (in situ),N/A (in situ)
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Basic,Editable,Controlled list / Text,Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fused bead | Experimental capsule section | Etched or chemically treated surface | N/A | None,,2026-08-26,(none),,Y,Y,Y,,"Thick sections in petropoxy 154 resin, polished to 0.5 µm diamond paste, C-coated for EPMA then surface polished before LA",Li-borate fusion: 350 mg Li₂B₄O₇ + 10 mg powdered sample fused in Pt-Au crucible (M4 automatic fluxer); glass surface cleaned with ethanol before LA,Experimental capsule longitudinally sectioned with wire saw; half mounted in epoxy for analysis,Same capsule section as silicate glass; sulfide grains ≥20 µm selected by SEM-BSE,N (not described; sections mentioned; polished implied) [P4],N (same as silicate protocol) [P4]
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",Source: Laser Ablation module,2026-08-27,(none),In mapping the large area ablated averages out surface effects.,Y,Y,Y,,N,Surface cleaning with ethanol before analysis,N,N,N (not stated) [P4],N (not stated) [P4]
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),"e.g., 'Euhedral, crack- and inclusion-free grains 80-150 um; oscillatory-zoned rims targeted, inherited cores avoided on CL' | 'All grains in the separate analysed (detrital provenance)'",Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),"e.g., 'CL imaging on Zeiss Sigma SEM at 10 kV before spot placement; every dated grain imaged and spot positions annotated' | 'BSE and CL mosaics; micro-Raman screening of chemical-abrasion effectiveness (McKanna et al. 2023)'",Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,,,,,,,
Chemical Abrasion Conditions,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step. Record 'None' where grains were analysed untreated.",Basic,Read-Only,Text (free),"e.g., 'Annealed 900 C, 60 h; partial dissolution 12 M HF, 210 C, 12 h' | 'Annealed 850 C, 48 h; 29 M HF, 180 C, 12 h' | 'None (untreated)'",Source: U-Pb module,2026-08-25,(none),"Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon. The absence of treatment materially affects how discordance should be read.",Y,Y,Y,,,,,,,
,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,,,,,N,N
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,"Cyber Laser IFRIT (Ti:sapphire fs UV laser, 260 nm)","Shanghai Chemlab GenesisGEO (high-repetition-rate fs laser, 343 nm)",Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system),Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system; same system as glass protocol),GeoLasPro (193 nm Excimer laser-ablation system; manufacturer not stated by name; GeoLasPro is a Lambda Physik/Coherent product) [P4],GeoLasPro 193 nm Excimer laser-ablation system (same as silicate protocol) [P4]
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,,,,,,,
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,Thermo Scientific X-series 2 (Q-ICP-MS),Agilent 8900 (Q-ICP-MS; ICP-MS/MS capable),Agilent 7900 (Q-ICP-MS),Agilent 7900 (Q-ICP-MS),Agilent 7500ce ICP-MS [P4],Agilent 7500ce ICP-MS [P4]
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-27,(none),Determines available cell configurations and interference mitigation strategies.,Y,Y,Y,,Single-collector quadrupole (Q-ICP-MS),"N (ICP-MS type not stated; Agilent 8900 model named but ""quadrupole"" or ""ICP-MS/MS"" not used in paper)","N (ICP-MS type not stated; Agilent 7900 model named but ""quadrupole"" not explicitly stated)",N (ICP-MS type not stated),N (quadrupole implied by Agilent 7500ce model; not explicitly stated in paper) [P4],N (same as silicate protocol) [P4]
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,Y,Y,Y,,N,N,N,N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",Source: ICP-MS module,2026-08-27,(none),"Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance.",Y,Y,Y,,Ni micro-skimmer cone Xs; Ni sampler cone,N,N,N,N,N
Sampler and Skimmer Cone Material,Material composition of the sampler and skimmer cones. State both sampler and skimmer materials; a single statement is acceptable where they are identical.,Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",Source: ICP-MS module,2026-08-27,(none),"Cone material affects sensitivity, matrix tolerance, and long-term stability.",Y,Y,Y,,,,,,,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",Y,Y,Y,,,,,,,
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Y,Y,Y,,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-27,(none),"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",Y,Y,Y,,N,N,N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",Source: ICP-MS module,2026-08-26,(none),For quadrupole instruments this is fixed at unit resolution by instrument design.,Y,Y,Y,,Unit resolution (quadrupole fixed),Unit resolution (quadrupole; ICP-MS/MS mode not specified),Unit resolution (quadrupole fixed),Unit resolution (quadrupole fixed),N (unit resolution implied for quadrupole; not explicitly stated) [P4],N (same as silicate protocol) [P4]
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-08-26,(none),,Y,Y,Y,,N,Dual mode detector (30 ms / 10 ms dwell alternation),N,N,N,N
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences, which have a larger collision cross-section, are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. Specific gas types, flow rates and cell voltages are documented in Group 4. Record 'Not installed' where the instrument has no collision/reaction cell.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | KED+DRC | ICP-MS/MS (triple-quadrupole mode) | N/A | None | Other: specify",Source: collision/reaction cell module,2026-08-27,channel,On MS/MS instruments a second mass filter preceding the cell enables precursor-ion selection.,Y,Y,Y,,N,N,N,N,N,N
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,260 nm Ti:sapphire femtosecond UV; pulse duration ~220 fs (IFRIT system),343 nm fs (GenesisGEO high-repetition-rate femtosecond laser),193 nm (CetacAnalyte HE; ns pulse),193 nm (CetacAnalyte HE; ns pulse),193 nm Excimer (ArF excimer) [P4],193 nm Excimer (ArF excimer) [P4]
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,N (in-house reduction implied),Iolite 4 (Paton et al. 2011),N,N,"AMS ver. 1.0 (Mutchler et al. 2008; Analysis Management System, stand-alone software) [P4]",AMS ver. 1.0 (Mutchler et al. 2008) [P4]
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",Source: Laser Ablation module,2026-08-27,(none),Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.,Y,Y,Y,,N,N,Cetac Analyte HE system (stated as the laser ablation system coupled to Agilent 7900),Cetac Analyte HE system (same as silicate glass protocol),N,N
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,,,,,,
,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N
