Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama,GilDiaz+etal2020 | Agilent 8800 QQQ | FHNW Basel,GilDiaz+etal2020 | Thermo iCAP-TQ | lab not stated,GilDiaz+etal2020 | Thermo XSeries 2 | KIT Karlsruhe,LopezGarcia+etal2026 | Thermo iCAP TQ | Institute of Science Tokyo
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Basalt | Chondrite | Peridotite | Synthetic solution | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",,"Geological reference materials (basalt, andesite, granite, shale); upper continental crust samples (stated abstract)",Foraminifera calcite (benthic and planktonic species; stated abstract),"Silicate reference materials (basalt, andesite, peridotite), NIST SRM glasses, carbonaceous chondrites (stated section 2)","Carbonaceous chondrites (CI, CM, CV, CO, CR, CK, CH, CY, CB types; stated abstract)","Geological reference materials (basalt, andesite, peridotite) and carbonaceous chondrites (stated section 2.5)",Estuarine suspended particulate matter and sediment (Gironde Estuary sorption experiments),Estuarine sediment — total digestions and selective extraction fractions,Estuarine water — dissolved Se from sorption kinetics and isotherms,"Carbonaceous asteroid particles (Ryugu, Hayabusa2 TD1) and the Allende chondrite"
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Allende MS-1 digest A' | 'NWA 8657 aliquot 2' | 'BHVO-2 replicate 3'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,,"AGV-1 (andesite), BHVO-1 (basalt), G-2 (granite), SCO-1 (shale), GSR-5 (shale); GSR-6 and ""another eighteen international"" RMs; worldwide loess and Chinese upper-crustal composites","Partially -- sample type named (""core top Cibicidoides wuellerstorfi from the north Atlantic Ocean""); no individual sample identifiers stated in the methods","JB-2, JB-3, JA-1, JA-2, JA-3, JP-1, BHVO-1, AGV-1, PCC-1, DTS-1; NIST SRM 610, 612, 614, 616 glasses","PCA 02010, B-7904, LON 94101 and further CM/CY chondrites","JB-1, JB-2, JB-3, JA-1, JA-2, JA-3, JP-1 (GSJ); BHVO-1, AGV-1, PCC-1, DTS-1 (USGS); Ivuna (CI1), Orgueil (CI1), Cold Bokkeveld (CM2), Allende (USNM 3529, Split 1, Pos. 23)",N — SPM isotherm experiment at 1000 mg/L,Selective extraction fractions F1-F4 and F4N; CRM NCS 73307,N — sorption kinetics and isotherm solutions; CRMs CRM-TMDW and NIST 1643f,"Ryugu particles A0066, A0238, A0247, A0256, A0259, A0268, A0301, A0313; Smithsonian Allende powder"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,,"Aliquot of rock powder -- ""Fifty milligrams of sample powder were placed in a home-made PTFE-lined stainless steel bomb""; final solution made up to 50 ml","Aliquot of dissolved foraminiferal calcite -- ""Ten to twenty individual foraminifera tests were handpicked""; cleaned samples ""dissolved in 200 ul 0.075M HNO3"", then split (20 ul for [Ca] by ICP-AES, remainder for ICP-MS)","Test portion / solution aliquot -- ""The amount of test portion used was 15-42 mg for basalt and andesite samples, and 30-63 mg for peridotite samples""; NIST glasses ""a few grains totalling 8-22 mg were used in one analysis""; ""the same sample solution aliquot""","N -- no digestion mass or aliquot stated for the elemental (Q-ICP-MS) determination; the ""approximately 35 mg of homogenized bulk powder"" in Methods belongs to the Zn-isotope MC-ICP-MS procedure","Weighed test portion -- ""Approximately 20 mg of basalt and andesite samples were weighed""; ""Approximately 50 mg for peridotites and approximately 10 mg for meteorites were weighed""; 9-18 mg for carbonaceous chondrites",N,Weighed sediment aliquot — 30 mg for tri-acid digestion; 200-500 mg per selective extraction fraction,N — sub-sampled water aliquots,"Individual particle, weighed: A0066 4.325 mg, A0238 1.868 mg, A0247 2.311 mg, A0256 2.378 mg, A0259 1.478 mg, A0268 1.902 mg, A0301 1.923 mg, A0313 2.012 mg; 20 mg Allende"
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,,Source: Core module,2026-08-25,sample,,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Sample Description,"Brief description of sample provenance, form, or preparation state relevant to this analysis.",N/A,Basic,Text (free),,,2026-06-16,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Sample Preparation Method,"General approach to mechanical sample preparation prior to dissolution (e.g., whole-rock crushing and powdering, mineral separation). Documents how the solid material was conditioned before acid digestion.",Basic,Read-Only,Text (free),Whole-rock powder | Mineral separate | Dissolved residue | Pre-digested liquid | N/A | None | Other: specify,,2026-06-16,(none),,,Whole-rock powder (50 mg; stated section 3.3),Foraminifera shells cleaned mechanically and chemically then dissolved; no grinding (stated section 2),Whole-rock powder or glass chips (stated section 2),N,Whole-rock powder (decomposed in TFM bomb with HF; stated section 2.1.1),N,Dried at 50 C and homogenised in an agate mortar before microwave digestion,N,Particles individually weighed on a Mettler Toledo XPR2U microbalance (0.1 ug readability) and transferred to PFA vials without powdering
Digestion Acid(s),"Acid mixture used for sample dissolution. Record acid type(s) and concentration(s) where known (e.g., concentrated HF–HNO3 in Parr bombs is standard for silicate dissolution).",Basic,Read-Only,Text (free),HF–HNO3 | HF–HNO3–HClO4 | HNO3–HCl | HNO3 only | Aqua regia | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,preparation step,"For isotope-ratio work, complete matrix dissolution is required to avoid isotopic fractionation during partial dissolution.",,Step 1: conc. HNO3 (1 ml) + conc. HF (1 ml); Steps 2-3: conc. HNO3 fuming to dryness (twice); Step 4: HNO3 (1.5 ml) + ultra-pure water (2.5 ml); stated section 3.3,N/A (simple dissolution in 0.075 M HNO3; stated section 2),"HF + HClO4 (basalt/glass, ultrasonic); HF alone in TFE bomb (peridotite/chondrite; stated section 2)",N,0.5 mol/l HF (stated section 2.1.1),N,"Tri-acid HNO3+HCl+HF: 750 uL HNO3 (14M), 1.5 mL HCl (10M), 2.5 mL HF (29M); re-dissolved in 250 uL HNO3. Microwave route for Se: 3 mL HNO3, 0.5 mL H2O2, 0.25 mL HF, 0.5 mL Milli-Q",N,0.2 mL HF + 0.1 mL HNO3 + 0.4 mL water; then 0.2 mL HNO3 + 0.2 mL HCl + 0.2 mL H2O2; final 0.2 mL HNO3 + 0.2 mL H2O2
Digestion Vessel Type,Type of vessel used for acid digestion.,Basic,Read-Only,Text (free),Savillex beaker | Parr bomb | TFE/TFM bomb | Carius tube | HPA-S | Open beaker | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Vessel type constrains maximum temperature and pressure and determines suitability for refractory mineral dissolution (e.g., Parr bombs required for complete silicate digestion at high temperatures).",,PTFE-lined stainless steel bomb (home-made; stated section 3.3),N/A (simple dissolution in vial; stated section 2),Ultrasonic bath (basalt/glass); TFE bomb at 245 deg C (peridotite/chondrite; stated section 2),N,TFM bomb (TFM-981; stated section 2.1.1),N,"Closed PP tubes (DigiTUBEs, SCP Science) on a heating block; PTFE vessels for evaporation; microwave START1500 (MLS GmbH)",N,"PFA hexagonal cap vials (6 mL, Savillex), tightly capped with polypropylene wrenches to maintain high-pressure conditions"
Number of Digestion Steps,"Total number of distinct acid digestion steps required to dissolve the sample. Some procedures require multiple sequential steps — for example, an initial open-beaker HF–HNO3 dissolution followed by a second closed-vessel step for residues retaining refractory minerals, or by an aqua regia reflux to destroy fluoride complexes.",Basic,Read-Only,Integer,1 | 2 | 3,Source: Solution Introduction module,2026-08-25,defines: preparation step,,,2 (step 1: bomb at 190 deg C / 48 h in HNO3+HF; step 4: bomb at 150 deg C overnight in HNO3+water; five steps explicitly numbered; stated section 3.3),1 (simple dissolution; stated section 2),N,N,N,N,N,N,Four heating stages are described
Digestion Temperature,Temperature at which acid digestion was carried out (°C).,Basic,Editable,Numeric (°C),"e.g., '90–120 °C (hotplate, Savillex beaker)' | '150–190 °C (Parr bomb, refractory phases)' | '220 °C (HPA-S)'",Source: Solution Introduction module,2026-08-25,preparation step,,,190 deg C (stated section 3.3),N/A (ambient dissolution; stated section 2),Ambient for ultrasonic; 245 deg C for TFE bomb (stated section 2),N,N,N,110 C on the heating block; evaporation at 120 C; microwave ramp to 210 C held 10 min; evaporation at 70 C,N,"120 C, then 220 C, then 100 C; second stage 150 C; final 80 C"
Digestion Duration,Duration of the primary acid digestion step (hours or days).,Basic,Editable,Text (free),"e.g., '12 h' | '24 h' | '48 h (refractory accessory phases)' | '3 days (multi-step with intermediate dry-down)'",Source: Solution Introduction module,2026-08-25,preparation step,,,48 h (stated section 3.3),N/A,N,N,N,N,2 h at 110 C; microwave 10 min at 210 C then cooling overnight,N,"3 h ultrasonic agitation, 12 h at 120 C, 5 days at 220 C, 1 day at 150 C, 1 day at 80 C"
Final Solution Matrix,"Acid type and concentration of the final dissolved sample solution introduced to the instrument. For isotope-ratio procedures, match acid molarity precisely between samples and bracketing standards. Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.",Basic,Read-Only,Text (free),2% HNO3 | 3% HNO3 | 4% HCl | 2% HNO3 + trace HF | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Directly affects instrument response and ion transmission. Mismatched molarity introduces matrix-induced mass bias offsets.,,Dilute HNO3 (~3%; 1.5 ml conc. HNO3 in ~50 ml; stated section 3.3),0.075 M HNO3 at 100 ppm Ca (stated section 2),0.5 mol/l HNO3 (stated section 2),N,0.5 mol/l HF (stated section 2.1.1),N,Made up to 10 mL with Milli-Q water (18.2 MOhm); Se route made up to 6 mL,N,"5 mL 0.5 M HNO3, dilution factors 1200 (A0066) to 3400 (A0259); Group-1 aliquots diluted to DF 20,000; Group-3 in 0.5 M HNO3 + ~0.05 M HF"
Sample Aliquot Mass or Volume,Mass (mg) of solid material digested or volume (mL) of liquid taken for dissolution.,Advanced,Editable,Numeric (mg or mL),"e.g., '50 mg (whole-rock silicate)' | '25 mg (mass-limited meteorite)' | '100 mg (low-abundance trace elements)' | '1–5 mL (aqueous sample)'",Source: Solution Introduction module,2026-08-25,sample,Used for yield calculations and concentration back-calculation.,,50 mg (stated section 3.3),N,15-63 mg (silicates); 8-22 mg (NIST glass); 9-28 mg (chondrites; stated section 2),N,N,N,30 mg (tri-acid) and 40-50 mg (microwave),N,1.478-4.325 mg per particle; 4-10% aliquot taken for Group-1
Chromatographic Separation Applied,"Whether chromatographic separation of element groups (e.g., using ion exchange resin) was performed prior to analysis. Record resin type and elution matrix conditions if applied. Record 'None' if the direct digestion solution is analyzed.",Basic,Read-Only,Controlled list,Anion exchange resin (HCl) | Cation exchange resin | AG1-X8 (HBr) | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),"Separation may be required to remove matrix elements that cause variable mass bias, to eliminate isobaric interferences, or to isolate an element group before measurement (e.g., Fe and Cu–Zn for isotope dilution, Hf separation from REE, removal of Cr and Ni from Fe fractions). It is usually mandatory for isotope-ratio procedures and optional for concentration measurement.",,None (direct analysis of digested solution),None (direct analysis of dissolved foraminifera),None (direct analysis),None (direct analysis; stated Methods),None (direct analysis of 0.5 mol/l HF solution; stated section 2.1.1),N,"No — sequential selective extractions (acetate, ascorbate, H2O2, HCl/HNO3) rather than chromatography",N,N
Isotope Dilution Spike,"Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction. For double-spike procedures, add and equilibrate the spike before digestion. For concentration ID, the spike must be added before digestion for complete equilibration. Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion. Record 'None' if ID or double-spike technique is not used.",Basic,Read-Only,Text (free),IRMM-016 (Fe) | 67Zn spike | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-25,(none),Spiking before digestion corrects for isotopic fractionation during dissolution and column chemistry.,,None,None,"149Sm-enriched spike (used as ID internal standard for Cd, In, Tl, Bi; stated section 2)",None,"Multi-element enriched isotope spikes (Mo, Sn, Sb, Zr, Hf, Ta, B spikes; stated section 2.1)",N,N,N,"97Mo (94.19%, Mo = 28 ng/g) and 182W (94.07%, W = 12 ng/g), dissolved in ~1 M HF"
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,,"PerkinElmer -- ""a PerkinElmer SCIEX ELAN 6100 DRC ICP-MS""","PerkinElmer -- ""a Perkin-Elmer Elan DRC II instrument""","Agilent -- ""Agilent 7500cs; Yokogawa Analytical Systems, Mitaka, Japan""","Agilent -- ""an Agilent 7900 Quadrupole Inductively Coupled Plasma Mass Spectrometry instrument""","Agilent -- ""A Q-pole type ICP mass spectrometer, Agilent 7500 cs (Yokogawa Analytical Systems, Japan)""",Agilent,Thermo Fisher Scientific,Thermo Fisher Scientific,Thermo Fisher Scientific
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),Thermo iCAP RQ | Agilent 7900 | Agilent 7700x | PerkinElmer NexION 350D | Thermo X Series II | Agilent 8900 (ICP-MS/MS) | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),,,PerkinElmer SCIEX ELAN 6100 DRC (stated section 3.1),PerkinElmer Elan DRC II (stated section 2 and Table 1),Agilent 7500cs (stated section 2),Agilent 7900 (stated Methods),Agilent 7500cs (stated section 2.1.1),Agilent 8800 (QQQ-ICP-MS),iCAP-TQ,XSeries 2,iCAP TQ
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Triple quadrupole (ICP-MS/MS) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),Determines available cell configurations and interference mitigation strategies.,,Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Single-collector quadrupole (Q-ICP-MS),Triple quadrupole (ICP-MS/MS),Triple quadrupole (ICP-MS/MS),Single-collector quadrupole (Q-ICP-MS),Triple quadrupole (ICP-MS/MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),,Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,,N,N,N,N,N,N,N,N,N
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,Quartz glass torch with Pt injector (stated Table in section 2.1.1),N,N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),Ni sample cone + standard Ni skimmer | Ni sample cone + Ni H-skimmer | Ni sample cone + Ni Xs skimmer | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance.",,N,N,N,N,1 mm Pt sampler + 0.4 mm Pt skimmer (stated Table in section 2.1.1),N,N,N,N
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel is standard for most aqueous and nitric matrices; platinum is used for HCl-rich, high-TDS or organic matrices for its greater corrosion resistance; aluminium is used in some laboratories for high-purity work or enhanced sensitivity. State both sampler and skimmer materials; a single statement is acceptable where they are identical.",Advanced,Read-Only,Text (free),Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,Pt sampler and Pt skimmer (stated Table in section 2.1.1),N,N,N,N
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",,N,N,N,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",,N,N,N,N,On (shield torch system used; stated section 2.1.1),N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",Source: ICP-MS module,2026-08-26,(none),"For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible.",,"Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)","Unit resolution (quadrupole, fixed; m/Delta-m ~300)",N,N,N,N
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode for this procedure. STD = standard mode with no cell gas; KED = kinetic energy discrimination with He or H2 collision gas to suppress polyatomic interferences; DRC = dynamic reaction cell with reactive gas (e.g., NH3). Specific gas types, flow rates, and voltages are documented in Group 4.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | KED+DRC | ICP-MS/MS (triple-quadrupole mode) | N/A | None | Other: specify",,2026-08-26,channel,,,"STD (standard mode, no gas; stated section 3.1)","STD (standard mode, no gas; DRC II instrument but no reaction gas stated; stated section 2)",N,KED (He); He at 5 mL/min applied for masses 23-75 (stated Methods),"STD (standard mode, no gas; collision gases not introduced into cell; stated section 2.1.1)","ICP-MS/MS (triple-quadrupole mode), oxygen-shift with O2 as cell gas",Per analyte: KED (He) for 126Te; ICP-MS/MS O2 mass-shift mode for spiked/experimental 125Te,CCT mode (collision cell) with a He:H2 mixture,KED (He) mode
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer and whether dual pulse-counting/analog mode is used. Most Q-ICP-MS instruments use a single SEM in dual mode (pulse counting at low signals, analog at high signals), with an instrument-specific crossover threshold. The pulse-to-analog cross-calibration correction is documented in Group 5.",Basic,Read-Only,Text (free),"Single SEM, dual mode (pulse counting + analog; crossover ~10^6 cps) | Single SEM, pulse counting only | N/A | None | Other: specify",,2026-08-26,(none),,,N,N,N,N,Dual mode: pulse counting + analog (crossover ~10^6 cps; stated section 2.1.1),N,N,N,N
