Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,CL Point Analysis,CL Mapping,EBSD,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)"
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,"e.g., 'TEM/STEM (FIB sections)' | 'EPMA; NanoSIMS' | 'XCT (pre-SEM overview)' | 'None' | N/A",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,FIB milling and TEM cross-section preparation (same instrument),"EDS (same session, same instrument); EBSD (same instrument); EPMA (JEOL JXA-iHP200F, WDS, out of scope)",BSE Imaging and EDS (same instrument); SIMS (University of Wisconsin-Madison); EPMA (out of scope),"EDS and BSE Imaging (same instrument); EPMA with WDS (JEOL JXA-8900R, out of scope)",SEM-EDX (Leo 440; Leo 1540); BSE Imaging; micro-XRD; EPMA-WDS (out of scope),EDS (same instrument); CL (Hitachi S-2500C); BSE Imaging (Leo 1540); micro-XRD; EPMA (out of scope),EDS (same instrument); BSE Imaging (Leo 440); CL (Hitachi S-2500C); micro-XRD; EPMA (out of scope),FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,FIB-SEM (Crossbeam 540) for 3D tomography; EDS for mineral analysis,"EBSD (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","BSE Imaging (ZEISS 1550VP FE-SEM); EPMA (JEOL 8200, separate instrument)","EDS (Zeiss Supra 40 FE-SEM); SE Imaging (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","BSE Imaging (Zeiss Supra 40 FE-SEM); EDS (Zeiss Supra 40 FE-SEM); EMPA-WDS (JEOL JXA-8230, separate instrument); VIS-IR spectroscopy (SPIM)","EDS (JEOL 7600F, JSC); SE Imaging (JEOL 7600F, JSC); FIB-SEM TEM prep (Quanta3D600, JSC)","BSE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","SE Imaging (Hitachi S-4800, U Arizona); EDS (Hitachi S-4800, U Arizona); FIB-SEM TEM prep (Helios G3, U Arizona); EMPA (Cameca SX-100 Ultra, out of scope)","BSE/EDS (JEOL 7600F, JSC); SE/BSE/EDS (Hitachi S-4800, U Arizona)",N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'SEM-BSE/EDS used for phase identification and target selection before FIB lift-out; FIB performed after SEM survey because lift-out is destructive. TEM-EDS provides nanoscale chemistry of FIB-prepared sections.'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'https://doi.org/10.xxxxx/coupled-procedure' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'https://doi.org/10.xxxxx/dataset' | 'same submission' | 'pending' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2. Samples,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Oxide | Sulfide | Carbonate | Phosphate | Metal alloy | Organic matter | Glass | Regolith | Whole rock / polished section | Porous material | N/A | None,Source: Core module,2026-08-30,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,Y,Y,,"Carbonaceous nanoglobules, Tagish Lake (C2) meteorite (HCl/HF acid residue concentrate)","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo","Micrometeorite NG-1, Al-Cu-alloy-bearing, CV3-like composition; Democratic Republic of Congo",Forsterite grains from Kaba (CV3) carbonaceous chondrite thin section,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,Tagish Lake (C2) ungrouped carbonaceous chondrite; polished thin sections,"High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","High-rank coal (anthracite from Bofang Mine; lean coal from Yuwu Mine), southern Qinshui basin, China","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","Khatyrka CV3 carbonaceous chondrite; Al-Cu-Fe alloy metal phases (hollisterite, kryachkoite, stolperite, khatyrkite, icosahedrite) in section 126A","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)","NWA 7317 CR6 carbonaceous chondrite; polished slab (~10×6 mm fragment, 10.01g)",Asteroid (101955) Bennu particles (OSIRIS-REx sample return); hummocky and angular particles,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); polished sections,Asteroid (101955) Bennu particles (OSIRIS-REx sample return); olivine and carbonate grains,N
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,"Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fragments or particles on conductive tape | Bulk specimen, polished face | Acid-dissolution residue | N/A | None",Source: Core module,2026-08-27,(none),,Y,Y,Y,Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,N,N,N,Carbon-coated polished thin sections; high vacuum analysis,N,N,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Polished thin section (section 126A prepared from Grain 126); no coating or SEM-specific preparation stated,Polished thin section (section 126A prepared from Grain 126); no coating or EBSD-specific preparation stated,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished thin sections; ~100 nm graphite coating (as stated in CL emitting volume calculation),N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,Section 126A (USNM 7908),Section 126A (USNM 7908),NWA 7317,NWA 7317,N,N,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-08-30,defines: sampling unit,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-25,sample,,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,USNM 7908 (section 126A),USNM 7908 (section 126A),N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,Y,Y,,FEI,Zeiss,Zeiss,JEOL,Hitachi,Other: Leo Electron Microscopy (now Zeiss),Zeiss,"FEI Company, USA",Carl Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),JEOL,Hitachi,Hitachi,JEOL,N
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,Nova 200 NanoLab DualBeam,ZEISS 1550VP,ZEISS 1550VP,JSM-5410LV,S-2500C,Leo 440,Leo 1540 FIB/SEM CrossBeam,Quanta 250,SUPRA 55,1550VP,1550VP,Supra 40,Supra 40,7600F,S-4800,S-4800,JSM-7000F,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG (X-FEG) | Schottky FEG (standard) | Field emission gun (FEG) — subtype not specified | LaB6 / CeB6 | Tungsten (W) | Unknown | N/A | None,,2026-08-30,(none),,Y,Y,Y,Y,Y,,Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),N,Tungsten (W),N,Other: FEG (type not specified),N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Field emission gun (FEG),N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | N/A | None,,2026-08-30,(none),,Y,Y,Y,Y,Y,,FIB-SEM dual-beam,VP-SEM / ESEM,VP-SEM / ESEM,Standard SEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,ESEM (Environmental SEM),FESEM (Field Emission SEM),VP (Variable Pressure),VP (Variable Pressure),FESEM (Field Emission SEM),FESEM (Field Emission SEM),N,N,N,N,N
SE Detector Type,Type of secondary electron detector used. Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances; GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.,Basic,Read-Only,Controlled list,Everhart-Thornley (ET) | In-lens / TLD (through-the-lens) | GSED (VP/ESEM) | ESED (VP/ESEM) | N/A | None,,2026-08-30,(none),,Y,N,N,N,N,,In-lens / TLD (through-the-lens),N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N/A
BSE Detector Type,Type of backscattered electron detector. Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Basic,Read-Only,Controlled list,"Solid-state diode (single) | Solid-state diode (segmented, composition mode) | Solid-state diode (segmented, topography mode) | Solid-state diode (segmented, mode not specified) | Solid-state diode (type not specified) | In-lens BSE | YAG scintillator | N/A | None",,2026-08-30,(none),Solid-state diode detectors (single or segmented) are standard; YAG scintillator detectors offer high sensitivity at low voltage. In-lens BSE detectors provide improved BSE collection at short working distances.,N,Y,N,N,N,,N/A,N,N/A,N/A,N,N,N,N/A,N/A,Solid-state BSE detector,N/A,Quadrant Backscatter Detector (QBSD),N/A,N,N/A,N,N/A,N
CL Detector Configuration,"CL detector type, manufacturer, model, collection optics (e.g., parabolic mirror, elliptical mirror, light guide), and spectral detection configuration (PMT for panchromatic, CCD/EMCCD for spectral, multi-channel for pseudo-color CL).",Advanced,Read-Only,Text (free),"e.g., 'Gatan MonoCL4, parabolic mirror, PMT 190-900 nm + CCD spectrometer 300-800 nm' | 'Gatan ChromaCL2, 4-channel RGBV PMT' | 'Oxford Instruments MonoCL'",,2026-08-11,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,"Mini-CL (Gatan, multialkali PMT) for scanning CL images; Oxford MonoCL2 grating monochromator with Hamamatsu R2228 PMT and parabolic mirror (75% efficiency) for spectral CL","Gatan ChromaCL detector; 4-channel pseudo-color detection (UV: ~300-400nm, Blue: ~400-500nm, Green: ~500-600nm, Red: ~600-850nm including near-IR ~700-850nm); Robinson Backscatter detector also present",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"MonoCL4 GATAN monochromator; high-sensitivity array detector and photomultiplier; paraboloidal mirror collection (CRHEA Valbonne, France)",N/A
EBSD Detector Configuration,"EBSD detector manufacturer, model, and camera resolution. Include whether EBSD and EDS are acquired simultaneously (common on modern combined EBSD-EDS systems).",Basic,Read-Only,Text (free),"e.g., 'Oxford AZtec Symmetry EBSD camera, 1244x1024 px' | 'Oxford Nordlys Nano' | 'Bruker QUANTAX EBSD e-Flash' | 'EDAX Hikari'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,Gatan DigitalMicrograph (CL image assembly),N,N,N,N,N,N,Oxford INCA Energy,N,Oxford AZtec (Point & ID programme),N,N,N,N
