Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Sample Preparation,3D Tomography,Literature Assessment,"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)",Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-08-30,defines: sampling unit,,Y,Y,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-25,sample,,Y,Y,,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,,FEI,Carl Zeiss,FEI (now Thermo Fisher Scientific),Thermo Fisher Scientific (ThermoScientific),FEI (now Thermo Fisher Scientific),FEI (now Thermo Fisher Scientific),N,N
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",Source: Core module,2026-08-25,(none),,Y,Y,,Nova 200 NanoLab DualBeam,Crossbeam 540,Helios NanoLab 650,Helios G3,Helios G4 UX,Quanta 3D 600,N,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG (X-FEG) | Schottky FEG (standard) | Field emission gun (FEG) — subtype not specified | LaB6 / CeB6 | Tungsten (W) | Unknown | N/A | None,,2026-08-30,(none),,Y,Y,,Other: FEG (type not specified in paper),N,N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | N/A | None,,2026-08-30,(none),,Y,Y,,FIB-SEM dual-beam,N,Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),N,N
Ion Beam Source,Ion beam source type in a FIB-SEM dual-beam system.,Basic,Read-Only,Controlled list,Gallium LMIS (Ga+) | Xenon plasma FIB (PFIB) | Helium GFIS | Neon GFIS | N/A | None,,2026-08-30,(none),Gallium LMIS (Ga+) is the most common ion source; xenon plasma FIB (PFIB) provides higher material removal rates for large-volume milling; helium and neon ion microscopes (GFIS) provide nanometre-resolution imaging and low-damage milling.,Y,Y,,Gallium LMIS (Ga+),N,N,N,Gallium (Ga+) ion beam,Gallium (Ga+) ion beam,N,N
SE Detector Type,Type of secondary electron detector used. Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances; GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.,Basic,Read-Only,Controlled list,Everhart-Thornley (ET) | In-lens / TLD (through-the-lens) | GSED (VP/ESEM) | ESED (VP/ESEM) | N/A | None,,2026-08-30,(none),,Y,Y,,N,N,N,N,N,N,N,N
BSE Detector Type,Type of backscattered electron detector. Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Basic,Read-Only,Controlled list,"Solid-state diode (single) | Solid-state diode (segmented, composition mode) | Solid-state diode (segmented, topography mode) | Solid-state diode (segmented, mode not specified) | Solid-state diode (type not specified) | In-lens BSE | YAG scintillator | N/A | None",,2026-08-30,(none),Solid-state diode detectors (single or segmented) are standard; YAG scintillator detectors offer high sensitivity at low voltage. In-lens BSE detectors provide improved BSE collection at short working distances.,Y,Y,,N,N,N,N,N,N,N,N
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",Source: Core module,2026-08-25,(none),,Y,Y,,N,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",Source: Core module,2026-08-25,(none),,N,Y,,N,Avizo 7 (3D digital core software); Multiple-point geostatistics for pore network model,Fiji/ImageJ (StackReg/TurboReg for slice alignment; VolumeJ for volume rendering); Adobe Photoshop CS6 (image enhancement); FEI Avizo Fire 8.1.1 (pore volume reconstruction and segmentation),N/A,N/A,N/A,N/A,N/A
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'TEM Sample Preparation' | '3D Tomography' | 'TEM Sample Preparation; 3D Tomography',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,,TEM Sample Preparation,3D Tomography,3D Tomography,TEM Sample Preparation,TEM Sample Preparation,TEM Sample Preparation,TEM Sample Preparation,TEM Sample Preparation
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts.,Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-08-27,(none),"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Y,Y,,N,N,2 kV (SEM imaging),30 keV (FIB milling and thinning),16 to 30 keV (coarse milling); down to 1 keV (polishing),30 kV (initial milling); 16 kV (intermediate); 5 kV (final thinning),N,N
Beam Current,"Electron beam probe current. For sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-27,(none),"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution.",Y,Y,,N,N,N,0.8 to 2.5 nA (thinning),N,N,N,N
Working Distance,Distance between the objective lens pole piece and the specimen surface in millimetres.,Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-08-27,(none),"Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Y,Y,,5.4 mm (eucentric height for electron and ion columns),N,4 mm,N,N,N,N,N
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning, or on each step position during mapping, in microseconds or milliseconds.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-27,(none),Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.,N,Y,,N/A,N,N,N/A,N/A,N/A,N/A,N/A
Protective Coating Deposition,"Type and deposition conditions of the protective coating applied to the sample surface before FIB milling. E-beam deposition should be applied as the initial layer. Typical coatings: platinum (Pt) or carbon (C). State material, deposition method, beam conditions, and approximate thickness.",Basic,Editable,Text (free),"e.g., 'E-beam Pt (5 kV, 1.5 nA, ~500 nm) then Ga+ ion-beam Pt (30 kV, 0.3 nA, ~2 µm)' | 'E-beam C (5 kV) + ion-beam C (2-3 µm total)'",,2026-08-27,(none),It causes less surface damage than ion-beam deposition.,Y,Y,,N,No coating applied; not sputtered with gold or other materials,N,12-µm wide × 4-µm tall carbon capping layer deposited on matrix areas,N,Electron-beam deposited carbon (~0.5–1 µm); followed by ion beam-deposited carbon (~2–3 µm capping layer),N,N
Coarse Milling Conditions,Ion beam voltage and current used for bulk material removal during FIB milling. For TEM specimen preparation: bulk trenching to isolate the lamella and intermediate thinning. For 3D tomography: face preparation and initial slice removal.,Basic,Editable,Text (free),"e.g., '30 kV, 2.5 nA (bulk trenching); 16 kV, 0.8 nA (intermediate thinning)'",,2026-08-11,(none),,Y,Y,,"30 kV, 10 pA Ga beam",N,N,"Standard stair step; 30 keV, currents 2.5 to 0.8 nA",Ga+ ion beam at 16–30 keV (coarse milling),Ga+ ion beam at 30 kV (initial milling); 16 kV (intermediate),N,N
Fine Polishing Conditions,Ion beam voltage and current for final thinning and surface polishing of the TEM lamella.,Basic,Editable,Text (free),"e.g., '5 kV, 0.3 nA; final polish: 2 kV, 72 pA' | '1 kV, 0.1 nA final step'",,2026-08-27,(none),"Low-voltage polishing (2 kV or below) minimises Ga implantation depth, surface amorphisation, and curtaining artifacts.",Y,N,,N,N/A,N/A,N,Various voltages down to 1 keV (polishing),Ga+ ion beam at 5 kV (final thinning) until ~100 nm thick,N,N
Foil Thickness,"Target thickness of the electron-transparent TEM lamella after final FIB polishing, in nanometres. Actual thickness may differ from target.",Basic,Editable,Numeric + unit,"e.g., '~100 nm' | '50-80 nm' | '100-200 nm'",,2026-08-27,(none),Typical range: 50-150 nm for standard TEM/STEM; 200-600 nm for XANES or tomography sections.,Y,N,,N,N/A,N/A,N,"<100 to 600 nm (variable, depending on targeted experiment)",~100 nm,N,N
Lift-out Method,Method used to transfer the FIB-prepared lamella to the TEM support grid. In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber.,Basic,Read-Only,Controlled list,"In-situ (micromanipulator, Cu or Mo TEM half-grid) | Ex-situ | N/A | None",,2026-08-30,(none),It is the standard method for small or precious specimens.,Y,N,,N,N/A,N/A,In-situ lift-out (standard stair step),N,In-situ lift-out; ion beam-deposited Pt weld to Cu half grids,N,N
Ion Milling Conditions (3D Tomography),Ion beam voltage and current used to mill each slice during FIB-SEM serial sectioning.,Basic,Editable,Text (free),"e.g., 'Ga+ 30 kV, 2.5 nA (slice milling)'",,2026-08-27,(none),These parameters determine material removal rate per slice and exposed surface quality.,N,Y,,N/A,N,N,N/A,N/A,N/A,N/A,N/A
Slice Thickness,Thickness of each FIB-milled slice during serial sectioning in nanometres.,Basic,Editable,Numeric (nm),"e.g., 10 | 20 | 50 | 100",,2026-08-27,(none),Controls the Z-axis resolution of the 3D reconstruction.,N,Y,,N/A,15 nm (single layer scanning thickness = 9.0 µm total / 600 slices),N,N/A,N/A,N/A,N/A,N/A
Voxel Size and Image Stack Dimensions,"X, Y, Z dimensions of the reconstructed 3D voxel in nanometres (X-Y pixel size from SEM image calibration; Z from slice thickness), and the total number of slices in the stack.",N/A,Basic,Text (free),"e.g., '14.6 x 8.3 x 10.0 nm, 600 slices' | '14.8 x 14.8 x 20 nm, 800 slices'",,2026-08-27,(none),,N,Y,,N/A,9.8 × 9.8 × 15 nm voxel size; 600 slices; 7.8 × 7.8 µm scanning area; 9.0 µm total thickness,14.8×14.8 nm pixel size (XY); ~800 total slices; sub-volumes: SC=5.609×3.08×5.446 µm; HBC=4.679×3.2×4.24 µm; SEM image resolution 2.5 nm,N/A,N/A,N/A,N/A,N/A
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
3D Image Registration,"Method used to align consecutive SEM image slices in the 3D stack to correct for drift, vibration, and curtaining artifacts. Include software used.",Basic,Editable,Text (free),"e.g., 'Cross-correlation (FIJI/ImageJ)' | 'Fiducial marker alignment' | 'Auto Slice and View G3 built-in drift correction' | 'Avizo drift correction'",,2026-08-11,(none),,N,Y,,N/A,N,Fiji/ImageJ StackReg and TurboReg plugins used for slice realignment,N/A,N/A,N/A,N/A,N/A
Segmentation Method,"Method and software used to separate distinct phases or features in the reconstructed 3D volume, turning the grayscale volume into labelled regions.",Basic,Editable,Controlled list / Text,Global threshold (single grayscale boundary) | Multi-threshold (separate range per phase) | Manual threshold per phase | Semi-automated: threshold + morphological filtering | Region growing | Manual tracing | Machine learning (specify model) | N/A | None,,2026-08-26,(none),The method must be reported for any quantitative result to be reproducible.,N,Y,,N/A,"Image denoising, binarization, and segmentation; 3D model established using Avizo 7 and Multiple-point geostatistics",Semi-automatic porosity segmentation by grayscale thresholding; pore volume reconstruction using FEI Avizo Fire 8.1.1; connected component analysis for pore network extraction (PNE),N/A,N/A,N/A,N/A,N/A
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N
