Technique-Aligned Procedure Profile (TAPP) Planning Table  |  Astromat  |  Draft April 2026,,,,,,,,,
#,Thematic Group,Proposed TAPP Name,Component Methods / Techniques from BDD List,Property Type,Data Format,"Relevant to Astromat
(Chemical Data)?","TAPP Priority
(H/M/L)",Notes / Rationale,Labs
7c,,Laser Ablation ICP-TQ-MS (LA-ICP-TQ-MS),LA-ICP-MS/MS; LA-ICP-TQ-MS,"Elemental composition (REE and interference-prone analytes, in situ)",Tabular + Imagery,Yes – core,M,"Triple quadrupole (ICP-MS/MS) coupled to laser ablation. Key distinct metadata: reaction cell gas identity and flow, MS/MS operational mode (mass-shift vs. on-mass), reaction product ions monitored. Important for accurate REE and transition-metal determination with polyatomic interference removal. Future TAPP; 1 seed paper identified (Masuda 2024, CAI REE mapping with iCAP TQ in KED mode).",
7d,,LA-SF-ICP-MS Geochronology,LA-SF-ICP-MS (single-collector sector-field) for in-situ U–Pb isotope dating,Isotopic composition (U–Pb) → age/geochronology,Tabular,Yes – isotopic,H,"Separate from LA-Q/SF-ICP-MS (trace elements) due to distinct data product (isotopic age vs. elemental concentration), data reduction philosophy (down-hole fractionation correction, common-Pb correction, Concordia age calculation), calibration standards (mineral-matched primary: GJ-1, 91500, Plešovice), and QC metrics (concordance %, MSWD). SF-specific hardware central to this application: E-scan mode at fixed magnet, SEM triple mode (pulse/analog/Faraday), per-isotope asymmetric dwell times (e.g., 2 ms for ²⁰²Hg, 30 ms for ²⁰⁷Pb), enhancement N₂ addition. Q-ICP-MS not standard for this application due to sensitivity constraints and Hg/Pb isobar complexity at unit resolution. Shared Group 1–3 laser and plasma hardware fields must be kept consistent with LA-Q/SF-ICP-MS TAPP per cross-TAPP propagation rule. 5 seed papers identified in LA-Q:SF-ICP-MS/LA-SF-ICP-MS/ folder: Frei & Gerdes 2009 (Chem. Geol.); Eckelmann et al. 2014 (Gondwana Res.); Lana et al. 2021 (Geostand. Geoanal. Res.); Wei et al. 2022 (JAAS); Yang et al. 2020 (JAAS). Future TAPP — not yet in development.",
8,Mass Spectrometry – Noble Gas,Static Noble Gas & Nitrogen Mass Spectrometry (Noble Gas MS),Noble Gas & Nitrogen Static MS (NG-NS-MS); Neutron Irradiation Noble Gas MS (NI-NGMS),"Isotopic composition (noble gases, N)",Tabular,Yes – isotopic,H,Core platform for cosmochemistry. NI-NGMS = irradiation pre-treatment field. One TAPP with pre-treatment variant.,"Caltech (Ken Farley), IPGP (Guillaume Avice), ASU (Sujoy Mukhopadhyay, WashU (Rita Parai), U of Lorraine (Evelyn Furi), ETH (Henner Buseman)"
9,,⁴⁰Ar/³⁹Ar Geochronology (Ar-Ar MS),⁴⁰Ar/³⁹Ar Geochronology & Thermochronology (ARGT),Isotopic composition (Ar isotopes) → age/thermal history,Tabular,Yes – isotopic,H,"Could be a sub-profile of Noble Gas MS, but the age-calculation workflow and stepped-heating procedure are distinct enough to warrant a dedicated TAPP.","BGC (Paul Wenne), LDEO (Steve Cox)"
10,,Resonance Ionization TOF Noble Gas MS (RI-TOF-NGMS),RI-TOF-NGMS,"Isotopic composition (noble gas, presolar grains)",Tabular + Spectral,Yes – isotopic,M,Highly specialized; primarily used for presolar grain isotopic analysis. Separate TAPP from static noble gas MS due to distinct ionization and instrument metadata.,"U of Manchester (Jamie Gilmour, Sarah Crowther)"
11,Mass Spectrometry – Organic/Molecular,GC-MS / GC-C-IRMS,"GC-MS; GC-C-IRMS (combustion interface is instrument config, not separate method); GC-IRMS",Molecular/organic composition; compound-specific isotopes,Tabular + Spectral,Yes – organic,H,One TAPP. Combustion (GC-C) = instrument configuration field. Sub-type: GC-MS | GC-C-IRMS | GC-MS/MS.,
12,,FTICR-MS,FTICR-MS (tabular + cube data products),Molecular/organic composition (ultrahigh-resolution mass),Tabular + Spectral (cube),Yes – organic,H,"Unique instrument with specific metadata (magnetic field strength, ionization source, resolving power). Data cube output is spatially resolved imaging MS.",
13,,DESI-Orbitrap MS,DESI-Orbitrap MS,Molecular/organic composition (ambient ionization),Tabular + Spectral,Yes – organic,M,Ambient ionization MS; distinct ionization metadata from ESI/MALDI. Orbitrap = mass analyzer type (metadata field).,Caltech (John Eiler)
14,,Liquid Chromatography–MS (LC / LC-MS),Liquid Chromatography (LC); LC-MS Collection,Molecular/organic composition,Tabular + Spectral,Yes – organic,M,One TAPP. LC-MS = LC with MS detection (detector type field). HPLC and UHPLC are sub-types.,
15,,Microprobe Two-Step Laser MS (µL2MS),Microprobe Two-Step Laser MS (µL2MS),"Molecular/organic composition (PAHs, in situ)",Tabular + Spectral,Yes – organic,M,Specialized in situ technique for aromatic organics. Desorption + ionization are two separate laser steps — key metadata distinction.,
16,,Pyrolysis-GC-MS,NEW – not in BDD list,Molecular/organic composition (macromolecular matter),Tabular + Spectral,Yes – organic,M,Common in meteoritics for insoluble organic matter (IOM) characterization. Py-GC-MS = thermal pyrolysis upstream of GC-MS. Could share TAPP with GC-MS via pyrolysis mode field.,
17,Mass Spectrometry – Isotope Ratio,Thermal Ionization Mass Spectrometry (TIMS),TIMS,"Isotopic composition (high-precision radiogenic: Rb-Sr, Sm-Nd, U-Pb, Pb-Pb)",Tabular,Yes – isotopic,H,One TAPP. ID-TIMS (isotope dilution) should be a procedure sub-field; the instrument metadata is the same.,"Caltech (Yankun Di), UC Davis (Qing-Zhu Yin)"
18,,Accelerator Mass Spectrometry (AMS),AMS,"Isotopic composition (cosmogenic: ¹⁴C, ¹⁰Be, ²⁶Al, etc.)",Tabular,Yes – isotopic,H,"Distinct instrument (particle accelerator); requires unique metadata (tandem voltage, target matrix, cathode prep).",
19,,Elemental Analyzer – IRMS (EA-IRMS),EA-IRMS; Elemental Analysis; FINESSE (Stepped Heating C & N Isotopes),"Isotopic (bulk C, N, S, H) + elemental (C, H, N, S wt%)",Tabular,Yes – isotopic + elemental,H,One TAPP. FINESSE stepped-heating = sample introduction procedure field. EA = combustion front-end (instrument configuration).,
20,,Laser Assisted Fluorination – IRMS (LAF),LAF,"Isotopic composition (bulk oxygen isotopes: δ¹⁷O, δ¹⁸O)",Tabular,Yes – isotopic,H,Specialized laser fluorination for oxygen isotopes. Distinct sample prep (BrF₅ or F₂ reagent) requires dedicated TAPP fields.,
21,,Capillary Electrophoresis – MS (CE-MS),CE-MS,"Elemental/molecular (anions, cations, amino acids in solution)",Tabular,Yes – organic/elemental,M,Separation technique upstream of MS. Relevant for soluble organics and inorganic ions in meteorite extracts.,
22,,Ion Chromatography (IC),IC,"Elemental/molecular (anions, cations in solution)",Tabular,Yes – elemental,M,"Common for water-soluble species (Cl⁻, SO₄²⁻, NO₃⁻, Na⁺, etc.) in meteorite leachates.",
23,Mass Spectrometry – Surface/Imaging,Secondary Ion Mass Spectrometry (SIMS / NanoSIMS / SHRIMP),SIMS (tabular); NanoSIMS (image/tabular/raw); SHRIMP,"Elemental + isotopic composition (in situ, imaging)",Tabular + Imagery,Yes – core,H,Magnetic-sector SIMS family. One TAPP with instrument sub-type field: SIMS | NanoSIMS | SHRIMP | IMS-xxxx. NanoSIMS adds ion-image metadata fields.,"Caltech (Yunbin Guan), WashU (Noriko)"
24,,Time-of-Flight SIMS (ToF-SIMS),ToF-SIMS,"Elemental + molecular + isotopic (surface, imaging)",Tabular + Imagery + Spectral,Yes – surface/organic,M,"Separate from magnetic-sector SIMS: ToF analyzer, molecular ion capability, and surface-sensitivity metadata differ significantly.",
25,,Secondary Neutral Mass Spectrometry (SNMS),SNMS,"Elemental composition (surface, post-ionization)",Tabular,Yes – elemental,L,Less common than SIMS; post-ionization of sputtered neutrals. May share TAPP framework with ToF-SIMS.,
26,Geochronology,U-Pb ID-TIMS Geochronology,NEW – not in BDD list (distinct from general TIMS),"Isotopic composition (U-Pb, high-precision)",Tabular,Yes – isotopic,M,"ID-TIMS U-Pb is the gold standard for high-precision geochronology. Isotope dilution tracer metadata (EARTHTIME tracer, spike calibration) justify a dedicated sub-profile or TAPP.",
27,,Fission Track Analysis,NEW – not in BDD list,Physical (track density) → age/thermal history,Tabular + Imagery,Marginal – physical method,L,Common thermochronology method. Track counting is physical but yields isotopic age. Consider inclusion for completeness.,
28,Optical & Vibrational Spectroscopy,Raman Vibrational Spectroscopy,Raman (raw data); Raman Vibrational Spectroscopy,"Spectral (mineralogy, molecular structure, organic matter)",Spectral + Imagery,Yes – mineralogical/organic,H,High priority for mineralogy and organic characterization. Point spectra and maps both covered by one TAPP.,Carnegie (Will Palfey)
29,,VNMIR Spectroscopy (Vis-NIR-MIR),VNMIR (point data); FTIR (if standalone),"Spectral (mineralogy, organics, H₂O content)",Spectral,Yes – mineralogical/organic,H,One TAPP covering reflectance and transmission IR. Sub-type: reflectance | transmission | ATR. FTIR = instrument type field.,Carnegie (Will Palfey)
30,,Nanoscale Infrared Mapping (NanoIR),NanoIR (background/map/point); Synchrotron-based IR (S-IR),"Spectral (molecular/mineralogical, nanoscale)",Spectral + Imagery,Yes – mineralogical/organic,M,"One TAPP. Platform field: benchtop NanoIR (AFM-based) | synchrotron IR (S-IR). Beam size and spatial resolution differ, but spectral metadata is the same.",
31,,Nuclear Magnetic Resonance Spectroscopy (NMR / SS-NMR),NMR; SS-NMR,"Molecular/structural (bonding, functional groups, mineralogy)",Spectral,Yes – molecular/organic,M,One TAPP. Mode field: solution NMR | solid-state NMR (SS-NMR). SS-NMR is particularly relevant for IOM and clays.,
32,,X-ray Absorption Near Edge Structure (XANES),XANES (hyperspectral image stack),"Spectral (elemental oxidation state, bonding environment)",Spectral + Imagery,Yes – chemical speciation,H,"Synchrotron-based. Provides oxidation state information critical for redox-sensitive elements (Fe, S, Cr). Hyperspectral data cube requires specific metadata.",Caltech (Shane Houchin)
33,,Mössbauer Spectroscopy,NEW – not in BDD list,"Spectral (Fe oxidation state, mineralogy)",Spectral,Yes – chemical speciation,H,Very common in meteoritics and Mars analog studies. Essential for Fe²⁺/Fe³⁺ ratios. Should be included.,
34,,X-ray Photoelectron Spectroscopy (XPS),XPS,"Elemental + spectral (surface composition, oxidation state, bonding)",Tabular + Spectral,Yes – surface chemistry,M,Surface-sensitive (top ~5–10 nm). Provides elemental and chemical-state information. Separate from bulk XRF/EPMA.,
35,,Cathodoluminescence Spectroscopy (CL – standalone),NEW – not in BDD list (standalone bench-top CL),"Spectral (luminescence, defect structure, mineralogy)",Spectral + Imagery,Yes – mineralogical,L,"Standalone CL (e.g., Gatan Mono-CL) distinct from SEM-attached HR-CL. Can share TAPP with SEM if platform field distinguishes them.",
36,X-ray Methods,X-ray Diffraction (XRD),XRD (tabular),"Physical (mineralogy, crystal structure, phase identification)",Tabular + Spectral,Yes – mineralogical,H,Essential for phase identification and quantification. Sub-type: powder XRD | single-crystal XRD | micro-XRD.,
37,,X-ray Fluorescence Spectroscopy (XRF),XRF; Synchrotron XRF (S-XRF),"Elemental composition (major/trace, bulk or spatially resolved)",Tabular + Imagery,Yes – core,H,One TAPP. Platform field: benchtop | handheld | synchrotron (S-XRF). S-XRF adds spatial resolution and beam metadata.,
38,,X-ray Computed Tomography (XCT),XCT (image collection); Micro-CT / Nano-CT,"Physical (3D internal structure, porosity, density distribution)",Imagery,Marginal – physical/structural,H,"Critical for 3D texture and porosity. Development split: Lab-XCT (industrial/geological microfocus CT) TAPP in progress (v5). SR-XCT and NCT to be developed separately. Preclinical/medical CT classification (e.g., GE eXplore) deferred for future review.",
,,Synchrotron X-ray Computed Tomography,,,,,,,
,,Muon X-ray Emmision Spectroscopy,,,,,,,
,,"Neutron + X-ray Computed Tomography (NCT+XCT, Simultaneous)",Neutron CT; X-ray CT (simultaneous dual-modality acquisition),"Physical (3D internal structure, density distribution, elemental/isotopic contrast)",Imagery (dual-modality co-registered 3D volumes),Marginal – physical/structural,L,"TENTATIVE — status to be revisited based on community feedback and technique availability. Covers simultaneous NCT+XCT acquisition on dual-modality platforms (e.g., NIST-NeXT NXCT). Distinct from sequential or separate NCT and Lab-XCT procedures: simultaneous acquisition produces intrinsically co-registered volumes in a single session, making two-TAPP registration with Coupled fields architecturally awkward. A combined TAPP would cover XCT-specific fields, NCT-specific fields (neutron source, wavelength, neutron detector), and coupling-specific fields (co-registration geometry). Not developed until standalone Lab-XCT and NCT TAPPs are finalized; lower priority given narrow current facility availability.",NIST (NIST-NeXT NXCT)
39,Microscopy & Imaging,Visible Light Microscopy (VLM),VLM (image),"Physical/morphological (optical texture, color, grain size)",Imagery,Marginal – physical,M,"Standard petrographic microscopy. Transmitted + reflected light modes as sub-type field. DEFERRED: 'VLMBasemap' appears as a separate ADA identifier (15 records). Examine ADA records before deciding whether this is a data sub-type of VLM or SLS, or a distinct technique requiring its own planning table row.",
40,,Fluorescence Microscopy (UVFM),UVFM (image),Physical/optical (fluorescence response of organics/minerals),Imagery,Marginal – physical/optical,M,UV-excited fluorescence; relevant for organics and fluid inclusions. Could share TAPP with VLM (illumination mode field).,
41,,Structured Light Scanning (SLS) / 3D Shape,SLS (individual scan collection); SLS Shape Model; Basemap; AIVA,"Physical (3D shape, surface topography, morphology)",Imagery (3D),No – physical/geometric,M,"3D surface morphology. Relevant for sample curation and spatial context, but not chemical data per se.",
42,,Quantitative Reflective Imaging System (QRIS),QRIS (calibrated + raw),"Physical/optical (calibrated reflectance, albedo)",Imagery + Tabular,Marginal – optical,M,Calibrated photometric imaging. Relevant for sample characterization and reflectance spectroscopy context.,
43,,Lock-in Thermography (LIT),LIT (collection + image),"Physical (subsurface thermal structure, defect mapping)",Imagery,No – physical,H,Thermal imaging technique; not chemical. Lower priority for Astromat.,
44,,Confocal Laser Scanning Microscopy (CLSM),NEW – not in BDD list,"Physical/morphological (3D surface topography, fluorescence)",Imagery,Marginal,L,Useful for grain surface texture; fluorescence mode overlaps with UVFM.,
45,Physical Properties,Particle Size Frequency Distribution (PSFD),PSFD,Physical (grain size distribution),Tabular + Imagery,Marginal – physical,M,"Grain size analysis by laser diffraction, sieving, or image analysis. Method sub-type field needed.",
46,,Gas Pycnometry (GPYC),GPYC (processed + raw),"Physical (bulk/grain density, porosity)",Tabular,No – physical,M,He pycnometry for true grain density. Key for porosity calculations in Ryugu/Bennu samples.,
47,,Seismic Velocities & Rock Ultrasonic Elastic Constants (SV-RUEC),SV-RUEC,"Physical (compressional/shear wave velocity, elastic moduli)",Tabular,No – physical,L,Ultrasonic pulse transmission; primarily mechanical characterization.,
48,,Nanoindentation & Microindentation (NI-MI),NI-MI,"Physical (hardness, elastic modulus at micro/nanoscale)",Tabular,No – physical,L,Mechanical property measurement. Relevant for grain-scale strength of astromaterials.,
49,,Angle of Repose Measurement (ARM),ARM,Physical (bulk granular flow behavior),Tabular,No – physical,L,"Relevant for regolith behavior (e.g., Ryugu, Bennu), not chemical composition.",
50,,Compression Test (COMPT),COMPT,"Physical (compressive strength, mechanical failure)",Tabular,No – physical,L,Mechanical testing; not chemical.,
51,,Direct Shear Strength Measurement (DSSM),DSSM,"Physical (shear strength, geotechnical properties)",Tabular,No – physical,L,Geotechnical; not chemical.,
52,,Atomic Force Microscopy (AFM),PCD-AFM (Particle Cohesion Determination); SThM-AFM (Scanning Thermal Microscopy); AFM (topography – standalone),Physical (surface adhesion/cohesion; nanoscale topography; local thermal properties),Tabular + Imagery,No – physical,L,AFM is the technique; PCD-AFM and SThM-AFM are two methods (applications of AFM to acquire different data types). One TAPP with mode flags: Topography | Thermal (SThM) | Cohesion (PCD). SThM-AFM has 377 records in ADA (5th most common — likely Hayabusa2-specific); priority and scope to be revisited if JAXA data submissions continue.,
53,,Synchrotron X-ray Fluorescence (S-XRF) Mapping,S-XRF,"Elemental composition (spatially resolved, trace)",Tabular + Imagery,Yes – elemental,H,Already captured under XRF TAPP above (platform field). Listed separately here only for cross-reference.,
54,Thermal & Calorimetric,Differential Scanning Calorimetry (DSC),DSC,"Physical/thermal (phase transitions, heat capacity, enthalpy)",Tabular + Spectral,No – physical/thermal,L,Thermal analysis; relevant for hydrated mineral characterization but not direct chemical composition.,
55,,Thermogravimetric Analysis (TGA),TGA,"Physical/chemical (mass loss vs. temperature, volatile content)",Tabular,Yes – volatile content,M,"TGA can quantify H₂O, CO₂, S content through weight loss steps. Borderline relevance for Astromat.",
56,,Mini Cryogen-Free Measurement System / Thermal Conductivity (mCFMS / SCBTCA),mCFMS; SCBTCA,Physical (thermal conductivity),Tabular,No – physical/thermal,L,Thermal conductivity measurement; not chemical. One TAPP covering both instrument variants.,
57,,Capacitance Dilatometry (CAPD),CAPD,"Physical (dimensional change, thermal expansion coefficient)",Tabular,No – physical,L,Dimensional/thermal; not chemical composition.,
59,NEW – Not in BDD List,Instrumental Neutron Activation Analysis (INAA),NEW,"Elemental composition (bulk, non-destructive, trace/major)",Tabular,Yes – core,H,Very common in meteoritics (especially chondrite bulk chemistry). Non-destructive; large sample archive of INAA data exists. High priority for Astromat inclusion.,Rice (Bidong Zhang)
61,,Wet Chemistry / Gravimetric Analysis,NEW,"Elemental (FeO by titration, H₂O by Karl Fischer, etc.)",Tabular,Yes – elemental,M,"Classical methods still used for specific analytes (FeO, total H₂O, CO₂). Metadata profile would be simple but important for legacy data integration.",
62,,Prompt Gamma Neutron Activation Analysis (PGNAA),NEW,"Elemental composition (bulk, in situ capable)",Tabular,Yes – elemental,L,"Less common than INAA but used for H, B, Cd, Sm content. Consider bundling with INAA in one TAPP (activation mode field).",
63,,High-Performance Liquid Chromatography (HPLC),NEW,"Molecular (amino acids, PAHs, sugars – separated by polarity)",Tabular,Yes – organic,M,Distinct from general LC-MS: often used without MS detection (UV/fluorescence detector). Separate TAPP or sub-type of LC TAPP.,
TDM,Physical Properties,Temperature-Dependent Magnetization (TDM),TDM,Physical/magnetic (magnetization vs. temperature → magnetic mineral identification),Tabular,Marginal – physical/magnetic,L,"Measures sample magnetization as a function of temperature to identify magnetic mineral phases (magnetite, pyrrhotite) via Curie/Néel temperature inflections. Used in meteoritics for magnetic mineralogy characterization. Identified from ADA stats (1 record); not previously in planning table. No TAPP developed. Low priority given minimal current ADA representation.",
