section,field_name,procedure_tier,analysis_tier,keyed_by,eds_point,eds_mapping,wds_point,wds_mapping,evidence,confidence,ambiguity_note
1,Coupling Data Exchange,Advanced,Editable,(none),Y,Y,Y,Y,It should describe the coupling in two parts: what data or context passes between the techniques… The description is required whenever a coupled technique is named. A session may adjust both.,low,Split of the two-part description is a granularity call; tier is should but conditionally required; 'both' scope unclear.
1,Coupling Sequence and Rationale,Advanced,Editable,(none),Y,Y,Y,Y,…and which technique is performed first and why. The description is required whenever a coupled technique is named. A session may adjust both.,low,Same as above: conditional requirement and 'both' scope.
1,Coupled Technique Procedure DOI,N/A,Advanced,(none),Y,Y,Y,Y,"Each session should give the registered procedure DOI of the coupled technique, or the DOI of a publication describing it, or ""pending"", or ""None"".",medium,Could repeat per coupled technique but no vocabulary term exists for that.
1,Coupled Dataset Identifier,N/A,Advanced,(none),Y,Y,Y,Y,"It should also give the persistent identifier of the dataset or publication where the coupled datasets are reported together, or ""same submission"", or ""pending"". Where the coupling is documented only through a shared sample identifier, the sample identifier suffices.",medium,Could repeat per coupled technique; no vocabulary term.
2,Material Types,Basic,Read-Only,(none),Y,Y,Y,Y,The procedure must state the material types it is designed to analyse; these are fixed.,high,
2,Sample Form and Preparation,Basic,Editable,(none),Y,Y,Y,Y,"It must describe the form in which samples are presented to the instrument and the preparation that brought them to that form, or state ""None""…; a session may adjust this.",medium,Form and preparation treated as one item; not stated whether it varies per sample.
2,Sampling Unit Type,Basic,Read-Only,(none),Y,Y,Y,Y,"The procedure must state what kind of subdivision of a sample one row of reported results corresponds to, giving both levels where such units nest; this is fixed.",high,
2,Sampling Unit Selection Criteria,Basic,Editable,(none),Y,Y,Y,Y,It must state the criteria by which the units analysed are selected within a sample; a session may adjust these.,medium,'within a sample' may imply keying by sample; recorded as scalar since no per-sample repetition is stated.
2,Sample Names,N/A,Basic,defines: sample,Y,Y,Y,Y,"Each session must list every sample it analysed, under the name the laboratory uses for it.",high,
2,Sampling Unit Labels,N/A,Basic,defines: sample > sampling unit,Y,Y,Y,Y,"For each sample, the session must list the units it analysed, using the laboratory's own labels. Where the units are too numerous to name individually, the session names the acquisition area they belong to instead.",medium,Choice between 'defines: sample > sampling unit' and 'defines: sampling unit per sample' notation.
2,Sample Persistent Identifier,N/A,Advanced,sample,Y,Y,Y,Y,"For each sample, the session should give a globally unique persistent identifier, with IGSN the recommended standard, at the level actually analysed.",high,
2,Pre-analysis Imaging and Screening,Advanced,Editable,sample,Y,Y,Y,Y,"The procedure should describe any imaging or screening performed before analysis to locate and select the units analysed… For each sample, a session may adjust this.",medium,"Keying by sample appears only in the session-adjustment sentence, so the procedure value may be scalar."
3,Instrument Manufacturer,Basic,Read-Only,(none),Y,Y,Y,Y,The procedure must identify the instrument by manufacturer and by model… These are fixed.,high,
3,Instrument Model,Basic,Read-Only,(none),Y,Y,Y,Y,"…and by model, including any generation or configuration suffix… These are fixed.",high,
3,Electron Source Type,Basic,Read-Only,(none),Y,Y,Y,Y,…and must state the type of electron source. These are fixed.,high,
3,Acquisition Software and Version,Basic,Editable,(none),Y,Y,Y,Y,It must name the software that controls the instrument and acquires the data… with version numbers. A session may adjust both.,medium,Software name and version kept as one item.
3,Post-acquisition Software and Versions,Basic,Editable,(none),Y,Y,Y,Y,"…and every software package applied to the data after acquisition to produce the reported values, with version numbers. A session may adjust both.",medium,Several packages but no vocabulary key; name and version kept together.
3,WDS Spectrometer Configuration,Advanced,Read-Only,(none),N,N,Y,Y,"Where WDS is used, the procedure should describe the number, type and crystal range of the WDS spectrometers, with manufacturer and model. … Both are fixed.",medium,Multiple sub-attributes lumped into one field.
3,EDS Detector Configuration,Advanced,Read-Only,(none),Y,Y,N,N,"Where EDS is used, it should describe the detector type, manufacturer, number of detector elements, active area and solid angle, window type, and geometry, listing multiple detectors separately. Both are fixed.",medium,Repeats per detector but no vocabulary term; sub-attributes lumped.
4,Analytical Modes,Basic,Read-Only,(none),Y,Y,Y,Y,"The procedure must declare which of the four modes it covers, listing all that apply; this is fixed.",high,
4,Accelerating Voltage,Basic,Editable,(none),Y,Y,Y,Y,It must state the accelerating voltage in kilovolts and justify any departure from the laboratory's standard operating voltage; a session may adjust it. Beam conditions are reported for each analysis point within each sample.,medium,"The per-point keying sentence follows the voltage sentence, so whether voltage is keyed by sample > sampling unit is unclear; justification folded in."
4,Beam Mode,Basic,Read-Only,sample > sampling unit,Y,Y,Y,Y,"Beam conditions are reported for each analysis point within each sample. The procedure must state the beam mode, and this is fixed.",high,
4,Beam Current,Basic,Editable,sample > sampling unit,Y,Y,Y,Y,"It must state the beam current in nanoamperes and the beam diameter in micrometres, and a session may adjust both.",high,
4,Beam Diameter,Basic,Editable,sample > sampling unit,Y,Y,Y,Y,"It must state the beam current in nanoamperes and the beam diameter in micrometres, and a session may adjust both.",high,
4,Raster Width,Advanced,Editable,sample > sampling unit,Y,N,Y,N,"In point analysis by either EDS or WDS, where the beam is rastered, the procedure should give the width and height of the rastered area in micrometres, which a session may adjust.",medium,Width and height split into two fields.
4,Raster Height,Advanced,Editable,sample > sampling unit,Y,N,Y,N,"In point analysis by either EDS or WDS, where the beam is rastered, the procedure should give the width and height of the rastered area in micrometres, which a session may adjust.",medium,Width and height split into two fields.
4,Beam Damage Mitigation,Advanced,Editable,(none),Y,Y,Y,Y,"The procedure should describe the measures taken to minimise beam damage, including the beam conditions used and the phases to which they are applied, and a session may adjust them.",medium,Unclear whether the per-point beam-conditions keying extends to this item.
4,Drift Monitoring and Correction,Advanced,Editable,(none),Y,Y,Y,Y,The procedure should also describe how drift in beam current and spectrometer position is monitored and corrected during a session; a session may adjust this.,high,
4,Determined Elements,Basic,Editable,defines: target species,Y,Y,Y,Y,"The first is the elements the procedure determines. The procedure must give it, and a session may adjust it to the narrower suite actually measured.",high,
4,Monitored Elements,Basic,Read-Only,defines: monitored property per target species,Y,Y,Y,Y,"The second is the elements monitored in order to make those determinations. The procedure must give it, grouping each monitored element under the determined element it serves… This list is fixed",medium,"Interference-only elements serve no target species, so grouping is partial; 'per' vs '>' notation choice."
4,Reported Quantities and Units,Basic,Read-Only,defines: reported property,Y,Y,Y,Y,"The third is the quantities the procedure finally reports, with their units… The procedure must give it, and it is fixed.",high,
4,Spectrometry Assignment (WDS or EDS),Basic,Read-Only,target species,Y,Y,Y,Y,"For each determined element, where a procedure uses both WDS and EDS, the procedure must state which of the two measures it. This is fixed.",medium,"Condition is procedure uses both spectrometries, not a single-mode restriction; all modes left Y."
4,X-ray Emission Line,Basic,Read-Only,monitored property,Y,Y,Y,Y,"For each monitored element, the procedure must state the X-ray emission line measured. This is fixed.",high,
4,Diffracting Crystal,Basic,Read-Only,monitored property,N,N,Y,Y,"In WDS work, in both point analysis and mapping, the following are also fixed for each monitored element. The procedure must state the diffracting crystal.",high,
4,Spectrometer Position Assignment,Advanced,Read-Only,monitored property,N,N,Y,Y,"It should state the spectrometer position or positions the element is assigned to, one entry per assignment, including an element assigned to more than one spectrometer with the intensities aggregated.",medium,'one entry per assignment' implies a finer key than monitored property that the vocabulary cannot express.
4,WDS Detector Type,Advanced,Read-Only,monitored property,N,N,Y,Y,It should state the detector type and the pulse height analyser mode.,medium,Detector type and PHA mode split; WDS scope and fixedness inherited from the paragraph lead sentence.
4,Pulse Height Analyser Mode,Advanced,Read-Only,monitored property,N,N,Y,Y,It should state the detector type and the pulse height analyser mode.,medium,Split from detector type; scope inherited from paragraph lead.
4,Acquisition Order,Advanced,Read-Only,monitored property,N,N,Y,N,"In WDS point analysis only, the procedure should state for each monitored element the order in which it is acquired and, where the element suite exceeds the number of spectrometers, the acquisition pass to which it belongs; this is fixed.",medium,Order and pass split into two fields.
4,Acquisition Pass,Advanced,Read-Only,monitored property,N,N,Y,N,"…and, where the element suite exceeds the number of spectrometers, the acquisition pass to which it belongs; this is fixed.",medium,Split from order; conditional on suite size.
4,On-peak Counting Time,Basic,Editable,monitored property,N,N,Y,N,The procedure must give each monitored element's on-peak counting time in seconds… A session may adjust counting times and background positions.,medium,WDS-point-only scope inherited from the paragraph's first sentence.
4,Off-peak Background Counting Time,Basic,Editable,monitored property,N,N,Y,N,"…and its total off-peak background counting time in seconds, summed across all background positions. A session may adjust counting times…",medium,WDS-point-only scope inherited from the paragraph's first sentence.
4,Background Positions,Advanced,Editable,monitored property,N,N,Y,N,"It should state the location of each background position relative to the peak, in millimetres or sin θ and on the high- or low-energy side, or state that no off-peak positions are used. A session may adjust … background positions.",medium,Mode scope inherited; multiple positions per element not expressible in vocabulary.
4,EDS Beam Positioning,Basic,Read-Only,(none),Y,Y,N,N,"In EDS work, the procedure must state how the beam is positioned during EDS acquisition, listing all approaches that are used; this is fixed.",high,
4,EDS Live Time per Point,Basic,Editable,(none),Y,N,N,N,"In EDS point analysis, the procedure must give the live time per analysis point in seconds, which a session may adjust.",medium,"'per analysis point' read as the unit of the value, not as keying by sampling unit."
4,Pixel Dwell Time,Basic,Editable,monitored property,N,Y,N,Y,"In X-ray mapping by either EDS or WDS, the procedure must give the dwell time per pixel for each monitored element — one value per spectrometer assignment for WDS, and a single live time per pixel for EDS… A session may adjust both.",medium,"Keying differs by spectrometry (per assignment for WDS, single value for EDS)."
4,Map Step Size,Basic,Editable,(none),N,Y,N,Y,"…and the step size in micrometres, with X and Y given separately where they differ. A session may adjust both.",medium,X and Y kept as one field.
4,Map Dimensions (Pixels),N/A,Basic,(none),N,Y,N,Y,Each session must record the map dimensions in pixels and the physical extent of the mapped area.,medium,Split from physical extent; likely repeats per map but no key stated.
4,Mapped Area Physical Extent,N/A,Basic,(none),N,Y,N,Y,Each session must record the map dimensions in pixels and the physical extent of the mapped area.,medium,Split from pixel dimensions; likely repeats per map but no key stated.
4,Map Scan Type,Advanced,Read-Only,(none),N,Y,N,Y,The procedure should state whether maps are acquired by stage scan or beam scan; this is fixed.,high,
5,Matrix Correction Algorithm,Basic,Read-Only,(none),Y,Y,Y,Y,"The procedure must name the matrix correction algorithm, which also applies when count maps are converted to concentration maps… Both are fixed.",high,
5,Mass Absorption Coefficient Database,Basic,Read-Only,(none),Y,Y,Y,Y,…and the database of mass absorption coefficients the correction uses. Both are fixed.,high,
5,Background Estimation and Subtraction,Basic,Editable,monitored property,Y,Y,Y,Y,"For each monitored element, in every mode, the procedure must state how the background beneath the peak is estimated and subtracted; a session may adjust this.",high,
5,Time-dependent Intensity Correction,Advanced,Editable,target species,Y,Y,Y,Y,"For each determined element, the procedure should state any time-dependent intensity correction applied, which a session may adjust…",high,
5,Concentration Derivation Method,Advanced,Read-Only,target species,Y,Y,Y,Y,"…and should state how its concentration is obtained from the measured data, which is fixed.",high,
5,Oxygen Halogen Adjustment,Advanced,Editable,(none),Y,Y,Y,Y,The procedure should state whether oxygen is adjusted for halogen substitution where oxygen is calculated by stoichiometry; a session may adjust this.,medium,Follows a 'for each determined element' sentence; could inherit that key.
5,WDS Dead-time Correction,Basic,Read-Only,(none),N,N,Y,Y,"Where WDS is used, the procedure must state the dead-time correction algorithm and any instrument-specific constant; this is fixed, and no measured WDS dead time is reported.",medium,Algorithm and constant kept as one field.
5,EDS Net Peak Intensity Extraction,Advanced,Read-Only,(none),Y,Y,N,N,"Where EDS is used, the procedure should state how net peak intensities are extracted from the spectra before quantification; this is fixed.",high,
5,Blank Determination Method and Reference Material,Advanced,Editable,target species,Y,Y,Y,Y,"For each determined element, the procedure should state the method and reference material used to determine and subtract a blank, which a session may adjust…",medium,Method and reference material kept as one field.
5,Blank Level,N/A,Basic,target species,Y,Y,Y,Y,"…and each session must report the blank level it measured, together with the blank's composition where the reported quantity is a ratio.",medium,"Keyed by the determined element of the sentence, though the ratio condition refers to reported quantity."
5,Blank Composition,N/A,Basic,target species,Y,Y,Y,Y,…together with the blank's composition where the reported quantity is a ratio.,low,Separate conditional field; key could be target species or reported property.
5,Normalisation,Advanced,Editable,reported property,Y,Y,Y,Y,"For each reported quantity, the procedure should state any normalisation applied beyond the primary calibration, or ""None"". … A session may adjust both.",low,"'A session may adjust both' could cover normalisation plus the calibration factor, or only parts of the factor sentence; tier inferred."
5,External Calibration Factor,Basic,Editable,reported property,Y,Y,Y,Y,"For each reported quantity, the procedure must give any externally calibrated factor that converts the measured quantity into the reported quantity, how that factor was determined, and its uncertainty. A session may adjust both.",medium,"Factor, its determination and uncertainty split into three; 'both' scope unclear."
5,Calibration Factor Determination Method,Basic,Editable,reported property,Y,Y,Y,Y,…how that factor was determined… A session may adjust both.,medium,Split from factor; 'both' scope unclear.
5,Calibration Factor Uncertainty,Basic,Editable,reported property,Y,Y,Y,Y,…and its uncertainty. A session may adjust both.,medium,Split from factor; 'both' scope unclear.
5,Inclusion and Rejection Rules,Basic,Editable,(none),Y,Y,Y,Y,The procedure must state the rules that decide which individual results contribute to a reported aggregate value…,low,No session role or fixedness stated; Editable chosen from the principle that criteria applied to the material at hand may be adjusted; section placement also a call.
5,Number of Results Obtained,N/A,Basic,(none),Y,Y,Y,Y,"Each session must report the outcome of applying them: how many results were obtained, how many were included, and on what grounds any were excluded.",medium,Outcome split into three fields; likely repeats per aggregate/reported property but no key stated.
5,Number of Results Included,N/A,Basic,(none),Y,Y,Y,Y,…how many were included…,medium,Split from outcome; key not stated.
5,Exclusion Grounds,N/A,Basic,(none),Y,Y,Y,Y,…and on what grounds any were excluded.,medium,Split from outcome; key not stated.
5,Physical Constants and Reference Values,Basic,Editable,(none),Y,Y,Y,Y,"The procedure must list the physical constants and citable reference values used in data reduction, with their sources, or state ""None""; a session may adjust this.",high,
6,Primary Reference Material,Basic,Editable,target species,Y,Y,Y,Y,"For each determined element, the procedure must name the primary reference material against which the instrument is calibrated… Where quantification uses a stored library or response model instead, the procedure names it… A session may adjust both.",medium,"Name, source and citation split into three fields; 'both' read as primary and secondary RMs."
6,Primary Reference Material Source,Basic,Editable,target species,Y,Y,Y,Y,…its source or supplier…,medium,Split from primary RM name.
6,Primary Reference Material Accepted Value Citation,Basic,Editable,target species,Y,Y,Y,Y,…and a citation for the accepted values used.,medium,Split from primary RM name.
6,Secondary Reference Materials,Basic,Editable,defines: standard,Y,Y,Y,Y,The procedure must list the secondary reference materials measured as unknowns alongside the samples… A session may adjust both.,high,
6,Secondary Reference Material Source,Basic,Editable,standard,Y,Y,Y,Y,…with the source of each…,medium,Split from the list.
6,Secondary Reference Material Accepted Value Citation,Basic,Editable,standard,Y,Y,Y,Y,…and a citation for its accepted values.,medium,Split from the list.
6,Line Overlap Correction Applied,Basic,Read-Only,target species,Y,Y,Y,Y,"For each determined element, the procedure must state whether an X-ray line overlap correction is applied… All of these are fixed.",high,
6,Overlapping Lines,Basic,Read-Only,target species,Y,Y,Y,Y,"…and, if so, the overlapping lines and the correction method.",medium,Conditional sub-item split from applied flag.
6,Overlap Correction Method,Basic,Read-Only,target species,Y,Y,Y,Y,"…and, if so, the overlapping lines and the correction method.",medium,Conditional sub-item split from applied flag.
6,Interfering Elements,Advanced,Read-Only,target species,Y,Y,Y,Y,"For each determined element, it should name the interfering elements whose lines overlap the measured peak… All of these are fixed.",high,
6,Interference Correction Reference Material,Advanced,Read-Only,target species,Y,Y,Y,Y,…and the reference material used to calibrate the interference correction. All of these are fixed.,high,
6,Detection Limit Method,Basic,Read-Only,reported property,Y,Y,Y,Y,"For each reported quantity, the procedure must state the formula or approach used to calculate the detection limit, with a citation where one exists; this is fixed.",high,
6,Detection Limits,Advanced,Basic,reported property,Y,Y,Y,Y,"For each reported quantity, the procedure should give detection limits and each session must report them, with units…",medium,"Procedure gives typical value, session reports its own: Basic chosen over Editable."
6,Detection Limit Basis,Advanced,Basic,reported property,Y,Y,Y,Y,…stating whether the values are typical estimates or session-specific measurements and consistent with the stated method.,medium,Split from detection limits.
6,Analytical Precision,Advanced,Basic,standard x reported property,Y,Y,Y,Y,"For each secondary reference material, and for each reported quantity, the procedure should give and each session must report the analytical precision, as a one-sigma relative standard deviation in percent…",medium,"Precision sub-items (N, measured value) split out."
6,Number of Reference Material Analyses,Advanced,Basic,standard x reported property,Y,Y,Y,Y,…with the number of analyses and the measured value…,medium,Split from precision.
6,Reference Material Measured Value,Advanced,Basic,standard x reported property,Y,Y,Y,Y,…with the number of analyses and the measured value…,medium,Split from precision.
6,Analytical Accuracy,Advanced,Basic,standard x reported property,Y,Y,Y,Y,"…and the analytical accuracy, as a percent relative bias…",high,
6,Accuracy Accepted Value Source,Advanced,Basic,standard x reported property,Y,Y,Y,Y,…with the source of the accepted value.,medium,Overlaps the secondary RM accepted-value citation; kept separate.
6,Counting Statistics Uncertainty,Advanced,Basic,sample > sampling unit x reported property,Y,Y,Y,Y,"Within each sample, for each analysis point, and for each reported quantity, the procedure should give and each session must report the uncertainty predicted from counting statistics… with the sigma level stated.",medium,Sigma level folded in rather than a separate field.
6,EDS Dead Time Percent,N/A,Basic,(none),Y,Y,N,N,"In EDS work, each session must report the percent dead time recorded by the detector.",medium,No key stated; plausibly per analysis point.
6,Excess Scatter Statistic,N/A,Basic,reported property,Y,Y,Y,Y,"For each reported quantity, each session must report the statistic used to assess whether scatter among the contributing individual results exceeds what analytical uncertainty alone predicts…",medium,Statistic and value split.
6,Excess Scatter Statistic Value,N/A,Basic,reported property,Y,Y,Y,Y,…together with its value; any acceptance threshold is stated with the inclusion rules.,medium,Split from statistic name.
6,Additional Information,Advanced,Advanced,(none),Y,Y,Y,Y,"Finally, the procedure and the session should each record any information not captured elsewhere in this guide, including anomalies, deviations from the registered procedure and instrument modifications.",medium,One item recorded independently in both records; not a procedure-to-session inheritance.
