Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",,2026-08-08,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N (Allan Patchen and Luca Fedele assisted with data collection per acknowledgments; not explicitly named as analysts in methods) [P20-Ack],N (same as silicate protocol) [P20-Ack]
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-08-08,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",,2026-07-24,Y,Y,Y,,"NASA Grants 80NSSC19K1238 (BZ), 80NSSC19K1613 (NLC), 80NSSC18K0595 (MH), NNX17AE77G (AER); NSF Cooperative Agreement DMR-1644779 and State of Florida [Acknowledgements]",Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,N (no funding section in this appendix document; funding would be in the parent paper which was not assessed),"JSPS Grant-in-Aid for Scientific Research (grants 26106002, 26220713, 16H04081, 19H00715, 19H01081, 20H04609)",M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts for Geoanalysis 2022 presentation; J.E.: CNPq grant 316191/2021-3,M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts; J.E.: CNPq grant 316191/2021-3,Strategy Priority Research Program (Category B) of Chinese Academy of Sciences (XDB0710000); NSFC 42073022,"Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023","Strategic Priority Research Program (B) of CAS (XDB0840200); NSFC 92062222, 42073057, 42250710679, 42250202, 42273023",NASA Cosmochemistry grants NNX11AG58G (to L.A.T.) and NNN13D465T (to Y.L.); NSF EAR-1226270 (to P.D.A.) and EAR-1019770 (to R.J.B.); Y.L. supported by Jet Propulsion Laboratory [P20-Ack],Same as silicate protocol [P20-Ack]
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,EPMA | SIMS | ICP-MS (solution) | Noble Gas MS | Other: specify | None | N/A,,2026-07-24,Y,Y,Y,,EPMA (Brown University CAMECA SX-100),N,N,N,N,EPMA (electron probe microanalysis),N,N,N,N,N,EPMA (EMP) [P4],EPMA (EMP) [P4]
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",,2026-07-24,Y,Y,Y,,"Quantitative analysis, mixed WDS/EDS element mapping, and characterization of mineral phases from NWA 1911 and Zinder [Section 2.5]",N,N,N,N,"EPMA used to measure Ni concentration at the exact LA-ICP-MS analysis spot location, required for internal standardization of HSE data [Section 2.3]",N,N,N,N,N,EPMA provides major element concentrations for comparison with LA-ICP-MS oxide-sum normalization results; agreement within <10% verified [P4],"EPMA provides CaO concentration at exact analysis spot, used as internal standard for LA-ICP-MS data reduction (LA-ICP-MS 40Ca counts normalized to EMP CaO) [P4]"
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. Provides a stable, citable link to the companion method independent of whether a dataset has been deposited. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",,2026-07-24,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",,2026-05-09,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,N,N,N,N,,,,,,,,,,,,N,N
Target Material,General description of the material type(s) this procedure is designed to analyse. Used for discoverability and procedure matching.,Basic,Read-Only,Controlled list / Text,Silicate glass | Feldspar | Pyroxene | Olivine | Oxide | Sulfide | Carbonate | Phosphate | Native metal | Iron meteorite | Fluid inclusion | Melt inclusion | Whole rock | Other: specify | N/A | None,,2026-07-24,Y,Y,Y,,Iron meteorite metal (kamacite + taenite); pyroxene-bearing pallasite metal,"Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite Ca-phosphate (merrillite, stanfieldite, farringtonite)","Pallasite olivine ([Mg,Fe]₂SiO₄)","CR chondrite metal grains (interior, margin, and isolated types)",Iron meteorite metal (kamacite + taenite),Iron meteorite metal (kamacite + plessite),Li-borate flux fusion glass (extraterrestrial sample preparation),Experimental dacitic silicate glass (quench product),Experimental pyrrhotite (Fe₁₋ₓS) sulfide (quench product),"Martian meteorite (Tissint) silicates, oxides, and glass: olivine, low-Ca pyroxene, augite, maskelynite, Fe-Ti-Cr oxides, shock melt glass, fusion crust [P4]","Martian meteorite (Tissint) phosphate: sodium-merrillite [P4, P12]"
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical procedure.",Basic,Editable,Controlled list,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | Other: specify,,2026-07-24,Y,Y,Y,,Polished metal slab (in situ),In situ — polished epoxy thick section (HELEX II two-volume cell),In situ — polished epoxy thick section; pre-ablated before trace element run,In situ — polished epoxy thick section,In situ — polished grain mount (olivine grain fragments),"In situ — polished epoxy thick section (petropoxy 154 resin, 0.5 µm diamond finish)","In situ — polished epoxy mount (~1 cm fragments in epoxy, etched with Nital)",In situ — polished epoxy mount (same Augusto Pestana fragment as spot protocol),"Li-borate flux fusion glass disc (10 mg sample + 350 mg Li₂B₄O₇, 35:1 dilution)",In situ — polished epoxy mount (experimental capsule half-section),In situ — polished epoxy mount (same capsule section as glass protocol),"In situ — polished thin section (Tissint sections: Tata-2-C3, Tata-3-C2, UT1, UT3) [P4, P5-P11]",In situ — polished thin section (same sections as silicate protocol) [P4]
Sample Name,"Name or identifier of the sample analysed, as used in the laboratory. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,Tissint Martian meteorite [P4],Tissint Martian meteorite [P4]
Sample Persistent Identifier,"Globally unique, persistent identifier for the analysed sample. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem, and SESAR.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",,2026-08-08,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",,2026-07-24,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Li₂B₄O₇ flux; sample:flux = 1:35 (10 mg sample + 350 mg flux),N/A,N/A,N/A (in situ),N/A (in situ)
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Basic,Editable,Text (free),"e.g., 'Polished thin section, uncoated' | '25 mm epoxy mount, polished to 0.25 µm diamond' | 'Double-fused Li-tetraborate bead, polished to 1 µm'",,2026-05-22,Y,Y,Y,,Polished metal slabs and thin sections; no acid treatment described,PMG thick sections polished; HELEX II two-volume cell; C-coated for SEM then coating removed before LA,"PMG thick sections polished; pre-ablation pass (2 J cm⁻², 20 Hz, 150 µm square, 300 µm s⁻¹) before trace element run",PMG thick sections polished; same as olivine mapping preparation,"Olivine grain fragments repeatedly washed in dilute HCl and triply distilled H₂O, hand-picked, polished grain mounts","Thick sections in petropoxy 154 resin, polished to 0.5 µm diamond paste, C-coated for EPMA then surface polished before LA","Fragments ~1 cm mounted in epoxy resin, polished, cleaned with ultrapure water",Same Augusto Pestana fragment etched with Nital solution (2% v/v HNO₃ in ethanol) to reveal kamacite and plessite,Li-borate fusion: 350 mg Li₂B₄O₇ + 10 mg powdered sample fused in Pt-Au crucible (M4 automatic fluxer); glass surface cleaned with ethanol before LA,Experimental capsule longitudinally sectioned with wire saw; half mounted in epoxy for analysis,Same capsule section as silicate glass; sulfide grains ≥20 µm selected by SEM-BSE,N (not described; sections mentioned; polished implied) [P4],N (same as silicate protocol) [P4]
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted as the large area ablated averages out surface effects.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",,2026-07-24,Y,Y,Y,,N,N (mapping; surface effects average out over large area),"Pre-ablation pass: 150 µm square, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ scan before trace element spot run; removes surface contamination and re-deposited material",N,N (grains imaged by SEM to locate inclusion-free regions),N,N,N,Surface cleaning with ethanol before analysis,N,N,N (not stated) [P4],N (not stated) [P4]
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out. Generalised from Lab-XCT's 'VOI Selection Criteria', which implements this concept for a single technique.",Basic,Editable,Text (free),"e.g., 'Euhedral, crack- and inclusion-free grains 80-150 um; oscillatory-zoned rims targeted, inherited cores avoided on CL' | 'All grains in the separate analysed (detrital provenance)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),"e.g., 'CL imaging on Zeiss Sigma SEM at 10 kV before spot placement; every dated grain imaged and spot positions annotated' | 'BSE and CL mosaics; micro-Raman screening of chemical-abrasion effectiveness (McKanna et al. 2023)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Chemical Abrasion Conditions,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step. Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon. Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read.",Basic,Read-Only,Text (free),"e.g., 'Annealed 900 C, 60 h; partial dissolution 12 M HF, 210 C, 12 h' | 'Annealed 850 C, 48 h; 29 M HF, 180 C, 12 h' | 'None (untreated)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,N,N,N,N,,,,,,,,,,,,N,N
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",,2026-05-14,Y,Y,Y,,ESI New Wave UP193FX (193 nm Nd:YAG frequency-quintupled solid state),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),"New Wave UP-193 (solid state, 193 nm)","Cyber Laser IFRIT (Ti:sapphire fs UV laser, 260 nm)",Teledyne Excite 193 (193 nm ArF excimer),Teledyne Excite 193 (193 nm ArF excimer),"Shanghai Chemlab GenesisGEO (high-repetition-rate fs laser, 343 nm)",Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system),Resonetics 193 nm ArF excimer laser (coupled to Cetac Analyte HE system; same system as glass protocol),GeoLasPro (193 nm Excimer laser-ablation system; manufacturer not stated by name; GeoLasPro is a Lambda Physik/Coherent product) [P4],GeoLasPro 193 nm Excimer laser-ablation system (same as silicate protocol) [P4]
ICP-MS Manufacturer & Model,Manufacturer and model of the ICP-MS instrument.,Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",,2026-05-06,Y,Y,Y,,Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Scientific X-series 2 (Q-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Agilent 8900 (Q-ICP-MS; ICP-MS/MS capable),Agilent 7900 (Q-ICP-MS),Agilent 7900 (Q-ICP-MS),Agilent 7500ce ICP-MS [P4],Agilent 7500ce ICP-MS [P4]
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,Single-collector quadrupole (Q-ICP-MS) | Single-collector sector-field (SF-ICP-MS) | Multi-collector sector-field (MC-ICP-MS) | Time-of-flight (ICP-ToF-MS) | Triple quadrupole (ICP-MS/MS) | Other: specify,,2026-05-14,Y,Y,Y,,N,"Double-focusing sector field ICP-MS (explicitly stated: ""Thermo Scientific Element XR double-focusing sector field ICP-MS unit"")",Double-focusing sector field ICP-MS (explicitly stated),Double-focusing sector field ICP-MS (explicitly stated),Single-collector sector-field (SF-ICP-MS),Single-collector quadrupole (Q-ICP-MS),"Sector field (SF-ICP-MS) (explicitly stated: ""sector field inductively coupled plasma mass spectrometer"")",Sector field (SF-ICP-MS) (explicitly stated),"N (ICP-MS type not stated; Agilent 8900 model named but ""quadrupole"" or ""ICP-MS/MS"" not used in paper)","N (ICP-MS type not stated; Agilent 7900 model named but ""quadrupole"" not explicitly stated)",N (ICP-MS type not stated),N (quadrupole implied by Agilent 7500ce model; not explicitly stated in paper) [P4],N (same as silicate protocol) [P4]
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit. Supports traceability to instrument service records.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
