Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas"
Session Identifier,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software. Distinct from any persistent identifier a repository mints on submission.",N/A,Basic,Text (free),,Source: Core module,2026-08-25,(none),"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files.",Y,Y,Y,,,,,,,,
Analyst,Name(s) of the analyst(s) who performed the analysis session. ORCID is recommended for persistent identification.,N/A,Basic,Text (free),"e.g., 'J. Smith (ORCID: 0000-0001-2345-6789)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Analysis Start Date,"Date on which the analytical session began. For sessions spanning multiple days, use the date of the first session. Format: YYYY-MM-DD.",N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Analysis End Date,Date on which the analytical session ended. May equal Analysis Start Date for single-day sessions. Format: YYYY-MM-DD.,N/A,Basic,Date,"YYYY-MM-DD, e.g., 2022-04-22",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Funding Source for Analysis,"Grants and other funding sources that supported the specific sample analyses and data collection reported here. Include grant numbers and funding agencies. Distinct from procedure development funding, which may have been awarded years earlier.",N/A,Basic,Text (free),"e.g., 'NASA 80NSSC21K0153; DFG WE 2850/5-1' | 'None'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"NASA Grants 80NSSC19K1238 (BZ), 80NSSC19K1613 (NLC), 80NSSC18K0595 (MH), NNX17AE77G (AER); NSF Cooperative Agreement DMR-1644779 and State of Florida [Acknowledgements]",Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,Planet Topers (BELSPO); FWO; Alexander von Humboldt Foundation; FWO/BOF-UGent,N (no funding section in this appendix document; funding would be in the parent paper which was not assessed),M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts for Geoanalysis 2022 presentation; J.E.: CNPq grant 316191/2021-3,M.S.N.: Educorp (Unicamp) and International Association of Geoanalysts; J.E.: CNPq grant 316191/2021-3
Coupled Technique(s),"Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure. Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements. Use the same controlled vocabulary as the Technique field. Enter ""None"" if no coupling is intended.",Advanced,Editable,Controlled list / Text,EPMA | SIMS | ICP-MS (solution) | Noble Gas MS | Other: specify | None | N/A,Source: Core module,2026-08-25,(none),,Y,Y,Y,,EPMA (Brown University CAMECA SX-100),N,N,N,N,N,N
Coupling Description,"Description of how this procedure is coupled with the technique(s) listed above. Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive). Required when Coupled Technique(s) is not ""None"".",Advanced,Editable,Text (free),"e.g., 'EPMA provides major element concentrations (SiO₂ as internal standard) used in LA-ICP-MS data reduction; EPMA performed first because LA-ICP-MS ablation is destructive' | 'SIMS isotope ratios cross-validated against LA-ICP-MS; SIMS performed first due to shallower beam penetration'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"Quantitative analysis, mixed WDS/EDS element mapping, and characterization of mineral phases from NWA 1911 and Zinder [Section 2.5]",N,N,N,N,N,N
Coupled Procedure DOI,"Registered procedure DOI for the coupled technique named above. If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending"". Enter ""None"" if no coupling is planned.",N/A,Advanced,URI / DOI,"e.g., 'http://doi.org/10.60520/IEDA/114187' | pending | None",Source: Core module,2026-08-25,(none),"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited.",Y,Y,Y,,N,N,N,N,N,N,N
Coupled Dataset or Publication Reference,"DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together. Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI. Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned. If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2).",N/A,Advanced,URI / DOI / Text,"e.g., 'doi:10.26022/IEDA/112969' | same submission | pending | None",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,
2. Samples,,,,,,,,,,N,N,N,N,,,,,,,
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate glass | Feldspar | Pyroxene | Olivine | Oxide | Sulfide | Carbonate | Phosphate | Native metal | Iron meteorite | Fluid inclusion | Melt inclusion | Whole rock | Other: specify | N/A | None,Source: Core module,2026-08-25,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,,Iron meteorite metal (kamacite + taenite); pyroxene-bearing pallasite metal,"Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite olivine ([Mg,Fe]₂SiO₄)","Pallasite Ca-phosphate (merrillite, stanfieldite, farringtonite)","Pallasite olivine ([Mg,Fe]₂SiO₄)",Iron meteorite metal (kamacite + taenite),Iron meteorite metal (kamacite + plessite)
Sample Form / Analytical Substrate,"Physical form of the material as it enters the ablation cell. Editable to accommodate legitimate variations (e.g., thin section vs. mount) that do not alter the analytical procedure.",Basic,Editable,Controlled list,In situ — polished thin section | In situ — polished epoxy mount | In situ — polished thick section | Pressed powder pellet | Li-borate fused glass disc | Nano-particulate pressed pellet | Liquid | N/A | None | Other: specify,,2026-08-11,(none),,Y,Y,Y,,Polished metal slab (in situ),In situ — polished epoxy thick section (HELEX II two-volume cell),In situ — polished epoxy thick section; pre-ablated before trace element run,In situ — polished epoxy thick section,In situ — polished grain mount (olivine grain fragments),"In situ — polished epoxy mount (~1 cm fragments in epoxy, etched with Nital)",In situ — polished epoxy mount (same Augusto Pestana fragment as spot protocol)
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'NWA 10597 ol-1' | 'Imilac PMG section 3 grain 2'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,,N,N,N,N,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,Y,Y,Y,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., IGSN: IEDA-100001 (https://www.igsn.org/) | Smithsonian NMNH catalog number",Source: Core module,2026-08-25,sample,,Y,Y,Y,,N,N,N,N,N,N,N
Fusion Flux and Dilution Ratio,"For procedures using fused glass, the flux type and sample:flux dilution ratio used to prepare the analytical glass.",Advanced,Editable,Text (free),"e.g., 'Li-tetraborate, 1:2 (sample:flux)' | 'Li-metaborate/tetraborate 50:50, 1:5' | 'Not applicable (in situ)'",,2026-07-24,(none),,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Basic,Editable,Controlled list / Text,Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fused bead | Experimental capsule section | Etched or chemically treated surface | N/A | None,,2026-08-26,(none),,Y,Y,Y,,Polished metal slabs and thin sections; no acid treatment described,PMG thick sections polished; HELEX II two-volume cell; C-coated for SEM then coating removed before LA,"PMG thick sections polished; pre-ablation pass (2 J cm⁻², 20 Hz, 150 µm square, 300 µm s⁻¹) before trace element run",PMG thick sections polished; same as olivine mapping preparation,"Olivine grain fragments repeatedly washed in dilute HCl and triply distilled H₂O, hand-picked, polished grain mounts","Fragments ~1 cm mounted in epoxy resin, polished, cleaned with ultrapure water",Same Augusto Pestana fragment etched with Nital solution (2% v/v HNO₃ in ethanol) to reveal kamacite and plessite
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",Source: Laser Ablation module,2026-08-25,(none),In mapping the large area ablated averages out surface effects.,Y,Y,Y,,N,N (mapping; surface effects average out over large area),"Pre-ablation pass: 150 µm square, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ scan before trace element spot run; removes surface contamination and re-deposited material",N,N (grains imaged by SEM to locate inclusion-free regions),N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,,,,,,,
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",Source: Laser Ablation module,2026-08-25,(none),,Y,Y,Y,,ESI New Wave UP193FX (193 nm Nd:YAG frequency-quintupled solid state),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),Teledyne CETAC Technologies Analyte G2 (193 nm ArF excimer),"New Wave UP-193 (solid state, 193 nm)",Teledyne Excite 193 (193 nm ArF excimer),Teledyne Excite 193 (193 nm ArF excimer)
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,,,,,,,,
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS),Thermo Fisher Scientific Element XR (SF-ICP-MS)
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Single-collector sector-field (SF-ICP-MS) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,"Double-focusing sector field ICP-MS (explicitly stated: ""Thermo Scientific Element XR double-focusing sector field ICP-MS unit"")",Double-focusing sector field ICP-MS (explicitly stated),Double-focusing sector field ICP-MS (explicitly stated),Single-collector sector-field (SF-ICP-MS),"Sector field (SF-ICP-MS) (explicitly stated: ""sector field inductively coupled plasma mass spectrometer"")",Sector field (SF-ICP-MS) (explicitly stated)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,Y,Y,Y,,N,N,N,N,N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),N (parameters lost),Ni sampler cone; Ni skimmer cone,Ni sampler cone; Ni skimmer cone
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel is standard for most aqueous and nitric matrices; platinum is used for HCl-rich, high-TDS or organic matrices for its greater corrosion resistance; aluminium is used in some laboratories for high-purity work or enhanced sensitivity. State both sampler and skimmer materials; a single statement is acceptable where they are identical.",Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",Source: ICP-MS module,2026-08-26,(none),"Cone material affects sensitivity, matrix tolerance, and long-term stability.",Y,Y,Y,,,,,,,,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",Y,Y,Y,,,,,,,,
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Y,Y,Y,,N,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,On (active),On (active)
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",Source: ICP-MS module,2026-08-26,(none),"The analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression.",Y,Y,Y,,Low resolution (M/ΔM ≈ 400),Low resolution (M/ΔM = 300; cool plasma mapping),Run 1: Medium resolution (M/ΔM = 4000) for major elements; Run 2: Low resolution (M/ΔM = 300) for trace elements,Low resolution (M/ΔM = 300),Medium resolution (m/Δm ≈ 4000),Low resolution (M/ΔM = 300),Low resolution (M/ΔM = 300)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-08-26,(none),,Y,Y,Y,,Triple mode detection (pulse counting + analog + Faraday) at 65% duty cycle,Triple mode detection (all analytical modes),Triple mode detection; Faraday used for major elements in run 1,Triple mode detection,N (parameters lost),"Triple mode detector (pulse counting, analog, Faraday)","Triple mode detector (pulse counting, analog, Faraday)"
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",Source: Laser Ablation module,2026-08-26,(none),,Y,Y,Y,,N,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm solid-state (New Wave UP-193),193 nm ArF excimer; pulse duration 4 ns,193 nm ArF excimer; pulse duration 4 ns
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",Source: Core module,2026-08-26,(none),,Y,Y,Y,,"N (paper only states ""standardization techniques followed those of Humayun (2012)""; no software named)",In-house MatLab script (Appendix C1),In-house MatLab script (Appendix C2),In-house MatLab script (Appendix C3),Excel spreadsheets developed by C.-T. A. Lee (Rice University),iolite 4.5.7 with 3D Trace Elements DRS,iolite 4.5.7 with 3D Trace Elements DRS
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",Source: Laser Ablation module,2026-08-26,(none),Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.,Y,Y,Y,,N,HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,N (standard cell; parameters lost),HelEx II two-volume sample cell,HelEx II two-volume sample cell
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",,2026-08-26,(none),,Y,Y,Y,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,2026-08-26,,,N,N,N,N,,,,,,,
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'Spot' | 'Transect' | 'Mapping' | 'Spot; Transect',Source: Core module,2026-08-26,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,,,,,,,,
