Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences"
Sample Preparation Method,"Description of how samples were prepared for analysis (mounting, polishing, coating, fusion procedure, etc.).",Basic,Editable,Text (free),"e.g., 'Polished thin section, uncoated' | '25 mm epoxy mount, polished to 0.25 µm diamond' | 'Double-fused Li-tetraborate bead, polished to 1 µm'",,2026-05-22,(none),,Y,Y,Y,,Polished thin section (two-volume cell)
Pre-Ablation Surface Treatment,"Procedure applied immediately before each analysis to remove surface contamination or condition the sample surface. Distinct from general sample preparation. For spot analysis, pre-ablation pulses are discarded before signal acquisition begins. For mapping, this step is typically omitted.",Advanced,Editable,Text (free),"e.g., '10 pre-ablation pulses discarded before acquisition (50 µm, 10 Hz, 2 J cm⁻²)' | '150 µm square spot, 2 J cm⁻², 20 Hz, 300 µm s⁻¹ pre-ablation pass (Chernonozhkin et al. 2021)' | 'None'",Source: Laser Ablation module,2026-08-25,(none),In mapping the large area ablated averages out surface effects.,Y,Y,Y,,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,,
,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N
Laser Manufacturer & Model,Manufacturer and model of the laser ablation system.,Basic,Read-Only,Text (free),"e.g., 'ESI/NWR imageGEO193' | 'Coherent GeoLas HD' | 'Teledyne Analyte Excite 193' | 'Teledyne Analyte G2'",Source: Laser Ablation module,2026-08-25,(none),,Y,Y,Y,,"New Wave Research NWR FemtoUC (Yb:KGW fs, 257 nm PHAROS amplifier)"
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,Thermo Fisher Scientific | Agilent | PerkinElmer | Nu Instruments | Analytik Jena | Shimadzu | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,,
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'Thermo Scientific iCAP TQ' | 'Agilent 7900' | 'Thermo Scientific Element XR' | 'TOFWERK icpTOF'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,Thermo Fisher Scientific NEPTUNE Plus (MC-ICP-MS)
ICP-MS Type,Type of ICP-MS mass analyser and collector configuration.,Basic,Read-Only,Controlled list,"Multi-collector (MC-ICP-MS) | Multi-collector with collision/reaction cell (e.g. Nu Sapphire, Thermo Neoma MS/MS) | Other: specify | N/A | None",,2026-08-08,(none),,Y,Y,Y,,Multi-collector sector-field (MC-ICP-MS)
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),"e.g., 'Element XR S/N 1234' | 'Lab unit: Ghent-SF2'",Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,Y,Y,Y,,
Interface Cone Configuration,Combination of sample cone and skimmer cone installed during analysis.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",,2026-05-14,(none),,Y,Y,Y,,X skimmer cone + Jet sample cone (high-sensitivity configuration)
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work). State both sampler and skimmer materials; if identical, a single statement is acceptable.",Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",,2026-08-25,(none),"Cone material affects sensitivity, matrix tolerance, and long-term stability.",Y,Y,Y,,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",Y,Y,Y,,
Torch Type,Type of plasma torch installed.,Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None | Other: specify,,2026-08-25,(none),Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Y,Y,Y,,
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode) | N/A | None | Other: specify,,2026-08-11,(none),,Y,Y,Y,,N
Mass Resolution Setting,Operating mass resolution of the mass analyser.,Basic,Editable,Text (free),"e.g., Unit resolution — quadrupole (fixed) | Low resolution — SF (~300 m/Δm) | Medium resolution — SF (~3000 m/Δm) | High resolution — SF (~10000 m/Δm) | Other: specify",,2026-08-25,(none),"For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression.",Y,Y,Y,,Low resolution (M/ΔM ≈ 400)
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-05-06,(none),,Y,Y,Y,,Seven fixed electron multiplier ICs + nine Faraday cups (1011 Ω resistors)
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences (larger collision cross-section) are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On ICP-MS/MS instruments (e.g., Agilent 8900), a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates, and cell voltages are documented in Group 4. Record 'Not applicable' for SF-ICP-MS instruments, which lack collision/reaction cells. Record 'N/A' where the instrument is not fitted with a collision/reaction cell.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | N/A | None | Other: specify",,2026-08-17,channel,,Y,Y,Y,,
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",Source: Laser Ablation module,2026-08-25,(none),,Y,Y,Y,,257 nm Yb:KGW femtosecond; pulse duration 300 fs (PHAROS system)
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,"ISO-Compass software (Zhang et al. 2020, J. Anal. At. Spectrom. 35, 1087–1096)"
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",Source: Laser Ablation module,2026-08-25,(none),Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.,Y,Y,Y,,Two-volume cell (constant distance between laser and aerosol extraction)
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",,2026-08-08,(none),,Y,Y,Y,,
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array. Specify the total number of Faraday cup detectors (fixed and moveable), their labeled positions (e.g., L4, L3, L2, L1, Ax, H1, H2, H3, H4 for a 9-cup Neptune), and the presence and position of any ion counter (SEM) or Daly detector in the collector block.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,(none),The number and span of cups constrains which isotope combinations can be simultaneously collected.,Y,Y,Y,,
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors, yielding 1 V per ~6.24 × 10⁶ ion counts per second. Report the resistor value per cup position, or note 'all 10¹¹ Ω' if uniform.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,channel,"High-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., 234U, low-abundance spike isotopes).",Y,Y,Y,,
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Common approaches: instrument internal gain calibration routine (measures signal in each cup sequentially using a common beam), amplifier rotation procedure, or measurement of a known isotope ratio solution in each cup. For instruments with SEM detectors, also describes the SEM-to-Faraday cross-calibration sequence. Specify frequency (per session, per block, weekly).",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-25,channel,Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected.,Y,Y,Y,,
,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'Spot' | 'Transect' | 'Mapping' | 'Spot; Transect' | 'Spot; Mapping',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,,
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",Source: Laser Ablation module,2026-08-25,(none),,Y,Y,Y,,50–60 µm circular
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers.",N/A,Basic,Numeric (µm),"e.g., '32.4' | 'nominal 35, measured 33.1 +/- 0.8 (n = 12 pits, white-light profilometry)'",Source: Laser Ablation module,2026-08-25,(none),Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.,Y,Y,Y,,
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | N/A | None | Other: specify,Source: Laser Ablation module,2026-08-25,(none),,Y,Y,Y,,Transect (continuous line scan at 2–6 µm s⁻¹)
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Laser Fluence (Energy Density).,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",Source: Laser Ablation module,2026-08-25,(none),Less commonly reported than fluence because it does not account for spot area.,Y,Y,Y,,N
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",Source: Laser Ablation module,2026-08-25,(none),"Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution.",Y,Y,Y,,~60% of maximum output (PHAROS system; exact J cm⁻² not converted)
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed.",Advanced,Read-Only,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated | N/A | None,Source: Laser Ablation module,2026-08-25,(none),A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.,Y,Y,Y,,N
Laser Repetition Rate,Laser pulse repetition rate in hertz registered by the procedure.,Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",Source: Laser Ablation module,2026-08-25,(none),"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution.",Y,Y,Y,,10–30 Hz (varied based on Sr concentration in samples)
Laser Pulse Duration,"Duration of each individual laser pulse, including units.",Basic,Read-Only,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",Source: Laser Ablation module,2026-08-25,(none),Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.,Y,Y,Y,,300 fs (Yb:KGW PHAROS femtosecond amplifier)
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and is not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",Source: Laser Ablation module,2026-08-25,(none),"For spot analysis, reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",Y,N,N,,N/A (transect)
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),"e.g., 'Pit depth 18 um after 300 pulses (white-light profilometry); 60 nm/pulse' | 'Trench depth 4 um at 5 um/s scan speed'",Source: Laser Ablation module,2026-08-25,(none),Sets the achievable depth resolution and governs downhole elemental fractionation.,Y,Y,Y,,
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",Source: Laser Ablation module,2026-08-25,(none),"Together with spot size and repetition rate, determines spatial resolution along the scan direction.",N,Y,Y,,2–6 µm s⁻¹ (varied based on Sr concentration in target minerals)
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",Source: Laser Ablation module,2026-08-25,(none),"Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size).",N,N,Y,,N/A (transect — single line)
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",,2026-07-24,(none),,Y,Y,Y,,"He, 0.90 l min⁻¹ (two-volume cell)"
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",Source: ICP-MS module,2026-08-25,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",Y,Y,Y,,Ar make-up (flow rate not separately stated); N₂ 12 ml min⁻¹ added via Y-connector downstream of signal-smoothing device
